iz_code,site_id,travel_time_min,served
S02001576,PH_2368,14.91,True
S02001577,PH_2368,10.01,True
S02001578,PH_2368,7.94,True
S02001579,PH_2368,3.02,True
S02001580,PH_2368,7.7,True
S02001581,PH_2368,7.69,True
S02001582,PH_2368,2.87,True
S02001583,PH_2368,2.73,True
S02001584,PH_2368,1.72,True
S02001585,PH_2368,3.02,True
S02001586,PH_2368,4.97,True
S02001587,PH_2026,4.37,True
S02001588,PH_2368,4.0,True
S02001589,PH_2026,2.18,True
S02001590,PH_2026,0.79,True
S02001591,PH_2026,2.28,True
S02001592,PH_2026,1.6,True
S02001593,PH_2026,4.89,True
S02001594,PH_2026,4.66,True
S02001595,PH_2026,6.36,True
S02001596,PH_2026,8.03,True
S02001597,PH_2026,8.77,True
S02001598,PH_2026,10.01,True
S02001599,PH_2026,10.24,True
S02001600,MS_14,6.34,True
S02001601,MS_14,5.98,True
S02001602,MS_14,5.79,True
S02001603,MS_14,4.96,True
S02001604,MS_14,3.66,True
S02001605,MS_14,2.87,True
S02001606,MS_14,4.58,True
S02001607,MS_14,3.71,True
S02001608,MS_14,1.95,True
S02001609,MS_14,5.56,True
S02001610,MS_14,4.3,True
S02001611,MS_14,6.31,True
S02001612,MS_14,6.74,True
S02001613,PH_2026,7.17,True
S02001614,PH_2026,6.06,True
S02001615,PH_2026,5.85,True
S02001616,PH_2026,3.61,True
S02001617,PH_2026,3.56,True
S02001618,PH_2026,2.24,True
S02001619,PH_2026,2.58,True
S02001620,PH_2026,4.42,True
S02001621,MS_14,7.19,True
S02001622,PH_2027,6.23,True
S02001623,PH_2027,6.86,True
S02001624,PH_2027,4.6,True
S02001625,PH_2027,4.31,True
S02001626,PH_2027,5.95,True
S02001627,MS_14,4.03,True
S02001628,MS_14,5.76,True
S02001629,MS_14,8.53,True
S02001630,MS_14,8.79,True
S02001631,MS_14,11.2,True
S02001632,PH_2027,9.39,True
S02001633,MS_14,9.17,True
S02001634,PH_2027,7.5,True
S02001635,PH_2027,6.91,True
S02001636,PH_2027,6.79,True
S02001637,PH_2027,4.37,True
S02001638,PH_2027,3.49,True
S02001639,PH_2027,1.76,True
S02001640,PH_2027,5.48,True
S02001641,PH_2027,2.91,True
S02001642,PH_2027,2.03,True
S02001643,PH_2027,0.47,True
S02001644,PH_2027,1.46,True
S02001645,PH_2027,3.09,True
S02001646,PH_2027,2.33,True
S02001647,PH_2027,3.19,True
S02001648,PH_2027,1.52,True
S02001649,PH_2027,3.58,True
S02001650,PH_2027,3.19,True
S02001651,PH_2027,5.49,True
S02001652,PH_2027,5.48,True
S02001653,PH_2027,3.62,True
S02001654,PH_2027,3.31,True
S02001655,PH_2027,3.8,True
S02001656,PH_2027,5.71,True
S02001657,PH_2027,4.87,True
S02001658,PH_2027,6.61,True
S02001659,GP_70662,6.37,True
S02001660,PH_2026,4.04,True
S02001661,PH_2026,3.74,True
S02001662,PH_2026,4.97,True
S02001663,GP_70662,5.27,True
S02001664,GP_70662,4.46,True
S02001665,GP_70662,2.64,True
S02001666,GP_70662,1.37,True
S02001667,GP_70662,5.04,True
S02001668,GP_70662,4.47,True
S02001669,GP_70662,3.71,True
S02001670,GP_70662,1.53,True
S02001671,GP_70662,1.42,True
S02001672,GP_70662,4.03,True
S02001673,PH_2516,3.09,True
S02001674,PH_2516,0.59,True
S02001675,PH_2516,3.03,True
S02001676,PH_2516,5.46,True
S02001677,PH_2516,5.9,True
S02001678,PH_2516,5.27,True
S02001679,PH_2516,6.3,True
S02001680,PH_2368,6.56,True
S02001681,PH_2368,6.35,True
S02001682,PH_2368,5.54,True
S02001683,PH_2368,15.77,True
S02001684,PH_2516,19.41,True
S02001685,PH_2516,13.71,True
S02001686,PH_2516,15.8,True
