iz_code,site_id,travel_time_min,served
S02001576,GP_70131,14.13,True
S02001577,GP_70131,9.23,True
S02001578,GP_70131,7.16,True
S02001579,GP_70131,5.74,True
S02001580,GP_70131,2.3,True
S02001581,GP_70131,1.62,True
S02001582,GP_70131,4.37,True
S02001583,GP_70131,7.8,True
S02001584,GP_70131,5.93,True
S02001585,PH_2026,7.31,True
S02001586,PH_2026,7.25,True
S02001587,PH_2026,4.37,True
S02001588,PH_2026,5.85,True
S02001589,PH_2026,2.18,True
S02001590,PH_2026,0.79,True
S02001591,PH_2026,2.28,True
S02001592,PH_2026,1.6,True
S02001593,GP_70131,3.73,True
S02001594,PH_2026,4.66,True
S02001595,PH_2026,6.36,True
S02001596,GP_70131,4.02,True
S02001597,GP_70131,4.91,True
S02001598,GP_70131,4.97,True
S02001599,GP_70131,7.47,True
S02001600,MS_14,6.34,True
S02001601,MS_14,5.98,True
S02001602,MS_14,5.79,True
S02001603,MS_14,4.96,True
S02001604,MS_14,3.66,True
S02001605,MS_14,2.87,True
S02001606,MS_14,4.58,True
S02001607,MS_14,3.71,True
S02001608,MS_14,1.95,True
S02001609,PH_2497,5.46,True
S02001610,MS_14,4.3,True
S02001611,PH_2497,2.99,True
S02001612,PH_2497,4.48,True
S02001613,PH_2497,3.82,True
S02001614,PH_2497,5.19,True
S02001615,PH_2026,5.85,True
S02001616,PH_2026,3.61,True
S02001617,PH_2026,3.56,True
S02001618,PH_2026,2.24,True
S02001619,PH_2026,2.58,True
S02001620,PH_2497,3.78,True
S02001621,PH_2497,2.22,True
S02001622,PH_2497,1.03,True
S02001623,PH_2497,1.1,True
S02001624,PH_2497,2.58,True
S02001625,PH_2497,3.6,True
S02001626,PH_2497,5.62,True
S02001627,MS_14,4.03,True
S02001628,MS_14,5.76,True
S02001629,MS_14,8.53,True
S02001630,MS_14,8.79,True
S02001631,MS_14,11.2,True
S02001632,MS_14,9.86,True
S02001633,MS_14,9.17,True
S02001634,PH_2497,7.69,True
S02001635,PH_2497,7.1,True
S02001636,PH_2497,7.62,True
S02001637,PH_2497,5.5,True
S02001638,PH_2497,5.64,True
S02001639,PH_2497,6.05,True
S02001640,PH_2556,5.89,True
S02001641,PH_2556,4.51,True
S02001642,PH_2556,6.19,True
S02001643,PH_2556,5.17,True
S02001644,PH_2497,4.37,True
S02001645,PH_2497,4.18,True
S02001646,PH_2497,4.53,True
S02001647,PH_2497,3.39,True
S02001648,PH_2497,4.75,True
S02001649,PH_2556,2.69,True
S02001650,PH_2556,3.68,True
S02001651,PH_2556,0.93,True
S02001652,PH_2556,0.24,True
S02001653,PH_2556,3.55,True
S02001654,PH_2497,4.12,True
S02001655,PH_2497,3.13,True
S02001656,PH_2497,3.83,True
S02001657,PH_2556,3.62,True
S02001658,PH_2556,4.17,True
S02001659,PH_2556,4.34,True
S02001660,PH_2026,4.04,True
S02001661,PH_2026,3.74,True
S02001662,PH_2026,4.97,True
S02001663,PH_2556,5.37,True
S02001664,PH_2516,6.34,True
S02001665,PH_2556,6.43,True
S02001666,PH_2556,5.37,True
S02001667,PH_2556,4.21,True
S02001668,PH_2556,3.75,True
S02001669,PH_2556,4.5,True
S02001670,PH_2556,7.12,True
S02001671,PH_2556,7.24,True
S02001672,PH_2516,6.75,True
S02001673,PH_2516,3.09,True
S02001674,PH_2516,0.59,True
S02001675,PH_2516,3.03,True
S02001676,PH_2516,5.46,True
S02001677,PH_2516,5.9,True
S02001678,PH_2516,5.27,True
S02001679,PH_2516,6.3,True
S02001680,PH_2026,7.37,True
S02001681,PH_2026,7.43,True
S02001682,PH_2026,10.01,True
S02001683,PH_2516,17.94,True
S02001684,PH_2516,19.41,True
S02001685,PH_2516,13.71,True
S02001686,PH_2516,15.8,True
