iz_code,site_id,travel_time_min,served
S02001576,PH_2368,14.91,True
S02001577,PH_2368,10.01,True
S02001578,PH_2368,7.94,True
S02001579,PH_2368,3.02,True
S02001580,PH_2368,7.7,True
S02001581,PH_2368,7.69,True
S02001582,PH_2368,2.87,True
S02001583,PH_2368,2.73,True
S02001584,PH_2368,1.72,True
S02001585,PH_2368,3.02,True
S02001586,PH_2368,4.97,True
S02001587,PH_2026,4.37,True
S02001588,PH_2368,4.0,True
S02001589,PH_2026,2.18,True
S02001590,PH_2026,0.79,True
S02001591,PH_2026,2.28,True
S02001592,PH_2026,1.6,True
S02001593,PH_2026,4.89,True
S02001594,PH_2026,4.66,True
S02001595,PH_2026,6.36,True
S02001596,PH_2026,8.03,True
S02001597,PH_2026,8.77,True
S02001598,PH_2026,10.01,True
S02001599,PH_2026,10.24,True
S02001600,MS_31,11.68,True
S02001601,MS_31,11.32,True
S02001602,MS_31,11.13,True
S02001603,MS_31,10.3,True
S02001604,MS_31,9.0,True
S02001605,MS_31,8.21,True
S02001606,MS_31,9.92,True
S02001607,MS_31,9.05,True
S02001608,MS_31,7.29,True
S02001609,MS_31,7.82,True
S02001610,MS_31,6.55,True
S02001611,PH_2361,6.53,True
S02001612,PH_2361,7.58,True
S02001613,PH_2361,6.92,True
S02001614,PH_2026,6.06,True
S02001615,PH_2026,5.85,True
S02001616,PH_2026,3.61,True
S02001617,PH_2026,3.56,True
S02001618,PH_2026,2.24,True
S02001619,PH_2026,2.58,True
S02001620,PH_2026,4.42,True
S02001621,PH_2361,5.32,True
S02001622,PH_2361,4.33,True
S02001623,PH_2361,4.96,True
S02001624,PH_2361,3.45,True
S02001625,PH_2361,3.56,True
S02001626,MS_31,2.87,True
S02001627,MS_31,3.49,True
S02001628,MS_31,5.26,True
S02001629,MS_31,4.98,True
S02001630,MS_31,6.27,True
S02001631,MS_31,6.98,True
S02001632,MS_31,4.52,True
S02001633,MS_31,3.83,True
S02001634,MS_31,3.15,True
S02001635,MS_31,2.59,True
S02001636,MS_31,5.51,True
S02001637,PH_2361,4.85,True
S02001638,PH_2361,4.07,True
S02001639,PH_2361,3.63,True
S02001640,PH_2361,7.0,True
S02001641,PH_2361,4.64,True
S02001642,PH_2361,4.11,True
S02001643,PH_2361,2.54,True
S02001644,PH_2361,1.74,True
S02001645,PH_2361,1.98,True
S02001646,PH_2361,1.21,True
S02001647,PH_2361,1.29,True
S02001648,PH_2361,1.21,True
S02001649,PH_2361,3.95,True
S02001650,PH_2361,4.19,True
S02001651,PH_2531,5.29,True
S02001652,PH_2531,4.72,True
S02001653,PH_2361,2.5,True
S02001654,PH_2361,1.41,True
S02001655,PH_2361,1.91,True
S02001656,PH_2361,3.81,True
S02001657,PH_2361,2.98,True
S02001658,PH_2361,4.84,True
S02001659,PH_2531,4.98,True
S02001660,PH_2026,4.04,True
S02001661,PH_2026,3.74,True
S02001662,PH_2026,4.97,True
S02001663,PH_2531,3.88,True
S02001664,PH_2531,4.17,True
S02001665,PH_2531,2.34,True
S02001666,PH_2531,0.91,True
S02001667,PH_2531,3.71,True
S02001668,PH_2531,4.18,True
S02001669,PH_2531,3.43,True
S02001670,PH_2531,2.87,True
S02001671,PH_2531,2.78,True
S02001672,PH_2531,3.91,True
S02001673,PH_2516,3.09,True
S02001674,PH_2516,0.59,True
S02001675,PH_2516,3.03,True
S02001676,PH_2516,5.46,True
S02001677,PH_2516,5.9,True
S02001678,PH_2516,5.27,True
S02001679,PH_2516,6.3,True
S02001680,PH_2368,6.56,True
S02001681,PH_2368,6.35,True
S02001682,PH_2368,5.54,True
S02001683,PH_2368,15.77,True
S02001684,PH_2516,19.41,True
S02001685,PH_2516,13.71,True
S02001686,PH_2516,15.8,True
