iz_code,site_id,travel_time_min,served
S02001576,MS_29,0.88,True
S02001577,MS_29,5.02,True
S02001578,MS_29,7.34,True
S02001579,PH_2368,3.02,True
S02001580,PH_2368,7.7,True
S02001581,PH_2368,7.69,True
S02001582,PH_2368,2.87,True
S02001583,PH_2368,2.73,True
S02001584,PH_2368,1.72,True
S02001585,PH_2368,3.02,True
S02001586,PH_2368,4.97,True
S02001587,PH_2522,4.77,True
S02001588,PH_2368,4.0,True
S02001589,PH_2522,0.94,True
S02001590,PH_2522,1.79,True
S02001591,PH_2522,3.13,True
S02001592,PH_2522,1.08,True
S02001593,PH_2522,4.13,True
S02001594,PH_2522,4.14,True
S02001595,PH_2522,5.84,True
S02001596,PH_2522,6.78,True
S02001597,PH_2522,7.85,True
S02001598,PH_2522,9.09,True
S02001599,PH_2522,9.72,True
S02001600,MS_14,6.34,True
S02001601,MS_14,5.98,True
S02001602,MS_14,5.79,True
S02001603,MS_14,4.96,True
S02001604,MS_14,3.66,True
S02001605,MS_14,2.87,True
S02001606,MS_14,4.58,True
S02001607,MS_14,3.71,True
S02001608,MS_14,1.95,True
S02001609,MS_14,5.56,True
S02001610,MS_14,4.3,True
S02001611,MS_14,6.31,True
S02001612,MS_14,6.74,True
S02001613,MS_14,7.56,True
S02001614,PH_2522,6.57,True
S02001615,PH_2522,5.32,True
S02001616,PH_2522,3.71,True
S02001617,PH_2522,4.17,True
S02001618,PH_2522,2.84,True
S02001619,PH_2522,3.42,True
S02001620,PH_2522,5.03,True
S02001621,MS_14,7.19,True
S02001622,PH_2522,6.93,True
S02001623,GP_70785,7.68,True
S02001624,GP_70785,4.63,True
S02001625,GP_70785,3.47,True
S02001626,GP_70785,2.83,True
S02001627,MS_14,4.03,True
S02001628,MS_14,5.76,True
S02001629,GP_70785,5.44,True
S02001630,GP_70785,6.98,True
S02001631,GP_70785,6.94,True
S02001632,GP_70785,2.95,True
S02001633,GP_70785,4.21,True
S02001634,GP_70785,2.73,True
S02001635,GP_70785,2.29,True
S02001636,GP_70785,0.63,True
S02001637,GP_70785,2.3,True
S02001638,GP_70785,3.82,True
S02001639,GP_70785,5.39,True
S02001640,GP_70662,11.31,True
S02001641,GP_70785,9.44,True
S02001642,GP_70785,7.72,True
S02001643,GP_70785,7.0,True
S02001644,GP_70785,6.0,True
S02001645,GP_70785,5.61,True
S02001646,GP_70785,6.65,True
S02001647,GP_70785,5.75,True
S02001648,GP_70785,7.0,True
S02001649,GP_70662,8.56,True
S02001650,GP_70662,9.49,True
S02001651,GP_70662,6.68,True
S02001652,GP_70662,6.11,True
S02001653,GP_70785,9.16,True
S02001654,GP_70785,8.23,True
S02001655,GP_70785,7.86,True
S02001656,PH_2522,7.8,True
S02001657,GP_70785,8.64,True
S02001658,GP_70662,7.2,True
S02001659,GP_70662,6.37,True
S02001660,PH_2522,4.89,True
S02001661,PH_2522,4.5,True
S02001662,PH_2522,5.88,True
S02001663,GP_70662,5.27,True
S02001664,GP_70662,4.46,True
S02001665,GP_70662,2.64,True
S02001666,GP_70662,1.37,True
S02001667,GP_70662,5.04,True
S02001668,GP_70662,4.47,True
S02001669,GP_70662,3.71,True
S02001670,GP_70662,1.53,True
S02001671,GP_70662,1.42,True
S02001672,GP_70662,4.03,True
S02001673,GP_70662,9.32,True
S02001674,GP_70662,9.54,True
S02001675,GP_70662,8.7,True
S02001676,GP_70662,13.74,True
S02001677,PH_2368,9.88,True
S02001678,GP_70662,9.68,True
S02001679,PH_2368,7.95,True
S02001680,PH_2368,6.56,True
S02001681,PH_2368,6.35,True
S02001682,PH_2368,5.54,True
S02001683,PH_2368,15.77,True
S02001684,,,False
S02001685,,,False
S02001686,,,False
