site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,DispCode,DispLocationName,DispLocationAddress1,DispLocationAddress2,DispLocationAddress3,DispLocationAddress4,DispLocationPostcode,DispLocationTelNo,hb2019,hscp2019,datazone2011,datazone2001,DataZone,IntZone,pc_easting,pc_northing
PH_2023,BOOTS UK LTD,pharmacy,327340.39,671045.15,S02001609,326619.0,671290.0,confirmed,OSM_exact_building,2023,BOOTS UK LTD,14 CAMERON TOLL SHOPPING CENTRE,6 LADY ROAD,EDINBURGH,NA,EH165PB,0131 6661111,S08000024,S37000012,S01008587,S01001908,S01008587,S02001609,327356.0,671011.0
PH_2026,BOOTS UK LTD,pharmacy,322987.35,672291.63,S02001590,322932.0,672304.0,confirmed,OSM_exact_building,2026,BOOTS UK LTD,230-232 GORGIE ROAD,EDINBURGH,NA,NA,EH112PN,0131 3371818,S08000024,S37000012,S01008495,S01002036,S01008495,S02001590,323009.0,672309.0
PH_2027,BOOTS UK LTD,pharmacy,326948.19,675943.14,S02001643,326919.0,676120.0,confirmed,OSM_exact_building,2027,BOOTS UK LTD,42 NEW KIRKGATE,LEITH,EDINBURGH,NA,EH6 6AA,0131 5545201,S08000024,S37000012,S01008785,S01002285,S01008785,S02001643,326953.0,675960.0
PH_2028,BOOTS UK LTD,pharmacy,330553.48,673861.79,S02001632,330507.0,673831.0,confirmed,OSM_exact_building,2028,BOOTS UK LTD,174 PORTOBELLO HIGH STREET,EDINBURGH,NA,NA,EH151EX,0131 6691883,S08000024,S37000012,S01008729,S01002127,S01008729,S02001632,330578.0,673851.0
PH_2029,BOOTS UK LTD,pharmacy,325132.84,673817.7,S02001622,325891.0,673440.0,confirmed,OSM_exact_building,2029,BOOTS UK LTD,101-103 PRINCES STREET,EDINBURGH,NA,NA,EH2 3AA,0131 2258331,S08000024,S37000012,S01008677,S01002128,S01008677,S02001622,325102.0,673827.0
PH_2030,BOOTS UK LTD,pharmacy,324186.95,673336.71,S02001660,324025.0,673464.0,confirmed,OSM_exact_building,2030,BOOTS UK LTD,46-48 SHANDWICK PLACE,EDINBURGH,NA,NA,EH2 4SA,0131 2256757,S08000024,S37000012,S01008868,S01002128,S01008868,S02001660,324526.0,673620.0
PH_2031,BOOTS UK LTD,pharmacy,325842.4,674211.46,S02001622,325891.0,673440.0,confirmed,OSM_exact_building,2031,BOOTS UK LTD,121/127 ST JAMES CRESCENT,EDINBURGH,NA,NA,EH1 3AD,0131 537 2632,S08000024,S37000012,S01008676,S01002161,S01008676,S02001622,325892.0,674172.0
PH_2032,BOOTS UK LTD,pharmacy,320103.76,672896.24,S02001679,319696.0,672825.0,confirmed,OSM_exact_building,2032,BOOTS UK LTD,129 ST JOHN'S ROAD,CORSTORPHINE,EDINBURGH,NA,EH127SB,0131 3344520,S08000024,S37000012,S01008975,S01002067,S01008975,S02001679,320124.0,672890.0
PH_2033,BOOTS UK LTD,pharmacy,324875.42,672985.72,S02001620,324934.0,673093.0,confirmed,OSM_exact_building,2033,BOOTS UK LTD,16-20 EARL GREY STREET,EDINBURGH,NA,NA,EH3 9BN,0131 2295700,S08000024,S37000012,S01008663,S01002076,S01008663,S02001620,324847.0,673026.0
PH_2105,AL-SHAFAH LTD,pharmacy,326095.0,673132.0,S02001623,326328.0,673326.0,confirmed,Postcode_centroid,2105,AL-SHAFAH LTD,79 NICHOLSON STREET,EDINBURGH,NA,NA,EH8 9BZ,0131 667 4032,S08000024,S37000012,S01008680,S01002086,S01008680,S02001623,326095.0,673132.0
PH_2186,COLINTON PHARMACY LTD,pharmacy,321474.63,668966.1,S02001580,321320.0,668240.0,confirmed,OSM_exact_building,2186,COLINTON PHARMACY LTD,46A BRIDGE ROAD,COLINTON,EDINBURGH,NA,EH130LQ,0131 4412352,S08000024,S37000012,S01008442,S01001833,S01008442,S02001580,321512.0,668960.0
PH_2225,THE RED BAND CHEMICAL COMPANY LTD,pharmacy,318012.0,667716.0,S02001578,318655.0,668420.0,confirmed,Postcode_centroid,2225,THE RED BAND CHEMICAL COMPANY LTD,2 PENTLAND VIEW COURT,CURRIE,NA,NA,EH145NP,0131 4492707,S08000024,S37000012,S01008430,S01001806,S01008430,S02001578,318012.0,667716.0
PH_2229,THE RED BAND CHEMICAL COMPANY LTD,pharmacy,322829.0,676394.0,S02001667,323680.0,676408.0,confirmed,Postcode_centroid,2229,THE RED BAND CHEMICAL COMPANY LTD,228-230 CREWE ROAD NORTH,EDINBURGH,NA,NA,EH5 2NS,0131 5524253,S08000024,S37000012,S01008909,S01002293,S01008909,S02001667,322829.0,676394.0
PH_2231,THE RED BAND CHEMICAL COMPANY LTD,pharmacy,326204.0,674570.0,S02001647,326643.0,674597.0,confirmed,Postcode_centroid,2231,THE RED BAND CHEMICAL COMPANY LTD,11 ELM ROW,EDINBURGH,NA,NA,EH7 4AA,0131 5564316,S08000024,S37000012,S01008811,S01002190,S01008811,S02001647,326204.0,674570.0
PH_2232,THE RED BAND CHEMICAL COMPANY LTD,pharmacy,326740.0,675418.0,S02001644,327040.0,675405.0,confirmed,Postcode_centroid,2232,THE RED BAND CHEMICAL COMPANY LTD,257A LEITH WALK,EDINBURGH,NA,NA,EH6 8NY,0131 554 6591,S08000024,S37000012,S01008797,S01002246,S01008797,S02001644,326740.0,675418.0
PH_2243,A H TOD LTD,pharmacy,323003.0,669173.0,S02001596,323246.0,669270.0,confirmed,Postcode_centroid,2243,A H TOD LTD,84 COLINTON MAINS DRIVE,EDINBURGH,NA,NA,EH139BJ,0131 4413388,S08000024,S37000012,S01008527,S01001850,S01008527,S02001596,323003.0,669173.0
PH_2247,CHARIS UK CO LTD,pharmacy,325894.0,673187.0,S02001621,326258.0,672722.0,confirmed,Postcode_centroid,2247,CHARIS UK CO LTD,6 BRISTO SQUARE,EDINBURGH,NA,NA,EH8 9AL,0131 667 8247,S08000024,S37000012,S01008673,S01002066,S01008673,S02001621,325894.0,673187.0
PH_2254,RIGHT MEDICINE PHARMACY LTD,pharmacy,325548.12,671973.81,S02001612,326243.0,671775.0,confirmed,OSM_exact_building,2254,RIGHT MEDICINE PHARMACY LTD,2 BEAUFORT ROAD,EDINBURGH,NA,NA,EH9 1AG,0131 4479610,S08000024,S37000012,S01008610,S01001975,S01008610,S02001612,325547.0,671981.0
