site_id,site_name,site_type,easting,northing,iz_code,iz_easting,iz_northing,suitability,coord_source,capacity,parking,fee,access,operator,surface,park_and_ride
MS_1,Cadogan Square,mobile_stop,258273.09,665316.1,S02001934,258498.0,665124.0,provisional,OSM_overpass_parking,,multi-storey,,yes,,,
MS_2,Jordanhill Station,mobile_stop,254694.04,667954.95,S02001958,254437.0,668184.0,provisional,OSM_overpass_parking,,,,,,,
MS_3,SEC Car Park 6,mobile_stop,256507.14,665615.4,S02001936,256903.0,666035.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_4,SEC Car Park 5,mobile_stop,256629.8,665581.38,S02001936,256903.0,666035.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_5,Jamaica Street,mobile_stop,258853.28,664997.97,S02001934,258498.0,665124.0,provisional,OSM_overpass_parking,493.0,multi-storey,yes,yes,Q-Park,,
MS_6,Glasgow Science Centre,mobile_stop,256520.69,665008.74,S02001860,256186.0,664538.0,provisional,OSM_overpass_parking,,surface,£3/day,,,,
MS_7,King Street,mobile_stop,259353.31,664778.48,S02001932,259625.0,665336.0,provisional,OSM_overpass_parking,,surface,yes,yes,National Car Parks,,
MS_8,Blackfriars Car Park,mobile_stop,259975.35,665013.45,S02001891,260218.0,664691.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_9,Cambridge Street,mobile_stop,258748.93,666031.54,S02001933,258607.0,666169.0,provisional,OSM_overpass_parking,,multi-storey,yes,yes,,,
MS_10,Concert Square,mobile_stop,259110.7,665902.73,S02001933,258607.0,666169.0,provisional,OSM_overpass_parking,,multi-storey,yes,yes,,,
MS_11,Public Car Park,mobile_stop,255309.53,667915.93,S02001956,255678.0,667378.0,provisional,OSM_overpass_parking,103.0,surface,,,NHS Greater Glasgow and Clyde,,
MS_12,Public Car Park,mobile_stop,256566.32,666919.48,S02001952,256853.0,667062.0,provisional,OSM_overpass_parking,47.0,surface,yes,yes,,,
MS_13,Duke Street Car Park,mobile_stop,260103.46,665189.6,S02001932,259625.0,665336.0,provisional,OSM_overpass_parking,1170.0,multi-storey,yes,yes,City Parking (Glasgow) LLP,,
MS_14,Oswald Street Car Park,mobile_stop,258678.76,664974.61,S02001934,258498.0,665124.0,provisional,OSM_overpass_parking,,multi-storey,yes,yes,National Car Parks,,
MS_15,Buchanan Galleries,mobile_stop,259283.24,665712.05,S02001932,259625.0,665336.0,provisional,OSM_overpass_parking,,multi-storey,yes,yes,,,
MS_16,Cathedral Precinct Car Park 4,mobile_stop,260048.82,665451.06,S02001932,259625.0,665336.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_17,Cathedral Precinct Car Park 3,mobile_stop,260057.61,665537.81,S02001932,259625.0,665336.0,provisional,OSM_overpass_parking,,,yes,,,,
MS_18,Barrachnie Park,mobile_stop,266473.28,663694.99,S02001899,266165.0,663384.0,provisional,OSM_overpass_parking,,,,,,,
MS_19,Elmbank Crescent Car Park,mobile_stop,258105.41,665833.9,S02001935,257721.0,665622.0,provisional,OSM_overpass_parking,460.0,multi-storey,,,,,
MS_20,Cathedral Precinct Car Park 1,mobile_stop,260053.5,665687.5,S02001932,259625.0,665336.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_21,Cathedral Precinct Car Park 2,mobile_stop,260047.81,665617.33,S02001932,259625.0,665336.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_22,NCP Glasgow Mitchell Street,mobile_stop,258893.42,665267.78,S02001934,258498.0,665124.0,provisional,OSM_overpass_parking,184.0,multi-storey,yes,yes,National Car Parks,,
MS_23,St Enoch,mobile_stop,259053.66,664824.88,S02001934,258498.0,665124.0,provisional,OSM_overpass_parking,360.0,multi-storey,yes,yes,Q-Park,,
MS_24,Public Car Park,mobile_stop,262186.17,665473.03,S02001929,262140.0,665353.0,provisional,OSM_overpass_parking,39.0,surface,,,,,
MS_25,Sauchiehall Street,mobile_stop,258683.17,665799.95,S02001933,258607.0,666169.0,provisional,OSM_overpass_parking,372.0,multi-storey,yes,yes,Q-Park,,
MS_26,Waterloo Street,mobile_stop,258396.22,665335.41,S02001934,258498.0,665124.0,provisional,OSM_overpass_parking,660.0,multi-storey,yes,yes,Q-Park,,
MS_27,Cathkin Braes,mobile_stop,260941.69,657876.21,S02001881,260107.0,658777.0,provisional,OSM_overpass_parking,24.0,surface,no,yes,,,
MS_28,Adelphi Centre,mobile_stop,259552.81,664228.06,S02001889,259444.0,663629.0,provisional,OSM_overpass_parking,,surface,,,,,
MS_29,Glasgow Club Gorbals,mobile_stop,259419.92,664226.82,S02001889,259444.0,663629.0,provisional,OSM_overpass_parking,,surface,no,,,,
MS_30,SEC Car Park 7,mobile_stop,256574.51,665463.57,S02001859,255962.0,665326.0,provisional,OSM_overpass_parking,,surface,yes,,,,
MS_31,SEC Car Park 8,mobile_stop,256475.2,665530.08,S02001859,255962.0,665326.0,provisional,OSM_overpass_parking,,surface,yes,,,asphalt,
MS_32,SEC Car Park 1,mobile_stop,257038.97,665237.83,S02001861,257070.0,664692.0,provisional,OSM_overpass_parking,163.0,surface,yes,,,,
MS_33,Shields Road Subway Parking,mobile_stop,257863.75,664246.97,S02001890,258527.0,664341.0,provisional,OSM_overpass_parking,,surface,yes,yes,,,
MS_34,Public Car Park,mobile_stop,260567.42,668404.6,S02001923,260483.0,668477.0,provisional,OSM_overpass_parking,24.0,surface,no,,Parkgate Supermarket,,
MS_35,Staff Parking,mobile_stop,261309.89,668631.47,S02001922,260869.0,668021.0,provisional,OSM_overpass_parking,,surface,,official,,,
MS_36,Staff Without Permit Parking,mobile_stop,261208.82,669120.79,S02001919,262136.0,669048.0,provisional,OSM_overpass_parking,,surface,,,,,
MS_37,Concierge Private Parking,mobile_stop,260561.41,668529.25,S02001923,260483.0,668477.0,provisional,OSM_overpass_parking,8.0,surface,,,Glasgow City Council,,
MS_38,Overflow Car Park,mobile_stop,256023.7,665913.72,S02001859,255962.0,665326.0,provisional,OSM_overpass_parking,,,yes,yes,,,
MS_39,Riverside Car Park,mobile_stop,254757.9,661876.15,S02001858,254520.0,663047.0,provisional,OSM_overpass_parking,,,,,,,
MS_40,Disabled Parking,mobile_stop,256376.21,666176.36,S02001936,256903.0,666035.0,provisional,OSM_overpass_parking,,surface,no,designated,NHS Glasgow and Clyde,asphalt,
MS_41,Patient Car Park,mobile_stop,256166.58,666142.55,S02001953,255880.0,666698.0,provisional,OSM_overpass_parking,,surface,,,,,
MS_42,World Buffet,mobile_stop,252925.28,659585.2,S02001843,253271.0,659676.0,provisional,OSM_overpass_parking,,surface,,,,,
MS_43,Public Car Park,mobile_stop,252751.15,668819.4,S02001968,252662.0,669052.0,provisional,OSM_overpass_parking,30.0,surface,no,yes,,,
MS_44,Car Park 3,mobile_stop,253447.86,665483.63,S02001855,253938.0,665268.0,provisional,OSM_overpass_parking,,,,,,,
MS_45,SEC & Hydro Car Park,mobile_stop,257247.72,665330.01,S02001935,257721.0,665622.0,provisional,OSM_overpass_parking,,multi-storey,yes,,SEC,,
MS_46,Car Park 4,mobile_stop,253724.01,665989.71,S02001855,253938.0,665268.0,provisional,OSM_overpass_parking,,,,,,,
MS_47,Cathkin Braes (North),mobile_stop,260803.44,658690.02,S02001881,260107.0,658777.0,provisional,OSM_overpass_parking,,,,,,,
MS_48,Drop off & Pickup,mobile_stop,259228.37,665908.91,S02001933,258607.0,666169.0,provisional,OSM_overpass_parking,,street_side,no,,,,
MS_49,Public Car Park,mobile_stop,261659.78,663217.79,S02001893,261070.0,663681.0,provisional,OSM_overpass_parking,21.0,surface,,,,asphalt,
MS_50,Station car park,mobile_stop,252360.4,670528.17,S02001973,252362.0,670219.0,provisional,OSM_overpass_parking,,,,,,,
MS_51,Public Car Park,mobile_stop,257931.51,664656.23,S02001890,258527.0,664341.0,provisional,OSM_overpass_parking,29.0,surface,5 GBP,yes,,asphalt,
MS_52,Public Car Park,mobile_stop,261657.31,663865.69,S02001893,261070.0,663681.0,provisional,OSM_overpass_parking,64.0,,,,,paved,
MS_53,Public Car Park,mobile_stop,262820.13,663801.88,S02001895,263065.0,663873.0,provisional,OSM_overpass_parking,33.0,surface,,,,asphalt,
MS_54,Public Car Park,mobile_stop,256483.03,667020.97,S02001952,256853.0,667062.0,provisional,OSM_overpass_parking,39.0,street_side,,,,,
MS_55,Public Car Park,mobile_stop,257367.46,667829.3,S02001941,257256.0,668176.0,provisional,OSM_overpass_parking,32.0,surface,,,,,
MS_56,Public Car Park,mobile_stop,257174.86,668095.78,S02001941,257256.0,668176.0,provisional,OSM_overpass_parking,20.0,surface,,,,,
MS_57,Public Car Park,mobile_stop,259518.95,665782.55,S02001932,259625.0,665336.0,provisional,OSM_overpass_parking,32.0,street_side,,,,,
MS_58,Public Car Park,mobile_stop,256459.01,665948.55,S02001936,256903.0,666035.0,provisional,OSM_overpass_parking,22.0,,,,,,
MS_59,Public Car Park,mobile_stop,258033.56,665021.56,S02001934,258498.0,665124.0,provisional,OSM_overpass_parking,26.0,surface,yes,yes,Glasgow City Council,asphalt,
MS_60,Public Car Park,mobile_stop,257113.12,664785.82,S02001861,257070.0,664692.0,provisional,OSM_overpass_parking,52.0,surface,,,,,
MS_61,Templeton on the Green Car Park,mobile_stop,260276.16,664266.9,S02001891,260218.0,664691.0,provisional,OSM_overpass_parking,,surface,,,,,
MS_62,Shields Road Subway Parking,mobile_stop,257732.74,664233.55,S02001890,258527.0,664341.0,provisional,OSM_overpass_parking,,multi-storey,,,,,
MS_63,Car Park 1,mobile_stop,253414.39,665822.06,S02001855,253938.0,665268.0,provisional,OSM_overpass_parking,,multi-storey,no,,NHS Greater Glasgow & Clyde,,
