update_id,alpha_geo,alpha_transport,alpha_mobility,selected_epoch,forecast_start,forecast_end
U01,0.2996716499328613,0.330174058675766,0.3701542317867279,21,2022-05-27,2022-06-23
U02,0.2935951352119446,0.3207758665084839,0.3856290280818939,21,2022-06-24,2022-07-21
U03,0.3425042033195495,0.3463299870491028,0.3111658096313476,3,2022-07-22,2022-08-18
U04,0.2950815260410309,0.3255835771560669,0.3793348670005798,20,2022-08-19,2022-09-15
U05,0.2879724204540252,0.3186031281948089,0.3934244811534881,21,2022-09-16,2022-10-13
U06,0.2566455006599426,0.3187886476516723,0.4245659112930298,34,2022-10-14,2022-11-10
U07,0.3271726667881012,0.3506481647491455,0.3221791982650757,6,2022-11-11,2022-12-08
U08,0.2266021072864532,0.278589516878128,0.4948084354400635,49,2022-12-09,2023-01-05
U09,0.3257398903369903,0.3468630313873291,0.3273969888687134,9,2023-01-06,2023-02-02
U10,0.2874030172824859,0.3037949800491333,0.4088019430637359,25,2023-02-03,2023-02-18
