update_id,alpha_geo,alpha_transport,alpha_mobility,selected_epoch,forecast_start,forecast_end
U01,0.2997,0.3302,0.3702,21,2022-05-27,2022-06-23
U02,0.2936,0.3208,0.3856,21,2022-06-24,2022-07-21
U03,0.3425,0.3463,0.3112,3,2022-07-22,2022-08-18
U04,0.2951,0.3256,0.3793,20,2022-08-19,2022-09-15
U05,0.288,0.3186,0.3934,21,2022-09-16,2022-10-13
U06,0.2566,0.3188,0.4246,34,2022-10-14,2022-11-10
U07,0.3272,0.3506,0.3222,6,2022-11-11,2022-12-08
U08,0.2266,0.2786,0.4948,49,2022-12-09,2023-01-05
U09,0.3257,0.3469,0.3274,9,2023-01-06,2023-02-02
U10,0.2874,0.3038,0.4088,25,2023-02-03,2023-02-18
