update_id,alpha_geo,alpha_transport,alpha_mobility,selected_epoch,forecast_start,forecast_end
U01,0.3204191327095032,0.30906033515930176,0.37052053213119507,28,2022-05-31,2022-06-27
U02,0.3260471820831299,0.3220762610435486,0.3518766462802887,19,2022-06-28,2022-07-25
U03,0.32286372780799866,0.32047027349472046,0.35666602849960327,22,2022-07-26,2022-08-22
U04,0.3205185830593109,0.31964436173439026,0.35983705520629883,21,2022-08-23,2022-09-19
U05,0.30184614658355713,0.3016035556793213,0.39655032753944397,32,2022-09-20,2022-10-17
U06,0.2941341698169708,0.29315346479415894,0.4127123951911926,35,2022-10-18,2022-11-14
U07,0.32558473944664,0.327077716588974,0.3473375737667084,14,2022-11-15,2022-12-12
U08,0.29522204399108887,0.30701014399528503,0.3977678418159485,23,2022-12-13,2023-01-09
U09,0.31301993131637573,0.32058313488960266,0.3663969337940216,16,2023-01-10,2023-02-06
U10,0.3181084990501404,0.32340142130851746,0.35849013924598694,15,2023-02-07,2023-02-18
