update_id,alpha_geo,alpha_transport,alpha_mobility,selected_epoch,forecast_start,forecast_end
U01,0.3204,0.3091,0.3705,28,2022-05-31,2022-06-27
U02,0.326,0.3221,0.3519,19,2022-06-28,2022-07-25
U03,0.3229,0.3205,0.3567,22,2022-07-26,2022-08-22
U04,0.3205,0.3196,0.3598,21,2022-08-23,2022-09-19
U05,0.3018,0.3016,0.3966,32,2022-09-20,2022-10-17
U06,0.2941,0.2932,0.4127,35,2022-10-18,2022-11-14
U07,0.3256,0.3271,0.3473,14,2022-11-15,2022-12-12
U08,0.2952,0.307,0.3978,23,2022-12-13,2023-01-09
U09,0.313,0.3206,0.3664,16,2023-01-10,2023-02-06
U10,0.3181,0.3234,0.3585,15,2023-02-07,2023-02-18
