forecast_origin_date,target_date,exclusion_reason,fully_missing_input_dates,partially_missing_input_dates,n_absent_input_rows,n_missing_input_rate_values,target_date_fully_missing,target_date_partial_coverage,n_absent_target_rows,n_missing_target_rate_values,n_affected_iz,affected_iz_sample
2020-06-23,2020-06-30,fully_missing_target_date|absent_target_rows,,,0,0,True,False,111,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-06-30,2020-07-07,fully_missing_input_dates|absent_input_rows,2020-06-30,,111,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-01,2020-07-08,fully_missing_input_dates|absent_input_rows,2020-06-30,,111,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-02,2020-07-09,fully_missing_input_dates|absent_input_rows,2020-06-30,,111,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-03,2020-07-10,fully_missing_input_dates|absent_input_rows,2020-06-30,,111,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-04,2020-07-11,fully_missing_input_dates|absent_input_rows,2020-06-30,,111,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-05,2020-07-12,fully_missing_input_dates|absent_input_rows,2020-06-30,,111,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-06,2020-07-13,fully_missing_input_dates|absent_input_rows,2020-06-30,,111,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-18,2020-07-25,fully_missing_target_date|absent_target_rows,,,0,0,True,False,111,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-19,2020-07-26,fully_missing_target_date|absent_target_rows,,,0,0,True,False,111,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-25,2020-08-01,fully_missing_input_dates|absent_input_rows,2020-07-25,,111,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-26,2020-08-02,fully_missing_input_dates|absent_input_rows,2020-07-25|2020-07-26,,222,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-27,2020-08-03,fully_missing_input_dates|absent_input_rows,2020-07-25|2020-07-26,,222,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-28,2020-08-04,fully_missing_input_dates|absent_input_rows,2020-07-25|2020-07-26,,222,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-29,2020-08-05,fully_missing_input_dates|absent_input_rows,2020-07-25|2020-07-26,,222,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-30,2020-08-06,fully_missing_input_dates|absent_input_rows,2020-07-25|2020-07-26,,222,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-07-31,2020-08-07,fully_missing_input_dates|absent_input_rows,2020-07-25|2020-07-26,,222,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
2020-08-01,2020-08-08,fully_missing_input_dates|absent_input_rows,2020-07-26,,111,0,False,False,0,0,111,S02001576|S02001577|S02001578|S02001579|S02001580|S02001581|S02001582|S02001583|S02001584|S02001585
