IntZone,node_index
S02001576,0
S02001577,1
S02001578,2
S02001579,3
S02001580,4
S02001581,5
S02001582,6
S02001583,7
S02001584,8
S02001585,9
S02001586,10
S02001587,11
S02001588,12
S02001589,13
S02001590,14
S02001591,15
S02001592,16
S02001593,17
S02001594,18
S02001595,19
S02001596,20
S02001597,21
S02001598,22
S02001599,23
S02001600,24
S02001601,25
S02001602,26
S02001603,27
S02001604,28
S02001605,29
S02001606,30
S02001607,31
S02001608,32
S02001609,33
S02001610,34
S02001611,35
S02001612,36
S02001613,37
S02001614,38
S02001615,39
S02001616,40
S02001617,41
S02001618,42
S02001619,43
S02001620,44
S02001621,45
S02001622,46
S02001623,47
S02001624,48
S02001625,49
S02001626,50
S02001627,51
S02001628,52
S02001629,53
S02001630,54
S02001631,55
S02001632,56
S02001633,57
S02001634,58
S02001635,59
S02001636,60
S02001637,61
S02001638,62
S02001639,63
S02001640,64
S02001641,65
S02001642,66
S02001643,67
S02001644,68
S02001645,69
S02001646,70
S02001647,71
S02001648,72
S02001649,73
S02001650,74
S02001651,75
S02001652,76
S02001653,77
S02001654,78
S02001655,79
S02001656,80
S02001657,81
S02001658,82
S02001659,83
S02001660,84
S02001661,85
S02001662,86
S02001663,87
S02001664,88
S02001665,89
S02001666,90
S02001667,91
S02001668,92
S02001669,93
S02001670,94
S02001671,95
S02001672,96
S02001673,97
S02001674,98
S02001675,99
S02001676,100
S02001677,101
S02001678,102
S02001679,103
S02001680,104
S02001681,105
S02001682,106
S02001683,107
S02001684,108
S02001685,109
S02001686,110
