IntZone,node_index,train_mean,train_std,effective_scale,n_unique_training_input_observations,first_training_input_date,last_training_input_date,epsilon,ddof,fitting_policy,scaling_mode,zero_or_near_zero_variance
S02001576,0,230.04954439598947,358.8327426873079,358.8327426873079,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001577,1,219.6015417055881,335.7516973096014,335.7516973096014,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001578,2,244.81480423386108,402.91051598464173,402.91051598464173,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001579,3,249.57952929019623,373.9665508423728,373.9665508423728,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001580,4,262.54667513492365,439.79198356533095,439.79198356533095,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001581,5,251.11313753417446,378.16933861594754,378.16933861594754,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001582,6,313.18260690556144,444.83237803581756,444.83237803581756,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001583,7,263.609356414361,408.8835669082993,408.8835669082993,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001584,8,278.38225900670807,395.8191626974682,395.8191626974682,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001585,9,293.6373484132463,502.96303757520656,502.96303757520656,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001586,10,344.00989749593276,502.04831619748165,502.04831619748165,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001587,11,264.9189523311216,411.0874941074488,411.0874941074488,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001588,12,278.6057824808869,445.4898374195175,445.4898374195175,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001589,13,238.59477833873788,390.9441094107274,390.9441094107274,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001590,14,219.28109912507662,367.32425182959344,367.32425182959344,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001591,15,207.71094754919218,326.05302102625234,326.05302102625234,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001592,16,229.43274050364008,360.5504913833767,360.5504913833767,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001593,17,241.16844197602543,363.56745462121387,363.56745462121387,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001594,18,213.92736920728726,338.39918224297554,338.39918224297554,709,2020-03-08,2022-02-14,1e-08,0,resplit_train_lookback_cells,per_iz,False
