sample_id,input_start_date,input_end_date,forecast_origin_date,target_date,lookback_days,forecast_horizon_days,window_stride_days,config_id,split
0,2020-03-08,2020-03-14,2020-03-14,2020-03-21,7,7,1,L7_H7_S1,train
1,2020-03-09,2020-03-15,2020-03-15,2020-03-22,7,7,1,L7_H7_S1,train
2,2020-03-10,2020-03-16,2020-03-16,2020-03-23,7,7,1,L7_H7_S1,train
3,2020-03-11,2020-03-17,2020-03-17,2020-03-24,7,7,1,L7_H7_S1,train
4,2020-03-12,2020-03-18,2020-03-18,2020-03-25,7,7,1,L7_H7_S1,train
5,2020-03-13,2020-03-19,2020-03-19,2020-03-26,7,7,1,L7_H7_S1,train
6,2020-03-14,2020-03-20,2020-03-20,2020-03-27,7,7,1,L7_H7_S1,train
7,2020-03-15,2020-03-21,2020-03-21,2020-03-28,7,7,1,L7_H7_S1,train
8,2020-03-16,2020-03-22,2020-03-22,2020-03-29,7,7,1,L7_H7_S1,train
9,2020-03-17,2020-03-23,2020-03-23,2020-03-30,7,7,1,L7_H7_S1,train
10,2020-03-18,2020-03-24,2020-03-24,2020-03-31,7,7,1,L7_H7_S1,train
11,2020-03-19,2020-03-25,2020-03-25,2020-04-01,7,7,1,L7_H7_S1,train
12,2020-03-20,2020-03-26,2020-03-26,2020-04-02,7,7,1,L7_H7_S1,train
13,2020-03-21,2020-03-27,2020-03-27,2020-04-03,7,7,1,L7_H7_S1,train
14,2020-03-22,2020-03-28,2020-03-28,2020-04-04,7,7,1,L7_H7_S1,train
15,2020-03-23,2020-03-29,2020-03-29,2020-04-05,7,7,1,L7_H7_S1,train
16,2020-03-24,2020-03-30,2020-03-30,2020-04-06,7,7,1,L7_H7_S1,train
17,2020-03-25,2020-03-31,2020-03-31,2020-04-07,7,7,1,L7_H7_S1,train
18,2020-03-26,2020-04-01,2020-04-01,2020-04-08,7,7,1,L7_H7_S1,train
19,2020-03-27,2020-04-02,2020-04-02,2020-04-09,7,7,1,L7_H7_S1,train
20,2020-03-28,2020-04-03,2020-04-03,2020-04-10,7,7,1,L7_H7_S1,train
21,2020-03-29,2020-04-04,2020-04-04,2020-04-11,7,7,1,L7_H7_S1,train
22,2020-03-30,2020-04-05,2020-04-05,2020-04-12,7,7,1,L7_H7_S1,train
23,2020-03-31,2020-04-06,2020-04-06,2020-04-13,7,7,1,L7_H7_S1,train
24,2020-04-01,2020-04-07,2020-04-07,2020-04-14,7,7,1,L7_H7_S1,train
25,2020-04-02,2020-04-08,2020-04-08,2020-04-15,7,7,1,L7_H7_S1,train
26,2020-04-03,2020-04-09,2020-04-09,2020-04-16,7,7,1,L7_H7_S1,train
27,2020-04-04,2020-04-10,2020-04-10,2020-04-17,7,7,1,L7_H7_S1,train
28,2020-04-05,2020-04-11,2020-04-11,2020-04-18,7,7,1,L7_H7_S1,train
29,2020-04-06,2020-04-12,2020-04-12,2020-04-19,7,7,1,L7_H7_S1,train
30,2020-04-07,2020-04-13,2020-04-13,2020-04-20,7,7,1,L7_H7_S1,train
31,2020-04-08,2020-04-14,2020-04-14,2020-04-21,7,7,1,L7_H7_S1,train
32,2020-04-09,2020-04-15,2020-04-15,2020-04-22,7,7,1,L7_H7_S1,train
33,2020-04-10,2020-04-16,2020-04-16,2020-04-23,7,7,1,L7_H7_S1,train
34,2020-04-11,2020-04-17,2020-04-17,2020-04-24,7,7,1,L7_H7_S1,train
35,2020-04-12,2020-04-18,2020-04-18,2020-04-25,7,7,1,L7_H7_S1,train
36,2020-04-13,2020-04-19,2020-04-19,2020-04-26,7,7,1,L7_H7_S1,train
37,2020-04-14,2020-04-20,2020-04-20,2020-04-27,7,7,1,L7_H7_S1,train
38,2020-04-15,2020-04-21,2020-04-21,2020-04-28,7,7,1,L7_H7_S1,train
39,2020-04-16,2020-04-22,2020-04-22,2020-04-29,7,7,1,L7_H7_S1,train
40,2020-04-17,2020-04-23,2020-04-23,2020-04-30,7,7,1,L7_H7_S1,train
41,2020-04-18,2020-04-24,2020-04-24,2020-05-01,7,7,1,L7_H7_S1,train
42,2020-04-19,2020-04-25,2020-04-25,2020-05-02,7,7,1,L7_H7_S1,train
43,2020-04-20,2020-04-26,2020-04-26,2020-05-03,7,7,1,L7_H7_S1,train
44,2020-04-21,2020-04-27,2020-04-27,2020-05-04,7,7,1,L7_H7_S1,train
45,2020-04-22,2020-04-28,2020-04-28,2020-05-05,7,7,1,L7_H7_S1,train
46,2020-04-23,2020-04-29,2020-04-29,2020-05-06,7,7,1,L7_H7_S1,train
47,2020-04-24,2020-04-30,2020-04-30,2020-05-07,7,7,1,L7_H7_S1,train
48,2020-04-25,2020-05-01,2020-05-01,2020-05-08,7,7,1,L7_H7_S1,train
49,2020-04-26,2020-05-02,2020-05-02,2020-05-09,7,7,1,L7_H7_S1,train
50,2020-04-27,2020-05-03,2020-05-03,2020-05-10,7,7,1,L7_H7_S1,train
51,2020-04-28,2020-05-04,2020-05-04,2020-05-11,7,7,1,L7_H7_S1,train
52,2020-04-29,2020-05-05,2020-05-05,2020-05-12,7,7,1,L7_H7_S1,train
53,2020-04-30,2020-05-06,2020-05-06,2020-05-13,7,7,1,L7_H7_S1,train
54,2020-05-01,2020-05-07,2020-05-07,2020-05-14,7,7,1,L7_H7_S1,train
55,2020-05-02,2020-05-08,2020-05-08,2020-05-15,7,7,1,L7_H7_S1,train
56,2020-05-03,2020-05-09,2020-05-09,2020-05-16,7,7,1,L7_H7_S1,train
57,2020-05-04,2020-05-10,2020-05-10,2020-05-17,7,7,1,L7_H7_S1,train
58,2020-05-05,2020-05-11,2020-05-11,2020-05-18,7,7,1,L7_H7_S1,train
59,2020-05-06,2020-05-12,2020-05-12,2020-05-19,7,7,1,L7_H7_S1,train
60,2020-05-07,2020-05-13,2020-05-13,2020-05-20,7,7,1,L7_H7_S1,train
61,2020-05-08,2020-05-14,2020-05-14,2020-05-21,7,7,1,L7_H7_S1,train
62,2020-05-09,2020-05-15,2020-05-15,2020-05-22,7,7,1,L7_H7_S1,train
63,2020-05-10,2020-05-16,2020-05-16,2020-05-23,7,7,1,L7_H7_S1,train
64,2020-05-11,2020-05-17,2020-05-17,2020-05-24,7,7,1,L7_H7_S1,train
65,2020-05-12,2020-05-18,2020-05-18,2020-05-25,7,7,1,L7_H7_S1,train
66,2020-05-13,2020-05-19,2020-05-19,2020-05-26,7,7,1,L7_H7_S1,train
67,2020-05-14,2020-05-20,2020-05-20,2020-05-27,7,7,1,L7_H7_S1,train
