IntZone,node_index,income_rate,employment_rate,university_rate,overcrowded_rate,crime_rate,pt_gp_min,static_scaling_mode
S02001576,0,0.0375578802949751,0.0391980849790544,0.1961109670725432,0.0291545189504373,0.0112905577931047,16.72442361432173,none
S02001577,1,0.0216832637327336,0.0162151067323481,0.0866102428525538,0.0293928686154834,0.0061830911065505,9.943207511873112,none
S02001578,2,0.0290997271900575,0.0359375,0.1759382179448317,0.0475901788420733,0.0193459205297553,9.015668467016974,none
S02001579,3,0.0263219194036804,0.0267314702308626,0.1588888695550896,0.0363382250174703,0.0172263448560387,11.014202940000931,none
S02001580,4,0.0188962851621215,0.0210864903502501,0.2810917015245866,0.0255529310715052,0.0147922364499288,7.667530139351299,none
S02001581,5,0.0258638965444138,0.0162748643761302,0.1061269228323086,0.0453678185287258,0.0107382940844939,9.308237786292135,none
S02001582,6,0.2398788212613605,0.1625881377021982,0.0579386359129716,0.2079316992564032,0.0468720769871755,6.464556398914625,none
S02001583,7,0.2293537787513691,0.173984813469792,0.0353804690032858,0.180065717415115,0.0443833806760637,10.730772637477989,none
S02001584,8,0.3162460567823343,0.2427450980392156,0.0404936464248159,0.1745531019978969,0.1083889643059885,9.498226550715826,none
S02001585,9,0.086439588688946,0.051622418879056,0.0424009929305912,0.127892030848329,0.0319019810620994,9.666837189575515,none
S02001586,10,0.1907965554359526,0.1137221989089383,0.0600673065123789,0.1867599569429494,0.0436189736891778,8.47956333269322,none
S02001587,11,0.1807938109653548,0.1352208933365877,0.0455751542213252,0.1661621257988563,0.0615054304875794,9.801249220558695,none
S02001588,12,0.1064773735581189,0.0758553905745642,0.0695993844276841,0.1009316770186335,0.0591021128247324,9.324067652983585,none
S02001589,13,0.0871694417238002,0.0616621983914209,0.0795389226248775,0.1666993143976493,0.0400854523240144,9.154404282374928,none
S02001590,14,0.1004616805170821,0.0889135254988913,0.0355614895660203,0.2336103416435826,0.0428418470988429,6.798811210476269,none
S02001591,15,0.0956027667984189,0.079966092116417,0.0393934928359683,0.2833498023715415,0.0250259551366392,4.462779196022974,none
S02001592,16,0.0263353115727002,0.0205462895818225,0.1123690995919881,0.1094213649851632,0.0159698268609325,6.029268534548776,none
S02001593,17,0.013126491646778,0.014018691588785,0.2515189025457438,0.0363961813842482,0.0215585562928865,7.584033527440135,none
S02001594,18,0.029825308904985,0.0304839723444374,0.1673925694503621,0.091819343843204,0.0148914562870152,5.903363871228164,none
S02001595,19,0.0123881624225739,0.0132398753894081,0.3243029119064005,0.0240880935994494,0.0113878142997537,9.992681796090157,none
S02001596,20,0.1452760736196319,0.1018796992481203,0.0868182083435583,0.131042944785276,0.0395276209975592,7.083201030701595,none
S02001597,21,0.1845461365341335,0.1440138808559861,0.0456192914478619,0.1417854463615904,0.0398988446034401,7.4552540228957245,none
S02001598,22,0.0141665049485736,0.0218597063621533,0.23742,0.0260042693576557,0.0198560289262656,8.504833864016689,none
S02001599,23,0.0132837407013815,0.0130023640661938,0.2102930850159405,0.0269217144881331,0.0096868021941819,9.494028164155685,none
S02001600,24,0.0547361520812848,0.0390037593984962,0.0887475742379547,0.0793182563094067,0.0146097113120192,11.888646757139629,none
S02001601,25,0.0404238618524332,0.0367372353673723,0.136064093799058,0.0769230769230769,0.0135128225705369,10.305196453650709,none
S02001602,26,0.2130117207406149,0.1490164376178927,0.0436736268048241,0.1792084253439782,0.0492156429224241,7.152090766630372,none
S02001603,27,0.1800575765506412,0.1386503067484662,0.0586650520806071,0.1758701910494635,0.035527031920119,7.493888228482858,none
S02001604,28,0.1654223051796547,0.1177121771217712,0.058416676154923,0.158656089594027,0.0479816343392498,8.24441534460406,none
S02001605,29,0.2253478523895946,0.1867647058823529,0.0592999119782214,0.160617059891107,0.0658820002254079,7.855970697411373,none
S02001606,30,0.0331064356435643,0.0310114503816793,0.2075881584158415,0.0513613861386138,0.0144184191029805,9.113025102048578,none
S02001607,31,0.0592206198220313,0.0324748040313549,0.2146800227063516,0.0368211107701749,0.0279762380343062,6.775741752596808,none
S02001608,32,0.1715598162572398,0.1190909090909091,0.0713896814459756,0.1667665268623926,0.0309560118996338,7.96745850494368,none
S02001609,33,0.037215411558669,0.0256468452110758,0.203710024372446,0.0583771161704611,0.0229163533142628,8.385954952022766,none
S02001610,34,0.1085866037179108,0.0812337098175499,0.0841960899970492,0.1702567128946591,0.0215224691068289,5.554032644776631,none
S02001611,35,0.0328836424957841,0.0240325865580448,0.0930055622259696,0.1581787521079258,0.0152043017014962,5.732768162325801,none
S02001612,36,0.0298609919340998,0.0236284627919608,0.1849156087180367,0.0873519821520508,0.0177331676198692,6.79002294511138,none
S02001613,37,0.0290165530671859,0.0190992690403206,0.1365322516066212,0.2356377799415774,0.013217993083425,4.634954111918987,none
S02001614,38,0.0150826446280991,0.0071029934043632,0.100451872107438,0.2636363636363636,0.0123464748983485,4.288564197295041,none
S02001615,39,0.0284025611558036,0.026355047240179,0.2265873033984567,0.0842226235429322,0.0179624809890929,5.31834043762617,none
S02001616,40,0.0300884955752212,0.0420899854862119,0.1396743575221239,0.0983284169124877,0.0280904903862916,5.120323417669617,none
S02001617,41,0.0380566801619433,0.0251132153149444,0.0805392663967611,0.1682591093117409,0.0149291676789854,4.36802968906753,none
S02001618,42,0.0533829919304779,0.0355456127268207,0.0375429695841092,0.2398096420442789,0.0167688916024193,4.960517604231947,none
S02001619,43,0.0983250223756552,0.0785385500575374,0.1220428910625239,0.257895409794144,0.0392474557180846,5.815694849577676,none
S02001620,44,0.0780587403800848,0.0590012440021325,0.0989541179519397,0.2698288047746191,0.0801912257925715,4.238305048210617,none
S02001621,45,0.0439765458422174,0.0300345397206787,0.19596521108742,0.255730277185501,0.0477905030692469,4.960508632576892,none
S02001622,46,0.0920245398773006,0.0832212508406187,0.0553765674846625,0.236963190184049,0.256370183356811,4.754066555732208,none
S02001623,47,0.1031026252983293,0.0767682190310025,0.0883673257756563,0.1835322195704057,0.0622578868645042,5.868522356489619,none
S02001624,48,0.1148950808393532,0.0850613626745662,0.0858831668386653,0.2122463020295837,0.0254395247564411,6.42667913439078,none
S02001625,49,0.0717896865520728,0.0588084232152028,0.0769823158746208,0.1749241658240647,0.0288857722172483,6.40124079526815,none
S02001626,50,0.0576663452266152,0.0409090909090909,0.1336845286403086,0.1083895853423336,0.0236411051756354,8.042109133027001,none
S02001627,51,0.2263941346367474,0.1402074819239233,0.0456861972894912,0.1524105754276827,0.0850773496925076,6.021826151879138,none
S02001628,52,0.3159274634039764,0.2235253535701966,0.0369264485470832,0.1896438715315709,0.0522350790228868,6.3114076716764265,none
S02001629,53,0.2789373814041745,0.2212148685403445,0.0382030222282461,0.1734887503388452,0.0439382234288384,6.48859720108322,none
S02001630,54,0.0762448132780083,0.0441736481340441,0.0698831122925311,0.0897302904564315,0.0302128699045858,10.351741978664938,none
S02001631,55,0.0455893254262416,0.040354631611128,0.1972998606375092,0.0544848035581912,0.0197128094352801,7.70881592107098,none
S02001632,56,0.1110575764875933,0.0811287477954144,0.1129114630209588,0.1799566369549506,0.0351431692618854,4.648923642782462,none
S02001633,57,0.0398230088495575,0.0373871938117748,0.1921642635201573,0.0511307767944936,0.0286383545604923,5.101758398616765,none
