source_node_index,target_node_index,source_iz_code,target_iz_code,weight,shared_boundary_length_m
0,1,S02001576,S02001577,1,7245.934993981281
0,4,S02001576,S02001580,1,5425.697048833548
0,107,S02001576,S02001683,1,1604.198125128428
0,108,S02001576,S02001684,1,5726.198898944768
1,2,S02001577,S02001578,1,5206.22369384557
1,3,S02001577,S02001579,1,554.2868688110655
1,4,S02001577,S02001580,1,455.1307924507576
1,7,S02001577,S02001583,1,1423.9599067003926
1,106,S02001577,S02001682,1,263.44722748998555
1,107,S02001577,S02001683,1,4096.444109819231
2,3,S02001578,S02001579,1,2511.935870267771
2,4,S02001578,S02001580,1,3445.102519843022
3,4,S02001579,S02001580,1,2125.5345200444453
3,6,S02001579,S02001582,1,1282.75619148537
3,7,S02001579,S02001583,1,201.47952749597167
3,8,S02001579,S02001584,1,715.6247956235933
4,5,S02001580,S02001581,1,5300.02769429585
4,6,S02001580,S02001582,1,522.0086617815779
4,22,S02001580,S02001598,1,1510.0660313971257
4,23,S02001580,S02001599,1,1329.3958897256216
5,6,S02001581,S02001582,1,928.345219097513
5,8,S02001581,S02001584,1,810.4267600097653
5,12,S02001581,S02001588,1,1260.963838248139
5,17,S02001581,S02001593,1,2752.372416877036
5,20,S02001581,S02001596,1,1420.9538451676283
5,21,S02001581,S02001597,1,363.9684174451702
5,22,S02001581,S02001598,1,624.6992031357809
6,8,S02001582,S02001584,1,293.40795792083827
7,8,S02001583,S02001584,1,1276.466500094721
7,9,S02001583,S02001585,1,688.6332918358981
7,10,S02001583,S02001586,1,861.4462434277085
7,106,S02001583,S02001682,1,704.0022123638889
8,9,S02001584,S02001585,1,1182.8005568318886
8,12,S02001584,S02001588,1,1263.889373213603
9,10,S02001585,S02001586,1,1557.4924164632537
9,12,S02001585,S02001588,1,502.07106002571936
10,11,S02001586,S02001587,1,857.3917156140324
10,12,S02001586,S02001588,1,193.95724308300424
10,105,S02001586,S02001681,1,1133.0132210649442
10,106,S02001586,S02001682,1,2317.6447029134797
11,12,S02001587,S02001588,1,1156.0881634738432
11,13,S02001587,S02001589,1,1745.6530255274768
11,14,S02001587,S02001590,1,1206.9329596148239
11,85,S02001587,S02001661,1,1102.1789521175074
11,104,S02001587,S02001680,1,527.614070060289
12,13,S02001588,S02001589,1,1448.5718025826495
12,17,S02001588,S02001593,1,307.4574363795164
13,14,S02001589,S02001590,1,950.2314117436924
13,16,S02001589,S02001592,1,254.27620701937983
13,17,S02001589,S02001593,1,1206.7268760490615
14,15,S02001590,S02001591,1,1261.7158389304627
14,16,S02001590,S02001592,1,817.0789365290128
14,85,S02001590,S02001661,1,1081.526487034031
15,16,S02001591,S02001592,1,853.7826609010223
15,42,S02001591,S02001618,1,1002.043711255612
15,43,S02001591,S02001619,1,905.0038922240727
15,84,S02001591,S02001660,1,630.0098604662252
15,85,S02001591,S02001661,1,168.2595474405773
16,17,S02001592,S02001593,1,981.578558150067
16,40,S02001592,S02001616,1,1198.9037608673646
16,42,S02001592,S02001618,1,797.0596892307507
17,18,S02001593,S02001594,1,1761.3669995319651
17,19,S02001593,S02001595,1,1077.819758819097
17,20,S02001593,S02001596,1,1178.753487427406
17,40,S02001593,S02001616,1,843.2641495663843
18,19,S02001594,S02001595,1,2108.0293562471534
18,39,S02001594,S02001615,1,706.4295456280133
18,40,S02001594,S02001616,1,1032.7359609330592
19,20,S02001595,S02001596,1,1127.7817941021156
19,22,S02001595,S02001598,1,658.7839950658998
19,31,S02001595,S02001607,1,3613.1129028275514
19,33,S02001595,S02001609,1,564.641002909966
19,39,S02001595,S02001615,1,1400.4968509048733
20,21,S02001596,S02001597,1,1972.8333108126862
20,22,S02001596,S02001598,1,344.7523377862077
21,22,S02001597,S02001598,1,2076.5445581051367
22,23,S02001598,S02001599,1,2828.771657677886
22,31,S02001598,S02001607,1,507.6494177418169
