IntZone,node_index,degree
S02001576,0,4
S02001577,1,7
S02001578,2,3
S02001579,3,6
S02001580,4,8
S02001581,5,8
S02001582,6,4
S02001583,7,6
S02001584,8,6
S02001585,9,4
S02001586,10,6
S02001587,11,6
S02001588,12,7
S02001589,13,5
S02001590,14,5
S02001591,15,6
S02001592,16,6
S02001593,17,8
S02001594,18,4
S02001595,19,7
S02001596,20,5
S02001597,21,3
S02001598,22,7
S02001599,23,4
S02001600,24,7
S02001601,25,3
S02001602,26,5
S02001603,27,5
S02001604,28,4
S02001605,29,4
S02001606,30,6
S02001607,31,9
S02001608,32,4
S02001609,33,8
S02001610,34,5
S02001611,35,5
S02001612,36,6
S02001613,37,3
S02001614,38,5
S02001615,39,6
S02001616,40,8
S02001617,41,5
S02001618,42,5
S02001619,43,5
S02001620,44,5
S02001621,45,9
S02001622,46,7
S02001623,47,7
S02001624,48,3
S02001625,49,7
S02001626,50,7
S02001627,51,11
S02001628,52,3
S02001629,53,6
S02001630,54,4
S02001631,55,4
S02001632,56,5
S02001633,57,6
S02001634,58,4
S02001635,59,5
S02001636,60,5
S02001637,61,4
S02001638,62,6
S02001639,63,4
S02001640,64,7
S02001641,65,5
S02001642,66,4
S02001643,67,5
S02001644,68,7
S02001645,69,6
S02001646,70,5
S02001647,71,8
S02001648,72,5
S02001649,73,7
S02001650,74,4
S02001651,75,4
S02001652,76,8
S02001653,77,6
S02001654,78,6
S02001655,79,6
S02001656,80,5
S02001657,81,4
S02001658,82,6
S02001659,83,4
S02001660,84,10
S02001661,85,7
S02001662,86,5
S02001663,87,8
S02001664,88,6
S02001665,89,5
S02001666,90,6
S02001667,91,6
S02001668,92,2
S02001669,93,5
S02001670,94,4
S02001671,95,4
S02001672,96,7
S02001673,97,3
S02001674,98,6
S02001675,99,7
S02001676,100,4
S02001677,101,6
S02001678,102,3
S02001679,103,9
S02001680,104,4
S02001681,105,4
S02001682,106,7
S02001683,107,7
S02001684,108,6
S02001685,109,2
S02001686,110,2
