source_node_index,target_node_index,source_iz_code,target_iz_code,percentage,weight,neighbour_rank
0,1,S02001576,S02001577,0.0005712065744218,0.0005712065744218,1
0,2,S02001576,S02001578,0.0004839105474215,0.0004839105474215,2
0,108,S02001576,S02001684,0.0004411426954818,0.0004411426954818,3
0,107,S02001576,S02001683,0.0003247068517502,0.0003247068517502,4
0,106,S02001576,S02001682,0.0002484396741189,0.0002484396741189,5
0,4,S02001576,S02001580,0.0002311486425796,0.0002311486425796,6
0,3,S02001576,S02001579,0.0002287529514153,0.0002287529514153,7
0,24,S02001576,S02001600,0.000126948058026,0.000126948058026,8
0,44,S02001576,S02001620,0.0001213370038019,0.0001213370038019,9
0,12,S02001576,S02001588,0.0001029456077549,0.0001029456077549,10
0,5,S02001576,S02001581,9.2738610375795e-05,9.2738610375795e-05,11
0,10,S02001576,S02001586,8.803851731976492e-05,8.803851731976492e-05,12
0,17,S02001576,S02001593,7.926571784763964e-05,7.926571784763964e-05,13
0,13,S02001576,S02001589,7.4128169779805e-05,7.4128169779805e-05,14
0,46,S02001576,S02001622,6.802684769802311e-05,6.802684769802311e-05,15
0,8,S02001576,S02001584,6.283437029561905e-05,6.283437029561905e-05,16
0,110,S02001576,S02001686,5.6191415631898064e-05,5.6191415631898064e-05,17
0,14,S02001576,S02001590,5.41292514088656e-05,5.41292514088656e-05,18
0,23,S02001576,S02001599,5.053604570202322e-05,5.053604570202322e-05,19
0,84,S02001576,S02001660,4.392891072791321e-05,4.392891072791321e-05,20
0,7,S02001576,S02001583,4.057185555024288e-05,4.057185555024288e-05,21
0,43,S02001576,S02001619,3.967471422779632e-05,3.967471422779632e-05,22
0,9,S02001576,S02001585,3.762529863479535e-05,3.762529863479535e-05,23
0,87,S02001576,S02001663,3.5898872323468906e-05,3.5898872323468906e-05,24
0,11,S02001576,S02001587,3.510460449212634e-05,3.510460449212634e-05,25
0,16,S02001576,S02001592,3.454795804088971e-05,3.454795804088971e-05,26
0,20,S02001576,S02001596,3.180965386459778e-05,3.180965386459778e-05,27
0,15,S02001576,S02001591,3.154443617118098e-05,3.154443617118098e-05,28
0,33,S02001576,S02001609,2.9207100329158145e-05,2.9207100329158145e-05,29
0,6,S02001576,S02001582,2.5243245943606588e-05,2.5243245943606588e-05,30
0,91,S02001576,S02001667,2.4767065314697653e-05,2.4767065314697653e-05,31
0,109,S02001576,S02001685,2.443781999449244e-05,2.443781999449244e-05,32
0,22,S02001576,S02001598,2.2554912542491575e-05,2.2554912542491575e-05,33
0,99,S02001576,S02001675,2.228723518530797e-05,2.228723518530797e-05,34
0,51,S02001576,S02001627,2.1678352044930816e-05,2.1678352044930816e-05,35
0,86,S02001576,S02001662,2.1051486075176154e-05,2.1051486075176154e-05,36
0,79,S02001576,S02001655,1.8191329021970302e-05,1.8191329021970302e-05,37
0,103,S02001576,S02001679,1.799727421317117e-05,1.799727421317117e-05,38
0,40,S02001576,S02001616,1.6731087748787596e-05,1.6731087748787596e-05,39
0,101,S02001576,S02001677,1.5733374937540176e-05,1.5733374937540176e-05,40
0,45,S02001576,S02001621,1.5275598435734352e-05,1.5275598435734352e-05,41
0,54,S02001576,S02001630,1.4724304788636624e-05,1.4724304788636624e-05,42
0,39,S02001576,S02001615,1.4185635524751374e-05,1.4185635524751374e-05,43
0,31,S02001576,S02001607,1.3486417364207108e-05,1.3486417364207108e-05,44
0,90,S02001576,S02001666,1.2644198412601896e-05,1.2644198412601896e-05,45
0,88,S02001576,S02001664,1.243467592201302e-05,1.243467592201302e-05,46
0,28,S02001576,S02001604,1.1457021119465584e-05,1.1457021119465584e-05,47
0,80,S02001576,S02001656,1.1334488309279012e-05,1.1334488309279012e-05,48
0,93,S02001576,S02001669,1.1044856307965551e-05,1.1044856307965551e-05,49
0,105,S02001576,S02001681,1.0586627636251772e-05,1.0586627636251772e-05,50
0,83,S02001576,S02001659,1.0375555030707002e-05,1.0375555030707002e-05,51
0,71,S02001576,S02001647,1.0258198299883943e-05,1.0258198299883943e-05,52
0,98,S02001576,S02001674,1.0185724127274976e-05,1.0185724127274976e-05,53
0,64,S02001576,S02001640,9.966434355528442e-06,9.966434355528442e-06,54
0,81,S02001576,S02001657,9.436790491483883e-06,9.436790491483883e-06,55
0,19,S02001576,S02001595,9.41991859273752e-06,9.41991859273752e-06,56
0,52,S02001576,S02001628,9.299352267298814e-06,9.299352267298814e-06,57
0,85,S02001576,S02001661,8.573594390080091e-06,8.573594390080091e-06,58
0,35,S02001576,S02001611,7.699839686771907e-06,7.699839686771907e-06,59
0,30,S02001576,S02001606,6.648495321800252e-06,6.648495321800252e-06,60
0,26,S02001576,S02001602,6.628945087695279e-06,6.628945087695279e-06,61
0,96,S02001576,S02001672,6.418829003722818e-06,6.418829003722818e-06,62
