IntZone,node_index,self_percentage,out_strength,in_strength,out_degree,in_degree
S02001576,0,0.002998840181712,0.0044633714387969274,0.004716801934724991,108,108
S02001577,1,0.0017464560745711,0.005851798669594029,0.005674812151738503,109,107
S02001578,2,0.0006539449219174,0.002692018405827245,0.0026895062821514597,101,96
S02001579,3,0.0005711200459688,0.004200403722151948,0.004160661603832678,108,107
S02001580,4,0.0020835117479334,0.006371571971181909,0.006212353834861124,109,108
S02001581,5,0.0008734892459992,0.003987428226051798,0.004033978685829085,107,109
S02001582,6,0.0001110948519082,0.0015799027523896872,0.0016722831983663148,97,99
S02001583,7,0.0003761344472838,0.004130087954479804,0.004340665543966261,108,107
S02001584,8,0.000848201058825,0.004267734962818858,0.0043139703124568975,108,109
S02001585,9,0.0001929370892743,0.0037700480543517373,0.003933367131598785,106,106
S02001586,10,0.0008845723782519,0.007735104813649298,0.007468799596710227,110,110
S02001587,11,0.0006880826711118,0.006987802361831586,0.006960151675843082,109,110
S02001588,12,0.0008177539017793,0.006104240119426322,0.006131681309824519,107,109
S02001589,13,0.0011620611260177,0.007817706972465715,0.0077745051717735434,109,110
S02001590,14,0.0007312240429612,0.008877683244964626,0.008879874545307897,110,110
S02001591,15,0.0003098536339193,0.0052000030017493,0.005076272193037724,109,109
S02001592,16,0.0003575337804421,0.004569019167021913,0.004586055228512765,106,109
S02001593,17,0.0013328309171091,0.005773521823083895,0.005656585693699471,108,110
S02001594,18,0.000397629372339,0.003149860831510745,0.003128092398215332,107,108
S02001595,19,0.0006507041873406,0.0042917879088831936,0.004274416386524074,108,106
S02001596,20,0.0005016516935386,0.0031836431157933162,0.0031983085114669738,105,105
S02001597,21,0.0001872725530866,0.002123944349825597,0.0021617343997633117,100,102
S02001598,22,0.0006397239552685,0.004662706518547802,0.004720727162786884,109,107
S02001599,23,0.0008696480749684,0.006396612805075043,0.006671046207751016,110,110
S02001600,24,0.0027916046137359,0.014537875726300229,0.014250947950127938,110,110
S02001601,25,0.0003536311490097,0.0024304146352044594,0.002550992400555453,105,101
S02001602,26,0.0009935615988471,0.005244754940977538,0.005320564252806863,110,110
S02001603,27,0.0003759595791066,0.003005906022008767,0.00300961021233821,107,106
S02001604,28,0.0005482988614693,0.004748290227993754,0.004856531229765863,110,108
S02001605,29,0.000345896674658,0.0024718733931786917,0.0025273657577805646,99,107
S02001606,30,0.0004280376814156,0.003234974095113108,0.003275763707976176,103,105
S02001607,31,0.0009559187141115,0.005374816351171561,0.00518684090117565,109,107
S02001608,32,0.000315141059064,0.0037014114600142536,0.003724131942241859,106,108
S02001609,33,0.0027834739534798,0.012548166232727701,0.01229609401090564,110,109
S02001610,34,0.0005525395734925,0.0041806105676002745,0.004150787845303948,106,105
S02001611,35,0.000759644355055,0.007256873864923732,0.007262129451185164,107,109
S02001612,36,0.0007129561679469,0.006516811449435454,0.0064675559393351295,107,109
S02001613,37,0.0003814035586113,0.0050465090998029,0.005134492659083175,107,110
S02001614,38,0.0001234116000105,0.002505305648055323,0.0025328437046056246,102,102
S02001615,39,0.0009591859295409,0.006019004925438736,0.006049808664042056,109,109
S02001616,40,0.0010848977537956,0.006894101716785912,0.006804800085690981,109,109
S02001617,41,0.0003027831905607,0.004503929077358102,0.004514704239322522,108,108
S02001618,42,0.0001041857177719,0.0035135957497034135,0.0035124721522639094,109,108
S02001619,43,0.0012954386439525,0.01350860979594087,0.013409858778545908,110,110
S02001620,44,0.0046304188741461,0.030750419698609546,0.030436576146548246,110,110
S02001621,45,0.0034501988539812,0.018557842957283105,0.018445611277508687,110,110
S02001622,46,0.0379615632874149,0.06964886518822297,0.06961387310706714,110,110
S02001623,47,0.0030227271795213,0.016128981668605512,0.016103627180864614,109,110
S02001624,48,0.0003172475783538,0.006115484064287277,0.00599616794973251,109,109
S02001625,49,0.000829952453033,0.008011841488794124,0.007905010482508381,108,109
S02001626,50,0.0008832639045936,0.0061814714565783324,0.006163011858755273,108,109
S02001627,51,0.0030331761338381,0.011761274893990308,0.011944217300475084,110,110
S02001628,52,0.0003112861783043,0.0036977794952126226,0.003841086496046292,106,108
S02001629,53,0.0004456683275268,0.005144424779037674,0.005125416563026049,109,107
S02001630,54,0.0055826951138285,0.01320747757075069,0.01392680088803962,110,110
S02001631,55,0.0018212805182298,0.006285416291237104,0.006439752849446633,109,110
S02001632,56,0.0025891939054006,0.009788970454781654,0.009732294093493785,110,109
S02001633,57,0.0008521300807498,0.005909325069937693,0.005855296274072828,106,108
S02001634,58,0.000189688370444,0.002708331288713752,0.0026971024851178862,102,102
S02001635,59,0.0002224903497117,0.0038599120748291785,0.003900746597052225,103,104
S02001636,60,0.0004247809912626,0.003983980600821773,0.004063304422528173,106,106
S02001637,61,0.0002963196863954,0.002724030118404534,0.0028116051235272436,101,100
S02001638,62,0.0003957076380551,0.004165466677017068,0.00418424707010943,108,108
S02001639,63,0.000215223716577,0.0023975368005188587,0.00245566583263893,98,101
S02001640,64,0.0031473885991943,0.011334333912699357,0.011250119329818075,110,110
S02001641,65,0.0006355701055459,0.006248717954629139,0.006336390592290306,107,108
S02001642,66,0.0005294467844994,0.007310700827874951,0.0073268455032679805,108,109
S02001643,67,0.0006764469982907,0.008801236912201757,0.008764597264564413,110,109
S02001644,68,0.0008436584376149,0.008165680292544377,0.008151073114563034,108,110
S02001645,69,0.0003199783683314,0.004029318483038122,0.00408850738365394,106,107
S02001646,70,0.0002248127588743,0.004223864388997046,0.004301546725300191,107,106
S02001647,71,0.0010489805043286,0.012066202266163875,0.012024605974506674,110,109
S02001648,72,0.000260382110562,0.0037286924411143703,0.003782112300069802,103,103
S02001649,73,0.0002919583939461,0.00461615225359402,0.00465611880546175,108,105
S02001650,74,0.0004414489825446,0.004320362702058493,0.004353279633077118,109,110
S02001651,75,0.000712526994193,0.004650436502562879,0.004634473335685127,108,108
S02001652,76,0.0015327331112345,0.006899740964688172,0.006773286295164738,109,110
S02001653,77,0.0005928282126695,0.005719978651425702,0.005677469135295877,108,107
S02001654,78,0.0002449145127694,0.004130245416624139,0.0041753249322048535,104,103
S02001655,79,0.0002692153923116,0.006539017597516472,0.006478851564705375,109,108
S02001656,80,0.0008236233020649,0.01193249711379408,0.011896554589303296,110,110
S02001657,81,0.0001132450557114,0.0037390021515611733,0.0036908896632856358,107,108
S02001658,82,0.0007811154116681,0.00613539162413578,0.006186304862540216,108,109
S02001659,83,0.0006148244359055,0.005411205353102227,0.0053969862236637875,110,106
S02001660,84,0.0070345640322536,0.033494677062301054,0.033124164848525914,110,110
S02001661,85,0.0010472652283223,0.00673017205374864,0.006584670088750258,110,109
S02001662,86,0.0005305370493898,0.006133819805855556,0.006063831441699682,110,110
S02001663,87,0.0017629771317065,0.010677318418693266,0.010445906231999272,110,110
S02001664,88,0.0010091709952394,0.0075626320840785416,0.007551246251597059,110,109
S02001665,89,0.0004217953179881,0.004664662354458904,0.004600624018530488,109,107
S02001666,90,0.0004266613027565,0.004373876394664305,0.004432448550653457,106,107
S02001667,91,0.0004180834390341,0.005299689170777963,0.005248100670006357,108,110
S02001668,92,0.0001424180329542,0.001629576753487231,0.0017424463346623392,92,91
S02001669,93,0.0008220913837206,0.006001220418276503,0.00605650072005493,107,109
S02001670,94,0.0013554228326799,0.005275652007467523,0.005183745153067136,109,109
S02001671,95,0.0004131539766541,0.0033722901206686305,0.003515709106785365,108,106
S02001672,96,0.0014689317348699,0.006628910498761657,0.00649722908504834,108,107
S02001673,97,0.000487757454496,0.0017457535793752453,0.0017622317259231646,95,97
S02001674,98,0.0006287781750167,0.005663280387120001,0.005557201779227055,109,108
