IntZone,S02001576,S02001577,S02001578,S02001579,S02001580,S02001581,S02001582,S02001583,S02001584,S02001585,S02001586,S02001587,S02001588,S02001589,S02001590,S02001591,S02001592,S02001593,S02001594,S02001595,S02001596,S02001597,S02001598,S02001599,S02001600,S02001601,S02001602,S02001603,S02001604,S02001605,S02001606,S02001607,S02001608,S02001609,S02001610,S02001611,S02001612,S02001613,S02001614,S02001615,S02001616,S02001617,S02001618,S02001619,S02001620,S02001621,S02001622,S02001623,S02001624,S02001625,S02001626,S02001627,S02001628,S02001629,S02001630,S02001631,S02001632,S02001633,S02001634,S02001635,S02001636,S02001637,S02001638,S02001639,S02001640,S02001641,S02001642,S02001643,S02001644,S02001645,S02001646,S02001647,S02001648,S02001649,S02001650,S02001651,S02001652,S02001653,S02001654,S02001655,S02001656,S02001657,S02001658,S02001659,S02001660,S02001661,S02001662,S02001663,S02001664,S02001665,S02001666,S02001667,S02001668,S02001669,S02001670,S02001671,S02001672,S02001673,S02001674,S02001675,S02001676,S02001677,S02001678,S02001679,S02001680,S02001681,S02001682,S02001683,S02001684,S02001685,S02001686
S02001576,0.002998840181712,0.0005712065744218,0.0004839105474215,0.0002287529514153,0.0002311486425796,9.2738610375795e-05,2.5243245943606588e-05,4.057185555024288e-05,6.283437029561905e-05,3.762529863479535e-05,8.803851731976492e-05,3.510460449212634e-05,0.0001029456077549,7.4128169779805e-05,5.41292514088656e-05,3.154443617118098e-05,3.454795804088971e-05,7.926571784763964e-05,4.4808745940622126e-06,9.41991859273752e-06,3.180965386459778e-05,4.157952801664596e-06,2.2554912542491575e-05,5.053604570202322e-05,0.000126948058026,5.565670571892208e-06,6.628945087695279e-06,2.8728509679561034e-06,1.1457021119465584e-05,4.991935901507296e-06,6.648495321800252e-06,1.3486417364207108e-05,3.782762202750896e-06,2.9207100329158145e-05,8.446985974251892e-07,7.699839686771907e-06,2.2104598517838667e-06,1.0866525038209957e-06,1.073396180705638e-06,1.4185635524751374e-05,1.6731087748787596e-05,5.746038761498735e-06,3.2739782091404948e-06,3.967471422779632e-05,0.0001213370038019,1.5275598435734352e-05,6.802684769802311e-05,3.539845656434207e-06,3.116132379936099e-06,3.5361077830396486e-06,5.604694077606502e-07,2.1678352044930816e-05,9.299352267298814e-06,3.5866696656787303e-06,1.4724304788636624e-05,3.663023107751669e-06,3.5945111257084788e-06,3.9226025991292176e-06,3.205815071965202e-07,3.139640296900763e-06,1.8095833780609824e-06,1.538082523526584e-06,1.7845430927838748e-06,8.223632568309793e-07,9.966434355528442e-06,1.821996850616272e-06,5.151087958799748e-06,5.094711229025907e-06,1.4452456434853997e-06,1.7295715945525317e-06,2.128176345355888e-07,1.0258198299883943e-05,0.0,2.480695347428792e-06,1.9306185970370477e-06,3.467601971155072e-06,4.326189481080326e-06,3.102182441153013e-07,2.4602047831159388e-06,1.8191329021970302e-05,1.1334488309279012e-05,9.436790491483883e-06,4.639089413329517e-06,1.0375555030707002e-05,4.392891072791321e-05,8.573594390080091e-06,2.1051486075176154e-05,3.5898872323468906e-05,1.243467592201302e-05,2.546732244630524e-06,1.2644198412601896e-05,2.4767065314697653e-05,0.0,1.1044856307965551e-05,5.023083668461662e-06,1.915993121291696e-06,6.418829003722818e-06,3.857329715282809e-06,1.0185724127274976e-05,2.228723518530797e-05,4.078580221874912e-06,1.5733374937540176e-05,1.3266275296524178e-06,1.799727421317117e-05,5.431975930941348e-06,1.0586627636251772e-05,0.0002484396741189,0.0003247068517502,0.0004411426954818,2.443781999449244e-05,5.6191415631898064e-05
S02001577,0.0005577258130794,0.0017464560745711,0.0004322780078735,0.0002425591748719,0.0002066970276396,4.723366200005773e-05,1.6616704429977374e-05,0.0001032115455341,9.368105618350888e-05,5.416618464545748e-05,0.0002280457111604,0.0001496682377992,0.0002182958092025,0.0001201352624323,8.64490761107395e-05,5.52871817852725e-05,6.726502332694548e-05,4.264144120921842e-05,1.103317052644398e-05,1.5829376096164005e-05,1.6780544138835246e-05,5.681107987210632e-06,4.736625764158968e-05,7.911409966940613e-05,0.0003688135222972,1.2791650976689747e-05,3.7582204947083766e-05,9.936872983494832e-06,2.534417520181864e-05,3.533106807612422e-06,8.748933713607572e-06,2.3946693241706465e-05,5.425089475013923e-06,3.198468806693043e-05,7.965440013814605e-06,8.486217421972887e-06,1.1500648711841318e-05,3.0047663444455583e-06,6.550459732566109e-06,8.851399847981253e-06,3.307034012876998e-05,7.705895857734776e-06,1.6945314379213564e-05,8.109018911301362e-05,7.239739463201331e-05,2.8980755429827583e-05,0.0001264316877669,3.545528526499215e-06,1.92534346589549e-06,5.717946060657783e-06,2.924453238795288e-07,5.491101888994724e-05,8.959333473950492e-06,3.5228239162219734e-06,4.928925334939243e-05,1.7826195922129405e-06,1.133810411971913e-05,4.802130510147524e-06,4.6599875046598e-06,1.0234757631659165e-06,3.916468300427153e-06,5.541150473049028e-06,7.115532259970496e-08,6.553779070308667e-07,1.1288894982208414e-05,1.3014205330233794e-06,3.1992437482797416e-06,2.946463492663527e-06,1.7329270684355472e-06,4.331060708118338e-06,2.73006365932306e-07,1.808503560155712e-05,1.9101339565233275e-06,1.013509364268914e-06,6.115679484080808e-07,3.215877160906416e-06,1.603195102487482e-05,6.45619018590679e-07,0.0,3.4603857660993355e-06,4.532645923557261e-06,4.738439897681954e-06,3.24585162131804e-07,2.8700081517426875e-06,7.78924840614566e-05,2.729454802195071e-05,8.39613911133647e-06,1.891824751173212e-05,1.023505734882186e-05,1.029883892164419e-05,1.0941809041275382e-06,1.1292934028256338e-05,1.5748351842047923e-06,3.318072244215036e-06,4.343973196672721e-06,3.071227060130953e-06,2.3038084425924956e-05,8.238754997088448e-06,1.405510064867326e-05,1.1980458177573986e-05,5.766120139051752e-06,1.99012005919823e-05,8.244574798239126e-06,4.370727468743808e-05,1.0664434195029945e-05,2.9850957381303897e-05,0.0003924905096615,0.0005077874887178,0.0004029143770305,1.6757097895285105e-05,9.535583784264846e-05
S02001578,0.0004769109646461,0.000492090805573,0.0006539449219174,0.0003865105179309,0.0002261617144016,6.92423253482481e-05,1.4779146663460238e-05,3.129576211860218e-05,1.604899000028836e-05,7.693794316960147e-06,3.059959478564628e-05,2.7965844284470784e-05,4.128316799057254e-05,5.054240475770132e-05,1.1284796148495324e-05,2.283095343347249e-05,1.6873524374848308e-05,4.805207906665756e-05,1.3544606870086396e-05,7.824401490740644e-06,5.873363384688353e-06,3.5980998409068307e-06,1.1384185327503628e-05,1.5297834452293626e-05,1.88138939463958e-05,7.117282592542434e-07,3.897399566875342e-06,1.7801606081281863e-06,2.522541263928281e-06,5.289014688319277e-07,4.272993897780425e-06,4.487991350521671e-06,1.792144694018426e-06,3.145245183546048e-05,0.0,6.083377855920994e-07,4.46656807773904e-06,2.5140720154637616e-06,2.5954546216515128e-06,5.380012016937564e-06,2.2465073721879664e-05,8.204651985225775e-06,3.7445221237117857e-06,1.7333129861131964e-05,1.8926499325627346e-05,3.943419495115311e-06,3.527027809582832e-05,1.3492174598157298e-06,1.308325416759184e-06,1.3946283626101792e-06,5.333230177353793e-07,6.690084382247385e-06,0.0,1.99148722139973e-06,6.747254938562383e-06,3.64992382794376e-06,7.641610185341089e-07,5.402270517215872e-06,6.2101772351398e-07,0.0,0.0,2.8987868964826804e-07,5.941145306763441e-07,6.553779070308667e-07,1.0309615630001693e-07,0.0,7.821350910818137e-06,6.924368706717556e-08,1.833400309509031e-07,6.924368706717556e-08,0.0,1.3540658084511555e-06,0.0,3.183956186656869e-07,7.072144868141405e-08,1.144757266425151e-06,4.031893167671657e-07,2.115542046443809e-06,3.41126987757409e-07,1.1630192635620002e-06,2.4508824641554047e-06,0.0,2.733003893498123e-06,4.942993822913271e-07,2.0555225156936826e-05,1.0637797549008468e-06,7.350581301515133e-06,7.5636981686566015e-06,2.007208621168667e-06,7.536845930854969e-07,9.551411667089789e-07,9.9687136989084e-07,0.0,1.1483482756190009e-07,9.421057413568712e-07,3.682750207904634e-07,7.627484911740478e-06,2.33956259103623e-06,2.052431320253023e-06,3.086901507174365e-06,5.604657972830867e-07,5.5221438197306505e-06,1.364507951029636e-06,1.4750145359134208e-05,1.03627438822325e-06,1.3486728307823026e-05,8.168000203798979e-05,0.0001457413355812,7.2563353600045e-05,9.127504730468066e-06,1.21807119946045e-05
S02001579,0.0002343615714359,0.0001789899965752,0.0003447596844101,0.0005711200459688,0.0003265028353628,0.0001262849115214,9.839637101788704e-05,0.0002027297126426,0.0001621875669961,2.330054038640433e-05,7.371979743870414e-05,1.9988971283897284e-05,0.0001072705430193,0.0001226744728453,2.739487811940114e-05,2.220681067209153e-05,3.349002192945169e-05,9.77368519515226e-05,9.597370882017472e-06,1.44470713285069e-05,2.8116026255011697e-05,1.3464068275069792e-05,4.666524310946291e-05,6.372198033644269e-05,0.0002589412891235,1.0389199252678023e-05,2.4102698076463124e-05,2.2662992324725504e-05,1.539150694281349e-05,8.387615923032909e-06,5.513304516656901e-06,2.261118385123824e-05,5.899522735853673e-06,3.154609615338902e-05,5.026425085338408e-06,1.424162212664538e-05,1.420133106419128e-05,2.6482361220336305e-06,1.5802744523941086e-06,1.900357018542365e-05,1.1894904265436256e-05,2.013417944771795e-06,1.024436799886812e-05,2.8625509500596584e-05,4.118352549540409e-05,1.094859211239496e-05,4.14736120669879e-05,5.425538521605144e-06,4.872842210328228e-07,1.235388625689073e-06,3.885231687580542e-06,3.3588331061741034e-05,5.52264264276536e-06,1.545047457474554e-05,6.366109601338421e-05,3.485425744537988e-06,2.6003894767903655e-05,1.740314357462138e-05,2.839895595676638e-07,2.017095883123151e-06,1.8736051178202584e-06,1.18894425244853e-06,1.9223743039928552e-06,1.1785513506996314e-06,1.270536240417451e-05,1.4397308252530645e-06,6.420374560827189e-07,4.227802101354433e-06,4.6928420486103285e-07,7.03381358602841e-07,3.4365385433338985e-06,1.20673081301484e-05,1.480252913984818e-06,2.920855099145853e-06,1.6423788229500484e-06,6.095460769276779e-07,7.447017380025742e-07,9.208760347488885e-06,0.0,1.45194213552713e-06,8.751505415943697e-06,1.0949886416330645e-06,1.6931850487229066e-07,1.3243810017498372e-05,3.544725885465297e-05,1.0038659131277004e-05,4.5800070443072535e-06,4.927450435758139e-06,3.134395618773224e-06,3.132683456693134e-06,1.5112241531025233e-06,1.106147363383816e-06,0.0,1.5435326005128956e-06,8.262837734837997e-06,3.342232272908901e-07,6.841074957698951e-06,4.803045705151865e-06,9.787801305345964e-06,4.187760839913864e-06,8.473824747773924e-06,8.511406520834985e-06,3.0717742671501585e-06,3.646107889445698e-05,3.2859727120689918e-06,6.456632758385646e-05,0.0002976701459759,0.0001727823551059,0.000215246116911,1.960187673481178e-06,4.057581757437285e-05
S02001580,0.0002400455698609,0.0002141931297261,0.0002015714986184,0.0003196121933995,0.0020835117479334,0.0004934785940383,5.004659480274944e-05,7.910212598995103e-05,0.0001009746313072,2.1825339770751063e-05,6.911302689582444e-05,2.4076094931360124e-05,9.782436748396451e-05,9.251777420739044e-05,4.3216335870148304e-05,2.4337910175388316e-05,3.122648589778898e-05,0.0002258287592376,2.855692006654688e-05,6.173494896269938e-05,0.0001422316084627,9.547068278084528e-05,0.0002593597785556,0.0002247032708321,0.0004216345105769,1.862850190535396e-05,4.745075453381384e-05,3.144216060821237e-05,3.338523858586055e-05,1.5611710667426705e-05,1.4560767787171295e-05,3.271325368045268e-05,3.829338447560444e-06,6.421187353303468e-05,1.199681634992529e-05,1.6742016532401265e-05,4.210312972730333e-05,2.943736161573838e-06,1.649821868905771e-06,5.87878782242022e-05,5.489215718285097e-05,1.718570530454945e-05,1.2769346622824069e-05,3.31967047282812e-05,6.29935581909594e-05,2.230802216107863e-05,0.0001946382999046,2.151541587016938e-05,2.1975330133619744e-06,3.140114095261399e-06,6.884730004165862e-06,6.439746460336777e-05,1.1114814607879328e-05,3.371405428369084e-05,0.0001418397356242,1.6629064560631516e-05,2.4310845846143008e-05,1.3374022666378202e-05,1.2135820927984363e-06,5.156337498769157e-06,2.504814053198828e-06,3.001461325337786e-06,2.803608664056873e-06,1.1540614511195928e-07,1.0839447962186087e-05,1.6802902896641306e-06,1.0615794484772234e-06,5.875247570841187e-07,2.888937560949867e-06,2.876160188505915e-06,4.75380246332515e-06,2.44552434808845e-06,4.700996354344852e-06,8.829286469923367e-07,2.2138944189841214e-06,2.61723165025519e-06,7.811741528821457e-06,3.403741916364583e-06,1.0532884990157758e-06,8.070834429318346e-06,1.3823271123035889e-05,6.986938303465004e-08,3.830198878300024e-06,3.749523383470104e-06,1.655317796673999e-05,3.456644212995889e-05,5.621823905931752e-06,2.135607502227e-05,4.745231084049942e-06,7.273126226824215e-06,7.158039242448854e-06,1.2351328400902943e-06,0.0,3.2349323203130173e-06,4.369537658074467e-06,3.176659969583927e-07,1.5355278005601305e-05,1.2385170217445086e-05,1.9745880779412683e-05,1.569098154093969e-05,9.233514121683912e-06,2.3967524547228088e-05,2.2398690409818466e-06,3.183083542992614e-05,1.1094800601258388e-06,1.3083712432071314e-05,0.0003511920552939,0.0004551014363808,0.0004636381359114,9.080028421847816e-06,5.149014726109438e-05
S02001581,0.0001078602319296,4.862123342867097e-05,9.516220586840074e-05,0.000134986481843,0.0004776293706698,0.0008734892459992,5.9213214659514526e-05,4.1940514871942886e-05,0.0001138308249605,1.6379644898297328e-05,4.070973426383056e-05,3.9813310528686965e-05,0.0002254247975786,0.0001733010785705,3.3381390329287146e-05,1.5445561796786126e-05,4.778528818597578e-05,0.0003113396866681,2.0510417919269437e-05,5.5363326147156345e-05,0.0002404675824693,0.0001722420401132,0.0002717573984711,9.611680066415374e-05,0.0001040522420884,1.6871426682612163e-05,2.575738555409179e-05,1.4124039217413048e-05,1.476051076820378e-05,2.8375943292684987e-06,9.57428549910198e-07,6.9860042358547705e-06,1.1901719661857986e-06,1.1538127493088724e-05,1.3402760262188042e-06,6.943206872598512e-06,1.5270722843668874e-05,8.694115799175728e-06,1.1999000106035348e-05,5.236028346427166e-05,5.217486113325109e-05,1.778033213475566e-05,1.508314890194044e-05,4.3265200969910296e-05,7.327069464869345e-05,1.5173844696310604e-05,6.74451797083345e-05,3.1579922688663144e-06,1.0944345400646167e-06,1.3323436073516729e-06,2.278133905055432e-06,6.532939713303106e-05,1.6805303830319592e-06,6.51050523947844e-06,2.359111895328863e-05,4.261817627317943e-06,6.355089837505781e-06,1.526197734621246e-06,1.908239671092949e-06,4.009147349587858e-07,2.881569586025318e-07,2.5639042093547724e-07,9.007233188419736e-07,2.5788487870017135e-07,3.4181802340222594e-06,2.930395642197818e-06,2.319520912250795e-07,0.0,1.2428695807102015e-06,8.691675541376147e-07,8.093040252409046e-07,5.542299718170866e-06,1.1275000438728821e-07,0.0,1.3703356237918123e-06,3.3660820859517893e-07,1.175490565292011e-05,4.386970057114798e-06,1.0371203864909276e-06,8.230120289320696e-06,1.596061818935733e-05,2.60088794839116e-07,5.457135752141246e-07,5.777707561982963e-06,4.631493221967638e-05,5.9474734314544e-06,2.1927282677667354e-06,4.131978637244061e-06,3.548688567811824e-06,1.6853684321631303e-06,2.18959463961496e-06,7.072144868141405e-08,8.559643973248639e-08,3.3926884499431077e-06,2.450063555822501e-06,5.231292198481525e-07,5.964445117519721e-06,0.0,4.7965252868110105e-06,8.05213820981942e-07,2.6600522837719434e-06,6.134980489173151e-06,1.5514595979767033e-06,1.0005433187043572e-05,6.055780088155771e-07,5.734064518472502e-06,8.759917324528776e-05,8.599594978231603e-05,7.834082615178376e-05,3.431323440005385e-06,1.6165324383750064e-05
S02001582,1.5163736084725907e-05,3.3325703803081505e-05,2.176532681964853e-05,8.438716468582935e-05,7.33026063771702e-05,6.429203386575376e-05,0.0001110948519082,0.0001026257346567,0.0002131874077909,5.574083245654445e-05,7.036044849212984e-05,3.189199270386032e-05,4.277205950978835e-05,3.595921864184466e-05,3.858178310820481e-05,1.5885408922307777e-05,1.4320356138199132e-05,2.356630999651904e-05,1.7622833713962238e-06,3.831266425980378e-06,1.68527539521835e-05,2.610444076495974e-05,2.56901937543257e-05,3.4728383126037376e-05,7.689257197075378e-05,3.78070116117742e-06,2.609723362320914e-05,4.57137608963585e-06,1.2568612228419624e-05,1.727673551309268e-06,2.613883149651619e-06,3.012855870447391e-07,1.2625028182274589e-06,2.110187105253556e-06,2.199588725839514e-06,7.220776603604799e-07,6.440757442495644e-07,3.2488472503991742e-06,0.0,3.939217460204928e-06,7.909517214841863e-06,2.1051105364415927e-06,2.577403907500423e-07,1.2769245101789656e-05,1.5331738727130387e-05,2.6955123225348597e-06,1.6913257306290077e-05,2.430527555167217e-06,6.161289482020654e-07,2.9147012156550145e-06,4.11391979550045e-07,1.674478231915159e-05,1.0751299509858154e-05,6.446763424265321e-06,2.209530681421961e-05,1.7712274581864889e-06,3.3884304622721964e-06,1.5049974242213055e-06,2.0024916811903585e-06,2.9266967180654863e-06,7.486600291315936e-07,0.0,1.1556756311339572e-06,1.2448244029940638e-06,7.598143027946033e-06,0.0,1.6404712726209806e-06,3.514641692046032e-07,1.290072519465238e-06,3.014738372341988e-07,6.204839965832308e-07,0.0,0.0,0.0,2.2514850212467777e-06,0.0,9.81025836333051e-07,0.0,0.0,0.0,1.0641953298993688e-06,1.1096189256671376e-06,2.924453238795288e-07,0.0,1.6333027904598717e-05,1.0372800927750373e-05,2.3377147841656025e-06,1.1400517375856685e-06,2.970873131474577e-07,9.760503477813888e-07,9.208541387291516e-07,1.983021713196675e-06,0.0,2.702169956525922e-06,1.2919621360722254e-06,1.5532063585298663e-06,9.417342290569762e-07,0.0,9.189367114197152e-06,4.778043273969696e-06,1.1934256964631476e-06,1.197390842943682e-05,1.5395028262121004e-06,1.2260307407855212e-05,2.352722312612344e-06,1.3897633573793531e-05,5.9397399367420855e-05,3.0331907636059767e-05,4.012332559768712e-05,6.319253533419875e-06,4.282088066469669e-06
S02001583,7.877395968416651e-05,0.0001864663356738,2.7455731564175968e-05,0.0001401095438991,9.388850241428756e-05,4.7961343480404096e-05,0.0001142288428266,0.0003761344472838,0.0003338279595028,0.0001567669111442,0.0002912562684939,0.0001087343183704,0.0001403099311886,9.89465709259562e-05,6.675260031880016e-05,2.4302784213643404e-05,1.2433327420413918e-05,2.173564243127089e-05,3.2142381895386973e-06,7.921064968663266e-06,1.5910652756512696e-05,1.2176378110746287e-05,3.699873145912288e-05,3.116767373583558e-05,0.0001104093268304,8.715385279862847e-06,2.030166319685933e-05,8.283844340093268e-06,1.5197761548395653e-05,3.005857299332771e-06,9.806086921658496e-06,8.47984799312079e-06,1.4343279127323168e-05,1.1975973299393471e-05,2.123031259360333e-07,2.019529573028652e-06,2.398303797198357e-06,4.743595966006184e-06,9.631751988313057e-08,4.675176471172995e-05,6.4498452207719695e-06,2.2346046700875446e-06,6.735056148334152e-06,5.186344342390254e-05,0.0001075475970406,9.982722110740371e-06,6.161521557766962e-05,3.367349113350875e-06,5.5310405545673406e-06,1.653300371099466e-06,1.3973876606930008e-07,3.0115377970015948e-05,6.494712639914784e-06,6.152318410365041e-06,2.585259162499108e-05,1.5171766742042698e-06,8.870241618259452e-06,2.544229787757218e-06,2.310679102258005e-07,3.4803590227172967e-06,3.038865442267559e-06,2.549725191474393e-06,2.8306603653175124e-06,0.0,1.4633178588331654e-05,7.949844772334675e-06,1.3415481861736596e-06,1.4737402148259718e-07,1.3933265206085886e-05,8.147941546870236e-07,1.404171142981796e-06,8.086163207541979e-06,2.3114890336631643e-06,2.7376646604031947e-06,5.691470056865266e-07,7.02339627927789e-06,3.265996096721713e-06,4.383074927927887e-06,0.0,7.012501848898258e-06,1.3328603749027942e-05,3.4531954225038397e-06,2.0325879641723384e-06,4.409028139164228e-07,5.051897623529185e-05,8.065747021116025e-06,8.77440032288686e-06,1.752356668566897e-05,9.83933253634126e-06,1.1630860020652e-05,6.090131244284663e-06,2.677267979504841e-06,6.51875665603211e-07,1.2436008112596575e-05,3.193356557602579e-06,1.913417377083745e-06,1.2482221171004535e-05,8.613579576846481e-07,6.22713973653496e-06,5.564311704247463e-05,1.9005582123008432e-05,5.073816072965332e-05,1.1248724286017304e-05,3.946740175744973e-05,8.374937807470942e-06,5.731658361449268e-05,0.0004120072159826,0.0002882060248476,0.0002259272324686,1.566904698831704e-05,2.985197616858077e-05
S02001584,5.784111208922618e-05,9.682637764621272e-05,1.4422845463760405e-05,0.0001413529925817,0.0001112467442025,9.681800835507654e-05,0.0002675545637018,0.0003865662160238,0.000848201058825,0.0003293360825324,0.000303451587509,0.000202975387615,0.0004272946505356,0.0001566925259492,0.0001117045580526,2.6480115750685733e-05,2.226163216358322e-05,7.369955294602786e-05,9.890007438140692e-06,4.534420031885162e-06,2.048271227865121e-05,2.559889869923283e-05,5.468308488634121e-05,2.5752780562180785e-05,6.968363292884687e-05,8.29529944037228e-06,1.1203043030463655e-05,5.240287494307853e-06,1.0562338328671363e-05,1.3524683743486373e-06,2.16138234715354e-06,2.955342018753076e-06,6.988813099546996e-06,7.381743080497074e-06,7.966085244335358e-06,7.590824553376925e-06,5.039791160196136e-06,8.184155728445711e-07,1.1327711976557854e-06,9.653865005762672e-06,6.606336657460126e-06,1.7073277169712405e-06,1.3906011225260634e-05,6.469932543453052e-05,5.195822921422365e-05,1.3351219711128778e-05,5.582908595797203e-05,4.4999019713414165e-06,2.248001743477812e-06,2.179333453600088e-06,1.5202406089832422e-06,2.017895108621283e-05,2.7490728460197647e-06,2.394588783031864e-06,3.273921287749963e-05,3.0905690745439365e-06,7.913622115080187e-06,2.33956259103623e-06,0.0,4.044569286629157e-06,1.1462149146056108e-06,1.0733166286112484e-05,1.156046083238856e-05,1.0993665956162945e-07,1.850170916562608e-05,6.9839721117469625e-06,2.887659406527311e-07,4.273706640083705e-07,3.7885462756450244e-07,1.0993665956162945e-07,9.29746606058715e-07,1.3700985589287075e-06,2.0537557226423536e-06,9.723466797869184e-06,4.1975964934216763e-07,1.678207042077461e-05,3.946157660990142e-06,7.471830387152754e-06,5.960669021748356e-07,2.141282529402236e-06,9.128542354676945e-06,4.059059477006201e-06,1.727897271912439e-05,9.99273917583356e-07,2.897424082851417e-05,1.6442089966217404e-05,1.8816186722624315e-05,2.506071576487403e-06,1.1528995325906888e-05,1.5181458681666358e-05,2.2870665630354763e-06,4.753339307799588e-07,0.0,2.4745382212907354e-06,8.143350123885034e-06,4.05268546111192e-07,4.4418026425960125e-07,2.590691395145385e-06,7.932900266996501e-06,1.878184223555638e-05,7.562745577151355e-06,1.3840500036246272e-05,6.4984796811401145e-06,2.6032689158666983e-05,3.2329073018468243e-06,4.015252937187628e-05,0.0002833881961592,0.0001138654322563,7.943870515650705e-05,4.495882147276769e-06,5.65408751187555e-06
S02001585,6.130206922309033e-05,0.0001441766291909,1.6571142272192465e-05,5.5512947991078086e-05,2.9235826980399267e-05,1.489616174873578e-05,7.159778617982228e-05,0.0002179737180454,0.0003602484269434,0.0001929370892743,0.0002956518182814,0.0001849682144239,0.0003005896638793,0.000161299675831,0.0001717630983713,3.2052304971509706e-05,1.7201864625803886e-05,4.772462701640013e-05,8.63751844402524e-06,7.971827577897611e-06,8.850943127854116e-06,8.059437448468425e-06,1.711660424079472e-05,3.8274544707478985e-05,3.4546207705390164e-05,1.87740318690408e-06,7.166703881911343e-06,2.3190295171861446e-07,2.6029201933002588e-06,5.084283781052499e-07,2.343195018939677e-06,7.873685190308826e-06,4.217570030455239e-07,4.404408231866148e-06,5.840816234001395e-07,4.398494708466384e-06,4.337522950225821e-06,2.752426577689682e-07,5.046800572775899e-07,1.077805879919352e-05,2.136202394719665e-05,7.153079482619657e-06,1.287361404423282e-05,7.765035337076982e-05,9.540626983231396e-05,8.685276335644336e-06,8.863966406326538e-05,7.893681140913289e-06,3.232861255629178e-06,5.432767504588612e-06,4.376723616510153e-07,1.3599734321673446e-05,5.870335149059888e-07,1.334814525894479e-06,1.0211685143154834e-05,3.119416788048307e-07,1.501362343790568e-06,3.276923335182949e-06,0.0,0.0,8.29747644678826e-07,5.978571811958799e-07,3.019584956214161e-06,0.0,5.7075858320240045e-06,4.777743268448413e-07,4.859382652309147e-07,2.245023440512464e-06,4.068804506149965e-07,9.421057413568712e-07,1.0092265544660502e-06,4.14471657752217e-06,1.1784710307891014e-06,2.2873199946742797e-06,2.6813425756659378e-06,1.1291154952591715e-07,9.583992327961118e-06,1.0056609500142005e-06,4.151881554578547e-07,3.1470066398912105e-06,5.225415627974773e-06,3.695673064837101e-07,1.18135899999872e-06,1.63952487667876e-06,5.83990839564116e-05,3.321587862735822e-05,7.985926932582882e-06,4.813703055785621e-06,1.1030921685437418e-05,1.2687882920868969e-05,7.650880283900518e-06,2.406716445857727e-06,0.0,7.316905115899392e-06,2.770965404468646e-06,1.826686326567021e-05,8.735493119975279e-06,1.0993665956162945e-07,4.958126441597189e-06,1.664745240669817e-05,2.0939698560989257e-05,2.1955505309759136e-05,7.430212137417873e-06,3.0883000018160775e-05,1.913995647156597e-05,5.40383046747332e-05,0.0004096880654515,0.0001345267797341,9.934655585853582e-05,8.682298493921155e-06,3.6044380509985328e-06
