IntZone,S02001576,S02001577,S02001578,S02001579,S02001580,S02001581,S02001582,S02001583,S02001584,S02001585,S02001586,S02001587,S02001588,S02001589,S02001590,S02001591,S02001592,S02001593,S02001594,S02001595,S02001596,S02001597,S02001598,S02001599,S02001600,S02001601,S02001602,S02001603,S02001604,S02001605,S02001606,S02001607,S02001608,S02001609,S02001610,S02001611,S02001612,S02001613,S02001614,S02001615,S02001616,S02001617,S02001618,S02001619,S02001620,S02001621,S02001622,S02001623,S02001624,S02001625,S02001626,S02001627,S02001628,S02001629,S02001630,S02001631,S02001632,S02001633,S02001634,S02001635,S02001636,S02001637,S02001638,S02001639,S02001640,S02001641,S02001642,S02001643,S02001644,S02001645,S02001646,S02001647,S02001648,S02001649,S02001650,S02001651,S02001652,S02001653,S02001654,S02001655,S02001656,S02001657,S02001658,S02001659,S02001660,S02001661,S02001662,S02001663,S02001664,S02001665,S02001666,S02001667,S02001668,S02001669,S02001670,S02001671,S02001672,S02001673,S02001674,S02001675,S02001676,S02001677,S02001678,S02001679,S02001680,S02001681,S02001682,S02001683,S02001684,S02001685,S02001686
S02001576,0.0,2.8935245166460617,4.017552630656362,5.692589368740419,6.789668863386042,7.715222172526249,6.289361593048374,6.880887676437723,7.092152843279486,7.450978270199379,8.138203427024726,9.216073708162574,8.237086438867196,9.332280315771676,10.081804713618686,11.029432207183131,9.921895693134422,9.028548250919412,10.250406617322538,9.79496882217943,8.984468678130533,9.247746923959086,9.546823637399594,10.715890757592827,14.811744783485187,13.302301669595385,13.592253937397553,14.77675098496126,15.930331011659606,15.581439584885352,14.445023172096821,13.703993443107043,14.273982359439561,13.134624426690522,14.432693862513121,13.374218040201626,12.931231699355337,12.713654723691143,12.056488963174871,11.407723632986784,11.038584641472347,11.418301842824492,10.52541887051273,11.06745092935373,11.97050436287085,13.226511626008104,12.978993821770924,13.557550455008395,14.673853448464516,15.126618488935438,15.846170794636052,15.363168968256556,16.782697610061497,17.71436956399932,18.157016258691893,19.129627065734276,18.026271322967812,17.632767834088842,16.863072247312772,16.4876275599925,17.007448798857514,16.11563181606778,16.291091188213446,16.27543891609199,17.25374124673314,16.378834875810792,16.20243536720581,15.91917570009114,15.443434527144182,15.19549890397205,14.905272276776463,14.825386985347933,15.154327112140908,15.44066385628474,16.090674921275657,15.555089985799953,15.01167963154037,14.591883458694253,14.687695945284021,14.129871322182781,13.278463455642747,13.683139602372961,13.225468722985452,13.151223090837574,11.698572594799463,10.459538007587835,11.99731139243966,13.95031530207846,13.07845753365102,13.570670719687161,14.449514327489455,15.454026601096967,15.793870734500505,15.479291585941368,15.109452230901418,14.381134614242495,13.601810904008342,12.85542898243954,11.918992232551604,11.475154498825843,10.965065320015263,10.263873258132627,10.955586403653394,9.751720040565713,9.51174930084957,9.051907883551005,8.790400209129674,7.203896699005645,11.955731435142265,15.740524643459194,16.558790483098118
S02001577,2.8935245166460613,0.0,1.2711403671396777,3.115157318878579,4.488585754439421,5.288349165739905,3.7119295431865353,4.047473856791831,4.48911585672189,4.704566006682692,5.39179116350804,6.46966144464589,5.620043120088998,6.905407308985334,7.654931706832339,8.602559200396781,7.495022686348078,6.601675244133063,7.823533610536199,7.3680958153930804,6.557595671344187,6.820873917172745,7.119950630613252,8.28901775080648,12.384871776698843,10.875428662809043,11.165380930611208,12.349877978174918,13.503458004873263,13.154566578099004,12.018150165310479,11.27712043632069,11.847109352653211,10.707751419904172,12.005820855726771,10.947345033415278,10.504358692568989,10.286781716904796,9.629615956388525,8.98085062620044,8.558998288308114,8.991428836038144,8.098545863726384,8.640577922567383,9.543631356084502,10.799638619221758,10.552120814984574,11.130677448222047,12.246980441678168,12.69974548214909,13.419297787849702,12.936295961470206,14.355824603275144,15.287496557212966,15.730143251905531,16.702754058947924,15.599398316181455,15.205894827302485,14.436199240526422,14.060754553206152,14.58057579207117,13.68875880928143,13.864218181427097,13.84856590930564,14.826868239946796,13.951961869024442,13.775562360419459,13.492302693304792,13.016561520357833,12.7686258971857,12.478399269990113,12.278174726783005,12.72745410535456,13.013790849498392,13.663801914489307,13.128216979013603,12.584806624754021,12.165010451907905,12.260822938497673,11.702998315396433,10.851590448856397,11.256266595586613,10.798595716199102,10.724350084051224,9.271699588013114,7.874897966482078,9.509489564066389,11.46249347370519,10.326724538284099,11.082848891313892,11.961692499116184,12.966204772723696,13.306048906127234,12.9914697575681,12.587671538811032,11.630639411837004,10.850077908641422,10.022015162793654,9.085578412905717,8.690317910532103,8.131651500369365,7.430459438486734,8.178888952370158,6.999987045198787,6.7653370373328805,6.300174888184077,5.956986389483785,6.151913844231032,10.759372949391038,14.544166157707966,15.362431997346885
S02001578,4.017552630656363,1.271140367139678,0.0,1.8747617399151506,3.5287905104091046,4.291910163880408,2.4715339642231067,3.054097325655903,3.248720277758464,3.4641704277192655,4.151395584544615,5.229265865682464,4.379647541125572,5.908968307125836,6.658492704972841,7.6061201985372815,6.49858368448858,5.605236242273566,6.827094608676701,6.371656813533584,5.561156669484691,5.824434915313249,6.123511628753755,7.292578748946982,11.388432774839346,9.87898966094955,10.168941928751712,11.353438976315422,12.507019003013765,12.15812757623951,11.021711163450986,10.280681434461197,10.850670350793717,9.711312418044672,11.009381853867275,9.950906031555782,9.50791969070949,9.2903427150453,8.63317695452903,7.98441162434094,7.561937955074063,7.994989834178647,7.102106861866886,7.644138920707884,8.547192354225007,9.803199617362258,9.555681813125082,10.134238446362554,11.250541439818674,11.703306480289596,12.422858785990208,11.93985695961071,13.359385601415648,14.291057555353468,14.733704250046033,15.70631505708843,14.602959314321957,14.209455825442987,13.439760238666928,13.064315551346658,13.584136790211675,12.692319807421937,12.867779179567604,12.85212690744614,13.830429238087296,12.955522867164943,12.779123358559957,12.49586369144529,12.020122518498333,11.772186895326207,11.481960268130614,11.280601120804953,11.731015103495059,12.01735184763889,12.667362912629805,12.131777977154103,11.58836762289452,11.168571450048404,11.264383936638172,10.706559313536932,9.855151446996897,10.25982759372711,9.802156714339603,9.727911082191724,8.275260586153614,6.634502387518652,8.269093985102968,10.222097894741765,9.091649691170916,9.842453312350466,10.72129692015276,11.725809193760272,12.065653327163808,11.751074178604673,11.352596691697848,10.39556456472382,9.615003061528238,9.551212132494298,8.614775382606362,7.4883466563457395,7.710734988526086,6.627051991053864,6.9687785611732815,5.764912198085605,5.524941458369456,5.065100041070893,4.8189172528537805,6.7962638435945,10.985037525247057,14.529403415298455,15.588096573202904
S02001579,5.6925893687404185,3.115157318878578,1.8747617399151515,0.0,2.6293434639707276,3.273689356663235,1.0589932219494576,1.8774132578470215,1.8617844721805688,2.141116811227967,2.8299013115128484,3.906212249191165,3.056593924634273,4.848315614788143,5.394015038850897,6.487876079374202,5.437930992150887,4.54458354993587,5.766441916339005,5.353436006316413,4.542935862267518,4.806214108096076,5.105290821536582,6.274357941729809,10.370211967622174,8.860768853732372,9.15072112153454,10.33521816909825,11.488798195796592,11.139906769022339,10.00349035623381,9.262460627244025,9.832449543576546,8.6930916108275,9.991161046650106,8.890253339218084,8.447266998371797,8.229690022707613,7.572524262191332,6.9237589320032455,6.501285262736369,6.934337141840954,6.041454169529194,6.583486228370192,7.48653966188731,8.742546925024564,8.495029120787386,9.07358575402486,10.18988874748098,10.642653787951902,11.36220609365251,10.92163615239354,12.341164794198479,13.2728367481363,13.715483442828866,14.683362657965086,13.54230662198426,13.14880313310529,12.37910754632923,12.00366285900896,12.523484097873977,11.631667115084241,11.807126487229908,11.791474215108448,12.769776545749613,11.89487017482726,11.718470666222267,11.4352109991076,10.95946982616064,10.711534202988512,10.421307575792921,10.504358797692271,10.670362411157368,10.956699155301209,11.606710220292124,11.07112528481642,10.527714930556838,10.107918757710722,10.20373124430048,9.64590662119924,8.794498754659203,9.199174901389428,8.741504022001914,8.491438187010868,7.21460789381592,5.311448771027351,6.946040368611664,8.899044278250459,7.793737622454558,8.519399695859162,9.398243303661454,10.402755577268966,10.742599710672504,10.428020562113367,10.054684622981492,9.097652496007466,8.317090992811883,8.253300063777944,7.316863313890005,6.190434587629382,6.412822919809729,5.331685488206962,5.670866492456926,4.467000129369248,4.2018878418781584,3.7671879723545385,3.52355075000688,7.468201654971274,11.366559012125371,13.649929095924216,14.710786452213464
S02001580,6.789668863386041,4.488585754439419,3.528790510409105,2.629343463970727,0.0,1.3307000745238784,2.50418964120586,3.96319210372154,3.234610340569066,3.831710566869952,4.507219988814765,4.577030743301863,3.485366024088087,4.518336478683255,5.267860876530261,6.068244811952479,4.764054463631699,3.158304228528442,4.36952794638778,3.8974292087898568,2.759284242857013,2.9939855839348084,3.2930622973753136,4.462129417568537,8.557983443460905,7.048540329571107,7.338492597373271,8.52298964493698,9.676569671635328,9.438384889151335,8.191261832072538,7.472238902192044,8.261688598104861,7.237084813300946,8.535154249123549,7.802480998516727,7.343377832246322,7.141917682006259,6.484751921489979,5.61506450563847,5.400716789278846,5.846564801139601,5.398640142739911,6.027052077316715,6.72794161036952,7.654774584323212,7.760853850876484,8.005936754739956,9.330214806844051,9.89460668079244,10.45536714863469,9.465629354866984,10.885157996671921,11.816829950609742,12.259476645302307,13.232087452344704,12.454534281282907,11.942474673788281,11.47226860131141,10.996037187941072,11.620493981447343,10.872676794933474,11.07295121731901,11.110108207481792,12.292553851502502,11.417647480580149,11.125942107441935,10.84268244032727,10.36694126738031,9.977358933077614,9.828779017012591,9.859386363503068,10.077833852377038,10.479476461054096,11.129487526045011,10.593902590569309,10.050492236309726,9.63069606346361,9.622656576564774,9.131506940475596,8.290908676097349,8.716687426673651,8.264281327754802,8.190035695606925,6.737385199568809,5.707817592808728,7.245590977660554,9.131676469456808,8.408209993851699,8.756830392604632,9.63567400040693,10.577967038835338,10.917811172238874,10.665451258858843,10.295611903818887,9.629414199463385,9.552077698528349,10.055598002604189,9.119161252716252,7.992732526455628,8.215120858635975,7.143059042050862,7.013736538978604,6.13378347800835,5.186734886474878,5.352337150753836,5.588431057652989,9.92477999340732,13.800358455469244,15.452227034750463,16.513084391039705
S02001581,7.715222172526253,5.288349165739904,4.291910163880409,3.273689356663237,1.3307000745238782,0.0,2.7927397476517353,4.274854648738116,3.4035405774084557,3.8796998328012715,4.519569699737921,4.515408065385915,3.4237433461721394,4.030652362330059,4.780176760177064,5.499447505478397,4.195257157157616,2.58950692205436,3.522160904950529,3.050062167352606,1.644243832563442,1.7649872554296524,2.0640639688701596,3.233131089063385,7.328985114955748,5.819542001065952,6.109494268868116,7.293991316431821,8.447571343130168,8.209386560646179,6.9622635035673825,6.2432405736868875,7.0718451392271975,6.15261541943324,7.4506848552558465,7.091637333311175,6.258908438378617,6.573120375532177,5.915954615015898,4.530595111770764,4.826477528506973,5.27776749466552,4.829842836265828,5.458254770842633,6.1591443038954345,7.085977277849131,7.1920565444024,7.437139448265875,8.76141750036997,9.325809374318357,9.886569842160606,8.381159960999275,9.800688602804211,10.732360556742035,11.1750072514346,12.147618058476997,11.513923019419874,10.858005279920574,10.793970431030724,10.298551843741409,11.05169667497326,10.303879488459392,10.504153910844925,10.541310901007707,11.723756545028424,10.84885017410607,10.557144800967853,10.273885133853186,9.798143960906227,9.408561626603529,9.259981710538508,9.360034649248664,9.509036545902955,9.910679154580018,10.560690219570933,10.025105284095227,9.481694929835644,9.061898756989532,9.05385927009069,8.562709634001521,7.722111369623268,8.14789012019957,7.695484021280721,7.6212383891328415,6.1685878930947275,5.299500958703652,6.791336411838022,8.562879162982725,7.999893359746625,8.269146276251439,9.147989884053732,10.009169732361254,10.34901386576479,10.177767142505642,9.807927787465694,9.22109756535831,9.269447959257858,10.224528239443577,9.288091489555642,8.161662763295018,8.384051095475364,7.311989278890253,7.026086249901759,6.146133188931506,5.125112208558931,5.364686861676993,5.900093602669565,10.236442538423898,14.112021000485823,15.621157271589851,16.682014627879095
S02001582,6.2893615930483735,3.7119295431865336,2.471533964223107,1.0589932219494576,2.5041896412058606,2.7927397476517357,0.0,1.8356600920499342,1.0316285202600564,1.6047021636179803,2.2934866639028613,3.3382022011574404,2.4507160242216397,4.121175854898257,4.721020771543022,5.814881812066325,4.710791232260999,3.8174437900459868,5.039302156449121,4.872486397304914,4.06198625325602,4.325264499084576,4.624341212525082,5.793408332718309,9.889262358610674,8.379819244720874,8.66977151252304,9.85426856008675,11.007848586785094,10.65895716001084,9.522540747222306,8.781511018232527,9.351499934565046,8.144962261939451,9.26414659513004,8.130354603693197,7.687368262846912,7.469791287182727,6.812625526666448,6.163860196478363,5.774145502846486,6.17443840631607,5.314314409639305,5.856346468480303,6.759399901997422,7.98264818949968,7.767889360897494,8.333810359916425,9.462748987591093,9.915514028062015,10.635066333762623,10.440686543382045,11.86021518518698,12.71073354295598,13.168150706470355,13.923463922440204,12.782407886459378,12.388904397580408,11.651967786439343,11.276523099119073,11.79634433798409,10.904527355194354,11.079986727340021,11.064334455218559,12.042636785859726,11.167730414937372,10.991330906332376,10.70807123921771,10.232330066270752,9.984394443098624,9.694167815903032,9.810106417916781,9.94322265126748,10.229559395411322,10.879570460402237,10.343985524926534,9.800575170666953,9.380778997820835,9.476591484410594,8.918766861309354,8.067358994769318,8.472035141499541,8.014364262112025,7.818443919702989,6.487468133926032,4.729533497072678,6.364125094656992,8.317129004295788,7.369027158028829,7.9374844219044896,8.816328029706783,9.82084030331429,10.160684436717828,9.846105288158691,9.476265933118746,8.651130103727336,7.892380528386154,7.828589599352217,6.892152849464278,5.765724123203655,5.988112455384002,4.91605063879889,5.2461560280312,4.042289664943522,3.6654731942681713,3.3424775079288107,3.436924437016805,7.797247981735717,11.672826443797637,13.22521863149849,14.286075987787736
S02001583,6.880887676437722,4.047473856791831,3.0540973256559023,1.8774132578470213,3.9631921037215405,4.274854648738115,1.8356600920499344,0.0,1.5679960200474972,1.5490081910149451,1.8297012056084023,3.1623978205783763,2.602060290206936,4.698136682504388,4.723406083402584,5.812263716281887,5.23846719940556,4.582386717658399,5.804245084061534,5.9348686703179565,5.482724820763894,5.807379400170957,6.106456113611464,7.27552323380469,11.371377259697052,9.861934145807256,10.151886413609418,11.336383461173128,12.202467933169553,11.478715797586316,10.397169124696577,9.601269655808002,10.171258572140523,8.775682816862966,9.817620691224766,8.683828699787927,8.240842358941642,8.023265383277456,7.366099622761177,6.71733429257309,6.294860623306214,6.559641301150541,5.622479128387671,6.053706376718046,6.990536551173421,8.440848227471122,7.999026010073493,8.577582643310961,9.69388563676709,10.146650677238013,10.866202982938617,11.061297293335683,12.48082593514062,13.264207639050708,13.721624802565081,14.476938018534929,13.26314589454418,12.942378493675132,11.883104435615339,11.507659748295065,12.027480987160084,11.135664004370351,11.31112337651602,11.177923453258233,12.1562257838994,11.281319412977046,11.10491990437205,10.821660237257383,10.345919064310424,10.126139012295136,9.807756813942706,10.163598162505771,10.056811649307152,10.343148393450994,10.993159458441909,10.434579419227415,9.891169064967833,9.494367995860507,9.590180482450267,9.032355859349027,8.180947992808996,8.585624139539213,8.114767909555667,7.81582582391855,6.601057131965708,4.511250700754727,6.213687045436213,8.166690955075008,6.747417318764758,7.787046372683712,8.665889980486003,9.67040225409351,10.010246387497046,9.695667238937911,9.008364319291696,8.051332192317666,7.270770689122084,7.206979760088147,6.270543010200208,5.144114283939584,5.359902450830676,4.2128263768301455,4.62454618876713,3.420679825679452,3.3841302943190623,2.720867668664741,2.4046916386300627,6.1389834240409,10.014561886102824,12.603608792234418,13.664466148523665
S02001584,7.092152843279487,4.48911585672189,3.2487202777584647,1.8617844721805694,3.2346103405690667,3.4035405774084544,1.0316285202600566,1.567996020047498,0.0,0.7033092326594014,1.4168981043346385,2.3875809331711975,1.5000947562353937,3.4016873266702983,3.837515870452016,4.931376910975321,3.991302704033042,3.232177634506923,4.45403600091006,4.584659587166481,4.132515737612418,4.739932164347814,5.235142042281801,6.335651507738501,10.474884488039617,8.726480262683387,9.274461281759375,10.278010349428548,10.852258850018076,10.128506714434838,9.046960041545098,8.251060572656522,8.821049488989047,7.4254737337114936,8.46741160807329,7.333619616636449,6.890633275790165,6.67305630012598,6.0158905396097,5.367125209421614,4.944651540154736,5.377703419259322,4.594825881411349,5.136857940252347,6.039911373769466,7.185913202442933,7.048400832669539,7.537075372859678,8.743260459363134,9.196025499834056,9.91557780553466,9.711088210184208,11.130616851989146,11.913998555899232,12.371415719413607,13.126728935383456,11.985672899402633,11.592169410523661,10.93247925821138,10.527175806060797,11.076855809756127,10.185038826966395,10.360498199112062,10.292033240307667,11.270335570948829,10.395429200026475,10.21902969142148,9.935770024306816,9.460028851359858,9.24024879934458,8.92186660099214,9.056195784032703,9.170921436356585,9.457258180500425,10.10726924549134,9.553692613920845,9.010282259661262,8.608477782909942,8.704290269499703,8.146465646398461,7.295057779858426,7.699733926588648,7.233881104249101,6.934939018611985,5.715166919015139,3.7789122290864343,5.413503826670747,7.366507736309542,6.456805028119828,6.986863153918245,7.865706761720535,8.870219035328045,9.210063168731583,8.895484020172443,8.525644665132502,7.700508835741095,6.980158398477153,6.952001039783992,6.015564289896053,4.88913556363543,5.111523895815779,4.039462079230667,4.369567468462977,3.165701105375299,2.7310173223602576,2.4658889483605875,2.7263433293015917,7.529245572196507,11.09266385619988,12.348630071930268,13.409487428219512
S02001585,7.45097827019938,4.704566006682692,3.464170427719266,2.141116811227967,3.831710566869953,3.879699832801272,1.6047021636179801,1.5490081910149456,0.7033092326594013,0.0,0.9431685570235381,1.9508056444322324,1.1830758598062703,3.4025369447348335,3.4945997903398442,4.588460830863149,3.9921523220975774,3.2330272525714583,4.454885618974596,4.585509205231016,4.403013205059964,5.010429631795361,5.573784226648858,6.517894791242124,10.475734106104152,8.72732988074792,9.275310899823909,10.278859967493084,10.85310846808261,10.129356332499372,9.047809659609634,8.251910190721057,8.82189910705358,7.42632335177603,8.581338287637823,7.447546296200986,7.0045599553547016,6.786982979690517,6.129817219174237,5.481051888986152,5.122229135222509,5.330835008087803,4.393672835324932,4.824900083655308,5.761730258110682,7.212041934408386,6.770219717010755,7.3487763502482215,8.465079343704346,8.917844384175268,9.637396689875873,9.825014889748742,11.24454353155368,12.027925235463767,12.48534239897814,13.240655614947991,12.034339601481436,11.706096090088197,10.654298142552594,10.278853455232325,10.798674694097341,9.906857711307609,10.082317083453276,9.949117160195495,10.927419490836659,10.052513119914305,9.876113611309313,9.592853944194646,9.117112771247688,8.897332719232411,8.57895052087997,8.537528801158592,8.828005356244415,9.114342100388255,9.764353165379168,9.210776533808671,8.66736617954909,8.265561702797772,8.361374189387533,7.803549566286291,6.952141699746257,7.356817846476478,6.890965024136931,6.592022938499814,5.372250838902969,3.3560421662684172,4.99063376385273,6.9436376734915255,5.972268942878793,6.563993091100229,7.442836698902519,8.447348972510024,8.787193105913563,8.47261395735443,8.102774602314485,7.2761838164317005,6.49562231323612,6.478271492472893,5.541834742584953,4.4154060163243285,4.63779434850468,3.5657325319195663,3.8958379211518768,2.6919715580641976,2.246481237119225,1.9921594010494865,2.252613781990491,7.247305750333694,10.618934308888777,11.874900524619163,12.93575788090841
