IntZone,S02001576,S02001577,S02001578,S02001579,S02001580,S02001581,S02001582,S02001583,S02001584,S02001585,S02001586,S02001587,S02001588,S02001589,S02001590,S02001591,S02001592,S02001593,S02001594,S02001595,S02001596,S02001597,S02001598,S02001599,S02001600,S02001601,S02001602,S02001603,S02001604,S02001605,S02001606,S02001607,S02001608,S02001609,S02001610,S02001611,S02001612,S02001613,S02001614,S02001615,S02001616,S02001617,S02001618,S02001619,S02001620,S02001621,S02001622,S02001623,S02001624,S02001625,S02001626,S02001627,S02001628,S02001629,S02001630,S02001631,S02001632,S02001633,S02001634,S02001635,S02001636,S02001637,S02001638,S02001639,S02001640,S02001641,S02001642,S02001643,S02001644,S02001645,S02001646,S02001647,S02001648,S02001649,S02001650,S02001651,S02001652,S02001653,S02001654,S02001655,S02001656,S02001657,S02001658,S02001659,S02001660,S02001661,S02001662,S02001663,S02001664,S02001665,S02001666,S02001667,S02001668,S02001669,S02001670,S02001671,S02001672,S02001673,S02001674,S02001675,S02001676,S02001677,S02001678,S02001679,S02001680,S02001681,S02001682,S02001683,S02001684,S02001685,S02001686
S02001576,0.0,3.018065887664761,4.302588372772195,7.338346232250599,8.01258239191469,7.842005896934287,6.758664067662231,8.397186290636048,7.5505821746126385,8.323664496058262,8.641971189692216,9.7706714460653,8.363870163275234,9.459064040179715,10.474142464978359,11.156215931591168,10.048679417542463,9.182627566326053,10.616759669574307,10.698036944045962,9.223515394793257,9.689774627372632,9.718576756953953,10.97869134104074,15.445557792387353,14.102579572424474,13.759733251509175,14.996911626849526,16.393067879119886,16.110781586369228,15.162932131094077,14.54223551412426,14.849368412436565,13.62583259416478,14.951983178575587,13.868695278208925,13.383817995468055,13.40615150223049,12.849339208454973,12.048209793788851,11.438785585284137,11.667171147723298,10.977022964214044,11.300217735161274,12.494669235215488,14.08353295125685,13.260636789413677,13.989861641562388,15.024175958103063,15.405119089518433,16.344974079810555,16.038826029430865,17.48339450470391,19.030829631757424,18.978211264014618,20.20275214295879,18.59180050847009,18.47743412257019,17.445104960764272,16.932184966054226,17.34910944126585,16.511025457237906,16.55163519990549,16.575991797622272,17.991692005331327,16.899190788647875,16.568549982973614,16.499595260166394,15.683858154865488,15.660603456920905,15.28444537369635,14.825386985347933,15.34220974047374,16.118169021573618,16.65472759977424,15.871127583822275,15.306337350851352,14.966447278657958,14.840865295938773,14.291684502762081,13.440276636222045,13.866055386798347,13.513049848181149,13.290147295555547,11.899109654174726,10.989297897752106,12.35916956250099,14.546212991478559,13.701500382892348,14.14320748313333,15.40996791382377,15.722208141450947,16.047668632374837,16.065449654541045,15.871024492774612,15.341864558196242,14.202567778726932,13.579215746940664,12.437494090038289,11.828024402751266,11.777301870264857,10.976737406057524,11.345450569263686,10.165329234100351,10.058568702339429,9.404985195376028,9.06522156819602,8.612063994261346,14.66398951057586,17.955435740745386,18.905435738244392
S02001577,2.9891371917140335,0.0,1.4743020357631031,4.791133973685678,5.465370133349768,5.294793638369367,4.21145180909731,5.553590835319042,5.003369916047718,5.4071753709020225,5.725482064535973,6.854182320909062,5.816657904710312,6.911851781614795,7.926930206413437,8.60900367302624,7.501467158977538,6.635415307761132,8.069547411009388,8.150824685481043,6.676303136228334,7.14256236880771,7.171364498389032,8.431479082475818,12.898345533822434,11.555367313859556,11.212520992944256,12.449699368284605,13.845855620554968,13.563569327804307,12.615719872529159,11.99502325555934,12.30215615387165,11.078620335599865,12.404770920010666,11.321483019644003,10.836605736903133,10.858939243665569,10.30212694989005,9.500997535223938,8.891573326719215,9.119958889158374,8.429810705649116,8.753005476596345,9.94745697665056,11.536320692691929,10.71342453084875,11.44264938299746,12.476963699538137,12.857906830953503,13.797761821245626,13.49161377086595,14.936182246139,16.483617373192512,16.430999005449703,17.655539884393857,16.044588249905164,15.930221864005265,14.897892702199345,14.384972707489295,14.801897182700932,13.963813198672979,14.00442294134056,14.028779539057346,15.4444797467664,14.351978530082954,14.021337724408689,13.952383001601468,13.136645896300559,13.113391198355975,12.73723311513142,12.278174726783005,12.794997481908812,13.570956763008688,14.10751534120931,13.323915325257348,12.759125092286423,12.419235020093028,12.293653037373844,11.744472244197151,10.893064377657115,11.318843128233418,10.96583758961622,10.74293503699062,9.351897395609798,8.281267775761512,9.811957303936067,11.998134486388691,10.993470260901756,11.595128978043462,12.861889408733903,13.174995882886018,13.500456373809907,13.518237395976117,13.0969195058789,12.425375433040005,11.286078653570694,10.66272662178442,9.521004964882046,8.911535277595027,8.860812745108614,8.060248280901282,8.428961444107449,7.24884010894411,7.142079577183189,6.488496070219787,6.148732443039779,6.277731463973938,12.329656980288453,15.621103210457985,16.571103207956984
S02001578,4.273659676821469,1.4745139643375926,0.0,3.793560367707625,4.467796527371715,4.297220032391315,3.2138782031192576,4.852400426093073,4.005796310069665,5.15487012962995,5.663789776357806,6.261749340492467,4.81908429873226,5.914278175636741,6.9293566004353835,7.611430067048188,6.503893552999484,5.6378417017830795,7.0719738050313365,7.15325107950299,5.6787295302502825,6.144988762829658,6.17379089241098,7.433905476497764,11.900771927844383,10.557793707881505,10.214947386966205,11.452125762306556,12.848282014576919,12.565995721826257,11.618146266551108,10.997449649581291,11.304582547893597,10.081046729621818,11.407197314032615,10.323909413665948,9.839032130925084,9.861365637687513,9.304553343911994,8.503423929245885,7.893999720741159,8.122385283180318,7.432237099671061,7.755431870618287,8.949883370672506,10.538747086713872,9.715850924870693,10.445075777019406,11.479390093560081,11.86033322497545,12.800188215267571,12.4940401648879,13.938608640160952,15.486043767214463,15.433425399471655,16.657966278415806,15.04701464392711,14.93264825802721,13.90031909622129,13.38739910151124,13.804323576722878,12.966239592694926,13.006849335362507,13.031205933079294,14.446906140788347,13.354404924104902,13.023764118430638,12.95480939562342,12.139072290322508,12.115817592377924,11.739659509153372,11.280601120804953,11.797423875930761,12.573383157030635,13.10994173523126,12.326341719279295,11.761551486308372,11.421661414114977,11.296079431395793,10.7468986382191,9.895490771679064,10.321269522255369,9.968263983638169,9.745361431012567,8.354323789631746,7.444512033209135,8.814383697958014,11.001427126935583,10.156714518349377,10.598421618590354,11.865182049280795,12.177422276907967,12.502882767831856,12.520663789998068,12.326238628231637,11.999853314751102,11.224386365392526,10.601034333606252,9.459312676703878,8.849842989416858,8.799120456930444,7.998555992723114,8.36726915592928,7.187147820765942,6.834411073076652,6.426803782041619,6.087040154861611,7.052366152271859,12.599066265047831,15.648947996033714,16.598947993532715
S02001579,7.354962309481339,4.836678746867142,3.839105140889092,0.0,3.691554204259031,3.52097770927863,1.2612123800446817,2.3237992754698613,2.0531304869950895,2.812018598523487,3.3858062686954122,4.241794513661844,3.3313048211065883,5.138035852524058,5.979533407007721,6.835187743935505,5.727651229886801,4.861599378670395,6.295731481918652,6.377008756390305,4.902487207137598,5.368746439716971,5.397548569298293,6.657663153385078,11.124529604731697,9.781551384768818,9.438705063853519,10.67588343919387,12.072039691464232,11.78975339871357,10.841903943438421,10.221207326468607,10.528340224780912,9.304804406509131,10.630954990919928,9.547667090553263,9.062789807812397,9.085123314574828,8.528311020799308,7.7271816061332,7.117757397628474,7.346142960067635,6.655994776558378,6.979189547505604,8.173641047559824,9.762504763601187,8.939608601758012,9.668833453906725,10.7031477704474,11.08409090186277,12.02394589215489,11.717797841775214,13.162366317048265,14.709801444101776,14.657183076358967,15.881723955303126,14.270772320814428,14.15640593491453,13.124076773108609,12.61115677839856,13.028081253610196,12.189997269582244,12.230607012249825,12.254963609966612,13.670663817675663,12.578162600992219,12.247521795317956,12.178567072510738,11.362829967209827,11.339575269265243,10.96341718604069,10.504358797692271,11.02118155281808,11.797140833917952,12.333699412118577,11.550099396166612,10.985309163195689,10.645419091002294,10.51983710828311,9.970656315106417,9.119248448566381,9.545027199142684,9.192021660525489,8.969119107899887,7.57808146651906,5.668879968514292,7.6069613642717275,9.385746679141466,8.381082453654532,8.982741170796237,10.249501601486678,10.98365450003444,11.30911499095833,10.964348471221268,10.71055818043752,10.107461367846573,8.968164588377265,8.875919185041594,7.734197528139215,6.593621212401597,7.863158352466842,5.742334215707854,6.111047378914017,4.930926043750682,4.621543594505698,4.170582005026359,3.8308183778463523,8.421495095857358,13.32957506121286,14.139713522064044,15.438728440334987
S02001580,7.983653695963963,5.465370133349768,4.467796527371715,3.64320750930575,0.0,1.3336699603513038,3.0635253447173825,4.702047567691198,3.8554434516677896,5.004517271228076,5.764054560916748,5.362646212129076,4.391371182744115,4.607861508929356,5.622939933727999,6.283384771346169,4.818366049193539,3.166716068653656,4.600848171901912,4.682125446373565,3.207603897120861,3.3407763535184998,3.3695784830998208,4.629693067186606,9.096559518533223,7.753581298570343,7.410734977655039,8.647913352995394,10.044069605265756,9.761783312515094,8.813933857239942,8.27829737278273,8.833456914764174,7.609921096492392,8.93607168090319,7.852783780536518,7.367906497795656,7.390240004558085,6.8334277107825665,6.032298296116461,5.422874087611733,5.854976641264813,5.494313019362852,6.427386574916269,7.20464009761523,8.067621453584445,7.927970779563339,8.492473889849881,9.643217025586889,10.123046558645264,11.002018838358508,10.02291453175848,11.467483007031529,13.014918134085042,12.962299766342232,14.211991641921724,13.248845267018046,12.961541090152167,12.102149719312226,11.589229724602177,12.006154199813814,11.22895292636474,11.26956266903232,11.35943305253026,13.035884804128926,11.94338358744548,11.602549361128752,11.533594638321532,10.550942088467506,10.444044711828889,10.318444751851484,9.859386363503068,10.376209118628875,11.162361820371213,11.698920398571838,10.915320382619873,10.35053014964895,10.010640077455555,9.88505809473637,9.335877301559679,8.484469435019642,8.910248185595945,8.640218687936153,8.41731613531055,7.026278493929724,6.138095366501751,7.507967031250629,9.695010460228197,8.850297851641992,9.292004951882967,10.558765382573409,10.84937698120595,11.17483747212984,11.192618494296049,11.01982196152425,10.693436648043715,10.430586039955799,11.254167477262934,10.11244582036056,8.971869504622939,10.241406644688187,8.120582507929193,8.174040148037937,7.225937951859035,6.430289227124848,6.444491624604521,6.20906667006769,10.799743388078694,15.707823353434195,16.517961814285385,17.81697673255632
S02001581,7.813077200983562,5.294793638369366,4.297220032391314,3.4726310143253483,1.3336699603513036,0.0,2.892948849736981,4.531471072710795,3.6848669566873884,4.833940776247676,5.593478065936347,4.863294497874671,4.169550161039813,4.1085097946749505,5.123588219473593,5.784033057091762,4.319014334939132,2.6673643543992513,4.101496457647507,3.556777096293509,2.5054413575000023,2.0802312344351566,2.1090333640164776,3.369147948103262,7.836014399449876,6.4930361794869995,6.150189858571696,7.387368233912049,8.783524486182412,8.501238193431755,7.553388738156599,7.017752253699386,7.828293132559283,6.738044937370935,8.225973612510712,7.3534320662821155,6.844337956316313,6.890888290303683,6.334075996528164,5.160422136995004,4.92352237335733,5.355624927010411,4.994961305108447,5.928034860661862,6.705288383360825,7.568269739330043,7.428619065308935,7.993122175595475,9.143865311332485,9.62369484439086,10.502667124104104,9.151038372637023,10.595606847910075,12.143041974963586,12.090423607220776,13.34011548280027,12.706589703029254,12.089664931030711,11.602798005057823,11.089878010347773,11.50680248555941,10.729601212110335,10.770210954777916,10.860081338275855,12.536533089874519,11.444031873191074,11.10319764687435,11.03424292406713,10.0515903742131,9.944692997574485,9.819093037597082,9.360034649248664,9.876857404374473,10.663010106116808,11.199568684317432,10.415968668365467,9.851178435394544,9.51128836320115,9.385706380481965,8.836525587305273,7.985117720765237,8.41089647134154,8.140866973681744,7.917964421056144,6.526926779675318,5.638743652247346,7.008615316996223,9.19565874597379,8.350946137387586,8.792653237628558,10.059413668319,10.350025266951544,10.675485757875434,10.693266780041645,10.520470247269841,10.194084933789306,9.931234325701393,11.083590982282532,9.941869325380157,8.801293009642537,10.070830149707787,7.950006012948793,7.9522191263336355,7.004116930154733,6.208468205420546,6.222670602900219,6.03849017508729,10.629166893098292,15.537246858453795,16.347385319304983,17.646400237575918
S02001582,6.660709929705849,4.142426367091654,3.144852761113603,1.2860512962925725,2.9973018244835417,2.8267253295031405,0.0,2.236355122140179,1.1425835210889372,2.2916573406492224,3.29836211536573,3.5914492032520733,2.680959510696817,4.443783472748568,5.329188096597945,6.140935364160015,5.033398850111311,4.167346998894906,5.601479102143161,5.682756376614815,4.2082348273621095,4.674494059941483,4.703296189522805,5.96341077360959,10.430277224956207,9.087299004993328,8.744452684078029,9.98163105941838,11.377787311688742,11.095501018938082,10.147651563662931,9.526954946693115,9.834087845005424,8.61055202673364,9.93670261114444,8.853414710777772,8.368537428036909,8.390870934799338,7.834058641023818,7.03292922635771,6.4235050178529844,6.651890580292145,5.961742396782888,6.2849371677301145,7.479388667784334,9.068252383825698,8.245356221982524,8.974581074131235,10.008895390671912,10.38983852208728,11.3296935123794,11.023545461999726,12.468113937272776,14.015549064326287,13.962930696583479,15.187471575527635,13.576519941038939,13.46215355513904,12.429824393333117,11.916904398623068,12.333828873834706,11.495744889806755,11.536354632474335,11.560711230191123,12.976411437900175,11.883910221216729,11.553269415542465,11.484314692735246,10.668577587434337,10.645322889489751,10.269164806265199,9.810106417916781,10.326929173042588,11.102888454142462,11.639447032343087,10.855847016391122,10.2910567834202,9.951166711226804,9.82558472850762,9.276403935330928,8.424996068790891,8.850774819367196,8.497769280749997,8.274866728124397,6.88382908674357,5.01853465810452,6.956616053861954,8.735401368731695,7.7307371432447605,8.332395860386464,9.599156291076905,10.333309189624668,10.658769680548557,10.314003160811495,10.060212870027748,9.572117571712978,8.432820792243673,8.788475031711911,7.646753374809533,6.5061770590719155,7.77571419913716,5.654890062378172,5.714949205009015,4.766847008830112,3.9711982840959252,3.985400681575598,3.74337422451667,8.334050942527675,13.242130907883178,14.052269368734363,15.351284287005305
S02001583,7.198737014462674,4.312377817275104,4.353481906030075,2.342519133789421,4.706786965208339,4.536210470227939,2.234067111379322,0.0,2.017842985178072,2.19304472680566,2.63300879457434,3.761709050947428,3.1704957667073006,5.389956851635865,5.4994479442933,6.494427108749006,5.827185117523093,5.229720745134189,6.6638528483824455,6.7451301228541,5.9177199680869075,6.383979200666281,6.412781330247603,7.672895914334388,12.139762365681005,10.796784145718126,10.453937824802827,11.691116200143176,13.058402337142544,12.402634498424373,11.600877386122331,10.589328692932398,10.896461591244705,9.672925772972924,10.921263581995056,9.765357460246525,9.353098398887523,9.213574255649593,8.454615083290395,8.095302972596995,7.186791742817578,7.122151665550168,6.61340215808251,6.638428912319106,7.949649753042357,9.556758443124115,8.715617307240544,9.444842159389255,10.479156475929932,10.743330266676269,11.79995459763742,12.085919208239007,13.530487683512058,14.78993014353638,15.02530444282276,15.657732660785657,14.046781026296959,13.93241464039706,12.900085478591137,12.387165483881088,12.804089959092726,11.849236634395744,11.889846377063325,11.914202974780112,13.329903182489163,12.237401965805716,11.906761160131454,11.837806437324236,11.022069332023326,10.998814634078741,10.622656550854188,10.163598162505771,10.680420917631578,11.45638019873145,11.992938776932075,11.20933876098011,10.644548528009187,10.304658455815792,10.179076473096607,9.629895679919915,8.77848781337988,9.204266563956182,8.851261025338987,8.628358472713385,7.237320831332561,5.188794505799874,7.12687590155731,8.905661216427049,7.900996990940114,8.502655708081818,9.76941613877226,10.503569037320021,10.829029528243911,10.484263008506849,10.026207966564398,9.354663893725494,8.215367114256193,8.123121710920518,6.981400054018144,5.840823738280526,6.554566543683012,4.989536741586782,5.358249904792945,4.17812856962961,4.049606307221556,3.4177845309052857,3.078020903725279,6.599050007016683,11.579949950354852,13.386916047942972,14.685930966213913
S02001584,7.4526280366562565,4.934344474042061,3.93677086806401,2.0779694032429807,3.7892199314339496,3.6186434364535485,1.1425835210889375,2.0249375548559074,0.0,1.354514809871507,2.4812199225952183,2.654306672474358,1.7438169799191017,3.9632780648476653,4.39204556582023,5.387024730275935,4.552893442210409,3.8030419583459913,5.237174061594247,5.3184513360659,5.000152934312515,5.466412166891891,5.495214296473213,6.755328880559998,11.222195331906615,9.879217111943737,9.536370791028437,10.773549166368788,11.63172355035435,10.975955711636178,10.174198599334135,9.1626499061442,9.469782804456509,8.246246986184726,9.572397570595525,8.489109670228855,8.004232387487992,8.026565894250421,7.347212704817325,6.668624185808795,5.954879570464902,6.014749287077097,5.481236988881986,5.531026533846035,6.842247374569287,8.449356064651049,7.608214928767477,8.337439780916185,9.371754097456863,9.635927888203202,10.692552219164352,10.65924042145081,12.103808896723862,13.651244023777373,13.598625656034564,14.550330282312588,12.93937864782389,12.82501226192399,11.79268310011807,11.279763105408021,11.696687580619658,10.74183425592268,10.782443998590258,10.806800596307045,12.222500804016093,11.129999587332648,10.799358781658386,10.730404058851168,9.914666953550256,9.891412255605676,9.51525417238112,9.056195784032703,9.57301853915851,10.348977820258382,10.885536398459006,10.101936382507041,9.537146149536119,9.197256077342724,9.071674094623539,8.522493301446847,7.6710854349068125,8.096864185483115,7.743858646865917,7.520956094240318,6.12991845285949,4.081392127326803,6.019473523084239,7.798258837953975,6.793594612467044,7.3952533296087495,8.662013760299192,9.396166658846953,9.721627149770843,9.376860630033777,9.123070339250033,8.63497504093526,7.495678261465955,8.030076171390737,6.888354514488362,5.747778198750744,7.017315338815989,4.896491202057001,4.777806674231298,3.829704478052396,3.034055753318209,3.0482581507978814,3.5319566572323984,7.882906818887425,12.863806762225598,13.29387050841319,14.592885426684134
S02001585,8.143466208036875,5.257107010849305,5.085844687624296,2.5788122592169773,4.938293750994234,4.7677172560138334,2.2916573406492233,1.8279085320725568,1.3545148098715072,0.0,1.1630389922303273,2.1356396896002483,1.2267651261964618,3.4462262111250253,3.8733785829461205,4.868357747401827,4.03584158848777,3.285990104623351,4.720122207871606,4.80139948234326,4.541908179835513,5.135225031292315,5.720051057952551,6.8236374496875625,11.349433994034044,9.373318441716146,9.86998347424687,10.900787828496215,11.114671696631707,10.458903857913535,9.657146745611493,8.645598052421558,8.952730950733867,7.729195132462086,9.055345716872885,7.972057816506214,7.487180533765353,7.509514040527781,6.828545721943217,6.151572332086155,5.437827716742264,5.496082304202989,4.964185135159347,5.012359550971927,6.323580391695179,7.930689081776941,7.0895479458933695,7.818772798042075,8.85308711458275,9.117260905329095,10.17388523629024,10.142188567728173,11.586757043001224,13.134192170054735,13.081573802311926,14.031663299438476,12.420711664949778,12.30634527904988,11.274016117243958,10.761096122533909,11.178020597745546,10.22316727304857,10.263777015716151,10.288133613432938,11.703833821141988,10.611332604458541,10.280691798784279,10.21173707597706,9.39599997067615,9.372745272731567,8.996587189507013,8.537528801158592,9.054351556284402,9.830310837384275,10.3668694155849,9.58326939963293,9.018479166662008,8.678589094468617,8.553007111749434,8.00382631857274,7.152418452032704,7.578197202609007,7.225191663991808,7.002289111366209,5.611251469985382,3.562725144452693,5.50080654021013,7.2795918550798655,6.274927629592935,6.87658634673464,8.143346777425082,8.877499675972844,9.202960166896734,8.858193647159665,8.60440335637592,7.943437423830826,6.804140644361522,6.711895241025847,5.570173584123471,4.429597268385853,5.699134408451101,3.578310271692111,3.947023434898275,2.76690209973494,2.4235369458743765,2.0065580610106157,2.399048175435989,7.543779200590886,11.808800789451182,11.9756895780483,13.27470449631924
