IntZone,S02001576,S02001577,S02001578,S02001579,S02001580,S02001581,S02001582,S02001583,S02001584,S02001585,S02001586,S02001587,S02001588,S02001589,S02001590,S02001591,S02001592,S02001593,S02001594,S02001595,S02001596,S02001597,S02001598,S02001599,S02001600,S02001601,S02001602,S02001603,S02001604,S02001605,S02001606,S02001607,S02001608,S02001609,S02001610,S02001611,S02001612,S02001613,S02001614,S02001615,S02001616,S02001617,S02001618,S02001619,S02001620,S02001621,S02001622,S02001623,S02001624,S02001625,S02001626,S02001627,S02001628,S02001629,S02001630,S02001631,S02001632,S02001633,S02001634,S02001635,S02001636,S02001637,S02001638,S02001639,S02001640,S02001641,S02001642,S02001643,S02001644,S02001645,S02001646,S02001647,S02001648,S02001649,S02001650,S02001651,S02001652,S02001653,S02001654,S02001655,S02001656,S02001657,S02001658,S02001659,S02001660,S02001661,S02001662,S02001663,S02001664,S02001665,S02001666,S02001667,S02001668,S02001669,S02001670,S02001671,S02001672,S02001673,S02001674,S02001675,S02001676,S02001677,S02001678,S02001679,S02001680,S02001681,S02001682,S02001683,S02001684,S02001685,S02001686
S02001576,0.0,13.419950342783238,12.422376736805187,10.457955741406682,12.010039295513154,11.839462800532754,9.675172846592325,10.508696195476494,9.962657688643688,10.744543712554268,11.276790569685634,11.043591571627516,9.60092652986731,10.349882157233461,11.364960582032102,12.04703404864491,10.939497534596205,10.545484225108456,11.979616328356713,12.060893602828365,11.80140230032062,12.394719151777418,12.979545178437657,14.083131570172668,18.608928114519152,16.632812562201256,17.129477594731974,18.16028194898132,18.37416581711682,17.718397978398645,16.916640866096603,15.905092172906663,16.21222507121897,14.98868925294719,16.033575999068166,14.9502880987015,14.465410815960634,14.487744322723067,13.832754073191232,13.41106645257126,12.341483662850695,12.557989264777042,11.86784108126778,12.191035852215013,13.385487352269232,14.992596042350995,14.151454906467421,14.704580275708583,15.417059736523363,15.89688926958174,16.928067882494727,17.285865750354674,18.730434225627725,19.918043428393684,20.225250984938427,20.785845945642958,19.174894311154254,19.06052792525436,18.028198763448444,17.515278768738394,17.932203243950028,17.00279563730122,17.0434053799688,17.133275763466727,18.79041544499517,17.697914228311706,17.367273422637442,17.298318699830226,16.324784799403975,16.217887422765358,16.083168813360174,15.624110425011757,16.140933180137566,16.91689246123745,17.453451039438075,16.669851023486096,16.105060790515175,15.76517071832178,15.639588735602597,15.090407942425903,14.239000075885867,14.664778826462168,14.311773287844973,14.088870735219372,12.697833093838547,11.880116014805854,13.249987679554733,15.437031108532295,14.592318499946096,15.034025600187071,16.30078603087751,16.520931581114773,16.84639207203866,16.864173094204872,16.761842609828353,16.43545729634782,16.101467082395786,16.821715308636605,15.679993651734229,14.539417335996612,15.879262201801986,13.758438065042998,13.383595495161131,12.435493298982228,11.639844574248041,11.654046971727714,12.015715297852985,16.60639201586399,21.514471981219486,22.08550964565906,23.38452456393
S02001577,13.391021646832513,0.0,9.875164478240265,7.91074348284176,9.462827036948234,9.292250541967832,7.127960588027404,7.961483936911573,7.415445430078766,8.19733145398935,8.729578311120711,8.496379313062594,7.05371427130239,7.802669898668541,8.817748323467182,9.49982179007999,8.392285276031284,7.998271966543536,9.432404069791792,9.513681344263444,9.254190041755699,9.847506893212497,10.432332919872737,11.535919311607747,16.061715855954233,14.085600303636337,14.582265336167051,15.613069690416403,15.826953558551896,15.171185719833725,14.369428607531683,13.357879914341742,13.665012812654048,12.44147699438227,13.486363740503245,12.40307584013658,11.918198557395714,11.940532064158148,11.285541814626312,10.86385419400634,9.794271404285775,10.01077700621212,9.320628822702862,9.64382359365009,10.838275093704311,12.445383783786074,11.604242647902502,12.157368017143664,12.869847477958443,13.34967701101682,14.380855623929804,14.738653491789751,16.183221967062803,17.37083116982876,17.678038726373508,18.238633687078035,16.627682052589336,16.51331566668944,15.480986504883521,14.968066510173472,15.384990985385105,14.455583378736298,14.496193121403879,14.586063504901809,16.243203186430247,15.150701969746784,14.82006116407252,14.751106441265303,13.777572540839053,13.67067516420044,13.535956554795252,13.076898166446835,13.593720921572643,14.369680202672527,14.906238780873153,14.122638764921174,13.557848531950253,13.217958459756858,13.092376477037675,12.543195683860981,11.691787817320945,12.117566567897246,11.76456102928005,11.54165847665445,10.150620835273624,9.332903756240933,10.702775420989813,12.889818849967375,12.045106241381177,12.486813341622149,13.753573772312592,13.973719322549853,14.299179813473739,14.31696083563995,14.214630351263432,13.8882450377829,13.554254823830867,14.274503050071685,13.13278139316931,11.992205077431692,13.332049943237065,11.211225806478076,10.836383236596209,9.888281040417308,9.09263231568312,9.106834713162794,9.468503039288063,14.059179757299066,18.967259722654564,19.53829738709414,20.83731230536508
S02001578,12.39344804085446,9.875164478240265,0.0,6.913169876863708,8.46525343097018,8.294676935989779,6.130386982049352,6.96391033093352,6.417871824100714,7.199757848011295,7.732004705142659,7.498805707084541,6.056140665324335,6.8050962926904885,7.820174717489129,8.502248184101937,7.394711670053232,7.000698360565483,8.43483046381374,8.516107738285392,8.256616435777646,8.849933287234444,9.434759313894684,10.538345705629695,15.064142249976179,13.088026697658282,13.584691730189,14.61549608443835,14.829379952573843,14.173612113855672,13.37185500155363,12.36030630836369,12.667439206675997,11.443903388404216,12.488790134525193,11.405502234158527,10.920624951417661,10.942958458180094,10.287968208648259,9.866280588028287,8.796697798307722,9.013203400234069,8.323055216724807,8.64624998767204,9.840701487726259,11.447810177808021,10.606669041924448,11.15979441116561,11.872273871980388,12.352103405038765,13.38328201795175,13.741079885811699,15.18564836108475,16.373257563850707,16.680465120395453,17.24106008109998,15.630108446611281,15.515742060711386,14.483412898905467,13.970492904195417,14.38741737940705,13.458009772758244,13.498619515425824,13.588489898923754,15.245629580452192,14.15312836376873,13.822487558094465,13.753532835287249,12.779998934860998,12.673101558222385,12.538382948817198,12.07932456046878,12.596147315594589,13.372106596694472,13.908665174895098,13.12506515894312,12.560274925972198,12.220384853778803,12.09480287105962,11.545622077882927,10.69421421134289,11.119992961919191,10.766987423301996,10.544084870676395,9.15304722929557,8.33533015026288,9.70520181501176,11.892245243989322,11.047532635403122,11.489239735644098,12.756000166334537,12.976145716571798,13.301606207495684,13.319387229661896,13.21705674528538,12.890671431804847,12.556681217852812,13.276929444093632,12.135207787191256,10.994631471453637,12.334476337259012,10.213652200500023,9.838809630618156,8.890707434439253,8.095058709705068,8.10926110718474,8.47092943331001,13.061606151321016,17.969686116676513,18.540723781116085,19.839738699387027
S02001579,10.427397346955239,7.909113784341042,6.911540178362991,0.0,6.4838270623748455,6.313250567394444,5.354144658936668,6.187668007820836,5.64162950098803,5.21833147941596,5.750578336547324,5.5173793384892065,4.074714296729001,5.71802621576215,6.733104640560793,7.4151781071736,6.307641593124895,5.557790109260477,6.991922212508732,7.073199486980386,6.81370818447264,7.407025035929441,7.991851062589677,9.095437454324689,13.621233998671173,11.645118446353273,12.141783478883998,13.172587833133342,13.386471701268835,12.730703862550662,11.92894675024862,10.917398057058683,11.22453095537099,10.00099513709921,11.32714572151001,10.243857821143342,9.75898053840248,9.781314045164908,9.200898131719924,8.42337233672328,7.709627721379386,7.926133323305731,7.235985139796472,7.559179910743699,8.753631410797922,10.360740100879683,9.519598964996112,10.248823817144817,11.096031548867705,11.575861081926082,12.603936255392984,12.413988572365298,13.85855704763835,15.40599217469186,15.353373806949051,16.46171431854122,14.850762684052523,14.736396298152624,13.704067136346701,13.191147141636652,13.608071616848289,12.68176744964556,12.722377192313141,12.812247575811071,14.25065418091376,13.158152964230315,12.827512158556054,12.758557435748834,11.942820330447923,11.896859235109702,11.543407549278783,11.084349160930365,11.601171916056177,12.37713119715605,12.913689775356673,12.130089759404708,11.565299526433783,11.225409454240392,11.099827471521206,10.550646678344512,9.699238811804477,10.12501756238078,9.77201202376358,9.549109471137982,8.158071829757155,6.94446479334165,8.618131738083422,10.661331503968821,9.65666727848189,10.258325995623597,11.525086426314036,11.981170317033385,12.306630807957273,12.239933296048623,11.986143005264879,11.659757691784346,10.57525484925748,11.295503075498296,10.153781418595921,9.013205102858304,10.353049968663676,8.232225831904689,7.857383262022822,6.90928106584392,6.113632341109732,6.127834738589405,7.4374081135754535,12.28536382820833,16.462716349663754,16.559297412520753,17.858312330791694
S02001580,11.965734924866315,9.44745136225212,8.449877756274068,6.485456760875563,0.0,8.131750324663606,5.702673866061207,6.536197214945375,5.990158708112569,7.024416537999001,7.581651846740783,7.132167879902063,5.90578780692246,6.3773831767023434,7.392461601500985,8.074535068113791,6.9669985540650865,6.572985244577338,8.007117347825593,8.088394622297248,7.828903319789501,8.4222201712463,9.007046197906538,10.11063258964155,14.636429133988035,12.660313581670138,13.156978614200854,14.187782968450204,14.401666836585697,13.745898997867528,12.944141885565486,11.932593192375545,12.239726090687851,11.016190272416072,11.971018885421387,10.573983130287967,10.492911835429517,10.022199925691037,9.736287489143233,9.438567472040141,8.368984682319578,8.585490284245923,7.895342100736663,8.218536871683893,8.702621027695596,10.344731266476227,9.468588581893782,9.853377744458225,10.565857205273003,11.04568673833138,12.076865351244365,13.223308636707893,14.667877111980939,15.066840897143324,15.48833912224842,15.934643414392596,14.323691779903896,14.209325394004,13.176996232198082,12.664076237488032,13.081000712699666,12.151593106050859,12.19220284871844,12.28207323221637,13.939212913744807,12.846711697061345,12.51607089138708,12.447116168579864,11.473582268153613,11.366684891515,11.231966282109813,10.772907893761396,11.289730648887204,12.065689929987087,12.602248508187714,11.818648492235734,11.253858259264813,10.913968187071418,10.788386204352236,10.239205411175542,9.387797544635506,9.813576295211806,9.460570756594612,9.23766820396901,7.846630562588184,7.907617034274736,9.138130800762887,11.172703534245322,10.619819519414978,10.769698025900096,11.843549189699186,11.669729049864413,11.9951895407883,12.01297056295451,12.497515035541378,12.171129722060845,12.20010770772878,13.088317124517104,11.946595467614728,10.806019151877111,12.075556291942355,9.954732155183368,9.68845677221628,8.74035457603738,7.944705851303191,7.958908248782864,8.043216317321864,12.63389303533287,17.541973000688365,18.352111461539558,19.6511263798105
S02001581,11.795158429885912,9.276874867271719,8.279301261293666,6.314880265895161,8.131750324663606,0.0,5.532097371080805,6.365620719964973,5.819582213132167,6.853840043018599,7.411075351760382,6.961591384921661,5.735211311942059,6.206806681721941,7.221885106520583,7.903958573133389,6.796422059084684,6.402408749596936,7.836540852845191,7.9178181273168455,7.658326824809099,8.251643676265898,8.836469702926136,9.940056094661148,14.465852639007633,12.489737086689736,12.986402119220452,14.017206473469802,14.231090341605295,13.575322502887126,12.773565390585084,11.762016697395143,12.069149595707449,10.84561377743567,11.471667171166983,10.074631416033563,10.286472269742763,9.522848211436632,9.236935774888831,9.267990977059739,8.198408187339176,8.41491378926552,7.724765605756261,7.973902102943493,8.20326931344119,9.845379552221823,8.969236867639378,9.35402603020382,10.0665054910186,10.546335024076976,11.577513636989963,12.723956922453489,14.168525397726537,14.56748918288892,14.988987407994014,15.435291700138194,13.82434006564949,13.709973679749595,12.677644517943678,12.16472452323363,12.581648998445262,11.652241391796455,11.692851134464036,11.782721517961964,13.439861199490403,12.347359982806942,12.016719177132678,11.94776445432546,10.97423055389921,10.867333177260596,10.732614567855409,10.273556179506992,10.7903789346328,11.566338215732682,12.102896793933311,11.31929677798133,10.754506545010408,10.414616472817016,10.28903449009783,9.739853696921138,8.888445830381102,9.314224580957404,8.961219042340208,8.738316489714606,7.34727884833378,7.737040539294334,8.638779086508483,10.673351819990916,10.449243024434576,10.270346311645692,11.344197475444783,11.17037733561001,11.495837826533894,11.513618848700109,11.998163321286974,11.671778007806441,12.029531212748378,12.917740629536702,11.776018972634326,10.635442656896709,11.904979796961953,9.784155660202966,9.517880277235879,8.569778081056977,7.77412935632279,7.7883317538024635,7.872639822341463,12.463316540352467,17.371396505707963,18.181534966559155,19.480549884830097
S02001582,9.646244150641598,7.127960588027403,6.130386982049351,5.305797963983385,5.702673866061206,5.532097371080805,0.0,5.493415628045346,4.94737712121254,4.4371782831023205,4.969425140233684,4.736226142175567,3.2935611004153613,4.936873019448511,5.951951444247152,6.63402491085996,5.5264883968112555,4.776636912946836,6.210769016195092,6.292046290666746,6.032554988159,6.625871839615801,7.210697866276037,8.314284258011048,12.840080802357532,10.863965250039634,11.360630282570357,12.391434636819703,12.605318504955195,11.949550666237023,11.147793553934982,10.136244860745045,10.44337775905735,9.219841940785571,10.545992525196372,9.462704624829701,8.97782734208884,9.00016084885127,8.419744935406284,7.64221914040964,6.928474525065746,7.144980126992091,6.454831943482832,6.77802671443006,7.972478214484282,9.579586904566042,8.738445768682471,9.467670620831178,10.401779169092215,10.881608702150592,11.822783059079343,11.632835376051657,13.077403851324709,14.62483897837822,14.57222061063541,15.68056112222758,14.069609487738882,13.955243101838983,12.922913940033062,12.409993945323013,12.82691842053465,11.98751506987007,12.028124812537651,12.053800776891071,13.46950098460012,12.376999767916676,12.046358962242415,11.977404239435195,11.161667134134282,11.1384124361897,10.762254352965144,10.303195964616727,10.820018719742539,11.59597800084241,12.132536579043032,11.348936563091067,10.784146330120143,10.444256257926753,10.318674275207567,9.769493482030871,8.918085615490838,9.343864366067141,8.99085882744994,8.767956274824343,7.376918633443515,6.163311597028011,7.836978541769782,9.880178307655182,8.875514082168252,9.477172799309958,10.743933230000398,11.200017120719744,11.525477611643634,11.458780099734982,11.204989808951238,10.878604495470706,9.794101652943839,10.514349879184657,9.37262822228228,8.232051906544664,9.571896772350037,7.451072635591049,7.076230065709182,6.12812786953028,5.332479144796093,5.346681542275766,6.656254917261814,11.59111144843284,15.681563153350115,15.778144216207112,17.077159134478052
S02001583,10.47747948876491,7.959195926150714,6.961622320172662,6.137033302106696,6.533909204184517,6.363332709204116,5.55735113751833,0.0,5.785465474948273,5.268413621225632,5.8006604783569955,5.567461480298878,4.124796438538672,5.768108357571822,6.783186782370464,7.465260248983271,6.3577237349345666,5.607872251070148,7.042004354318403,7.123281628790057,6.863790326282311,7.457107177739112,8.04193320439935,9.14551959613436,13.671316140480844,11.695200588162944,12.191865620693669,13.222669974943013,13.436553843078507,12.780786004360333,11.979028892058292,10.967480198868355,11.274613097180662,10.051077278908881,11.377227863319682,10.293939962953013,9.80906268021215,9.83139618697458,9.250980273529596,8.47345447853295,7.759709863189057,7.976215465115402,7.286067281606143,7.609262052553371,8.803713552607594,10.410822242689354,9.569681106805783,10.298905958954489,11.333220275495169,11.714163406910544,12.654018397202655,12.46407071417497,13.90863918944802,15.456074316501532,15.403455948758722,16.51179646035089,14.900844825862194,14.786478439962295,13.754149278156373,13.241229283446323,13.65815375865796,12.820069774630017,12.860679517297598,12.885036115014383,14.30073632272343,13.208235106039986,12.877594300365725,12.808639577558505,11.992902472257594,11.96964777431301,11.593489691088454,11.134431302740037,11.651254057865849,12.427213338965721,12.963771917166344,12.18017190121438,11.615381668243455,11.275491596050063,11.149909613330877,10.600728820154183,9.749320953614149,10.175099704190451,9.822094165573251,9.599191612947653,8.208153971566826,6.994546935151321,8.668213879893093,10.711413645778492,9.706749420291562,10.308408137433268,11.575168568123708,12.031252458843056,12.356712949766944,12.290015437858294,12.03622514707455,11.709839833594017,10.625336991067151,11.345585217307967,10.203863560405592,9.063287244667976,10.403132110473347,8.28230797371436,7.907465403832493,6.959363207653591,6.163714482919404,6.177916880399076,7.487490255385125,12.63222128054002,16.512798491473426,16.609379554330424,17.908394472601366
S02001584,9.933728992692961,7.4154454300787656,6.417871824100713,5.593282806034747,5.990158708112569,5.819582213132167,4.997919403215153,5.8314427520993215,0.0,4.724663125153683,5.2569099822850465,5.023710984226929,3.581045942466724,5.224357861499874,6.239436286298515,6.921509752911323,5.8139732388626175,5.064121754998199,6.498253858246455,6.579531132718108,6.320039830210362,6.913356681667164,7.4981827083274,8.60176910006241,13.127565644408895,11.151450092090997,11.64811512462172,12.678919478871066,12.892803347006558,12.237035508288386,11.435278395986344,10.423729702796406,10.730862601108713,9.507326782836934,10.833477367247735,9.750189466881064,9.265312184140203,9.287645690902632,8.707229777457647,7.929703982461003,7.215959367117108,7.432464969043453,6.742316785534195,7.065511556481422,8.058037583613906,9.700147822394538,8.824005137812092,9.208794300376535,9.921273761191314,10.40110329424969,11.432281907162675,11.92032021810302,13.364888693376072,14.422257453061635,14.84375567816673,15.290059970310907,13.679108335822207,13.564741949922311,12.532412788116392,12.019492793406343,12.436417268617976,11.50700966196917,11.54761940463675,11.63748978813468,13.294629469663118,12.202128252979655,11.871487447305391,11.802532724498175,10.828998824071924,10.72210144743331,10.587382838028123,10.128324449679706,10.645147204805514,11.421106485905398,11.957665064106024,11.174065048154045,10.609274815183124,10.269384742989729,10.143802760270546,9.594621967093852,8.743214100553816,9.168992851130117,8.815987312512922,8.59308475988732,7.202047118506495,6.450796439079373,8.124463383821144,10.167663149706545,9.162998924219615,9.76465764136132,11.03141807205176,11.025145605782724,11.35060609670661,11.368387118872821,11.4924746510026,11.166089337522068,10.081586494995202,10.80183472123602,9.660113064333643,8.519536748596026,9.8593816144014,7.738557477642411,7.363714907760544,6.415612711581643,5.619963986847456,5.634166384327128,6.943739759313177,11.929138572486817,15.969047995401478,16.065629058258473,17.364643976529415
S02001585,10.713772614192466,8.19548905157827,7.19791544560022,5.263650444306869,6.770202329612074,6.599625834631674,4.480867549492513,5.314390898376681,4.768352391543875,0.0,6.0369536037845535,5.803754605726436,4.36108956396623,5.15557686013365,6.170655284932291,6.852728751545097,5.745192237496393,5.351178928008644,6.785311031256899,6.866588305728554,6.607097003220807,7.200413854677606,7.785239881337844,8.888826273072855,13.414622817419339,11.438507265101444,11.93517229763216,12.965976651881512,13.179860520017005,12.524092681298832,11.72233556899679,10.71078687580685,11.017919774119157,9.794383955847378,10.809383587617056,9.412347832483638,9.271105518860821,8.860564627886706,8.574652191338904,8.216761155471449,7.147178365750883,7.363683967677229,6.673535784167969,6.9967305551151995,7.540985729891265,9.183095968671896,8.306953284089452,8.691742446653894,9.404221907468672,9.884051440527049,10.915230053440034,12.061673338903564,13.50624181417661,13.905205599338993,14.326703824444088,14.773008116588265,13.162056482099565,13.04769009619967,12.015360934393751,11.502440939683702,11.919365414895335,10.989957808246528,11.030567550914109,11.120437934412038,12.777577615940476,11.685076399257015,11.354435593582751,11.285480870775533,10.311946970349283,10.205049593710669,10.070330984305482,9.611272595957066,10.128095351082873,10.904054632182756,11.440613210383384,10.657013194431403,10.092222961460482,9.75233288926709,9.626750906547905,9.077570113371213,8.226162246831175,8.651940997407477,8.298935458790282,8.07603290616468,6.684995264783854,6.685810717706042,7.976495502958558,10.011068236440991,9.398013202846284,9.608062728095767,10.681913891894856,10.508093752060084,10.833554242983968,10.851335265150182,11.335879737737049,11.009494424256516,10.861630116494707,11.581878342735525,10.44015668583315,9.299580370095532,10.639425235900905,8.518601099141918,8.143758529260051,7.195656333081148,6.400007608346961,6.414210005826634,6.821410000753171,11.412086718764176,16.320166684119673,16.845672679757982,18.144687598028924
