IntZone,S02001576,S02001577,S02001578,S02001579,S02001580,S02001581,S02001582,S02001583,S02001584,S02001585,S02001586,S02001587,S02001588,S02001589,S02001590,S02001591,S02001592,S02001593,S02001594,S02001595,S02001596,S02001597,S02001598,S02001599,S02001600,S02001601,S02001602,S02001603,S02001604,S02001605,S02001606,S02001607,S02001608,S02001609,S02001610,S02001611,S02001612,S02001613,S02001614,S02001615,S02001616,S02001617,S02001618,S02001619,S02001620,S02001621,S02001622,S02001623,S02001624,S02001625,S02001626,S02001627,S02001628,S02001629,S02001630,S02001631,S02001632,S02001633,S02001634,S02001635,S02001636,S02001637,S02001638,S02001639,S02001640,S02001641,S02001642,S02001643,S02001644,S02001645,S02001646,S02001647,S02001648,S02001649,S02001650,S02001651,S02001652,S02001653,S02001654,S02001655,S02001656,S02001657,S02001658,S02001659,S02001660,S02001661,S02001662,S02001663,S02001664,S02001665,S02001666,S02001667,S02001668,S02001669,S02001670,S02001671,S02001672,S02001673,S02001674,S02001675,S02001676,S02001677,S02001678,S02001679,S02001680,S02001681,S02001682,S02001683,S02001684,S02001685,S02001686
S02001576,0.0,12.547044080128401,11.306648501164975,9.712596614945792,10.658753564517157,10.671103275440315,9.285709072998364,9.938697759785803,8.952081643769978,9.222579111217525,9.862448978154175,10.089785204691196,8.998120485477418,9.933847089332625,10.683371487179631,11.630998980744074,10.523462466695367,10.22080782994216,11.403994103190623,11.69238660718126,11.19441664769901,11.801833074434406,12.365187669287904,13.397552417825096,17.582611508054395,15.83420728269817,16.382188301774153,17.38573736944333,17.959985870032856,17.23623373444962,16.15468706155988,15.358787592671302,15.902890207660036,14.374873157610251,15.399213438011095,14.265421446574258,13.822435105727973,13.604858130063791,12.947692369547513,12.298927039359423,Inf,12.109644084564655,11.126985644073676,11.669017702914674,12.572071136431795,14.0223828127295,13.580560595331866,14.159117228569329,14.955408336409425,15.408173376880349,16.412673315192254,16.64289004012201,18.062418681926943,18.845800385837045,19.303217549351416,20.058530765321265,18.706216751220182,18.523971240461464,17.34330114001398,17.053627368624454,17.47055184383609,16.376940871605427,16.552400243751094,16.515910573385618,17.855308020294093,16.980401649371736,16.508042947463274,16.224783280348603,15.749042107401644,15.383161298981442,15.210879857033927,Inf,15.459934692398365,16.042230629845694,16.6922416948366,16.156656759360903,15.613246405101318,15.193450232255207,15.004757416586104,14.552344530542051,13.880030229203694,14.284706375933911,13.827035496546394,13.752789864398515,12.300139368360403,11.215039360716549,12.694531138840587,14.551985585645298,13.915431761759523,14.172341003254001,15.05118461105629,16.0556968846638,16.395541018067334,16.0809618695082,15.711122514468258,15.136635967371213,14.907306687867756,15.582597400584355,14.646160650696414,13.519731924435792,13.742120256616138,12.670058440031026,12.36896552831801,11.48901246734776,10.581041012526361,10.707566140093245,11.35693969010195,15.900285649471588,19.723260217000238,20.979226432730627,22.04008378901987
S02001577,12.547044080128401,0.0,8.879775494378627,7.2857236081594445,7.9528491373992125,7.965198848322368,6.858836066212015,7.5118247529994555,6.246177216652032,6.516674684099579,7.15654455103623,7.383880777573251,6.2922160583594735,7.450345813555122,8.199870211402128,9.147497704966572,8.039961190917865,7.634000227403757,8.855858593806891,8.986482180063316,8.488512220581063,9.095928647316459,9.659283242169959,10.69164799070715,14.87670708093645,13.128302855580223,13.676283874656209,14.679832942325383,15.254081442914911,14.530329307331673,13.448782634441935,12.652883165553357,13.222872081885882,11.891371881832749,12.915712162233593,11.781920170796756,11.33893382995047,11.121356854286288,10.46419109377001,9.81542576358192,Inf,9.626142808787153,8.643484368296173,9.185516427137172,10.088569860654292,11.538881536951997,11.097059319554363,11.675615952791826,12.528535329623073,12.981300370093997,13.964236292419484,14.159388764344506,15.578917406149442,16.36229911005954,16.819716273573917,17.57502948954376,16.27934374443383,16.040469964683965,14.91642813322763,14.605693057775936,15.043678837049738,13.950067864819076,14.125527236964743,14.089037566599266,15.37180674451659,14.496900373594233,14.081169940676924,13.797910273562252,13.322169100615293,12.95628829219509,12.784006850247575,Inf,13.033061685612013,13.558729354068191,14.208740419059097,13.6731554835834,13.129745129323815,12.709948956477705,12.577884409799752,12.1254715237557,11.396528953426191,11.801205100156409,11.343534220768891,11.269288588621013,9.8166380925829,8.514667627080113,10.052441011931938,12.005444921570735,11.215060028123087,11.625800339179436,12.504643946981727,13.509156220589235,13.84900035399277,13.534421205433636,13.164581850393693,12.436264233734775,12.201402260749811,12.876692973466408,11.94025622357847,10.813827497317845,11.036215829498193,9.964154012913081,9.663061101200064,8.783108040229815,7.875136585408416,8.001661712975299,8.651035262984005,13.47341264268524,17.01735578988229,18.273322005612684,19.334179361901924
S02001578,11.306648501164975,8.879775494378626,0.0,6.289284606299949,6.7124535584357865,6.724803269358942,5.802516624745355,6.355990720840081,5.005781637688606,5.276279105136153,5.916148972072804,6.143485198609825,5.0518204793960475,6.510535080686782,7.142272220550703,8.20768697209823,7.100150458049525,6.393604648440331,7.615463014843465,7.74608660109989,7.248116641617637,7.855533068353034,8.418887663206533,9.451252411743724,13.636311501973024,11.887907276616797,12.435888295692783,13.439437363361957,14.013685863951485,13.289933728368247,12.208387055478509,11.412487586589931,11.982476502922456,10.718918805470391,11.771041510308546,10.637249518871705,10.194263178025423,9.976686202361236,9.319520441844958,8.67075511165687,Inf,8.681333321494579,7.7036736354278315,8.245705694268832,9.14875912778595,10.48954310467819,10.157248586686023,10.735805219923485,11.532096327763577,11.984861368234501,12.989361306546407,13.01471811241946,14.434246754224398,15.217628458134488,15.675045621648861,16.430358837618712,15.282904742574333,14.895799312758918,13.919989131368133,13.630315359978608,14.047239835190242,12.95362886295958,13.129088235105247,13.09259856473977,14.431996011648248,13.557089640725893,13.084730938817428,12.801471271702756,12.325730098755797,11.959849290335594,11.787567848388079,Inf,12.036622683752517,12.61891862119985,13.268929686190756,12.733344750715059,12.189934396455474,11.770138223609365,11.581445407940256,11.129032521896203,10.45671822055785,10.861394367288067,10.40372348790055,10.239695368710672,8.87682735971456,7.274272048116687,8.812045432968512,10.765049342607309,9.974664449159661,10.38540476021601,11.2642483680183,12.268760641625809,12.608604775029344,12.29402562647021,11.924186271430267,11.195868654771349,10.961006681786385,11.636297394502982,10.699860644615043,9.57343191835442,9.795820250534767,8.723758433949655,8.422665522236638,7.5427124612663885,6.63474100644499,6.761266134011874,7.410639684020579,12.317240272989089,15.776960210918865,17.032926426649254,18.0937837829385
S02001579,9.712596614945792,7.285723608159444,6.28928460629995,0.0,5.118401672216605,5.13075138313976,4.208464738526173,4.761938834620899,3.4117297514694234,3.682227218916971,4.322097085853622,4.549433312390643,3.457768593176865,5.033517220647904,5.548220334331521,6.642081374854825,5.623132598010647,4.799552762221149,6.021411128624283,6.152034714880708,5.654064755398455,6.261481182133852,6.82483577698735,7.857200525524542,12.042259615753842,10.293855390397615,10.8418364094736,11.845385477142775,12.419633977732303,11.695881842149065,10.614335169259327,9.818435700370749,10.388424616703272,9.124866919251211,10.176989624089364,9.043197632652525,8.60021129180624,8.382634316142056,7.725468555625775,7.076703225437687,Inf,7.087281435275397,6.226655775388954,6.7686878342299535,7.671741267747073,8.895491218459007,8.680230726647146,9.246653388875753,10.375090353340742,10.827855393811664,11.547407699512267,11.420666226200279,12.840194868005216,13.623576571915306,14.08099373542968,14.836306951399532,13.695250915418706,13.301747426539736,12.564309152188986,12.188864464868718,12.708685703733728,11.816868720943994,11.992328093089663,11.976675820968214,12.954978151609371,12.080071780687016,11.903672272082037,11.62041260496736,11.14467143202041,10.860971761520666,10.606509181652692,Inf,10.855564017017127,11.141900761160972,11.791911826151878,11.256326890676181,10.712916536416596,10.293120363570488,10.388932850160252,9.831108227059008,8.979700360518972,9.38437650724919,8.926705627861672,8.64564348249149,7.3998094996756825,5.6802201618975054,7.21799354674933,9.170997456388125,8.380612562940478,8.791352873996829,9.67019648179912,10.674708755406627,11.014552888810162,10.699973740251028,10.330134385211085,9.601816768552167,9.366954795567203,10.0422455082838,9.10580875839586,7.9793800321352375,8.201768364315583,7.129706547730472,6.828613636017456,5.948660575047207,5.040689120225808,5.167214247792692,5.816587797801397,10.723188386769907,14.182908324699683,15.438874540430074,16.499731896719318
S02001580,10.65875356451716,7.952849137399214,6.712453558435788,5.1184016722166055,0.0,7.0357353202352595,4.691514130269176,5.3445028170566165,5.050161339452184,5.436676987302986,6.125461487587867,6.106780524813493,5.362752530272363,5.339652146603439,6.089176544450446,7.036804038014887,5.929267523966182,5.626612887212973,6.809799160461437,7.138151968707481,7.025428631768552,7.63284505850395,8.196199653357446,9.070537554718587,13.028376869580615,11.279972644224388,11.827953663300374,12.831502730969554,13.405751231559076,12.681999095975836,11.6004524230861,10.804552954197522,11.30869526493085,9.780678214881064,10.80501849528191,9.671226503845073,9.228240162998786,9.010663187334604,8.353497426818326,7.704732096630238,Inf,7.515449141835469,6.532790701344489,7.074822760185488,7.977876193702608,9.428187870000315,8.986365652602679,9.488668206546627,10.141464499320998,10.594229539791922,11.598729478103827,12.048695097392823,13.468223739197757,14.251605443107856,14.70902260662223,15.455997571223158,13.892272914131754,13.784932688051997,12.529357302925554,12.239683531536029,12.656608006747662,11.562997034517,11.738456406662667,11.70196673629719,13.249725915051553,12.199918095065042,11.694099110374848,11.410839443260176,10.935098270313217,10.569217461893015,10.3969360199455,Inf,10.645990855309938,11.448035687116509,12.08665958959406,11.562461816631718,11.019051462372133,10.514416471392732,10.190813579497677,9.738400693453624,9.285835286474509,9.690511433204726,9.232840553817208,9.15859492166933,7.705944425631217,6.620844417987362,8.1003361961114,9.95779064291611,9.321236819030336,9.578146060524816,10.456989668327104,11.461501941934614,11.801346075338149,11.486766926779016,11.11692757173907,10.542441024642025,10.59079141854157,11.660564423037226,10.724127673149283,9.597698946888661,9.820087279069007,8.748025462483897,8.733597573112956,7.853644512142705,6.7554355062670455,7.07219818488819,6.969741770988061,11.306090706742399,15.181669168804323,17.057193455183498,18.118050811472745
S02001581,10.671103275440315,7.965198848322371,6.724803269358944,5.130751383139762,7.0357353202352595,0.0,4.703863841192332,5.356852527979774,5.06251105037534,5.4490266982261435,6.137811198511024,6.119130235736648,5.585877887040448,5.352001857526594,6.101526255373601,7.049153748938043,5.941617234889337,5.638962598136128,6.822148871384592,7.150501679630636,7.037778342691707,7.645194769427105,8.208549364280602,9.082887265641741,13.040726580503769,11.292322355147544,11.84030337422353,12.843852441892707,13.418100942482234,12.694348806898994,11.612802134009254,10.81690266512068,11.321044975854004,9.793027925804221,10.817368206205064,9.683576214768228,9.240589873921941,9.023012898257761,8.365847137741481,7.717081807553393,Inf,7.527798852758624,6.545140412267644,7.0871724711086435,7.990225904625763,9.33347451456497,8.510889541077114,9.000984090193432,9.653780382967803,10.106545423438728,11.111045361750632,12.061044808315978,13.480573450120914,13.994193663969622,14.521605004449771,14.96831345486996,13.404588797778558,13.297248571698802,12.041673186572359,11.751999415182834,12.168923890394467,11.075312918163803,11.250772290309472,11.214282619943996,12.762041798698355,11.712233978711847,11.206414994021653,10.923155326906981,10.447414153960022,10.081533345539821,9.909251903592304,Inf,10.158306738956743,11.000237025343397,11.598975473240865,11.275160217155733,10.73839032323334,10.026732355039536,9.703129463144482,9.250716577100428,9.283593265568832,9.310592228441694,9.245190264740362,9.170944632592485,7.7182941365543725,6.633194128910517,8.112685907034557,9.970140353839266,9.333586529953493,9.59049577144797,10.46933937925026,11.473851652857768,11.813695786261304,11.499116637702171,11.129277282662226,10.55479073556518,10.603141129464724,11.672914133960381,10.73647738407244,9.610048657811816,9.832436989992164,8.760375173407052,8.882040892033695,7.886614199551684,6.767785217190201,7.186802042536973,6.982091481911217,11.318440417665556,15.19401887972748,17.069543166106655,18.130400522395902
S02001582,9.285709072998364,6.858836066212014,5.802516624745355,4.208464738526173,4.691514130269175,4.703863841192331,0.0,4.3350512926734694,2.984842209521994,3.255339676969542,3.8952095439061925,4.122545770443214,3.0308810512294357,4.429715212913006,5.1213327923840914,6.126867104324455,5.019330590275749,4.372665220273719,5.594523586676854,5.725147172933278,5.227177213451026,5.834593640186423,6.397948235039921,7.430312983577112,11.615372073806412,9.866967848450185,10.41494886752617,11.418497935195346,11.992746435784873,11.268994300201635,10.187447627311897,9.39154815842332,9.961537074755844,8.697979377303781,9.750102082141934,8.616310090705095,8.173323749858811,7.955746774194626,7.298581013678346,6.649815683490258,Inf,6.605512208145036,5.622853767654057,6.1648858264950555,7.067939260012175,8.468603676511579,8.076428718912247,8.65498535214971,9.744303875536,10.197068916006923,10.943605691777368,10.993778684252849,12.413307326057787,13.196689029967876,13.65410619348225,14.409419409452102,13.268363373471276,12.874859884592306,11.96050714445409,11.58506245713382,12.104883695998831,11.165836410732002,11.341295782877669,11.304806112512193,12.351176143874474,11.476269772952119,11.29693848658985,11.013678819475178,10.537937646528219,10.172056838108016,9.999775396160501,Inf,10.24883023152494,10.538098753426075,11.188109818416981,10.652524882941284,10.1091145286817,9.689318355835589,9.785130842425353,9.22730621932411,8.375898352784075,8.780574499514293,8.322903620126775,8.21875594054406,6.7960074919407845,5.2533326199500765,6.7911060048019,8.744109914440697,7.9537250209930495,8.364465332049399,9.24330893985169,10.247821213459197,10.587665346862732,10.273086198303599,9.903246843263656,9.174929226604737,8.940067253619773,9.61535796633637,8.678921216448432,7.552492490187808,7.774880822368155,6.702819005783043,6.4017260940700265,5.521773033099777,4.613801578278379,4.740326705845263,5.389700255853967,10.296300844822477,13.756020782752254,15.011986998482644,16.072844354771888
S02001583,9.938697759785803,7.511824752999455,6.355990720840081,4.761938834620899,5.344502817056615,5.356852527979772,4.3350512926734694,0.0,3.6378308963094343,3.908328363756982,4.548198230693633,4.775534457230654,3.683869738016876,4.983189309007732,5.732713706854739,6.68034120041918,5.572804686370475,5.02565390706116,6.247512273464295,6.378135859720718,5.880165900238467,6.487582326973863,7.050936921827361,8.083301670364552,12.268360760593854,10.519956535237625,11.067937554313612,12.071486621982785,12.645735122572315,11.921982986989075,10.840436314099339,10.04453684521076,10.614525761543284,9.350968064091221,10.403090768929374,9.269298777492535,8.826312436646251,8.608735460982066,7.951569700465786,7.302804370277698,Inf,7.158986304239762,6.1763278637487815,6.718359922589781,7.621413356106901,9.071725032404608,8.629902815006972,9.208459448244437,10.324762441700567,10.77752748217149,11.497079787872092,11.64676737104029,13.066296012845228,13.849677716755316,14.307094880269691,15.062408096239544,13.894022699477652,13.527848571379746,12.513981240548816,12.138536553228544,12.658357792093557,11.76654080930382,11.94200018144949,11.926347909328044,12.9046502399692,12.029743869046843,11.853344360441865,11.570084693327189,11.094343520380239,10.802777393031533,10.55618127001252,Inf,10.805236105376954,11.091572849520801,11.741583914511708,11.20599897903601,10.662588624776426,10.242792451930313,10.338604938520078,9.780780315418836,8.929372448878802,9.33404859560902,8.876377716221501,8.802132084073623,7.34948158803551,5.906321306737517,7.444094691589341,9.397098601228137,8.60671370778049,9.01745401883684,9.89629762663913,10.900809900246639,11.240654033650173,10.92607488509104,10.556235530051097,9.827917913392177,9.593055940407215,10.26834665312381,9.331909903235871,8.205481176975248,8.427869509155595,7.355807692570483,7.054714780857467,6.174761719887218,5.2667902650658185,5.393315392632703,6.042688942641407,10.949289531609917,14.409009469539694,15.664975685270086,16.72583304155933
S02001584,8.952081643769976,6.246177216652033,5.005781637688607,3.411729751469424,5.050161339452183,5.062511050375338,2.984842209521994,3.6378308963094352,0.0,3.6139868861525493,4.253856753089201,4.40010860406631,3.3895282604124435,3.6329802258562567,4.382504623703263,5.330132117267705,4.222595603218999,3.9199409664657905,5.103127239714254,5.4314800479602985,5.31875671102137,5.926173137756766,6.489527732610264,7.363865633971404,11.321704948833432,9.573300723477207,10.121281742553192,11.12483081022237,11.699079310811895,10.975327175228655,9.893780502338917,9.09788103345034,9.602023344183667,8.074006294133882,9.098346574534727,7.9645545830978905,7.521568242251603,7.303991266587422,6.646825506071144,5.998060175883055,Inf,5.808777221088286,4.826118780597307,5.3681508394383055,6.271204272955425,7.721515949253132,7.279693731855497,7.85825036509296,8.974553358549093,9.427318399020015,10.146870704720618,10.34202317664564,11.761551818450576,12.544933522360674,13.002350685875049,13.757663901844895,12.543813616326178,12.223104376985097,11.16377215739734,10.78832747007707,11.308148708942081,10.416331726152345,10.591791098298014,10.576138826176567,11.554441156817724,10.679534785895367,10.50313527729039,10.219875610175713,9.744134437228762,9.45256830988006,9.205972186861043,Inf,9.45502702222548,9.741363766369325,10.391374831360231,9.855789895884534,9.31237954162495,8.892583368778839,8.988395855368603,8.430571232267361,7.579163365727325,7.983839512457543,7.526168633070025,7.4519230009221475,5.9992725048840345,4.91417249724018,6.393664275364218,8.251118722168929,7.614564898283154,7.871474139777632,8.75031774757992,9.75483002118743,10.094674154590965,9.780095006031832,9.410255650991889,8.835769103894844,8.884119497794387,9.953892502290042,9.017455752402103,7.891027026141479,8.113415358321827,7.041353541736715,6.760373303253035,5.880420242282785,4.972448787461387,5.09897391502827,5.263069850240879,9.59941878599522,13.474997248057141,15.350521534436316,16.411378890725565
S02001585,9.222579111217524,6.51667468409958,5.276279105136153,3.682227218916971,5.436676987302985,5.449026698226142,3.255339676969541,3.9083283637569823,3.6139868861525493,0.0,4.640372400940003,4.670606071513858,3.7760439082632464,3.9034776933038042,4.65300209115081,5.600629584715252,4.493093070666546,4.190438433913338,5.373624707161802,5.701977515407846,5.589254178468917,6.196670605204314,6.760025200057811,7.634363101418952,11.59220241628098,9.843798190924753,10.39177921000074,11.395328277669918,11.969576778259443,11.245824642676203,10.164277969786465,9.368378500897888,9.872520811631215,8.34450376158143,9.368844041982275,8.235052050545438,7.79206570969915,7.57448873403497,6.917322973518691,6.2685576433306025,Inf,6.079274688535834,5.096616248044854,5.6386483068858535,6.5417017404029725,7.992013416700679,7.550191199303045,8.128747832540508,9.025664965372577,9.478430005843503,10.417368172168166,10.612520644093188,12.032049285898124,12.815430989808222,13.272848153322597,14.028161369292443,12.776473380183333,12.493601844432645,11.413557768977133,11.058824937524617,11.540808472799242,10.447197500568578,10.622656872714247,10.58616720234877,11.824938624265272,10.950032253342915,10.578299576426428,10.295039909311756,9.819298736364797,9.453417927944596,9.281136485997079,Inf,9.530191321361517,10.011861233816873,10.66187229880778,10.126287363332082,9.582877009072497,9.163080836226387,9.075014045549256,8.622601159505203,7.849660833174873,8.25433697990509,7.796666100517573,7.722420468369695,6.2697699723315825,5.1846699646877275,6.664161742811766,8.521616189616475,7.885062365730702,8.14197160722518,9.020815215027469,10.025327488634979,10.365171622038513,10.05059247347938,9.680753118439435,9.10626657134239,9.154616965241935,10.22438996973759,9.28795321984965,8.161524493589027,8.383912825769373,7.311851009184262,7.146888951103838,6.266935890133588,5.319261052967411,5.4854895628790725,5.533567317688426,9.869916253442765,13.745494715504687,15.621019001883862,16.68187635817311
