source_node_index,target_node_index,source_iz_code,target_iz_code,multimodal_distance_km,shortest_mode,neighbour_rank,weight
0,1,S02001576,S02001577,2.8935245166460617,walking,1,0.13378257604493785
0,2,S02001576,S02001578,4.017552630656362,walking,2,0.061240373765103925
0,3,S02001576,S02001579,5.692589368740419,walking,3,0.019112520449871474
0,6,S02001576,S02001582,6.289361593048374,walking,4,0.012622432772419286
0,4,S02001576,S02001580,6.789668863386042,walking,5,0.008914406875419022
1,2,S02001577,S02001578,1.2711403671396777,bicycle,1,0.41325943847929336
1,0,S02001577,S02001576,2.8935245166460613,bicycle,2,0.13378257604493785
1,3,S02001577,S02001579,3.115157318878579,walking,3,0.11467932663431897
1,6,S02001577,S02001582,3.7119295431865353,walking,4,0.07573737302856547
1,7,S02001577,S02001583,4.047473856791831,walking,5,0.059979680090107915
2,1,S02001578,S02001577,1.271140367139678,walking,1,0.4132594384792933
2,3,S02001578,S02001579,1.8747617399151506,walking,2,0.27163142944349594
2,6,S02001578,S02001582,2.4715339642231067,walking,3,0.17939284700934002
2,7,S02001578,S02001583,3.054097325655903,bicycle,4,0.11965203906583599
2,8,S02001578,S02001584,3.248720277758464,walking,5,0.10451060975210091
3,6,S02001579,S02001582,1.0589932219494576,bicycle,1,0.4789314233070436
3,8,S02001579,S02001584,1.8617844721805688,bicycle,2,0.2740930728773786
3,2,S02001579,S02001578,1.8747617399151515,walking,3,0.2716314294434957
3,7,S02001579,S02001583,1.8774132578470215,walking,4,0.2711311925129159
3,9,S02001579,S02001585,2.141116811227967,walking,5,0.22571646726786712
4,5,S02001580,S02001581,1.3307000745238784,bicycle,1,0.39649779020530074
4,6,S02001580,S02001582,2.50418964120586,walking,2,0.1753661877715843
4,3,S02001580,S02001579,2.629343463970727,walking,3,0.16075332277428506
4,20,S02001580,S02001596,2.759284242857013,bicycle,4,0.14686854718662512
4,21,S02001580,S02001597,2.9939855839348084,walking,5,0.12475810859194816
5,4,S02001581,S02001580,1.3307000745238782,bicycle,1,0.3964977902053008
5,20,S02001581,S02001596,1.644243832563442,walking,2,0.31884307705973225
5,21,S02001581,S02001597,1.7649872554296524,walking,3,0.29317211365242307
5,22,S02001581,S02001598,2.0640639688701596,bicycle,4,0.23813690578466407
5,17,S02001581,S02001593,2.58950692205436,bicycle,5,0.16526741550383114
6,8,S02001582,S02001584,1.0316285202600564,walking,1,0.48812962408309146
6,3,S02001582,S02001579,1.0589932219494576,walking,2,0.4789314233070436
6,9,S02001582,S02001585,1.6047021636179803,walking,3,0.3277292785282941
6,7,S02001582,S02001583,1.8356600920499342,walking,4,0.27911644177247635
6,10,S02001582,S02001586,2.2934866639028613,walking,5,0.20303008455626148
7,9,S02001583,S02001585,1.5490081910149451,walking,1,0.3406670470332793
7,8,S02001583,S02001584,1.5679960200474972,bicycle,2,0.33619976266060564
7,10,S02001583,S02001586,1.8297012056084023,walking,3,0.2802750903947215
7,6,S02001583,S02001582,1.8356600920499344,walking,4,0.27911644177247635
7,3,S02001583,S02001579,1.8774132578470213,walking,5,0.27113119251291595
8,9,S02001584,S02001585,0.7033092326594014,walking,1,0.6132815633631166
8,6,S02001584,S02001582,1.0316285202600566,walking,2,0.48812962408309135
8,10,S02001584,S02001586,1.4168981043346385,bicycle,3,0.37343604403212677
8,12,S02001584,S02001588,1.5000947562353937,walking,4,0.3524502794997938
8,7,S02001584,S02001583,1.567996020047498,bicycle,5,0.3361997626606054
9,8,S02001585,S02001584,0.7033092326594013,walking,1,0.6132815633631166
9,10,S02001585,S02001586,0.9431685570235381,walking,2,0.519089944442003
9,12,S02001585,S02001588,1.1830758598062703,walking,3,0.43935020926600227
9,7,S02001585,S02001583,1.5490081910149456,walking,4,0.34066704703327916
9,6,S02001585,S02001582,1.6047021636179801,walking,5,0.32772927852829414
10,9,S02001586,S02001585,0.9431685570235375,walking,1,0.5190899444420032
10,8,S02001586,S02001584,1.4168981043346385,walking,2,0.37343604403212677
10,105,S02001586,S02001681,1.4256412739412383,bicycle,3,0.3711731338079595
10,12,S02001586,S02001588,1.5920071689577664,walking,4,0.33063441776585145
10,11,S02001586,S02001587,1.5952535894263864,bicycle,5,0.32988906096814363
11,104,S02001587,S02001680,0.7401540520631459,walking,1,0.597772428663466
11,12,S02001587,S02001588,1.3740174639141454,bicycle,2,0.3847357753012963
11,105,S02001587,S02001681,1.5815377658275003,bicycle,3,0.3330496158145199
11,10,S02001587,S02001586,1.5952535894263862,bicycle,4,0.32988906096814374
11,85,S02001587,S02001661,1.666508445699177,bicycle,5,0.3139460012024845
12,9,S02001588,S02001585,1.1830758598062703,road,1,0.43935020926600227
12,11,S02001588,S02001587,1.374017463914146,walking,2,0.38473577530129616
12,8,S02001588,S02001584,1.5000947562353937,walking,3,0.3524502794997938
12,10,S02001588,S02001586,1.592007168957767,walking,4,0.3306344177658513
12,104,S02001588,S02001680,1.7869271176274164,walking,5,0.2887344933672031
13,16,S02001589,S02001592,1.0196832480667715,road,1,0.4922000238548207
13,14,S02001589,S02001590,1.179592268551035,bicycle,2,0.4404154932067232
13,42,S02001589,S02001618,1.6232064254450786,walking,3,0.32354039768143744
13,17,S02001589,S02001593,1.909944402973725,walking,4,0.2650683173234085
13,85,S02001589,S02001661,1.958460597033401,bicycle,5,0.2562772298878353
14,16,S02001590,S02001592,0.6420968693908133,walking,1,0.6399423942032897
14,42,S02001590,S02001618,0.9980174449827028,walking,2,0.49966954084181875
14,13,S02001590,S02001589,1.1795922685510345,walking,3,0.4404154932067233
14,15,S02001590,S02001591,1.3074550609444098,bicycle,4,0.4029570936478515
14,43,S02001590,S02001619,1.42924469331308,bicycle,5,0.3702444906550024
15,42,S02001591,S02001618,0.8236847242174198,walking,1,0.5640487740483516
15,43,S02001591,S02001619,0.8664446827347326,bicycle,2,0.5475285344081182
15,84,S02001591,S02001660,1.3035153372887747,bicycle,3,0.4040622425656715
15,14,S02001591,S02001590,1.3074550609444102,bicycle,4,0.40295709364785137
15,16,S02001591,S02001592,1.5154017550109196,road,5,0.3487196629416117
16,14,S02001592,S02001590,0.6420968693908137,walking,1,0.6399423942032896
16,42,S02001592,S02001618,0.9577755135713399,walking,2,0.513845487141339
16,13,S02001592,S02001589,1.0196832480667712,road,3,0.49220002385482076
16,40,S02001592,S02001616,1.4523691611127805,road,4,0.3643400932988917
16,15,S02001592,S02001591,1.5154017550109193,road,5,0.3487196629416118
17,18,S02001593,S02001594,1.7620666438670225,walking,1,0.29376796618745515
17,16,S02001593,S02001592,1.7785076476793364,walking,2,0.29042944142954485
17,20,S02001593,S02001596,1.8676147072536038,bicycle,3,0.2729843942581782
17,13,S02001593,S02001589,1.9099444029737251,walking,4,0.26506831732340846
17,19,S02001593,S02001595,1.9803380441925325,bicycle,5,0.2524090234157262
18,19,S02001594,S02001595,1.1635559266508622,road,1,0.44535282513661034
18,39,S02001594,S02001615,1.4804615249051087,walking,2,0.3572937668911073
18,16,S02001594,S02001592,1.626652195340511,road,3,0.3227662994158319
18,17,S02001594,S02001593,1.762066643867023,walking,4,0.2937679661874551
18,40,S02001594,S02001616,2.060335332270042,road,5,0.23875498070613185
19,18,S02001595,S02001594,1.163555926650862,road,1,0.44535282513661045
19,21,S02001595,S02001597,1.593544604017264,road,2,0.3302812230947841
19,22,S02001595,S02001598,1.8452105045825131,bicycle,3,0.27726943703817303
19,20,S02001595,S02001596,1.8547782983187242,bicycle,4,0.2754313264317701
19,17,S02001595,S02001593,1.9803380441925331,walking,5,0.252409023415726
20,21,S02001596,S02001597,0.7218741124481881,road,1,0.6054173747764846
20,22,S02001596,S02001598,1.2963043568380637,bicycle,2,0.4060928827025606
20,5,S02001596,S02001581,1.644243832563442,walking,3,0.31884307705973225
20,19,S02001596,S02001595,1.8547782983187244,bicycle,4,0.27543132643177004
20,17,S02001596,S02001593,1.8676147072536045,bicycle,5,0.2729843942581781
21,20,S02001597,S02001596,0.7218741124481881,road,1,0.6054173747764846
21,22,S02001597,S02001598,0.757310935430331,bicycle,2,0.5906850072521455
21,19,S02001597,S02001595,1.5935446040172638,bicycle,3,0.3302812230947841
21,5,S02001597,S02001581,1.7649872554296524,walking,4,0.29317211365242307
21,23,S02001597,S02001599,1.775096473581327,bicycle,5,0.29111898377113615
22,21,S02001598,S02001597,0.757310935430331,walking,1,0.5906850072521455
22,20,S02001598,S02001596,1.2963043568380637,bicycle,2,0.4060928827025606
22,23,S02001598,S02001599,1.3324176407303605,road,3,0.39602464289806644
22,19,S02001598,S02001595,1.8452105045825133,bicycle,4,0.2772694370381729
22,5,S02001598,S02001581,2.0640639688701596,bicycle,5,0.23813690578466407
23,22,S02001599,S02001598,1.3324176407303605,road,1,0.39602464289806644
23,21,S02001599,S02001597,1.7750964735813268,bicycle,2,0.29111898377113626
23,20,S02001599,S02001596,2.3286691053752544,bicycle,3,0.19812453691298848
23,19,S02001599,S02001595,2.3499610111965006,walking,4,0.19521352518843252
23,18,S02001599,S02001594,2.8672649286925007,road,5,0.13624724702658808
24,27,S02001600,S02001603,0.7609273999739755,bicycle,1,0.5892018209388086
24,28,S02001600,S02001604,1.7019764006563605,bicycle,2,0.3062997368532694
24,26,S02001600,S02001602,1.7623917921496812,bicycle,3,0.29370157075750974
24,30,S02001600,S02001606,1.7694545031396174,bicycle,4,0.29226305925785867
24,29,S02001600,S02001605,1.996146523578553,bicycle,5,0.24965027488714103
25,26,S02001601,S02001602,0.8469050138257264,bicycle,1,0.5550167498737565
25,31,S02001601,S02001607,1.4579288007398017,bicycle,2,0.3629346414367745
25,30,S02001601,S02001606,1.7644650000222104,bicycle,3,0.29327857349352326
25,27,S02001601,S02001603,2.4626213957153196,bicycle,4,0.1805077972598266
25,24,S02001601,S02001600,2.4976151942392453,bicycle,5,0.1761695275998152
26,25,S02001602,S02001601,0.8469050138257265,bicycle,1,0.5550167498737564
26,30,S02001602,S02001606,1.4436077471791473,bicycle,2,0.3665659941163312
26,31,S02001602,S02001607,1.5686723186300349,bicycle,3,0.33604173425430245
26,27,S02001602,S02001603,1.7273979936257549,bicycle,4,0.3009341303884204
26,24,S02001602,S02001600,1.7623917921496814,bicycle,5,0.2937015707575097
27,24,S02001603,S02001600,0.7609273999739755,walking,1,0.5892018209388086
27,30,S02001603,S02001606,1.270902196794968,bicycle,2,0.41332786867623017
27,28,S02001603,S02001604,1.3731565935643304,bicycle,3,0.3849660953017141
27,29,S02001603,S02001605,1.4358133287224848,bicycle,4,0.3685576505363511
27,26,S02001603,S02001602,1.7273979936257549,bicycle,5,0.3009341303884204
28,29,S02001604,S02001605,0.9370506866954501,bicycle,1,0.5213023672178232
28,27,S02001604,S02001603,1.3731565935643304,bicycle,2,0.3849660953017141
28,24,S02001604,S02001600,1.7019764006563607,walking,3,0.3062997368532694
28,30,S02001604,S02001606,1.8451506973844902,walking,4,0.27728096535369623
28,32,S02001604,S02001608,2.4191055333704363,walking,5,0.18605189082490253
29,28,S02001605,S02001604,0.9370506866954502,walking,1,0.5213023672178231
29,30,S02001605,S02001606,1.4138285167386693,walking,2,0.37423378352890646
29,27,S02001605,S02001603,1.4358133287224848,bicycle,3,0.3685576505363511
29,32,S02001605,S02001608,1.6884343440128584,walking,4,0.3091969370257082
29,24,S02001605,S02001600,1.9961465235785532,bicycle,5,0.24965027488714098
30,31,S02001606,S02001607,1.164284828818415,walking,1,0.4451272117868509
30,27,S02001606,S02001603,1.2709021967949679,bicycle,2,0.4133278686762302
30,29,S02001606,S02001605,1.4138285167386693,walking,3,0.37423378352890646
30,26,S02001606,S02001602,1.4436077471791477,bicycle,4,0.36656599411633106
30,32,S02001606,S02001608,1.5249974221129763,bicycle,5,0.3464011728605394
31,30,S02001607,S02001606,1.164284828818415,walking,1,0.4451272117868509
31,32,S02001607,S02001608,1.2615104562928636,walking,2,0.4160353200814639
31,25,S02001607,S02001601,1.457928800739802,bicycle,3,0.36293464143677445
31,26,S02001607,S02001602,1.5686723186300346,bicycle,4,0.33604173425430245
31,33,S02001607,S02001609,1.9872025234514086,walking,5,0.25120737336824334
32,31,S02001608,S02001607,1.2615104562928634,walking,1,0.4160353200814639
32,30,S02001608,S02001606,1.5249974221129765,bicycle,2,0.34640117286053934
32,29,S02001608,S02001605,1.6884343440128584,walking,3,0.3091969370257082
32,51,S02001608,S02001627,1.793395984954248,bicycle,4,0.28743894950096927
32,34,S02001608,S02001610,2.007805723966865,walking,5,0.24763495808605318
33,36,S02001609,S02001612,1.00526662957414,road,1,0.4971577727307468
33,35,S02001609,S02001611,1.4027063408417737,bicycle,2,0.37713856977951177
33,37,S02001609,S02001613,1.554578821200932,walking,3,0.3393503217815021
33,34,S02001609,S02001610,1.6895173233059593,bicycle,4,0.30896423871465584
