IntZone,node_index,mode,snap_ok,snap_status,snap_distance_m,snap_node_index,snap_x,snap_y,Easting,Northing
S02001576,0,road,True,ok,46.30968149315323,466,316099.71,666072.65,316116.0,666116.0
S02001577,1,road,True,ok,14.327072275921987,5762,317798.75,667818.45,317812.0,667813.0
S02001578,2,road,True,ok,94.81770351575993,2417,318742.13,668457.4,318655.0,668420.0
S02001579,3,road,True,ok,16.938205335845222,6002,319569.28,669253.62,319584.0,669262.0
S02001580,4,road,True,ok,13.765725552993745,2121,321332.26,668246.26,321320.0,668240.0
S02001581,5,road,True,ok,20.145297217909505,7121,322162.87,668770.19,322169.0,668751.0
S02001582,6,road,True,ok,22.177549458868636,7854,320146.71,669564.86,320148.0,669587.0
S02001583,7,road,True,ok,29.477737362284554,9550,319208.23,670335.71,319181.0,670347.0
S02001584,8,road,True,ok,36.52321042839259,8591,320362.8,670180.93,320373.0,670216.0
S02001585,9,road,True,ok,18.166939753308423,10003,320245.84,670701.11,320249.0,670719.0
S02001586,10,road,True,ok,50.9269250986009,16078,320103.39,671258.86,320106.0,671208.0
S02001587,11,road,True,ok,24.96237168214259,16718,321236.92,671817.44,321242.0,671793.0
S02001588,12,road,True,ok,19.729338559655215,13776,321246.52,670931.58,321250.0,670951.0
S02001589,13,road,True,ok,53.77480171974579,16791,322593.38,671649.07,322645.0,671634.0
S02001590,14,road,True,ok,30.86862646761864,19879,322925.61,672273.8,322932.0,672304.0
S02001591,15,road,True,ok,23.540741279774192,20300,323580.52,672712.19,323597.0,672729.0
S02001592,16,road,True,ok,25.19151642914456,18973,323251.01,671847.18,323276.0,671844.0
S02001593,17,road,True,ok,86.37870628804005,9447,322721.72,670550.25,322641.0,670581.0
S02001594,18,road,True,ok,19.922030518967208,9045,323816.28,670632.17,323836.0,670635.0
S02001595,19,road,True,ok_long,104.78746967080282,8843,323847.83,669887.93,323876.0,669787.0
S02001596,20,road,True,ok,15.646015467224009,6963,323233.47,669260.63,323246.0,669270.0
S02001597,21,road,True,ok,13.823494493045361,7298,323522.47,668908.59,323525.0,668895.0
S02001598,22,road,True,ok,36.15152832178806,6612,323963.77,668524.51,323953.0,668490.0
S02001599,23,road,True,ok,45.72838287105835,6820,324875.85,668818.25,324921.0,668811.0
S02001600,24,road,True,ok,24.01186373442579,41334,328751.36,668100.0,328774.0,668092.0
S02001601,25,road,True,ok,30.20189398035721,4920,326967.7,668503.62,326943.0,668521.0
S02001602,26,road,True,ok,55.84080586808093,4832,327518.34,668429.4,327534.0,668483.0
S02001603,27,road,True,ok,42.34404326464721,5071,328913.72,668584.86,328875.0,668602.0
S02001604,28,road,True,ok,17.445472191947452,42495,329451.43,669302.86,329436.0,669311.0
