IntZone,node_index,Easting,Northing
S02001576,0,316116,666116
S02001577,1,317812,667813
S02001578,2,318655,668420
S02001579,3,319584,669262
S02001580,4,321320,668240
S02001581,5,322169,668751
S02001582,6,320148,669587
S02001583,7,319181,670347
S02001584,8,320373,670216
S02001585,9,320249,670719
S02001586,10,320106,671208
S02001587,11,321242,671793
S02001588,12,321250,670951
S02001589,13,322645,671634
S02001590,14,322932,672304
S02001591,15,323597,672729
S02001592,16,323276,671844
S02001593,17,322641,670581
S02001594,18,323836,670635
S02001595,19,323876,669787
S02001596,20,323246,669270
S02001597,21,323525,668895
S02001598,22,323953,668490
S02001599,23,324921,668811
S02001600,24,328774,668092
S02001601,25,326943,668521
S02001602,26,327534,668483
S02001603,27,328875,668602
S02001604,28,329436,669311
S02001605,29,328884,669616
S02001606,30,328024,669334
S02001607,31,327238,669593
S02001608,32,327821,670277
S02001609,33,326619,671290
S02001610,34,327560,671680
S02001611,35,326584,672398
S02001612,36,326243,671775
S02001613,37,325957,672335
S02001614,38,325258,672241
S02001615,39,324829,671189
S02001616,40,324318,671916
S02001617,41,324371,672313
S02001618,42,323737,672388
S02001619,43,323944,672854
S02001620,44,324934,673093
S02001621,45,326258,672722
S02001622,46,325891,673440
S02001623,47,326328,673326
S02001624,48,327127,674111
S02001625,49,327594,674329
S02001626,50,328447,673804
S02001627,51,328642,671511
S02001628,52,330051,671610
S02001629,53,330649,672595
S02001630,54,330866,672281
S02001631,55,331564,673116
S02001632,56,330507,673831
S02001633,57,330102,673005
S02001634,58,329375,673802
S02001635,59,329039,673638
S02001636,60,329456,674459
S02001637,61,328406,674636
S02001638,62,328203,675053
S02001639,63,327570,675457
S02001640,64,325871,677679
S02001641,65,326119,676799
S02001642,66,327145,676440
S02001643,67,326919,676120
S02001644,68,327040,675405
S02001645,69,327203,674824
S02001646,70,326720,675164
S02001647,71,326643,674597
S02001648,72,326594,675529
S02001649,73,325869,676115
S02001650,74,325821,676691
S02001651,75,324718,676272
S02001652,76,324656,675931
S02001653,77,325703,675325
S02001654,78,326136,675018
S02001655,79,325882,674691
S02001656,80,325054,674450
S02001657,81,325282,674619
S02001658,82,324545,674546
S02001659,83,324046,674535
S02001660,84,324025,673464
S02001661,85,321844,672727
S02001662,86,322528,673742
S02001663,87,322985,674845
S02001664,88,321217,674803
S02001665,89,322290,675122
S02001666,90,322455,676031
S02001667,91,323680,676408
S02001668,92,323427,676822
S02001669,93,323114,676778
S02001670,94,321975,676422
S02001671,95,321340,675908
S02001672,96,320690,675779
S02001673,97,318543,676287
S02001674,98,318381,675093
S02001675,99,319416,674411
S02001676,100,318548,674324
S02001677,101,318721,673372
S02001678,102,319854,673637
S02001679,103,319696,672825
S02001680,104,320738,672090
S02001681,105,319887,671949
S02001682,106,319070,672115
S02001683,107,313991,670834
S02001684,108,312387,674380
S02001685,109,313307,677900
S02001686,110,312091,678142
