IntZone,S02001576,S02001577,S02001578,S02001579,S02001580,S02001581,S02001582,S02001583,S02001584,S02001585,S02001586,S02001587,S02001588,S02001589,S02001590,S02001591,S02001592,S02001593,S02001594,S02001595,S02001596,S02001597,S02001598,S02001599,S02001600,S02001601,S02001602,S02001603,S02001604,S02001605,S02001606,S02001607,S02001608,S02001609,S02001610,S02001611,S02001612,S02001613,S02001614,S02001615,S02001616,S02001617,S02001618,S02001619,S02001620,S02001621,S02001622,S02001623,S02001624,S02001625,S02001626,S02001627,S02001628,S02001629,S02001630,S02001631,S02001632,S02001633,S02001634,S02001635,S02001636,S02001637,S02001638,S02001639,S02001640,S02001641,S02001642,S02001643,S02001644,S02001645,S02001646,S02001647,S02001648,S02001649,S02001650,S02001651,S02001652,S02001653,S02001654,S02001655,S02001656,S02001657,S02001658,S02001659,S02001660,S02001661,S02001662,S02001663,S02001664,S02001665,S02001666,S02001667,S02001668,S02001669,S02001670,S02001671,S02001672,S02001673,S02001674,S02001675,S02001676,S02001677,S02001678,S02001679,S02001680,S02001681,S02001682,S02001683,S02001684,S02001685,S02001686
S02001576,self,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001577,bicycle,self,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001578,bicycle,walking,self,walking,walking,bicycle,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,bicycle,walking,bicycle,walking,walking,bicycle,walking,walking,walking,walking,bicycle,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking
S02001579,walking,walking,walking,self,walking,bicycle,bicycle,walking,bicycle,walking,walking,walking,walking,bicycle,walking,walking,bicycle,walking,walking,bicycle,bicycle,walking,bicycle,walking,walking,bicycle,walking,walking,walking,walking,bicycle,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001580,walking,walking,walking,walking,self,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,bicycle,walking,walking,bicycle,walking,walking,walking,walking,bicycle,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001581,walking,walking,bicycle,bicycle,bicycle,self,walking,walking,walking,walking,walking,walking,walking,bicycle,bicycle,walking,walking,bicycle,bicycle,bicycle,walking,walking,bicycle,walking,walking,bicycle,walking,walking,walking,walking,bicycle,bicycle,walking,walking,walking,walking,walking,bicycle,bicycle,walking,bicycle,bicycle,walking,walking,walking,bicycle,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001582,walking,walking,walking,walking,bicycle,walking,self,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001583,bicycle,bicycle,bicycle,walking,walking,walking,walking,self,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001584,walking,walking,walking,walking,walking,walking,walking,bicycle,self,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,bicycle,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001585,walking,walking,walking,walking,walking,walking,walking,walking,walking,self,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
