IntZone,IntZoneName,node_index,input_start_date,issue_date,target_report_date,lead_days,observed_anchor_rate,predicted_delta,predicted_mean,predicted_variance,predicted_sigma,calibrated80_lower,calibrated80_upper,calibrated95_lower,calibrated95_upper,display_mean,display_lower,display_upper,display_interval_type,uncertainty_flag,uncertainty_threshold,alpha_geographic,alpha_transport,alpha_mobility,alpha_label,geoshapley_phi0,geoshapley_income_deprivation,geoshapley_employment_deprivation,geoshapley_higher_education,geoshapley_overcrowding,geoshapley_crime,geoshapley_public_transport_time_to_gp,geoshapley_location,geoshapley_location_x_income_deprivation,geoshapley_location_x_employment_deprivation,geoshapley_location_x_higher_education,geoshapley_location_x_overcrowding,geoshapley_location_x_crime,geoshapley_location_x_public_transport_time_to_gp,geoshapley_reconstructed_prediction,geoshapley_additivity_error,geoshapley_n_coalitions,geoshapley_scope,forecast_status,observed_target_available,include_in_test_metrics,u10_checkpoint_id,calibration_artefact_id,node_order_hash
S02001576,Balerno and Bonnington Village,0,2023-02-19,2023-02-25,2023-03-04,7,50.61582588155897,-5.805332183837891,44.81049369772108,3424.0615234375,58.51548004150391,16.952491988736703,72.66849540670546,-3.2500455478843904,92.87103294332655,44.81049369772108,0.0,92.87103294332655,calibrated_95,high,56.19824981689453,0.3181084990501404,0.3234014213085174,0.3584901392459869,Learned relative graph-fusion weights,35.615941276151254,-0.9029298646109614,-0.0547774178641269,-1.700416678474076,-0.0566231273469499,0.0088448660714337,9.075723470960384,-2.8758125554947767,0.2814906687963793,-0.0897051164081998,2.0767335187821336,-1.6464131105513762,-0.200395201501397,5.278836307071464,44.81049703558119,0.0,128,target_iz_local,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64,/mnt/4TB_Hard_Disk/user_homes/fli/projects/oasis/oasis_geoai_agent/data/results/model/rolling_v1_split65_10_25/final_test/W730/U10/calibration.json,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34
S02001577,Currie West,1,2023-02-19,2023-02-25,2023-03-04,7,16.07200257152041,8.166958808898926,24.238961380419337,2208.245849609375,46.991973876953125,1.867060821947657,46.61086193889102,-14.356974441113866,62.83489720195254,24.238961380419337,0.0,62.83489720195254,calibrated_95,normal,56.19824981689453,0.3181084990501404,0.3234014213085174,0.3584901392459869,Learned relative graph-fusion weights,27.43360440104922,-1.1180279277619891,-0.7098169508434516,0.1022890862964445,-0.1671522640046624,-0.4207751455761127,1.0293690817696772,-2.1715023267836897,-0.9330933934166274,-0.1099631990705154,0.069479524521604,-1.151797728311446,-0.4154165631248834,2.8017743224189338,24.238970917162504,3.552713678800501e-15,128,target_iz_local,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64,/mnt/4TB_Hard_Disk/user_homes/fli/projects/oasis/oasis_geoai_agent/data/results/model/rolling_v1_split65_10_25/final_test/W730/U10/calibration.json,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34
S02001578,Currie East,2,2023-02-19,2023-02-25,2023-03-04,7,28.538812785388128,7.148870468139648,35.68768325352778,3190.871337890625,56.48779678344727,8.795019297839303,62.58034720921626,-10.70745834803472,82.08282485509028,35.68768325352778,0.0,82.08282485509028,calibrated_95,high,56.19824981689453,0.3181084990501404,0.3234014213085174,0.3584901392459869,Learned relative graph-fusion weights,39.09279456639399,-1.1207059519631557,-0.111134701683404,-1.055146914436708,-0.1347215947650726,0.0359572115398585,0.7065599305289167,-2.6954779465993344,0.2450650669279604,-0.0374269826071635,0.2471569038572825,-0.0348551931835331,-0.0968780699230354,0.6465002673012852,35.68768659138789,0.0,128,target_iz_local,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64,/mnt/4TB_Hard_Disk/user_homes/fli/projects/oasis/oasis_geoai_agent/data/results/model/rolling_v1_split65_10_25/final_test/W730/U10/calibration.json,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34
S02001579,Baberton and Juniper Green,3,2023-02-19,2023-02-25,2023-03-04,7,23.16423442205235,11.65872859954834,34.822963021600685,2633.52978515625,51.31792831420898,10.391566537225684,59.254359505975685,-7.326008536016502,76.97193457921787,34.822963021600685,0.0,76.97193457921787,calibrated_95,normal,56.19824981689453,0.3181084990501404,0.3234014213085174,0.3584901392459869,Learned relative graph-fusion weights,35.94719722112461,-1.223504234495622,-0.2158990950811482,-0.796467249734064,-0.3880897294907362,0.0630356062026262,1.902483772096188,-1.7695668629237653,-0.2452393531799249,-0.0379599253336573,-0.1106883366902623,-0.470941162109372,-0.1963413556416833,2.364922746022534,34.822942040765724,0.0,128,target_iz_local,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64,/mnt/4TB_Hard_Disk/user_homes/fli/projects/oasis/oasis_geoai_agent/data/results/model/rolling_v1_split65_10_25/final_test/W730/U10/calibration.json,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34
S02001580,Bonaly and The Pentlands,4,2023-02-19,2023-02-25,2023-03-04,7,21.017234131988232,13.501188278198242,34.518422410186474,2306.23828125,48.02330780029297,11.655526444610302,57.381318375762646,-4.924578383270557,73.9614232036435,34.518422410186474,0.0,73.9614232036435,calibrated_95,normal,56.19824981689453,0.3181084990501404,0.3234014213085174,0.3584901392459869,Learned relative graph-fusion weights,38.621043488677685,-1.2171944572812066,-0.325098001389277,-0.4232936177934929,-0.7449385597592305,-0.0531406675066276,0.211768250238332,-3.507087789263056,0.1520169984726737,0.0661387852260079,1.8516632806687168,-0.3328762599400109,0.0589288484482584,0.1604959260849682,34.51842622488375,7.105427357601002e-15,128,target_iz_local,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64,/mnt/4TB_Hard_Disk/user_homes/fli/projects/oasis/oasis_geoai_agent/data/results/model/rolling_v1_split65_10_25/final_test/W730/U10/calibration.json,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34
S02001581,Colinton and Kingsknowe,5,2023-02-19,2023-02-25,2023-03-04,7,22.09456473707468,12.220748901367188,34.315313638441864,2507.2958984375,50.07290267944336,10.476648629896944,58.15397864698679,-6.811082540757354,75.44170981764108,34.315313638441864,0.0,75.44170981764108,calibrated_95,normal,56.19824981689453,0.3181084990501404,0.3234014213085174,0.3584901392459869,Learned relative graph-fusion weights,37.70652991651804,-1.0532304536728685,-0.5773180416652143,-0.0812173934209919,-0.1033667655218203,-0.0196368308294384,0.9409318515232676,-3.040768696012964,-0.2914296150207449,-0.0371810595194471,-0.001125717163082,-0.217024612426757,-0.2372107505798314,1.327381833394366,34.31533366560251,0.0,128,target_iz_local,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64,/mnt/4TB_Hard_Disk/user_homes/fli/projects/oasis/oasis_geoai_agent/data/results/model/rolling_v1_split65_10_25/final_test/W730/U10/calibration.json,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34
S02001582,Clovenstone and Wester Hailes,6,2023-02-19,2023-02-25,2023-03-04,7,28.04262478968032,26.46051025390625,54.50313504358657,3550.93603515625,59.58972930908203,26.133706408943013,82.87256367823012,5.56027920862563,103.4459908785475,54.50313504358657,5.56027920862563,103.4459908785475,calibrated_95,high,56.19824981689453,0.3181084990501404,0.3234014213085174,0.3584901392459869,Learned relative graph-fusion weights,45.053609210456685,7.504076626187306,-0.965682806287502,0.4719237509227909,0.4851121130443716,0.771523589179627,-0.3820401963733516,-2.432506838298985,4.228762458619592,0.107597818828775,0.718205347515292,-0.565220047178717,-0.0160340399969161,-0.4761976650782957,54.50312932154068,7.105427357601002e-15,128,target_iz_local,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64,/mnt/4TB_Hard_Disk/user_homes/fli/projects/oasis/oasis_geoai_agent/data/results/model/rolling_v1_split65_10_25/final_test/W730/U10/calibration.json,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34
S02001583,The Calders,7,2023-02-19,2023-02-25,2023-03-04,7,21.45002145002145,25.19432640075684,46.64434785077829,2991.004638671875,54.6900749206543,20.607541744210906,72.68115395734567,1.7257267875458666,91.56296891401072,46.64434785077829,1.7257267875458666,91.56296891401072,calibrated_95,normal,56.19824981689453,0.3181084990501404,0.3234014213085174,0.3584901392459869,Learned relative graph-fusion weights,38.478465740182585,5.5597559701828905,-0.8075270244053517,0.4165140878586471,0.1949379693894115,0.499207887195408,1.874709329150975,0.0481711932591019,-1.3638247353690205,0.8769581930978058,0.3603621619088389,-0.1882334255036813,-0.148333440508165,0.8431896663847406,46.64435357282419,0.0,128,target_iz_local,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64,/mnt/4TB_Hard_Disk/user_homes/fli/projects/oasis/oasis_geoai_agent/data/results/model/rolling_v1_split65_10_25/final_test/W730/U10/calibration.json,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34
S02001584,Murrayburn and Wester Hailes North,8,2023-02-19,2023-02-25,2023-03-04,7,26.1780104712042,17.42376708984375,43.601777561047946,3356.7900390625,57.93780899047852,16.018794544080173,71.18476057801573,-3.984304897448148,91.18786001954405,43.601777561047946,0.0,91.18786001954405,calibrated_95,high,56.19824981689453,0.3181084990501404,0.3234014213085174,0.3584901392459869,Learned relative graph-fusion weights,35.17272139344541,7.588625748952256,-1.9908993403117028,0.856189123789465,-0.22603422800701,4.59831997553509,1.2828722318013492,2.553504766736719,-2.742600125358247,-2.1145493053254483,0.4998396214984748,0.517439506167471,-2.606636462892822,0.2129922844114752,43.60178519044248,0.0,128,target_iz_local,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64,/mnt/4TB_Hard_Disk/user_homes/fli/projects/oasis/oasis_geoai_agent/data/results/model/rolling_v1_split65_10_25/final_test/W730/U10/calibration.json,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34
S02001585,Parkhead and Sighthill,9,2023-02-19,2023-02-25,2023-03-04,7,31.83699458771092,15.850936889648438,47.68793147735936,2791.447021484375,52.83414840698242,22.5346950881992,72.84116786651951,4.293640553287091,91.08222240143162,47.68793147735936,4.293640553287091,91.08222240143162,calibrated_95,normal,56.19824981689453,0.3181084990501404,0.3234014213085174,0.3584901392459869,Learned relative graph-fusion weights,45.05019611053807,0.1666371754237579,0.0778107416062127,0.1464398474920356,-0.02430314109439,0.0405420076279416,0.5930691174098449,-1.012601321084163,0.2861756778898711,0.0056600389026467,0.5320504006885369,-0.0078635715302959,0.0558305876595636,1.7782878058297265,47.68793147735936,0.0,128,target_iz_local,unverified_extrapolation,False,False,79d4d6c0cb55599546517aef60598e330b7dd07f31538b6995d964aeedaa5c64,/mnt/4TB_Hard_Disk/user_homes/fli/projects/oasis/oasis_geoai_agent/data/results/model/rolling_v1_split65_10_25/final_test/W730/U10/calibration.json,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34
