iz_code,site_id,travel_time_min,served
S02001842,PH_1621,14.82,True
S02001843,GP_52024,14.07,True
S02001844,GP_52024,13.89,True
S02001845,GP_52024,10.12,True
S02001846,GP_52024,8.75,True
S02001847,GP_52024,7.65,True
S02001848,GP_52024,6.17,True
S02001849,GP_52024,7.98,True
S02001850,GP_52024,3.41,True
S02001851,GP_52024,1.76,True
S02001852,GP_52024,1.57,True
S02001853,GP_52024,2.92,True
S02001854,GP_52024,0.3,True
S02001855,GP_52024,5.01,True
S02001856,GP_52024,6.59,True
S02001857,GP_52024,5.36,True
S02001858,GP_52024,6.72,True
S02001859,MS_14,6.78,True
S02001860,MS_14,6.16,True
S02001861,MS_14,5.55,True
S02001862,GP_52024,8.43,True
S02001863,MS_14,6.33,True
S02001864,MS_14,4.75,True
S02001865,MS_14,5.72,True
S02001866,MS_14,5.88,True
S02001867,PH_1621,5.52,True
S02001868,MS_14,5.63,True
S02001869,MS_14,8.25,True
S02001870,MS_14,7.39,True
S02001871,MS_14,7.25,True
S02001872,PH_1621,6.88,True
S02001873,PH_1621,8.95,True
S02001874,GP_52024,13.43,True
S02001875,PH_1621,10.68,True
S02001876,PH_1621,8.17,True
S02001877,PH_1621,5.74,True
S02001878,PH_1621,5.32,True
S02001879,PH_1621,1.34,True
S02001880,PH_1621,2.86,True
S02001881,PH_1621,3.8,True
S02001882,PH_1621,4.62,True
S02001883,PH_1621,1.16,True
S02001884,PH_1621,2.36,True
S02001885,PH_1621,3.83,True
S02001886,PH_1621,3.84,True
S02001887,PH_1621,4.43,True
S02001888,PH_1621,6.47,True
S02001889,MS_14,4.93,True
S02001890,MS_14,1.86,True
S02001891,MS_14,4.67,True
S02001892,PH_1703,5.21,True
S02001893,PH_1703,5.56,True
S02001894,PH_1703,1.25,True
S02001895,PH_1703,1.14,True
S02001896,PH_1703,3.74,True
S02001897,PH_1703,5.28,True
S02001898,PH_1703,8.76,True
S02001899,PH_1502,5.2,True
S02001900,PH_1502,4.95,True
S02001901,PH_1502,4.54,True
S02001902,PH_1502,3.03,True
S02001903,PH_1502,4.81,True
S02001904,PH_1502,6.4,True
S02001905,PH_1502,4.24,True
S02001906,PH_1502,4.23,True
S02001907,PH_1502,2.74,True
S02001908,PH_1502,1.51,True
S02001909,PH_1502,4.06,True
S02001910,PH_1502,4.47,True
S02001911,PH_1703,3.44,True
S02001912,PH_1703,4.02,True
S02001913,PH_1703,5.1,True
S02001914,PH_1703,5.72,True
S02001915,PH_1502,8.04,True
S02001916,PH_1703,5.83,True
S02001917,PH_1703,7.55,True
S02001918,PH_1703,11.91,True
S02001919,PH_1703,13.86,True
S02001920,PH_1703,10.69,True
S02001921,PH_1703,10.4,True
S02001922,MS_14,10.85,True
S02001923,MS_14,10.85,True
S02001924,MS_14,8.68,True
S02001925,MS_14,7.95,True
S02001926,MS_14,7.29,True
S02001927,PH_1703,5.15,True
S02001928,PH_1703,4.49,True
S02001929,PH_1703,3.41,True
S02001930,PH_1703,3.63,True
S02001931,PH_1703,4.08,True
S02001932,MS_14,3.27,True
S02001933,MS_14,4.06,True
S02001934,MS_14,1.02,True
S02001935,MS_14,3.46,True
S02001936,MS_14,5.3,True
S02001937,MS_14,4.56,True
S02001938,MS_14,4.82,True
S02001939,MS_14,6.67,True
S02001940,PH_1721,7.67,True
S02001941,PH_1721,4.22,True
S02001942,PH_1721,9.3,True
S02001943,PH_1721,9.09,True
S02001944,PH_1721,11.74,True
S02001945,PH_1721,6.29,True
S02001946,PH_1721,5.22,True
S02001947,PH_1721,4.72,True
S02001948,PH_1721,4.3,True
S02001949,PH_1721,2.67,True
S02001950,PH_1721,0.54,True
S02001951,PH_1721,6.07,True
S02001952,PH_1721,4.52,True
S02001953,PH_1721,4.47,True
S02001954,PH_1721,6.1,True
S02001955,PH_1721,6.05,True
S02001956,PH_1721,3.72,True
S02001957,PH_1721,2.95,True
S02001958,PH_1721,5.56,True
S02001959,PH_1721,6.07,True
S02001960,PH_1721,6.9,True
S02001961,PH_1721,9.14,True
S02001962,PH_1721,8.49,True
S02001963,PH_1721,9.56,True
S02001964,PH_1721,11.85,True
S02001965,PH_1721,11.39,True
S02001966,PH_1721,10.89,True
S02001967,PH_1721,9.15,True
S02001968,PH_1721,8.62,True
S02001969,PH_1721,6.73,True
S02001970,PH_1721,4.01,True
S02001971,PH_1721,4.65,True
S02001972,PH_1721,7.17,True
S02001973,PH_1721,10.29,True
S02001974,PH_1721,9.8,True
S02001975,PH_1721,10.95,True
S02001976,PH_1721,12.87,True
S02001977,PH_1721,13.97,True
