iz_code,site_id,travel_time_min,served
S02001842,PH_1695,11.52,True
S02001843,PH_1695,12.3,True
S02001844,GP_52024,13.89,True
S02001845,GP_52024,10.12,True
S02001846,GP_52024,8.75,True
S02001847,GP_52024,7.65,True
S02001848,GP_52024,6.17,True
S02001849,GP_52024,7.98,True
S02001850,GP_52024,3.41,True
S02001851,GP_52024,1.76,True
S02001852,GP_52024,1.57,True
S02001853,GP_52024,2.92,True
S02001854,GP_52024,0.3,True
S02001855,GP_52024,5.01,True
S02001856,GP_52024,6.59,True
S02001857,GP_52024,5.36,True
S02001858,GP_52024,6.72,True
S02001859,MS_14,6.78,True
S02001860,MS_14,6.16,True
S02001861,MS_14,5.55,True
S02001862,GP_52024,8.43,True
S02001863,PH_1695,5.69,True
S02001864,PH_1695,4.31,True
S02001865,PH_1695,3.37,True
S02001866,PH_1695,3.77,True
S02001867,PH_1695,0.87,True
S02001868,PH_1695,2.38,True
S02001869,PH_1695,3.92,True
S02001870,PH_1695,2.55,True
S02001871,PH_1695,1.95,True
S02001872,PH_1695,1.5,True
S02001873,PH_1695,4.18,True
S02001874,PH_1695,10.52,True
S02001875,PH_1695,7.38,True
S02001876,PH_1695,5.06,True
S02001877,PH_1695,3.93,True
S02001878,PH_1695,4.21,True
S02001879,PH_1695,4.4,True
S02001880,PH_1695,8.1,True
S02001881,PH_1695,9.29,True
S02001882,PH_1695,9.27,True
S02001883,PH_1695,6.39,True
S02001884,PH_1695,5.37,True
S02001885,PH_1695,3.88,True
S02001886,PH_1695,1.94,True
S02001887,PH_1695,1.52,True
S02001888,PH_1695,4.54,True
S02001889,MS_14,4.93,True
S02001890,MS_14,1.86,True
S02001891,MS_14,4.67,True
S02001892,PH_1703,5.21,True
S02001893,PH_1703,5.56,True
S02001894,PH_1703,1.25,True
S02001895,PH_1703,1.14,True
S02001896,PH_1703,3.74,True
S02001897,PH_1703,5.28,True
S02001898,PH_1703,8.76,True
S02001899,PH_1502,5.2,True
S02001900,PH_1502,4.95,True
S02001901,PH_1502,4.54,True
S02001902,PH_1502,3.03,True
S02001903,PH_1502,4.81,True
S02001904,PH_1502,6.4,True
S02001905,PH_1502,4.24,True
S02001906,PH_1502,4.23,True
S02001907,PH_1502,2.74,True
S02001908,PH_1502,1.51,True
S02001909,PH_1502,4.06,True
S02001910,PH_1502,4.47,True
S02001911,PH_1703,3.44,True
S02001912,PH_1703,4.02,True
S02001913,PH_1703,5.1,True
S02001914,PH_1703,5.72,True
S02001915,PH_1502,8.04,True
S02001916,PH_1703,5.83,True
S02001917,PH_1703,7.55,True
S02001918,PH_1703,11.91,True
S02001919,PH_1703,13.86,True
S02001920,PH_1703,10.69,True
S02001921,PH_1703,10.4,True
S02001922,MS_14,10.85,True
S02001923,MS_14,10.85,True
S02001924,MS_14,8.68,True
S02001925,MS_14,7.95,True
S02001926,MS_14,7.29,True
S02001927,PH_1703,5.15,True
S02001928,PH_1703,4.49,True
S02001929,PH_1703,3.41,True
S02001930,PH_1703,3.63,True
S02001931,PH_1703,4.08,True
S02001932,MS_14,3.27,True
S02001933,MS_14,4.06,True
S02001934,MS_14,1.02,True
S02001935,MS_14,3.46,True
S02001936,MS_14,5.3,True
S02001937,MS_14,4.56,True
S02001938,MS_14,4.82,True
S02001939,MS_14,6.67,True
S02001940,MS_14,8.86,True
S02001941,GP_40008,7.3,True
S02001942,MS_14,10.72,True
S02001943,MS_14,10.51,True
S02001944,MS_14,13.64,True
S02001945,GP_40008,7.95,True
S02001946,GP_40008,6.88,True
S02001947,GP_40008,7.13,True
S02001948,GP_40008,5.96,True
S02001949,GP_40008,6.51,True
S02001950,GP_40008,4.69,True
S02001951,MS_14,7.3,True
S02001952,GP_40008,7.41,True
S02001953,GP_40008,7.36,True
S02001954,GP_40008,6.24,True
S02001955,GP_40008,6.15,True
S02001956,GP_40008,6.61,True
S02001957,GP_40008,5.84,True
S02001958,GP_40008,2.94,True
S02001959,GP_40008,5.81,True
S02001960,GP_40008,4.55,True
S02001961,GP_40008,6.6,True
S02001962,GP_40008,5.79,True
S02001963,GP_40008,6.87,True
S02001964,GP_40008,8.21,True
S02001965,GP_40008,7.22,True
S02001966,GP_40008,6.8,True
S02001967,GP_40008,5.85,True
S02001968,GP_40008,4.69,True
S02001969,GP_40008,2.75,True
S02001970,GP_40008,2.93,True
S02001971,GP_40008,0.77,True
S02001972,GP_40008,2.96,True
S02001973,GP_40008,6.09,True
S02001974,GP_40008,6.25,True
S02001975,GP_40008,8.59,True
S02001976,GP_40008,8.94,True
S02001977,GP_40008,9.77,True
