iz_code,site_id,travel_time_min,served
S02001842,PH_1066,14.12,True
S02001843,PH_1066,13.43,True
S02001844,PH_1066,13.25,True
S02001845,PH_1066,9.41,True
S02001846,PH_1066,8.04,True
S02001847,PH_1066,6.36,True
S02001848,PH_1066,5.53,True
S02001849,PH_1066,7.11,True
S02001850,PH_1066,2.12,True
S02001851,PH_1066,1.68,True
S02001852,PH_1066,0.57,True
S02001853,PH_1066,3.98,True
S02001854,PH_1066,1.31,True
S02001855,PH_1540,4.69,True
S02001856,PH_1540,4.14,True
S02001857,PH_1540,3.86,True
S02001858,PH_1540,5.21,True
S02001859,PH_1540,2.5,True
S02001860,PH_1540,0.92,True
S02001861,PH_1540,3.3,True
S02001862,PH_1540,2.67,True
S02001863,PH_1540,6.59,True
S02001864,MS_5,5.07,True
S02001865,MS_5,5.81,True
S02001866,MS_5,5.87,True
S02001867,PH_1621,5.52,True
S02001868,MS_5,5.95,True
S02001869,PH_1540,5.9,True
S02001870,MS_5,7.71,True
S02001871,PH_1621,7.34,True
S02001872,PH_1621,6.88,True
S02001873,PH_1540,8.83,True
S02001874,PH_1066,12.72,True
S02001875,PH_1621,10.68,True
S02001876,PH_1621,8.17,True
S02001877,PH_1621,5.74,True
S02001878,PH_1621,5.32,True
S02001879,PH_1621,1.34,True
S02001880,PH_1621,2.86,True
S02001881,PH_1621,3.8,True
S02001882,PH_1621,4.62,True
S02001883,PH_1621,1.16,True
S02001884,PH_1621,2.36,True
S02001885,PH_1621,3.83,True
S02001886,PH_1621,3.84,True
S02001887,PH_1621,4.43,True
S02001888,PH_1621,6.47,True
S02001889,MS_5,4.85,True
S02001890,MS_5,2.18,True
S02001891,MS_5,4.34,True
S02001892,MS_5,5.69,True
S02001893,MS_5,7.37,True
S02001894,MS_5,8.39,True
S02001895,MS_5,9.64,True
S02001896,MS_5,12.1,True
S02001897,MS_5,13.78,True
S02001898,,,False
S02001899,,,False
S02001900,,,False
S02001901,,,False
S02001902,,,False
S02001903,,,False
S02001904,,,False
S02001905,,,False
S02001906,,,False
S02001907,,,False
S02001908,,,False
S02001909,MS_5,14.28,True
S02001910,MS_5,13.46,True
S02001911,MS_5,11.94,True
S02001912,MS_5,10.64,True
S02001913,PH_1508,10.65,True
S02001914,MS_5,12.58,True
S02001915,PH_1508,13.97,True
S02001916,PH_1508,10.33,True
S02001917,PH_1508,6.99,True
S02001918,PH_1508,8.45,True
S02001919,PH_1508,5.9,True
S02001920,PH_1508,4.25,True
S02001921,PH_1508,2.34,True
S02001922,PH_1508,1.98,True
S02001923,PH_1508,1.56,True
S02001924,PH_1508,2.14,True
S02001925,PH_1508,3.14,True
S02001926,PH_1508,5.35,True
S02001927,PH_1508,6.48,True
S02001928,PH_1508,7.45,True
S02001929,PH_1508,8.53,True
S02001930,MS_5,6.42,True
S02001931,MS_5,5.35,True
S02001932,MS_5,2.95,True
S02001933,MS_5,3.97,True
S02001934,MS_5,0.94,True
S02001935,MS_5,3.37,True
S02001936,MS_5,5.22,True
S02001937,MS_5,4.48,True
S02001938,MS_5,4.73,True
S02001939,MS_5,6.58,True
S02001940,PH_1508,6.48,True
S02001941,PH_1392,5.05,True
S02001942,PH_1508,5.03,True
S02001943,PH_1508,5.79,True
S02001944,PH_1508,6.0,True
S02001945,PH_1392,2.46,True
S02001946,PH_1392,0.91,True
S02001947,PH_1392,2.91,True
S02001948,PH_1392,1.93,True
S02001949,PH_1392,5.14,True
S02001950,PH_1392,5.36,True
S02001951,MS_5,7.22,True
S02001952,MS_5,7.48,True
S02001953,MS_5,8.34,True
S02001954,MS_5,8.98,True
S02001955,MS_5,8.93,True
S02001956,PH_1392,8.23,True
S02001957,PH_1392,7.18,True
S02001958,PH_1392,8.35,True
S02001959,PH_1540,10.24,True
S02001960,PH_1540,9.08,True
S02001961,PH_1540,11.32,True
S02001962,PH_1392,11.23,True
S02001963,PH_1392,12.31,True
S02001964,PH_1392,14.6,True
S02001965,PH_1392,13.75,True
S02001966,PH_1392,13.32,True
S02001967,PH_1392,11.9,True
S02001968,PH_1392,11.21,True
S02001969,PH_1392,9.27,True
S02001970,PH_1392,6.79,True
S02001971,PH_1392,6.97,True
S02001972,PH_1392,9.49,True
S02001973,PH_1392,11.97,True
S02001974,PH_1392,10.29,True
S02001975,PH_1392,11.44,True
S02001976,PH_1392,13.36,True
S02001977,PH_1392,14.8,True
