IntZone,node_index,train_mean,train_std,effective_scale,n_unique_training_input_observations,first_training_input_date,last_training_input_date,epsilon,ddof,fitting_policy,scaling_mode,zero_or_near_zero_variance
S02001842,0,267.81993960070076,387.7286236966569,387.7286236966569,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001843,1,373.5450584324497,530.9992893487417,530.9992893487417,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001844,2,310.7166491198807,402.8877311854241,402.8877311854241,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001845,3,357.9214670387933,544.0643084587423,544.0643084587423,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001846,4,346.723132962333,513.8330254653085,513.8330254653085,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001847,5,327.6964456894999,558.2829695717496,558.2829695717496,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001848,6,326.44250560057924,490.05382390130666,490.05382390130666,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001849,7,345.38960014835675,526.0290034861566,526.0290034861566,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001850,8,287.6737029109716,428.5816833871889,428.5816833871889,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001851,9,269.25925988137726,392.10378580335436,392.10378580335436,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001852,10,297.78947644062976,476.5787752746341,476.5787752746341,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001853,11,348.2415003339095,462.96845352199637,462.96845352199637,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001854,12,305.51094891629555,435.7095617648977,435.7095617648977,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001855,13,299.0031668045396,439.56272199025983,439.56272199025983,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001856,14,218.41972301145756,306.5491715539515,306.5491715539515,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001857,15,300.3790954757494,495.39875156696274,495.39875156696274,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001858,16,286.74869422573414,425.9006680647503,425.9006680647503,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001859,17,273.6064155987116,370.9375488855689,370.9375488855689,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001860,18,329.5655317951697,454.20614956455336,454.20614956455336,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001861,19,267.261283045663,356.9062274756713,356.9062274756713,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001862,20,228.761709630109,266.51120568587163,266.51120568587163,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001863,21,280.77319218289705,332.45249859040894,332.45249859040894,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001864,22,304.63157210158573,358.7887305289846,358.7887305289846,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001865,23,223.24550375349094,257.65982803704475,257.65982803704475,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001866,24,224.73091788769278,255.51726409187265,255.51726409187265,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001867,25,256.4431198255997,375.36190979244583,375.36190979244583,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001868,26,228.48786308716083,352.4155973582383,352.4155973582383,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001869,27,273.05376075662207,356.8608394096089,356.8608394096089,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001870,28,252.79941407431951,448.72779710091953,448.72779710091953,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001871,29,233.3854453782865,386.63757498910405,386.63757498910405,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001872,30,217.4460880061838,384.24003077483434,384.24003077483434,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001873,31,230.62674358505086,336.6710261909544,336.6710261909544,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001874,32,302.2624238767944,448.19811619945006,448.19811619945006,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001875,33,278.66723961870895,408.5908018257572,408.5908018257572,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001876,34,257.9946462353036,352.80628099710736,352.80628099710736,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001877,35,265.4719535743498,388.81245076947505,388.81245076947505,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001878,36,246.5701922251775,414.2159637434435,414.2159637434435,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001879,37,301.5999012442082,450.8364008818351,450.8364008818351,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001880,38,280.3212880168682,395.94666467780803,395.94666467780803,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001881,39,296.3867030145447,446.5613446971498,446.5613446971498,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001882,40,312.3668823178106,439.7531955415617,439.7531955415617,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
S02001883,41,303.8328939783003,430.53245063354007,430.53245063354007,701,2020-03-10,2022-02-08,1e-08,0,resplit_train_lookback_cells,per_iz,False
