source_node_index,target_node_index,source_iz_code,target_iz_code,weight,shared_boundary_length_m
0,1,S02001842,S02001843,1,3026.179253178671
0,31,S02001842,S02001873,1,396.1417870201128
0,32,S02001842,S02001874,1,739.8615827737345
1,2,S02001843,S02001844,1,6891.814627189973
1,3,S02001843,S02001845,1,1577.2667630360656
1,31,S02001843,S02001873,1,312.16332959305385
2,3,S02001844,S02001845,1,1096.7065513686282
3,4,S02001845,S02001846,1,2297.9059903615685
3,5,S02001845,S02001847,1,521.6233516215281
3,6,S02001845,S02001848,1,124.98547142139319
3,31,S02001845,S02001873,1,2081.57165433716
4,5,S02001846,S02001847,1,703.4443833782013
4,6,S02001846,S02001848,1,1962.1125125769552
4,7,S02001846,S02001849,1,394.1203341465711
5,7,S02001847,S02001849,1,1877.4159370722632
5,16,S02001847,S02001858,1,112.58392567830523
5,31,S02001847,S02001873,1,1287.9100432812158
6,7,S02001848,S02001849,1,2366.106805141651
7,8,S02001849,S02001850,1,1020.9755379580414
7,10,S02001849,S02001852,1,2664.908739517134
7,16,S02001849,S02001858,1,922.2695399734096
8,9,S02001850,S02001851,1,885.5829449863267
8,10,S02001850,S02001852,1,1302.4957653108368
8,15,S02001850,S02001857,1,564.4279111341883
8,16,S02001850,S02001858,1,2060.4671002457617
9,10,S02001851,S02001852,1,1184.2612479530778
9,12,S02001851,S02001854,1,1011.6074238700135
9,13,S02001851,S02001855,1,500.4021342161243
9,15,S02001851,S02001857,1,1390.9603933386281
10,11,S02001852,S02001853,1,673.801265087039
10,12,S02001852,S02001854,1,1109.1282094607927
11,12,S02001853,S02001854,1,1451.234323600522
11,13,S02001853,S02001855,1,37.828110955932516
12,13,S02001854,S02001855,1,1267.0231453365998
13,14,S02001855,S02001856,1,2796.394704992804
13,15,S02001855,S02001857,1,1955.1974841245583
14,15,S02001856,S02001857,1,1910.316091235812
14,17,S02001856,S02001859,1,2160.2103648558855
14,18,S02001856,S02001860,1,524.4711418611776
15,16,S02001857,S02001858,1,1346.590550329173
15,18,S02001857,S02001860,1,23.53720459187964
16,20,S02001858,S02001862,1,1444.9281822099379
16,27,S02001858,S02001869,1,1966.1543977757933
16,31,S02001858,S02001873,1,737.1639534307363
17,18,S02001859,S02001860,1,1886.3234966257644
18,19,S02001860,S02001861,1,1623.51915196705
18,20,S02001860,S02001862,1,1080.8305032037288
19,20,S02001861,S02001862,1,1760.192451751764
19,48,S02001861,S02001890,1,1150.9390161764632
20,21,S02001862,S02001863,1,3120.8776941469055
20,27,S02001862,S02001869,1,487.55381059525394
20,48,S02001862,S02001890,1,338.2162968265923
21,22,S02001863,S02001864,1,1280.3269178447729
21,27,S02001863,S02001869,1,3576.6513140893426
21,48,S02001863,S02001890,1,335.8776309159278
22,23,S02001864,S02001865,1,176.27440211909155
22,26,S02001864,S02001868,1,553.1726882489822
22,27,S02001864,S02001869,1,692.0694292148092
22,48,S02001864,S02001890,1,1340.8753382850655
23,24,S02001865,S02001866,1,730.1313248821637
23,25,S02001865,S02001867,1,460.219301672681
23,26,S02001865,S02001868,1,930.7285159335203
23,48,S02001865,S02001890,1,1048.4526471569684
24,25,S02001866,S02001867,1,794.3560909572801
24,46,S02001866,S02001888,1,1621.942100896108
24,47,S02001866,S02001889,1,298.71925801398197
24,48,S02001866,S02001890,1,737.975059669164
25,26,S02001867,S02001868,1,2013.4759658575776
25,30,S02001867,S02001872,1,1423.6803410710852
25,35,S02001867,S02001877,1,180.81564475283966
25,44,S02001867,S02001886,1,735.4123822357478
25,45,S02001867,S02001887,1,2133.193104442171
25,46,S02001867,S02001888,1,553.8207200554446
26,27,S02001868,S02001869,1,807.1511848635021
26,28,S02001868,S02001870,1,1001.5269542468284
26,29,S02001868,S02001871,1,579.4334705728894
26,30,S02001868,S02001872,1,39.82350765141639
27,28,S02001869,S02001870,1,1053.7126457896047
27,31,S02001869,S02001873,1,6265.163753974559
28,29,S02001870,S02001871,1,880.64653259339
28,30,S02001870,S02001872,1,106.77224795257722
28,31,S02001870,S02001873,1,489.4721976400461
29,30,S02001871,S02001872,1,1298.3606286834383
30,31,S02001872,S02001873,1,217.50122595552384
30,35,S02001872,S02001877,1,986.3070656456608
31,32,S02001873,S02001874,1,1465.190451818585
31,33,S02001873,S02001875,1,657.1063540205828
31,34,S02001873,S02001876,1,2110.145541657051
31,35,S02001873,S02001877,1,156.25990764753402
32,33,S02001874,S02001875,1,627.841032784281
33,34,S02001875,S02001876,1,2214.5291763786677
34,35,S02001876,S02001877,1,1745.1143130092826
34,36,S02001876,S02001878,1,1007.1559198119327
35,36,S02001877,S02001878,1,2338.6725990295618
35,44,S02001877,S02001886,1,1221.847443114283
36,37,S02001878,S02001879,1,592.696329943182
36,44,S02001878,S02001886,1,525.3694239308547
37,38,S02001879,S02001880,1,1714.1355032269073
37,41,S02001879,S02001883,1,198.20955856817594
37,42,S02001879,S02001884,1,375.60438207783744
37,44,S02001879,S02001886,1,1250.3296056335723
38,39,S02001880,S02001881,1,4775.944371353069
38,41,S02001880,S02001883,1,976.9121347983468
39,40,S02001881,S02001882,1,2384.5845194386043
39,41,S02001881,S02001883,1,461.1706511747648
40,41,S02001882,S02001883,1,2433.789129788026
41,42,S02001883,S02001884,1,2015.4507297181058
42,43,S02001884,S02001885,1,1509.4630966289724
42,44,S02001884,S02001886,1,763.2561879710241
43,44,S02001885,S02001886,1,851.931469203458
43,45,S02001885,S02001887,1,1237.103323789362
43,46,S02001885,S02001888,1,909.3862116631002
44,45,S02001886,S02001887,1,1290.0296341032458
45,46,S02001887,S02001888,1,249.78653968040024
46,47,S02001888,S02001889,1,1103.55726447727
47,48,S02001889,S02001890,1,2532.528169943618
49,50,S02001891,S02001892,1,2226.7544993274228
49,51,S02001891,S02001893,1,389.3518859862172
49,52,S02001891,S02001894,1,494.0872151688352
49,89,S02001891,S02001931,1,2514.041971063643
