IntZone,node_index,degree
S02001842,0,3
S02001843,1,4
S02001844,2,2
S02001845,3,6
S02001846,4,4
S02001847,5,5
S02001848,6,3
S02001849,7,6
S02001850,8,5
S02001851,9,5
S02001852,10,5
S02001853,11,3
S02001854,12,4
S02001855,13,5
S02001856,14,4
S02001857,15,6
S02001858,16,7
S02001859,17,2
S02001860,18,5
S02001861,19,3
S02001862,20,6
S02001863,21,4
S02001864,22,5
S02001865,23,5
S02001866,24,5
S02001867,25,8
S02001868,26,7
S02001869,27,7
S02001870,28,5
S02001871,29,3
S02001872,30,6
S02001873,31,12
S02001874,32,3
S02001875,33,3
S02001876,34,4
S02001877,35,6
S02001878,36,4
S02001879,37,5
S02001880,38,3
S02001881,39,3
S02001882,40,2
S02001883,41,5
S02001884,42,4
S02001885,43,4
S02001886,44,7
S02001887,45,4
S02001888,46,5
S02001889,47,3
S02001890,48,7
S02001891,49,5
S02001892,50,3
S02001893,51,3
S02001894,52,8
S02001895,53,4
S02001896,54,4
S02001897,55,4
S02001898,56,4
S02001899,57,6
S02001900,58,3
S02001901,59,6
S02001902,60,6
S02001903,61,5
S02001904,62,5
S02001905,63,3
S02001906,64,7
S02001907,65,5
S02001908,66,7
S02001909,67,6
S02001910,68,6
S02001911,69,5
S02001912,70,8
S02001913,71,5
S02001914,72,6
S02001915,73,4
S02001916,74,8
S02001917,75,4
S02001918,76,5
S02001919,77,3
S02001920,78,6
S02001921,79,6
S02001922,80,4
S02001923,81,5
S02001924,82,7
S02001925,83,4
S02001926,84,8
S02001927,85,5
S02001928,86,5
S02001929,87,7
S02001930,88,4
S02001931,89,5
S02001932,90,10
S02001933,91,5
S02001934,92,3
S02001935,93,4
S02001936,94,3
S02001937,95,7
S02001938,96,6
S02001939,97,5
S02001940,98,6
S02001941,99,5
S02001942,100,9
S02001943,101,4
S02001944,102,4
S02001945,103,4
S02001946,104,4
S02001947,105,5
S02001948,106,6
S02001949,107,4
S02001950,108,7
S02001951,109,6
S02001952,110,6
S02001953,111,5
S02001954,112,5
S02001955,113,4
S02001956,114,5
S02001957,115,5
S02001958,116,10
S02001959,117,5
S02001960,118,5
S02001961,119,4
S02001962,120,5
S02001963,121,4
S02001964,122,4
S02001965,123,3
S02001966,124,5
S02001967,125,7
S02001968,126,5
S02001969,127,4
S02001970,128,5
S02001971,129,4
S02001972,130,4
S02001973,131,6
S02001974,132,5
S02001975,133,2
S02001976,134,3
S02001977,135,3
