source_node_index,target_node_index,source_iz_code,target_iz_code,percentage,weight,neighbour_rank
0,3,S02001842,S02001845,0.0023769992247962,0.0023769992247962,1
0,1,S02001842,S02001843,0.0016910756547376,0.0016910756547376,2
0,92,S02001842,S02001934,0.0010377251795285,0.0010377251795285,3
0,2,S02001842,S02001844,0.0006759789688039,0.0006759789688039,4
0,31,S02001842,S02001873,0.0006190432036599,0.0006190432036599,5
0,33,S02001842,S02001875,0.0003336095495275,0.0003336095495275,6
0,6,S02001842,S02001848,0.0002327481754632,0.0002327481754632,7
0,27,S02001842,S02001869,0.0002266426134728,0.0002266426134728,8
0,34,S02001842,S02001876,0.0002246204548973,0.0002246204548973,9
0,32,S02001842,S02001874,0.0002049250313364,0.0002049250313364,10
0,36,S02001842,S02001878,0.0002029653141508,0.0002029653141508,11
0,38,S02001842,S02001880,0.0001760830240217,0.0001760830240217,12
0,20,S02001842,S02001862,0.0001699592986625,0.0001699592986625,13
0,48,S02001842,S02001890,0.0001453608363721,0.0001453608363721,14
0,45,S02001842,S02001887,0.0001330186066858,0.0001330186066858,15
0,13,S02001842,S02001855,0.0001195164197825,0.0001195164197825,16
0,26,S02001842,S02001868,0.0001130468189267,0.0001130468189267,17
0,28,S02001842,S02001870,9.028393345270596e-05,9.028393345270596e-05,18
0,44,S02001842,S02001886,8.096871832608808e-05,8.096871832608808e-05,19
0,41,S02001842,S02001883,7.75982780773722e-05,7.75982780773722e-05,20
0,82,S02001842,S02001924,7.461998533857016e-05,7.461998533857016e-05,21
0,46,S02001842,S02001888,7.387337913515615e-05,7.387337913515615e-05,22
0,29,S02001842,S02001871,6.166294882784943e-05,6.166294882784943e-05,23
0,7,S02001842,S02001849,5.530669327434529e-05,5.530669327434529e-05,24
0,90,S02001842,S02001932,5.446876702664936e-05,5.446876702664936e-05,25
0,4,S02001842,S02001846,5.138438378958093e-05,5.138438378958093e-05,26
0,22,S02001842,S02001864,5.039279326803267e-05,5.039279326803267e-05,27
0,95,S02001842,S02001937,4.455180769524265e-05,4.455180769524265e-05,28
0,35,S02001842,S02001877,4.34788130989858e-05,4.34788130989858e-05,29
0,25,S02001842,S02001867,4.289431050237569e-05,4.289431050237569e-05,30
0,76,S02001842,S02001918,4.211248468415005e-05,4.211248468415005e-05,31
0,19,S02001842,S02001861,4.088465901507995e-05,4.088465901507995e-05,32
0,15,S02001842,S02001857,3.872162422195589e-05,3.872162422195589e-05,33
0,98,S02001842,S02001940,3.3732267526688954e-05,3.3732267526688954e-05,34
0,12,S02001842,S02001854,3.225234465457097e-05,3.225234465457097e-05,35
0,5,S02001842,S02001847,3.207082073787494e-05,3.207082073787494e-05,36
