IntZone,node_index,self_percentage,out_strength,in_strength,out_degree,in_degree
S02001842,0,0.0010281383453887,0.010272017889749324,0.010916542885510106,135,135
S02001843,1,0.0008646893829117,0.008098643132716936,0.008432498588184137,135,135
S02001844,2,0.0002314118719939,0.003250792092238076,0.0033353329100724825,126,122
S02001845,3,0.0012890516728808,0.012374732628319864,0.011565221650553797,134,134
S02001846,4,0.0007798362613989,0.0034976999180703783,0.0039232907870206,123,123
S02001847,5,0.000295262948227,0.0026567321738231384,0.002930642224157635,122,119
S02001848,6,0.0010363317861609,0.0059219987782182125,0.006116874068170549,130,131
S02001849,7,0.0021512390260489,0.00601049251818664,0.0061066832748861676,132,127
S02001850,8,0.0002182586807487,0.0033261516140241816,0.003102372591770242,126,130
S02001851,9,0.0001307316679374,0.002596327201789956,0.002544951052706794,127,127
S02001852,10,0.0017610447017756,0.007178084749007414,0.0075899809229220405,133,126
S02001853,11,0.0004204073594036,0.002638446637912066,0.0027033068846761274,122,118
S02001854,12,7.099485715589537e-05,0.0018902385803806062,0.0018107776648082167,122,120
S02001855,13,0.0021978375647788,0.016308148634049495,0.015965827954499048,135,135
S02001856,14,0.0021696052708701,0.010654629207861966,0.010397696560087665,135,134
S02001857,15,0.0002081055846844,0.004969847556289313,0.005049695357310668,135,135
S02001858,16,0.0004851939833508,0.004054059525137229,0.004108408659212244,134,130
S02001859,17,0.0037888593041881,0.008543503526330126,0.008439304682075958,134,133
S02001860,18,0.000453212294714,0.0061179325411198325,0.005820523438734068,133,133
S02001861,19,0.0015679316375633,0.012680266062854977,0.013306525011611637,135,135
S02001862,20,0.0005250838435797,0.009342931632450792,0.009141086316290724,135,135
S02001863,21,0.0001889655995164,0.004290286790357746,0.004276619556842268,129,127
S02001864,22,0.0003394275108164,0.0063685164197845355,0.00595437089062777,131,133
S02001865,23,0.0003125505011722,0.010401793934184101,0.010336534987655832,126,129
S02001866,24,0.0001485963586327,0.003570351095760138,0.003620003852139431,127,128
S02001867,25,0.0006173378866093,0.0063218345034044285,0.006263989597086146,132,130
S02001868,26,0.0010539031017031,0.008815984477486242,0.008958502958932439,129,133
S02001869,27,0.0007174393697882,0.005735033706378078,0.005631084695882143,133,135
S02001870,28,0.0003147293434286,0.005405306932319248,0.005153138122600326,125,123
S02001871,29,0.0001151659306014,0.00265317400079549,0.0025466066646406983,116,113
S02001872,30,5.48092504036427e-05,0.0023938461216471653,0.0032324637463797988,105,108
S02001873,31,0.0018969660231539,0.010440333744593971,0.010140316410105526,131,133
S02001874,32,0.0001530668625464,0.001009553843222732,0.0011309996562631163,122,122
S02001875,33,0.0001256644959725,0.0020247341875094735,0.002176333336834546,119,111
S02001876,34,0.0005436928564007,0.005167068281835238,0.005845120084446112,124,124
S02001877,35,0.0002360203243964,0.0016750093675589682,0.0017501136683157662,105,115
S02001878,36,0.0004449298046059,0.006148314540898209,0.007286120873176428,122,121
S02001879,37,0.0001160573555469,0.0007250846731918183,0.0008859211715404204,91,94
S02001880,38,0.0003100739946167,0.0019599327314826897,0.0018486307453054196,131,122
S02001881,39,0.0007387809385328,0.002861629678312427,0.002701850618713487,103,104
S02001882,40,0.0003009690907481,0.0021816616424863147,0.0023816137313267876,126,120
S02001883,41,0.0001311221238696,0.001845066603025489,0.0018301222207537365,119,117
S02001884,42,0.0002745490726971,0.002015196446994169,0.001946321526855257,119,122
S02001885,43,0.0006633920162561,0.004261294059670139,0.004400735246315083,128,128
S02001886,44,0.0002648778526491,0.004592276070915276,0.004570818528960328,123,126
S02001887,45,0.0005291764945724,0.005670152165315024,0.005574844134464187,125,128
S02001888,46,0.0015893517340123,0.010335129700101824,0.010548605752299992,135,135
S02001889,47,0.001166281886426,0.00896513381984181,0.008987146502376997,133,133
S02001890,48,0.0043368750603252,0.028626873495034923,0.028684937056777302,135,135
S02001891,49,0.0015106967642884,0.009932215867340392,0.009874216457735419,134,133
S02001892,50,0.0001840155767301,0.0028645004325223034,0.002911889711956676,129,123
S02001893,51,0.0003498000330731,0.0041140061192288056,0.004214387186749061,133,133
S02001894,52,0.0030569415895355,0.016066796966566307,0.016082602062392013,135,134
S02001895,53,0.0002083365732368,0.002760488301219076,0.0027731491572050306,116,119
S02001896,54,0.0004185537903318,0.005592280176052259,0.005664454215380463,132,130
S02001897,55,0.000916250830752,0.008181016158418188,0.00841127550446873,135,134
S02001898,56,0.0001570069847352,0.002306120129928777,0.0024409632672265356,133,133
S02001899,57,0.0002853654937653,0.0018109719530236877,0.0018433864851636096,107,117
S02001900,58,0.0001487453138367,0.0011184228636340683,0.0011925817019700395,115,111
S02001901,59,0.0012551582008044,0.009562610386564876,0.009910740825041542,135,135
S02001902,60,0.0004465191839797,0.0027178019430296463,0.0026915819460778838,113,119
S02001903,61,0.0003864751390712,0.0025952197690219617,0.0025000483062941467,133,129
S02001904,62,0.0005724549110585,0.0022965116311575093,0.0023571194454613327,132,133
S02001905,63,0.0001203933462097,0.0006163542527383793,0.0006282223531035664,88,95
S02001906,64,0.0010510036355898,0.003871272244868321,0.0038708124507783525,135,134
S02001907,65,0.0002299080581603,0.0026719146498968994,0.0026501993611564366,127,128
S02001908,66,0.0010080927951496,0.004708143058809064,0.004742527832211036,131,128
S02001909,67,0.0003385278014742,0.0028576142725379944,0.002807522568934792,116,120
S02001910,68,0.0003548122320736,0.006420474492857509,0.006156076660951567,121,126
S02001911,69,0.0001779471595991,0.0023936190016267266,0.0024517198476856775,118,118
S02001912,70,0.0004385942671131,0.00425489381647433,0.004016892218147033,123,123
S02001913,71,0.0001757614914772,0.002485815047236963,0.0028423706777224622,118,118
S02001914,72,0.0004467395746191,0.004045491362546104,0.004254588005037948,128,130
S02001915,73,0.0002104656322954,0.0026025268815664648,0.0026874338680087186,125,130
S02001916,74,0.0010981054090106,0.004946771262114808,0.0049478583376979775,134,132
S02001917,75,0.00010275996569,0.002861330176043038,0.0028864046427746425,131,132
S02001918,76,0.0020337943682569,0.007332269828350568,0.007395428317957247,135,135
S02001919,77,0.0005435448640243,0.002683620417102731,0.0026872233641655977,123,117
S02001920,78,0.0003910964813394,0.00239932571297038,0.0024761238063059454,114,113
S02001921,79,0.0001919516427594,0.003754575127955637,0.0037186880050064297,131,129
S02001922,80,0.0008395974760653,0.0048385737471429435,0.004694819399659483,130,132
S02001923,81,0.0001876484445645,0.0037550807056674984,0.004073132180709637,133,130
S02001924,82,0.0005402419809348,0.006196641136975422,0.006057746202506186,135,135
S02001925,83,0.0004654940047431,0.004300220358603753,0.004107269283479435,132,129
S02001926,84,0.0011161783850701,0.0065743385796982485,0.006738653593480257,134,135
S02001927,85,0.0006898533376843,0.006777212884906474,0.006917403424055735,134,134
S02001928,86,0.0002723726672626,0.004366741371329459,0.004290831832618567,129,132
S02001929,87,0.0008330762557642,0.008400834124590091,0.008115656989283621,133,131
S02001930,88,0.0005955718293901,0.007096613295934759,0.007287636822690199,123,127
S02001931,89,0.0009017807344827,0.01142802883794952,0.010750713587893194,134,133
S02001932,90,0.0117403253186789,0.0484084127829896,0.0476352864488176,135,135
S02001933,91,0.0025403269195784,0.02294263748504109,0.022655920124134907,135,135
S02001934,92,0.0243125627526154,0.07244634104206887,0.06934874424555083,135,135
S02001935,93,0.0009181868484106,0.010439130661542872,0.010145807495282792,135,134
S02001936,94,0.0035244742431195,0.016768028537537637,0.0165784475064551,135,135
S02001937,95,0.0007790338314543,0.00827078860815075,0.008348559818077217,135,135
S02001938,96,0.0004318777731401,0.007845883355714744,0.007910158608914286,135,135
S02001939,97,0.0004010038996615,0.005322774345609553,0.005085398619067673,135,132
S02001940,98,0.0003886583575741,0.004691334528159124,0.004999765027490922,127,132
S02001941,99,0.0014885409955096,0.008501838030441954,0.008612441367372665,132,131
S02001942,100,0.000937403395289,0.005066876781459423,0.005144995002686945,129,128
S02001943,101,0.0001440318221851,0.0017232184739267627,0.0017100173669586628,123,120
S02001944,102,5.9581957631897816e-05,0.0008402220721937622,0.000891322039526617,107,100
S02001945,103,0.0002998427413357,0.0030586472150821407,0.0032466151929872707,126,124
S02001946,104,0.0008436233882263,0.005779579835414993,0.0056944267764108365,122,126
S02001947,105,0.0006671313327522,0.003081888618530335,0.0033527215812680635,112,107
S02001948,106,0.0003065899145823,0.0034347799400494955,0.003540753348204261,117,123
S02001949,107,8.218865185666575e-05,0.0027222521741482276,0.003158942100931207,118,124
S02001950,108,0.0006999584999929,0.004972030874259013,0.005153285603782609,118,125
S02001951,109,0.000337104424088,0.003619674628627667,0.0035150492326138797,126,127
S02001952,110,0.0022482768082631,0.011314619596318774,0.011010702133932446,132,134
S02001953,111,0.0015626617828057,0.012199711603998303,0.012027504485908216,133,134
S02001954,112,0.0005132059355254,0.006640615955181405,0.0067127686476812,134,132
S02001955,113,0.0001000150771216,0.003386946115856451,0.0034386239644673094,126,132
S02001956,114,0.0003827833123931,0.003945226877334232,0.0038073111643713116,127,124
S02001957,115,0.0002837042675539,0.004311856451424165,0.0043404500910465115,129,129
S02001958,116,0.0011950513309183,0.008974926790835853,0.008618367662224095,134,135
S02001959,117,0.0001174652693092,0.004446466752781372,0.004517781720368972,132,132
S02001960,118,7.120157948150828e-05,0.0024541234740185873,0.0023683053012756292,131,131
S02001961,119,0.0004561601819017,0.005290105107739641,0.005251088720722124,125,127
S02001962,120,0.0002347171828166,0.0029876166820279847,0.00288354733016657,123,127
S02001963,121,0.0008361877823902,0.006273874038906139,0.006165226865684444,134,135
S02001964,122,0.0005631990020908,0.00444107068151959,0.004376688106248056,132,133
S02001965,123,2.6248469829111454e-05,0.0017025498805020006,0.0018272387102435787,118,115
S02001966,124,6.875874932514956e-05,0.0017127410383011826,0.0017379376882500864,99,109
S02001967,125,0.0003232719856365,0.006484709734544354,0.007165051976596595,115,119
S02001968,126,0.0003971673652019,0.004241620616097057,0.004295833650226269,115,116
S02001969,127,0.0001611189182965,0.0032484060702789226,0.0030865741175102475,117,118
S02001970,128,0.0012027956193332,0.009235716771665072,0.009001882205513689,134,133
S02001971,129,0.0016265160548241,0.009404743714433577,0.009394026493980395,133,133
S02001972,130,0.0003774602925398,0.0026615963533884383,0.0027319202449446324,115,117
S02001973,131,0.0007464142992062,0.005981985676813221,0.006072984544345104,129,130
S02001974,132,0.0003751726989939,0.0033200466200409952,0.003133214822712312,120,113
S02001975,133,0.0001331829293473,0.001512993593211096,0.001503989669089225,106,96
S02001976,134,0.0009679104899455,0.005423113532475712,0.0055879300580168765,117,114
S02001977,135,0.0001337058813859,0.002239449117149132,0.0022973122065487405,110,105
