IntZone,S02001842,S02001843,S02001844,S02001845,S02001846,S02001847,S02001848,S02001849,S02001850,S02001851,S02001852,S02001853,S02001854,S02001855,S02001856,S02001857,S02001858,S02001859,S02001860,S02001861,S02001862,S02001863,S02001864,S02001865,S02001866,S02001867,S02001868,S02001869,S02001870,S02001871,S02001872,S02001873,S02001874,S02001875,S02001876,S02001877,S02001878,S02001879,S02001880,S02001881,S02001882,S02001883,S02001884,S02001885,S02001886,S02001887,S02001888,S02001889,S02001890,S02001891,S02001892,S02001893,S02001894,S02001895,S02001896,S02001897,S02001898,S02001899,S02001900,S02001901,S02001902,S02001903,S02001904,S02001905,S02001906,S02001907,S02001908,S02001909,S02001910,S02001911,S02001912,S02001913,S02001914,S02001915,S02001916,S02001917,S02001918,S02001919,S02001920,S02001921,S02001922,S02001923,S02001924,S02001925,S02001926,S02001927,S02001928,S02001929,S02001930,S02001931,S02001932,S02001933,S02001934,S02001935,S02001936,S02001937,S02001938,S02001939,S02001940,S02001941,S02001942,S02001943,S02001944,S02001945,S02001946,S02001947,S02001948,S02001949,S02001950,S02001951,S02001952,S02001953,S02001954,S02001955,S02001956,S02001957,S02001958,S02001959,S02001960,S02001961,S02001962,S02001963,S02001964,S02001965,S02001966,S02001967,S02001968,S02001969,S02001970,S02001971,S02001972,S02001973,S02001974,S02001975,S02001976,S02001977
S02001842,0.0,1.2860589242428884,2.112568415258727,2.502693092691173,2.9532857726002866,3.5437178433135954,4.756704500765969,4.866448369529597,5.657984803313102,6.712641999980809,6.0024117417244955,7.504498866483051,6.761377899291219,7.892135057491506,7.7194209779213665,6.3071664469523885,5.626765199651573,8.40944285224578,7.710408801456415,8.237717357558711,6.8727791249647945,6.535753734909112,6.475453535681523,6.669202190014851,7.240268312080276,5.889963103061408,5.780310319992833,4.932654801567976,5.14373585525777,4.923359306674094,5.12809228061418,4.208041037621456,1.3830200675041142,2.2863841278173824,3.593031518668124,5.0338663563116315,5.063744355767311,6.628039907614207,7.20043371829216,8.248026439113078,9.253738616225817,7.560137175969621,7.685861003408312,7.294029487317922,5.902092808935506,6.365449454100191,7.995828785078554,8.080368828137194,7.7417397787366635,9.177280762382384,9.554172577809977,10.046449677017174,11.407386464885514,12.155717233502896,13.021957555877249,13.805653663380088,13.793273901320857,15.66889609468207,16.55194343903188,17.30917897016996,16.800870011735146,17.93237939243541,18.928375530440487,17.85694237603052,17.512260264863475,16.56264441968724,15.605196152977381,14.045012742164873,13.987313269883806,13.331183482535357,12.831660901925513,13.162834065778434,13.769067185104413,15.36364734713261,13.174722422353083,13.475766603157789,15.325947743643766,14.660994194665198,13.304597143323731,12.600857871499993,12.516225226897062,12.773473372654149,11.725067225290335,10.709576372183006,10.848761858984204,10.990164712766774,11.386628726728492,11.75363378322751,10.667926441055995,10.105387448423569,9.19112983015084,9.778361956024217,8.679103814146274,9.82401246018574,10.086353529557572,10.820752235405712,10.61257040762405,11.268975769994872,11.785540895439423,11.812910859146523,12.79775595312984,13.05050895555243,14.447067667993846,14.469183286084279,14.230812257884295,13.381974448942684,13.360706578193927,12.267044112756867,11.685267956167074,11.412144082053448,10.667153990048607,9.820066222924405,10.085419920790475,10.113744801915145,10.673159549602461,11.006177368263355,11.037913959349664,10.24526749224974,10.146687594440737,10.47210834647668,11.335966409702595,11.615034061170917,12.823208478147778,13.467730484539077,13.554553478203264,12.458857756260997,12.765400001343973,12.727946469076233,11.806461668438455,12.01481658536681,13.285893537194655,14.205034685711471,14.465368620794887,15.273350979714099,15.656784765400577,15.652769289546445
S02001843,1.279563192826233,0.0,1.0956583769336292,1.7580356337945169,2.294199054767343,2.9605532497022247,3.835164461997229,4.2774376310499065,5.129692148387831,6.184349345055539,5.413401003244803,6.91548812800336,6.172367160811526,7.3638424025662355,7.191128322996096,5.778873792027118,5.0984725447263015,8.033836553496943,7.422315951740038,8.284749030346294,6.919810797752378,6.582785407696695,6.522485208469107,6.872723566265834,7.443789688331258,6.339664339635878,5.983831696243816,4.9796864743555584,5.227918626963134,5.32252815666423,5.527261130604316,4.3892764110983995,1.7302874837898978,2.9809917593346937,4.118674267879253,5.559509105522759,5.73466058498439,7.185673973513529,7.705189001681538,8.90299859149725,9.81137268212514,8.117771241868942,8.211503752619443,7.819672236529052,6.427735558146637,6.891092203311323,8.445530021653024,8.283890204388177,7.945261154987646,9.380802138633367,9.757693954060956,10.249971053268153,11.610907841136497,12.359238609753879,13.225478932128231,14.255354899954556,14.242975137895327,15.989839932630831,16.92899246413768,17.512700346420946,17.004391387986125,18.135900768686394,19.13189690669147,18.0604637522815,17.715781641114457,16.766165795938218,15.808717529228364,14.248534118415858,14.19083464613479,13.53470485878634,13.035182278176496,13.366355442029416,13.972588561355396,15.567168723383594,13.378243798604066,13.679287979408771,15.529469119894749,14.864515570916181,13.508118519574714,12.804379247750976,12.719746603148046,12.976994748905131,11.928588601541318,10.913097748433989,11.052283235235187,11.193686089017756,11.590150102979477,11.957155159478493,10.871447817306978,10.308908824674551,9.394651206401825,9.9818833322752,8.882625190397256,10.027533836436724,9.865561189772754,10.945374285389107,10.816091783875033,11.227012905084852,11.989062271690406,11.284618204221252,13.001277329380825,13.254030331803413,14.650589044244828,13.940890631159007,13.702519602959024,12.853681794017412,12.832413923268655,11.738751457831595,11.156975301241802,10.883851427128176,10.138861335123336,9.291773567999133,9.557127265865203,9.585452146989873,10.14486689467719,10.477884713338083,10.509621304424394,9.71697483732447,9.618394939515467,9.94381569155141,10.807673754777325,11.086741406245647,12.294915823222508,12.878719746059385,13.026260823277996,11.930565101335727,12.237107346418703,12.199653814150963,11.278169013513185,11.486523930441539,12.757600882269386,13.676742030786201,13.937075965869617,14.74505832478883,15.067774026920885,15.063758551066753
S02001844,2.109437837423313,1.1031139635324532,0.0,2.129681056506705,2.8523313947104243,3.5862559937560947,3.9262874581917315,4.903140375103774,5.7553948924417035,6.81005208910941,5.912758729115683,7.172275096938266,6.671724886682406,7.989545146620108,7.816831067049968,6.40457653608099,5.724175288780175,8.659539297550817,8.04801869579391,9.001027372610595,7.646364735832493,7.584435697081121,7.524135497853533,7.8743738556502585,8.445439977715685,7.341314629020302,6.98548198562824,5.981336763739984,6.229568916347559,6.324178446048654,6.528911419988741,5.390926700482825,2.7319377731743226,4.015655118043148,5.120324557263678,6.561159394907185,6.736310874368814,8.187324262897953,8.526838607919121,9.724648197734824,10.813022971509564,9.119421531253366,9.213154042003868,8.821322525913478,7.42938584753106,7.8927424926957475,9.447180311037444,9.285540493772599,8.946911444372068,10.382452428017793,10.759344243445385,11.25162134265258,12.612558130520926,13.360888899138306,14.22712922151266,15.257005189338978,15.244625427279747,16.99149022201526,17.930642753522115,18.51435063580538,18.006041677370554,19.13755105807083,20.13354719607589,19.06211404166592,18.71743193049888,17.76781608532264,16.810367818612793,15.250184407800285,15.192484935519218,14.536355148170767,14.036832567560921,14.368005731413842,14.974238850739821,16.568819012768017,14.37989408798849,14.680938268793195,16.53111940927917,15.866165860300605,14.509768808959137,13.8060295371354,13.72139689253247,13.978645038289557,12.930238890925743,11.914748037818415,12.05393352461961,12.19533637840218,12.5918003923639,12.958805448862917,11.873098106691403,11.310559114058977,10.396301495786249,10.983533621659623,9.88427547978168,10.856359978626628,10.49126393382663,11.571077029442982,11.779849360574126,11.852715649138728,12.990712561074826,11.910320948275128,14.002927618765247,14.148503497441046,15.581164555132109,14.566593375212884,14.3282223470129,13.479384538071288,13.458116667322532,12.364454201885472,11.78267804529568,11.509554171182053,10.764564079177212,9.91747631205301,10.182830009919082,10.211154891043753,10.77056963873107,11.103587457391962,11.135324048478266,10.342677581378341,10.244097683569338,10.569518435605282,11.433376498831196,11.712444150299518,12.92061856727638,13.135506714994293,13.651963567331865,12.556267845389598,12.862810090472575,12.825356558204835,11.903871757567057,12.11222667449541,13.383303626323258,14.302444774840072,14.562778709923489,15.3707610688427,15.324560995855792,15.32054552000166
S02001845,2.502693092691174,1.7580356337945169,2.1219164953204817,0.0,0.9277826965567051,1.7746938593164168,2.6726697599912437,3.0590398871167266,3.9484000619291675,5.003057258596873,4.195003259311622,5.697090384070179,4.953969416878345,6.182550316107574,6.009836236537434,4.597581705568457,3.917180458267637,6.85254446703828,6.241023865281376,7.194032542098062,5.8393699053199555,7.1324768634846185,7.084634357963094,7.43487271575982,8.005938837825244,6.9018134891298635,6.545980845737801,5.541835623849545,5.7900677764571205,5.884677306158216,6.089410280098303,4.951425560592386,2.2924366332838826,3.5761539781527087,4.680823417373238,6.121658255016745,6.296809734478375,7.747823123007514,8.576385025249587,9.537796289448398,10.373521831619124,8.679920391362927,8.773652902113428,8.381821386023038,6.989884707640621,7.453241352805308,9.007679171147005,8.846039353882162,8.507410304481633,9.942951288127352,10.319843103554941,10.812120202762138,12.173056990630483,12.921387759247864,13.787628081622216,14.817504049448539,14.805124287389308,16.55198908212482,17.49114161363167,18.074849495914936,17.56654053748011,18.698049918180388,19.694046056185453,18.622612901775483,18.27793079060844,17.3283149454322,16.37086667872235,14.810683267909843,14.752983795628776,14.096854008280324,13.59733142767048,13.9285045915234,14.534737710849381,16.129317872877575,13.940392948098047,14.241437128902755,16.091618269388732,15.426664720410166,14.070267669068695,13.36652839724496,13.281895752642031,13.539143898399118,12.055419575734861,11.475246897927972,11.61443238472917,11.75583523851174,12.152299252473462,12.519304308972478,11.433596966800962,10.871057974168536,9.95680035589581,9.99667582301952,8.887373302111355,9.049365148114086,8.68426910331409,9.764082198930438,9.972854530061584,10.045720818626183,11.43207433945836,10.103326117762583,12.406195223087625,12.341508666928501,13.774169724619563,12.759598544700339,12.521227516500355,11.672389707558743,11.651121836809986,10.557459371372927,9.975683214783137,9.702559340669508,8.957569248664667,8.11048148154047,8.375835179406538,8.404160060531208,8.963574808218532,9.296592626879416,9.328329217965727,8.535682750865803,8.437102853056803,8.762523605092742,9.626381668318656,9.905449319786978,11.11362373676384,11.660322002126206,11.844968736819327,10.749273014877058,11.055815259960035,11.018361727692294,10.096876927054518,10.305231843982874,11.57630879581072,12.495449944327532,12.75578387941095,13.563766238330164,13.849376282987706,13.845360807133572
S02001846,2.9532857726002857,2.302363391199785,2.8414990327296317,0.9247148957621365,0.0,1.0506208152833343,1.926919997191265,2.3349668430836443,3.2243270178960857,4.278984214563792,3.4616325195794975,4.963719644338055,4.220598677146222,5.458477272074494,5.285763192504354,3.8735086615353747,3.193107414234555,6.128471423005198,5.516950821248294,6.469959498064981,5.115296861286873,6.408403819451537,6.4899857554703235,6.840224113267052,7.411290235332476,6.307164886637095,5.951332243245033,4.947187021356776,5.19541917396435,5.290028703665446,5.494761677605533,4.356776958099618,2.743029313192994,4.02674665806182,4.08617481488047,5.527009652523977,5.702161131985607,7.153174520514745,8.438908043649068,9.23844883595512,9.778873229126358,8.085271788870159,8.17900429962066,7.787172783530269,6.395236105147853,6.85859275031254,8.41303056865424,8.251390751389394,7.912761701988864,9.348302685634584,9.725194501062175,10.217471600269372,11.578408388137715,12.326739156755096,13.19297947912945,14.222855446955773,14.210475684896544,15.95734047963205,16.896493011138897,17.480200893422165,16.971891934987344,18.103401315687613,19.099397453692685,18.02796429928272,17.68328218811567,16.733666342939436,15.776218076229583,14.216034665417075,14.158335193136008,13.502205405787558,13.002682825177713,13.333855989030631,13.940089108356613,15.534669270384807,13.345744345605281,13.646788526409988,15.496969666895964,14.8320161179174,13.475619066575927,12.771879794752193,12.687247150149263,12.868198161150262,11.331346531701776,10.880598295435206,11.019783782236404,11.161186636018972,11.557650649980694,11.92465570647971,10.838948364308195,10.276409371675769,9.362151753403039,9.272602778986435,8.16330025807827,8.325292104081004,7.9601960592810075,9.040009154897357,9.2487814860285,9.321647774593103,10.70800129542528,9.379253073729503,11.682122179054543,11.617435622895421,13.050096680586483,12.035525500667259,11.797154472467277,10.948316663525661,10.927048792776906,9.833386327339845,9.251610170750057,8.978486296636428,8.233496204631585,7.386408437507388,7.651762135373456,7.680087016498126,8.239501764185446,8.572519582846336,8.604256173932649,7.811609706832725,7.713029809023724,8.03845056105966,8.902308624285578,9.1813762757539,10.389550692730763,10.926951262394082,11.120895692786247,10.025199970843982,10.331742215926955,10.294288683659214,9.372803883021437,9.581158799949792,10.852235751777638,11.771376900294454,12.031710835377869,12.839693194297082,13.116005543255582,13.11199006740145
S02001847,3.5322327987418816,2.957232541562952,3.5670063879981546,1.7420423121039637,1.0533237173318943,0.0,2.398731468830164,1.6567991538047888,2.418182954541977,3.4728401512096845,2.909129188236238,4.4960370661692055,3.6680953458029615,4.652333208720386,4.479619129150245,3.067364598181267,2.3941725488802543,5.322327359651091,4.710806757894186,5.663815434710873,4.310885461795039,5.609468954097235,6.112746327883601,6.642028207880169,7.213094329945594,6.108968981250213,5.753136337858151,4.605962376960208,4.99722326857747,5.091832798278565,5.296565772218652,4.158581052712736,2.599245019882687,3.882962364751513,3.8879789094935893,5.328813747137097,5.503965226598726,6.954978615127864,8.240712138262184,9.040252930568238,9.580677323739474,7.887075883483278,7.980808394233778,7.588976878143388,6.197040199760972,6.660396844925657,8.214834663267357,8.053194846002512,7.422642938190043,9.000777252501337,9.526998595675291,10.019275694882488,11.380212482750832,12.114775385127501,12.994783573742566,14.024659541568889,14.012279779509662,15.673809218500269,16.612961750007113,17.196669632290376,16.68836067385557,17.819870054555828,18.712036544483844,17.64060339007389,17.295921278906828,16.346305433730603,15.491804729642585,13.932503404285296,13.874803932004228,13.218674144655777,12.615321915968874,12.946495079821792,13.552728199147774,15.147308361175968,12.958383436396442,13.178401090884172,15.02858223137015,14.04342211496609,13.007231631050114,12.303492359226377,11.898653147197956,12.062054097796153,10.52520246834767,10.270351840475362,10.551396346710588,10.692799200493157,11.089263214454878,11.53729479727087,10.451587455099355,9.890101146662674,8.832152337892051,8.466458715632326,7.357156194724162,7.519148040726895,7.1540519959269,8.233865091543246,8.442637422674395,8.515503711238994,9.901857232071173,8.573109010375392,10.875978115700434,10.81129155954131,12.243952617232374,11.229381437313148,10.99101040911317,10.142172600171552,10.120904729422797,9.027242263985734,8.445466107395943,8.17234223328232,7.427352141277477,6.580264374153281,6.845618072019349,6.87394295314402,7.4333577008313405,7.766375519492232,7.798112110578535,7.0054656434786144,6.906885745669614,7.232306497705551,8.096164560931465,8.375232212399789,9.58340662937665,10.459268684225231,10.314751629432141,9.219055907489869,9.525598152572849,9.488144620305109,8.566659819667326,8.77501473659568,10.046091688423525,10.965232836940348,11.225566772023756,12.03354913094297,12.501353217968859,12.644307489232599
S02001848,4.731671932853721,3.725348058962863,3.8872380683023264,2.7630817417387306,2.0173319789387523,2.3688860800361047,0.0,2.0188076006338327,3.3575627544676117,3.4326595212098434,2.4752639121353277,3.7347802799579104,3.2342300697020514,5.174389608418665,5.862029191849005,4.528769150193315,4.1200106620101575,6.785743419753355,6.1742228179964505,7.127231494813137,5.997534662712708,7.335307067227139,7.838584441013504,8.20623211452703,8.777298236592452,7.6731728878970715,7.31734024450501,6.313195022616754,6.5614271752243285,6.656036704925425,6.860769678865511,5.722784959359594,4.153958001532319,5.437675346401143,5.452182816140448,6.893017653783954,7.0681691332455845,8.519182521774722,9.804916044909048,10.604456837215094,11.144881230386336,9.451279790130137,9.545012300880641,9.153180784790248,7.76124410640783,8.224600751572517,9.779038569914212,9.617398752649368,8.8990448856906,10.4641933126036,10.99430479173459,11.486581890941787,12.930162491145818,13.57819144522976,14.545637672085107,15.588863448215745,15.576483686156516,17.137225278602532,18.076377810109385,18.66008569239265,18.151776733957824,19.283286114658097,20.175452604586106,19.104019450176136,18.759337339009093,17.809721493832853,16.955220789744843,15.395919464387553,15.338219992106486,14.682090204758035,14.078737976071132,14.40991113992405,15.016144259250032,16.610724421278228,14.4217994964987,14.64181715098643,16.49199829147241,15.506838175068355,14.470647691152372,13.766908419328635,13.362069207300221,13.525470157898418,11.988618528449935,11.733767900577629,12.014812406812846,12.156215260595415,12.552679274557134,13.000710857373129,11.915003515201613,11.353517206764932,10.29556839799432,9.929874775734595,8.820572254826429,8.98256410082916,8.617468056029166,9.697281151645512,9.90605348277666,9.978919771341257,11.365273292173436,10.036525070477657,12.339394175802699,12.274707619643575,13.707368677334639,11.958415892643249,11.519699798946231,11.479353775514353,11.039093605062341,10.490658324088,9.680697845691041,9.635758293384582,8.890768201379743,8.043680434255544,7.587231724982056,7.761997481417635,8.51718298388562,9.22979157959449,8.082810271548176,7.290163804448255,7.191583906639255,7.517004658675192,8.380862721901106,8.659930373369429,9.868104790346292,9.69801189801394,10.471676118834935,9.503754068459509,9.810296313542487,9.772842781274747,8.851357980636967,9.059712897565323,10.330789849393168,11.249930997909985,11.5102649329934,12.318247291912613,11.887066178875438,11.883050703021304
S02001849,4.87882921234523,4.297982810297979,4.907756656733184,3.0714207299323584,2.38270213516029,1.6633881731557159,2.0014275566336774,0.0,2.3956740804464682,2.4707708471887004,1.5133752381141845,3.16089348814194,2.272341395680908,4.212500934397521,4.900140517827863,3.5668804761721713,2.9113457155842655,5.82385474573221,5.212334143975306,6.1653428207919925,4.8280586284990505,6.126642120801248,6.629919494587612,7.37959275539622,7.9506588774616445,7.082881649342721,6.50654674138008,5.1281507798808015,5.90775164682725,6.242260097265179,6.676731836299416,5.5486153150820705,3.98927928225202,5.272996627120844,5.278013171862923,6.71884800950643,6.893999488968059,8.345012877497195,9.630746400631521,10.43028719293757,10.970711586108807,9.277110145852609,9.370842656603115,8.889777964324763,7.587074462130306,7.748401541482073,9.188747331359862,8.649069121425942,7.937156211669453,9.502304638582457,10.032416117713451,10.524693216920646,11.968273817124675,12.616302771208614,13.583748998063964,14.656451773902706,14.986192447602164,16.175336604581382,17.114489136088235,17.6981970183715,17.189888059936678,18.32139744063695,19.21356393056496,18.142130776154993,17.797448664987947,16.847832819811714,15.9933321157237,14.434030790366409,14.376331318085342,13.72020153073689,13.116849302049989,13.448022465902906,14.054255585228887,15.648835747257083,13.459910822477555,13.679928476965285,15.530109617451265,14.544949501047208,13.508759017131228,12.80501974530749,12.400180533279073,12.563581483877275,11.026729854428789,10.77187922655648,11.052923732791701,11.19432658657427,11.59079060053599,12.038822183351986,10.95311484118047,10.39162853274379,9.333679723973171,8.967986101713448,7.858683580805281,8.020675426808015,7.655579382008021,8.73539247762437,8.944164808755511,9.017031097320114,10.403384618152291,9.074636396456514,11.377505501781556,11.312818945622432,12.745480003313494,10.996527218622107,10.55781112492509,10.517465101493213,10.0772049310412,9.528769650066858,8.7188091716699,8.673869619363439,7.928879527358597,7.081791760234402,6.6253430509609155,6.8001088073964935,7.555294309864479,8.267902905573353,7.120921597527034,6.328275130427114,6.229695232618114,6.5551159846540505,7.418974047879965,7.698041699348288,8.906216116325151,9.124125106197964,9.637561116380642,8.541865394438366,8.848407639521351,8.81095410725361,7.8894693066158235,8.097824223544183,9.368901175372024,10.288042323888849,10.548376258972256,11.356358617891468,11.313179387059463,11.309163911205333
S02001850,5.667301085644761,5.11565853222189,5.7254323786570955,3.9004683027629015,3.211749707990834,2.4602738920227845,3.4298765165402245,2.438890231198898,0.0,1.2264921981998909,1.5047607262639735,2.9051151242988533,1.7084298030826957,2.5748171270244113,2.973889331706168,1.6133877479711916,1.5348388302343463,3.8683505094410138,3.256829907684112,4.209838584500797,3.0603852159463147,4.495582717626195,4.998860091412558,5.955326724727354,6.526392846792779,5.837339540049842,5.261004632087201,3.752763572611721,4.662209537534371,4.9967179879723,5.597810934681158,4.819081502851951,4.73240197011378,5.808303542981502,5.502948698132683,6.539883979306901,7.11893501523782,7.868695752998611,9.757296167201016,10.051229842775319,10.190565149080681,8.851218819121241,8.418710817091753,7.644235855031887,6.681415608418641,6.502859432189194,7.886445861548742,7.018009718250892,5.981651975378258,7.546800402291269,8.076911881422259,8.569188980629463,10.012769580833483,10.660798534917426,11.628244761772772,12.700947537611516,13.683890977791046,14.219832368290193,15.158984899797037,15.742692782080299,15.23438382364549,16.365893204345742,17.25805969427377,16.18662653986382,15.841944428696765,14.892328583520527,14.03782787943251,12.478526554075218,12.420827081794153,11.7646972944457,11.1613450657588,11.492518229611719,12.0987513489377,13.693331510965894,11.504406586186366,11.7244242406741,13.574605381160076,12.589445264756023,11.553254780840039,10.849515509016308,10.44467629698789,10.608077247586083,9.071225618137603,8.81637499026529,9.097419496500516,9.238822350283085,9.635286364244804,10.083317947060797,8.997610604889282,8.4361242964526,7.378175487681981,7.0124818654222505,5.903179344514086,6.065171190516823,5.700075145716829,6.779888241333175,6.9886605724643225,7.061526861028924,8.4478803818611,7.119132160165321,9.422001265490364,9.35731470933124,10.789975767022302,9.42736977866381,8.988653684966792,8.688195749961482,8.5080474910829,7.573265413775662,6.9914892571858696,6.718365383072248,5.973375291067406,5.126287523943209,5.056185611002624,5.230951367438203,5.979380850621269,6.312398669282161,5.551764157568743,4.7591176904688215,4.660537792659821,4.985958544695758,5.849816607921672,6.128884259389995,7.337058676366862,8.533198128804043,8.068403676422355,6.972707954480076,7.2792501995630605,7.241796667295318,6.320311866657531,6.52866678358589,7.79974373541373,8.718884883930556,8.979218819013969,9.787201177933175,10.255005264959072,10.574324832746932
S02001851,6.7185760539578725,6.166933500535002,6.741867706230317,4.9517432710760145,4.263024676303947,3.5115488603358966,3.343422279139363,2.352435993798037,1.2231099698452947,0.0,1.3621481865678355,2.0475280643151943,0.782893406522943,1.8230988320445323,2.668253049183443,1.613805371284543,2.4951412720517174,3.8819073285369146,3.6222999303589227,4.575308607175609,3.445611775075176,5.122017818040431,5.625295191826796,6.581761825141592,7.152827947207016,6.5218720078339905,5.945537099871348,4.4372960403958706,5.346742005318519,5.681250455756448,6.2823434024653055,5.504284337121921,5.78367693842689,6.859578511294614,6.262381367948412,7.225086813576871,7.8561579994159105,8.553228220782758,10.44182863498516,10.735762310559466,10.875097616864828,9.535751286905391,9.103243284875902,8.328768322816034,7.365948076202789,7.187391899973342,8.512880961962978,7.629826400332367,6.34712199805307,7.9122704249660805,8.442381904097072,8.93465900330427,10.378239603508295,11.026268557592234,11.993714784447583,13.066417560286325,14.140074103626375,14.585302390965001,15.524454922471847,16.10816280475511,15.5998538463203,16.73136322702055,17.623529716948585,16.552096562538633,16.207414451371577,15.257798606195342,14.403297902107324,12.843996576750028,12.78629710446896,12.13016731712051,11.526815088433613,11.857988252286532,12.464221371612513,14.058801533640708,11.869876608861182,12.08989426334891,13.784398158624503,12.617728083732919,11.87050414416935,11.092517132281655,10.472959115964782,10.365296386138851,9.099508437114496,9.181845012940103,9.462889519175326,9.604292372957895,10.000756386919617,10.44878796973561,9.363080627564095,8.801594319127407,7.7436455103567905,7.241565007643289,6.268649367188898,6.379073827008027,5.457294284269599,6.537107379885946,6.963760306284308,6.818745999581694,8.20509952041387,6.876351298718091,9.179220404043132,9.114533847884008,10.54719490557507,8.67565148368393,8.23693538998691,8.196589366555044,7.756329196103019,7.294447424177144,6.397933436731721,6.475584521625018,5.730594429620176,4.883506662495981,4.304467316022742,4.47923307245832,5.234418574926306,5.976431989594321,4.800045862588861,4.007399395488941,3.9088194976799397,4.234240249715876,5.098098312941791,5.377165964410113,6.58534038138698,7.726806218011447,7.316685381442473,6.220989659500194,6.5275319045831806,6.490078372315438,5.568593571677649,5.776948488606009,7.048025440433849,7.967166588950675,8.22750052403409,9.035482882953293,9.503286969979191,9.82260653776705
