IntZone,S02001842,S02001843,S02001844,S02001845,S02001846,S02001847,S02001848,S02001849,S02001850,S02001851,S02001852,S02001853,S02001854,S02001855,S02001856,S02001857,S02001858,S02001859,S02001860,S02001861,S02001862,S02001863,S02001864,S02001865,S02001866,S02001867,S02001868,S02001869,S02001870,S02001871,S02001872,S02001873,S02001874,S02001875,S02001876,S02001877,S02001878,S02001879,S02001880,S02001881,S02001882,S02001883,S02001884,S02001885,S02001886,S02001887,S02001888,S02001889,S02001890,S02001891,S02001892,S02001893,S02001894,S02001895,S02001896,S02001897,S02001898,S02001899,S02001900,S02001901,S02001902,S02001903,S02001904,S02001905,S02001906,S02001907,S02001908,S02001909,S02001910,S02001911,S02001912,S02001913,S02001914,S02001915,S02001916,S02001917,S02001918,S02001919,S02001920,S02001921,S02001922,S02001923,S02001924,S02001925,S02001926,S02001927,S02001928,S02001929,S02001930,S02001931,S02001932,S02001933,S02001934,S02001935,S02001936,S02001937,S02001938,S02001939,S02001940,S02001941,S02001942,S02001943,S02001944,S02001945,S02001946,S02001947,S02001948,S02001949,S02001950,S02001951,S02001952,S02001953,S02001954,S02001955,S02001956,S02001957,S02001958,S02001959,S02001960,S02001961,S02001962,S02001963,S02001964,S02001965,S02001966,S02001967,S02001968,S02001969,S02001970,S02001971,S02001972,S02001973,S02001974,S02001975,S02001976,S02001977
S02001842,0.0,1.2795631928262325,2.0990205953046934,2.502693092691173,2.9532857726002866,3.5305015275710665,4.601907756563213,4.848696528027227,5.646746445584771,6.6477647569306235,5.985949575675601,7.484339924366453,6.601637396289745,7.873442000200485,7.700727920630345,6.288473389661367,5.603987246834901,8.352660537278169,7.654868752415919,7.919265137595401,6.820978182087729,6.489880022520283,6.439094584865218,6.555795083442374,7.113174153118156,5.752075205877382,5.72040862564356,4.896295850751669,5.083834160908498,4.8634576123248205,4.987506119176276,4.148139343272183,1.3391820782578259,2.2297920241634026,3.5331298243188507,4.973964661962358,5.007152252113331,6.571447803960228,7.012657032940764,7.968597583882761,9.185512997965459,7.503545072315642,7.542342535165973,7.065537611077358,5.828027642925862,6.305547759750919,7.850757590487472,8.020467133787921,7.681838084387391,9.112854103744485,9.47548194929982,9.944912977781941,11.213819000837473,11.962610728882725,12.828851051257077,13.647924917294736,13.605462571584246,15.468522059513974,16.240721287920934,16.97091421447844,16.57497128376581,17.715817249237812,18.711496900506535,17.672246988801078,17.44783360622557,16.498217761049343,15.392631260596712,13.832447849784204,13.774748377503137,13.131083077502526,12.767234243287614,13.088498881947173,13.704640526466514,15.289830983742304,13.100906058962776,13.405738768753617,15.240125564486139,14.524452392743182,13.228967358869557,12.512745142083778,12.370243788161448,12.565518636746226,11.358694077392267,10.603303619096716,10.778734024580036,10.911547066753524,11.25254441859617,11.640091594037495,10.516558884982388,10.04096078978567,9.1207862403986,9.70930761508497,8.553672878364619,9.604511073460904,9.695393518281756,10.222968530454873,10.52410911845379,11.051998435763641,11.725639201090146,11.791957534068766,12.701721692243762,12.95447469466635,14.305351489564186,14.367089317799174,14.034747434529217,13.279880480657578,13.291145610020358,12.18197322380682,11.639672694757614,11.259425400691931,10.64620066497085,9.781507945573736,10.064466595712718,10.046465064314939,10.673159549602461,10.893211053131303,10.86715566110478,10.142697615672086,10.0679397225116,10.394815311583192,11.174435968561493,11.455722771626746,12.74591544325429,13.409142429475638,13.476178256573066,12.312406692294147,12.687024779713774,12.650653434182745,11.723491205187308,11.914448733165507,13.194626218775785,14.127741650817983,14.340113280580809,15.17615362809017,15.596393248174428,15.492463256295041
S02001843,1.279563192826233,0.0,1.0926967214138332,1.741586359695998,2.294199054767343,2.9473369339596958,3.725348058962864,4.259685789547536,5.0884402785154315,6.084470051456916,5.3969388371959095,6.8953291858867605,6.012626657810053,7.315135833131145,7.142421753561005,5.730167222592027,5.048426343083896,7.967436565975066,7.3499213470280536,8.002655761199291,6.89881299411986,6.573270646124173,6.522485208469107,6.804055269224162,7.361434338899944,6.301427977574889,5.968668811425348,4.9796864743555584,5.227918626963134,5.294683426576887,5.4994164005169734,4.361431681011057,1.7302874837898978,2.9243996556807144,4.083753649220237,5.524588486863743,5.699739966325375,7.150753354854514,7.705189001681538,8.663205215400072,9.776452063466127,8.082850623209927,8.092966360067361,7.6161614359787455,6.3786514678272495,6.856171584652307,8.40011036218498,8.268727319569711,7.93009827016918,9.361114289526272,9.723742135081608,10.193173163563731,11.462079186619262,12.210870914664513,13.077111237038865,14.14090809280788,14.154815343281756,15.818016598964041,16.75716913047089,17.34087701275415,16.823231469547594,17.9640774350196,18.959757086288313,17.920507174582866,17.69609379200736,16.746477946831124,15.6408914463785,14.080708035565992,14.023008563284925,13.379343263284314,13.015494429069403,13.336759067728961,13.9529007122483,15.538091169524092,13.349166244744564,13.653998954535405,15.488385750267927,14.77271257852497,13.477227544651345,12.761005327865567,12.618503973943236,12.813778822528015,11.606954263174051,10.851563804878504,11.026994210361822,11.159807252535312,11.500804604377958,11.888351779819283,10.764819070764176,10.289220975567458,9.369046426180384,9.957567800866759,8.801933064146407,9.687901697064794,9.778784141885646,10.306359154058763,10.64227316476897,11.135389059367531,11.973899386871935,11.233651366999421,12.94998187802555,13.202734880448139,14.553611675345973,13.808783150729829,13.476441267459874,12.721574313588233,12.732839442951013,11.623667056737474,11.08136652768827,10.832884589906348,10.087894497901507,9.223201778504391,9.506160428643375,9.488158897245594,10.14486689467719,10.334904886061958,10.303860955631073,9.579402910198379,9.504645017037893,9.831520606109486,10.611141263087786,10.89242806615304,12.182620737780583,12.820131690995945,12.912883551099359,11.74911198682044,12.123730074240068,12.087358728709038,11.160196499713601,11.3511540276918,12.631331513302078,13.564446945344276,13.776818575107102,14.612858922616462,15.009185971857443,14.903452517815348
S02001844,2.0990205953046934,1.0926967214138332,0.0,2.0217828890420257,2.6006000450885693,3.477682486348232,3.5822695780356963,4.770777962719543,5.6187858309039695,6.347199975874669,5.551355370943246,6.824560440714528,6.16704319155739,7.845481385519682,7.6727673059495425,6.260512774980565,5.57877189547243,8.497782118363606,7.8802668994165925,8.830355450144557,7.4836730961461795,7.532574521253499,7.482168429574952,7.763738490330009,8.321117560005794,7.284804956679398,6.928352032531195,5.939237896996944,6.18760184806898,6.2821385245375785,6.493302128715175,5.35531740920926,2.7241732119880995,3.974350178709153,5.077639377418441,6.518474215061948,6.693625694523579,8.144639083052716,8.50729801515018,9.699636891709064,10.770337791664332,9.07673635140813,9.086852088265566,8.610047164176951,7.372537196025453,7.8500573128505104,9.383487341289486,9.228410540675554,8.889781491275023,10.320797510632122,10.683425356187453,11.152856384669581,12.4217624077251,13.170554135770349,14.0367944581447,15.100591313913716,15.138192322386262,16.77769982006988,17.716852351576726,18.30056023385999,17.78291469065344,18.92376065612543,19.919440307394165,18.880190395688707,18.655777013113223,17.706161167936987,16.600574667484338,15.040391256671834,14.982691784390767,14.339026484390153,13.975177650175258,14.296442288834815,14.912583933354158,16.497774390629946,14.30884946585042,14.613682175641255,16.448068971373775,15.73239579963082,14.436910765757192,13.720688548971415,13.578187195049084,13.773462043633861,12.566637484279916,11.811247025984354,11.986677431467676,12.119490473641163,12.460487825483794,12.84803500092514,11.724502291870024,11.248904196673312,10.32872964728624,10.917251021972596,9.761616285252252,10.512279779941336,10.344939904939467,11.130737236935305,11.466651247645512,11.704078291834522,12.889551574886378,11.763996919387964,13.90966509913139,13.994172548470845,15.426833606161907,14.339128703118371,14.006786819848415,13.251919865976776,13.263184995339556,12.154012609126017,11.611712080076813,11.36323014229489,10.61824005029005,9.753547330892934,10.036505981031919,10.018504449634138,10.77056963873107,10.8652504384505,10.834206508019609,10.109748462586914,10.034990569426427,10.36186615849802,11.141486815476323,11.422773618541575,12.712966290169119,12.749362945823714,13.443229103487894,12.279457539208975,12.654075626628602,12.617704281097573,11.690542052102137,11.881499580080336,13.161677065690611,14.094792497732811,14.307164127495636,15.143204475004998,14.938417226685212,14.832683772643117
S02001845,2.502693092691174,1.741586359695998,2.021782889042026,0.0,0.9247148957621366,1.7403110409331493,2.517873015788488,2.9799569226571196,3.881414385488886,4.877444158430372,4.17854109326273,5.676931441953584,4.794228913876874,6.108109940104601,5.935395860534461,4.523141329565484,3.841400450057348,6.760410672948523,6.14289545400151,7.092984004729478,5.7463016507310964,7.056696855274329,7.084634357963094,7.366204418718148,7.9235834883939305,6.863577127068875,6.530817960919335,5.541835623849545,5.7900677764571205,5.856832576070871,6.0615655500109575,4.923580830505042,2.2924366332838826,3.5761539781527087,4.645902798714221,6.086737636357729,6.26188911581936,7.712902504348498,8.359018986930069,9.314959537872062,10.33860121296011,8.644999772703912,8.655115509561346,8.17831058547273,6.940800617321234,7.418320734146291,8.962259511678962,8.830876469063696,8.492247419663167,9.923263439020257,10.285891284575593,10.755322313057716,12.024228336113246,12.773020064158498,13.63926038653285,14.703057242301865,14.716964492775737,16.380165748458026,17.31931827996488,17.903026162248146,17.385380619041577,18.526226584513594,19.521906235782318,18.482656324076856,18.258242941501347,17.308627096325104,16.203040595872487,14.64285718505998,14.585157712778912,13.941492412778299,13.577643578563386,13.898908217222946,14.515049861742286,16.100240319018077,13.911315394238551,14.21614810402939,16.05053489976191,15.309412371968644,14.039376694145327,13.323154477359548,13.155203767386912,13.31147326574811,11.811844847903707,11.413712954372487,11.589143359855807,11.721956402029296,12.062953753871941,12.450500929313268,11.32696822025816,10.851370125061441,9.931195575674373,9.849163837903866,8.780447297009056,8.774908334526257,8.60756845952438,9.393365791520225,9.72927980223043,9.966706846419429,11.152180129471288,10.026625473972874,12.321487659214878,12.256801103055754,13.689462160746816,12.60175725770328,12.26941537443333,11.514548420561685,11.525813549924466,10.416641163710926,9.874340634661726,9.6258586968798,8.880868604874959,8.01617588547785,8.299134535616828,8.281133004219052,8.963574808218532,9.127878993035415,9.096835062604523,8.372377017171832,8.297619124011351,8.624494713082937,9.40411537006124,9.68540217312649,10.975594844754037,11.601733947062767,11.705857658072812,10.542086093793893,10.91670418121352,10.88033283568249,9.953170606687053,10.14412813466525,11.424305620275527,12.357421052317727,12.569792682080552,13.405833029589912,13.790788227924265,13.68505477388217
S02001846,2.9532857726002857,2.294199054767344,2.6006000450885702,0.9247148957621365,0.0,1.0506208152833343,1.7721232529885091,2.2078006576753,3.192156057718441,4.188185830659927,3.4616325195794975,4.960022868270354,4.07732034019364,5.418851612334158,5.246137532764018,3.8338830017950385,3.152142122286903,6.071152345178077,5.453637126231066,6.4037256769590325,5.02379404933612,6.367438527503887,6.489337137855143,6.770907198610197,7.3282862682859795,6.267130619121035,5.935520740811385,4.946538403741595,5.194770556349169,5.273060940750215,5.4777939146903005,4.339809195184386,2.743029313192994,4.02674665806182,4.062131163393565,5.502966001037072,5.678117480498703,7.129130869027842,8.142767803885485,9.098708354827481,9.754829577639455,8.061228137383255,8.071343874240691,7.594538950152075,6.357028982000579,6.834549098825635,8.378487876358307,8.235579248955746,7.896950199555215,9.32796621891231,9.690594064467644,10.160025092949764,11.428931116005296,12.177722844050548,13.0439631664249,14.107760022193917,14.133192857455084,15.784868528350076,16.72402105985692,17.307728942140184,16.79008339893363,17.930929364405635,18.926609015674355,17.8873591039689,17.662945721393395,16.713329876217163,15.607743375764535,14.047559964952027,13.989860492670962,13.346195192670349,12.98234635845544,13.303610997114998,13.91975264163434,15.504943098910129,13.316018174130603,13.620850883921443,15.455237679653965,14.620154044198197,13.444079474037382,12.727857257251603,12.465945439616462,12.62221493797766,11.122586520133257,10.81841573426454,10.99384613974786,11.12665918192135,11.467656533763995,11.85520370920532,10.731671000150213,10.256072904953495,9.335898355566421,9.159905510133418,8.091188969238614,8.085650006755813,7.918310131753935,8.704107463749779,9.040021474459982,9.277448518648985,10.462921801700842,9.337367146202428,11.632229331444432,11.567542775285307,13.000203832976371,11.912498929932836,11.580157046662881,10.82529009279124,10.836555222154018,9.72738283594048,9.185082306891283,8.936600369109353,8.191610277104513,7.326917557707405,7.6098762078463835,7.591874676448608,8.239501764185446,8.438620665264967,8.407576734834077,7.683118689401386,7.6083607962409046,7.935236385312492,8.714857042290799,8.996143845356048,10.286336516983592,10.884825373379531,11.016599330302368,9.852827766023449,10.227445853443076,10.191074507912045,9.263912278916605,9.454869806894804,10.73504729250508,11.668162724547285,11.880534354310104,12.716574701819464,13.073879654241031,12.968146200198936
S02001847,3.5305015275710674,2.947336933959696,3.4776824863482325,1.7403110409331493,1.0506208152833343,0.0,2.354593824838005,1.473223042467714,2.383925629132725,3.3446588532900514,2.8868134773402625,4.48887608918908,3.4196680206176437,4.610621183748443,4.437907104178302,3.025652573209323,2.3439116937011883,5.262921916592364,4.645406697645354,5.595495248373321,4.248812894374933,5.55920809891817,6.062485472704533,6.573359910838497,7.13073898051428,6.094426377187886,5.737973453039684,4.457105130075516,4.99722326857747,5.09116385235763,5.2958968262977155,4.1579121067918,2.5980889063248087,3.8818062511936344,3.8802340750009803,5.321068912644488,5.496220392106118,6.947233780635256,7.9608707154928995,8.916811266434895,9.572932489246867,7.87933104899067,7.889446785848104,7.4126418617594885,6.175131893607992,6.652652010433048,8.193108761797976,8.038031961184046,7.198409675537748,8.904865180062624,9.347763647899543,9.84004074710674,11.231383828233595,11.96214255329217,12.846415878653199,13.910212734422215,13.94781374289475,15.498181707515384,16.43733423902223,17.02104212130549,16.34553037758858,17.486206689660726,18.31398129096307,17.26536296446735,16.93763432110003,15.988018475923788,15.133517771835766,13.746531782655628,13.703173671836268,13.059508371835657,12.257034958162059,12.601635204731227,13.194441241340964,14.802967306526362,12.61404238174683,13.075988493813291,14.702105447994622,13.811923615612484,12.899217083929228,12.042461474268134,11.657715011030751,11.813984509391949,10.314356091547547,10.099756012077219,10.459943595826063,10.605455082794162,10.915613853474369,11.129892308911941,10.23946492190998,9.763866826713262,8.712174375629445,8.351675081547702,7.282958540652901,7.277419578170102,7.1100797031682195,7.895877035164069,8.23179104587427,8.46921809006327,9.654691373115128,8.529136717616714,10.823998902858717,10.759312346699593,12.191973404390655,11.104268501347116,10.745027001012875,10.01705966420552,10.028324793568299,8.91915240735476,8.376851878305562,8.128369940523639,7.383379848518796,6.518687129121689,6.801645779260668,6.783644247862893,7.4333577008313405,7.630390236679252,7.564049757464202,6.8395917120315115,6.764833818871029,7.091709407942617,7.87133006492092,8.152616867986174,9.442809539613718,10.352285273698033,10.173072352932497,9.00930078865357,9.383918876073205,9.347547530542174,8.420385301546728,8.611342829524927,9.891520315135203,10.824635747177414,11.037007376940226,11.87304772444959,12.293287344533844,12.435606100517436
S02001848,4.601907756563212,3.725348058962863,3.5822695780356972,2.517873015788487,1.7721232529885087,2.3545938248380045,0.0,2.001176776337024,3.1667088447369673,3.253723039050348,2.4578784341189257,3.7310835038902073,3.073566254733068,4.973911913024228,5.811387533812576,4.482108483830547,4.065302123405303,6.7239509824387875,6.106435763491775,7.056524314219742,5.863060286646263,7.324660662987049,7.827938036773415,8.123271562287256,8.680650631963038,7.6443380286366445,7.287885104488443,6.240711757011935,6.547134920026228,6.637597960313449,6.842330934253535,5.704346214747618,4.132249653231066,5.415966998099891,5.426668182956798,6.867503020600306,7.042654500061937,8.493667888591073,9.507304823448722,10.463245374390711,11.119366597202688,9.425765156946486,9.435880893803926,8.95907596971531,7.7215660015638115,8.199086118388868,9.743020413246729,9.587943612632802,8.688183443008217,10.365894245909042,10.808792713745966,11.301069812953163,12.75097068374119,13.423171619138587,14.366445864680479,15.430242720449495,15.497725394343506,16.959210773361804,17.89836330486866,18.482071187151924,17.964425643945358,19.105271609417375,20.00811567886264,18.959497352366913,18.631768708999584,17.682152863823347,16.782085620776265,15.221902209963753,15.164202737682686,14.520537437682075,13.951169346061624,14.272433984721182,14.888575629240524,16.473766086516317,14.284841161736788,14.537017559659713,16.163134513841047,15.272952681458912,14.360246149775652,13.503490540114553,13.118744076877176,13.275013575238374,11.775385157393972,11.56078507792364,11.920972661672486,12.066484148640573,12.42912708496953,12.824026696811504,11.700493987756397,11.22489589255968,10.173203441475868,9.812704147394133,8.74398760649932,8.738448644016522,8.534139801182768,9.35690610101049,9.692820111720696,9.893278188077819,11.078751471129678,9.953196815631264,12.248059000873267,12.183372444714143,13.616033502405205,11.516328363198056,10.996207704993083,11.094114692556612,10.788388274840226,10.191972750178719,9.185540139577178,9.552430038538189,8.807439946533348,7.9427472271362385,7.319338948097125,7.494104704532704,8.51718298388562,9.054450334693803,7.815230461444404,7.111227322288761,7.012647424479761,7.338068176515698,8.117688833494,8.398975636559257,9.689168308186797,9.655886008999389,10.419431121505577,9.255659557226656,9.630277644646284,9.593906299115256,8.671566005526932,8.86252353350513,10.142701019115405,11.070994515750494,11.288188080920431,12.124228428429792,11.844940289860888,11.739206835818791
S02001849,4.848696528027228,4.259685789547536,4.770777962719545,2.9505819079611997,2.2129478363577952,1.4681028920394192,2.001176776337025,0.0,1.706864856572273,2.3092198430456077,1.5133752381141845,3.157196712074237,2.1290630587283275,3.6709444944160965,4.355524537321544,3.022264495665854,2.6054581352406077,5.264106994274097,4.646591775327084,5.5966803260550515,4.40321629848157,5.873489867131702,6.376767240918067,7.205313441215079,7.7626925108908615,7.056231607574688,6.482942011447236,5.039823040062677,5.803575047918864,6.095212396121512,6.371089742659921,5.2273603387735035,3.988123168694142,5.2718405135629665,5.2668472747359,6.711103175013823,6.886254654475454,8.337268043004592,9.350904977862237,10.306845528804228,10.962966751616204,9.269365311360003,9.235900643992503,8.658178191829291,7.521585751752392,7.645126235634907,9.154913992184772,8.389956545165504,7.228339454843525,8.906050257744354,9.348948725581277,9.841225824788474,11.2911266955765,11.963327630973902,12.90660187651579,13.970398732284806,14.90961897328155,15.499366785197115,16.43851931670396,17.02222719898722,16.504581655780672,17.645427621252672,18.548271690697955,17.499653364202224,17.171924720834898,16.222308875658666,15.322241632611574,13.762058221799068,13.704358749518,13.060693449517387,12.491325357896939,12.812589996556497,13.428731641075837,15.013922098351628,12.8249971735721,13.077173571495022,14.703290525676353,13.813108693294218,12.900402161610963,12.043646551949863,11.658900088712482,11.81516958707368,10.315541169229279,10.10094108975895,10.461128673507796,10.606640160475894,10.969283096804844,11.364182708646819,10.240649999591712,9.765051904394994,8.71335945331118,8.352860159229435,7.284143618334633,7.278604655851833,7.110963401501702,7.897062112845799,8.232976123556002,8.47010178839675,9.655575071448608,8.530020415950196,10.824882601192197,10.760196045033073,12.192857102724137,10.283679000381504,9.763558342176529,9.853557683849875,9.555738912023672,8.920036105688244,7.944983130870432,8.12925363885712,7.384263546852279,6.519570827455172,6.062521584710936,6.237287341146514,7.555294309864479,7.631273935012735,6.582581098627855,5.858123053195164,5.783365160034682,6.11024074910627,6.889861406084572,7.171148209149826,8.461340880777373,9.044517744552959,9.191603694096152,8.027832129817224,8.402450217236861,8.36607887170583,7.43891664271038,7.6298741706885815,8.910051656298858,9.843167088341065,10.05553871810388,10.891579065613243,11.233572025414459,11.127838571372363
S02001850,5.64674644558477,5.088440278515432,5.618785830903969,3.8814143854888847,3.1921560577184405,2.383925629132725,3.1667088447369665,1.7068648565722724,0.0,1.2144474332993977,1.3672376851215768,2.8961904789462296,1.6963850381822023,2.52220173326179,2.971031293371384,1.6059330484085002,1.5348388302343463,3.84320239179154,3.2256871728445313,4.175775723572496,2.982311695999014,4.495582717626195,4.998860091412558,5.827406291709571,6.384785361385353,5.831896136662139,5.258606540534688,3.7503654810592075,4.659811445981857,4.994319896419786,5.595412843128645,4.819081502851951,4.711847330053788,5.67721892504944,5.397105258633296,6.539883979306901,7.013091575738435,7.860880440677993,9.477741899125219,9.956808574655295,10.182749836760062,8.843403506800623,8.410895504771135,7.433842720916742,6.641290524263765,6.420790764722358,7.886445861548742,7.012049395659996,5.80743485236097,7.485145655261796,7.928044123098721,8.420321222305926,9.870222093093945,10.542423028491344,11.485697274033235,12.549494129802252,13.631273555356932,14.078462182714558,15.017614714221404,15.601322596504666,15.083677053298116,16.22452301877011,17.12736708821539,16.07874876171967,15.751020118352347,14.80140427317611,13.901337030129017,12.34115361931651,12.283454147035444,11.639788847034831,11.070420755414384,11.391685394073942,12.007827038593282,13.593017495869073,11.404092571089546,11.656268969012475,13.282385923193804,12.392204090811667,11.479497559128415,10.622741949467315,10.237995486229932,10.39426498459113,8.89463656674673,8.680036487276402,9.040224071025241,9.185735557993345,9.548378494322282,9.943278106164264,8.819745397109156,8.34414730191244,7.292454850828631,6.93195555674688,5.863239015852077,5.857700053369279,5.690360178367402,6.476157510363246,6.812071521073447,7.049498565262453,8.234971848314308,7.109417192815894,9.404279378057895,9.339592821898773,10.772253879589835,9.134936239227198,8.614815581022222,8.597340139404706,8.406996150869363,7.499432882553943,6.796240369716126,6.708650415722821,5.963660323717979,5.098967604320872,4.91377882355663,5.088544579992208,5.979380850621269,6.210670711878435,5.433838337473548,4.709380292040858,4.634622398880375,4.9614979879519625,5.741118644930265,6.022405447995518,7.312598119623066,8.508737572060248,8.042860932941847,6.879089368662915,7.253707456082554,7.217336110551522,6.290173881556074,6.481131409534275,7.761308895144553,8.69442432718676,8.906795956949578,9.742836304458933,10.163075924543197,10.478625977797297
S02001851,6.6477647569306235,6.084470051456918,6.347199975874669,4.877444158430373,4.188185830659928,3.3446588532900523,3.2537230390503473,2.3092198430456072,1.2144474332993977,0.0,1.1521333566737801,2.0475280643151943,0.782893406522943,1.78561996319745,2.6230955839857995,1.6137855106215389,2.494044614867861,3.836749863339271,3.614136139533111,4.564224690261077,3.370760662687594,5.001441216243941,5.504718590030307,6.333264790327319,6.8906438600031015,6.499901752496221,5.812268613094251,4.418371096893291,5.3278170618159395,5.662325512253869,6.263418458962725,5.490415837401095,5.712865641399643,6.719831356816654,6.248512868227587,7.211218313856045,7.8422894996950845,8.528886056512071,10.319791916989146,10.624814190489376,10.850755452594145,9.511409122634708,9.078901120605217,8.101848336750825,7.309296140097848,7.088796380556439,8.392304360166488,7.426280441843886,6.19588381904955,7.873594621950376,8.316493089787304,8.808770188994504,10.258671059782527,10.930871995179924,11.874146240721817,12.937943096490834,14.019722522045514,14.466911149403138,15.406063680909982,15.989771563193244,15.472126019986694,16.612971985458692,17.515816054903976,16.467197728408244,16.139469085040925,15.18985323986469,14.289785996817598,12.72960258600509,12.671903113724024,12.028237813723411,11.458869722102962,11.78013436076252,12.39627600528186,13.981466462557652,11.792541537778124,12.044717935701055,13.373016779066512,12.482834946684378,11.759057711255743,10.910295868357993,10.328626342102641,10.124102515751193,8.988062004200888,9.068485453964984,9.428673037713821,9.574184524681925,9.936827461010868,10.331727072852843,9.208194363797734,8.732596268601018,7.680903817517211,7.0855246440841295,6.251687982540657,6.246149020057858,5.345847851355992,6.277828854268965,6.850060568307954,6.704986238251044,7.890459521302898,6.764904865804484,9.059767051046485,8.995080494887361,10.427741552578423,8.398354469162857,7.878233810957882,7.968233152631232,7.670414380805026,7.066091210253334,6.059658599651787,6.364138088711411,5.619147996706569,4.7544552773094635,4.177197053492291,4.351962809927868,5.172471436693497,5.866158384867025,4.69725656740921,3.9727985219765203,3.8980406288160343,4.224916217887621,5.004536874865923,5.250572663771626,6.576016349558725,7.505458982815344,7.306279162877507,6.142507598598575,6.517125686018214,6.480754340487183,5.553592111491735,5.744549639469937,7.024727125080212,7.95784255712242,8.170214186885238,9.006254534394591,9.426494154478853,9.588779809634753
