IntZone,S02001842,S02001843,S02001844,S02001845,S02001846,S02001847,S02001848,S02001849,S02001850,S02001851,S02001852,S02001853,S02001854,S02001855,S02001856,S02001857,S02001858,S02001859,S02001860,S02001861,S02001862,S02001863,S02001864,S02001865,S02001866,S02001867,S02001868,S02001869,S02001870,S02001871,S02001872,S02001873,S02001874,S02001875,S02001876,S02001877,S02001878,S02001879,S02001880,S02001881,S02001882,S02001883,S02001884,S02001885,S02001886,S02001887,S02001888,S02001889,S02001890,S02001891,S02001892,S02001893,S02001894,S02001895,S02001896,S02001897,S02001898,S02001899,S02001900,S02001901,S02001902,S02001903,S02001904,S02001905,S02001906,S02001907,S02001908,S02001909,S02001910,S02001911,S02001912,S02001913,S02001914,S02001915,S02001916,S02001917,S02001918,S02001919,S02001920,S02001921,S02001922,S02001923,S02001924,S02001925,S02001926,S02001927,S02001928,S02001929,S02001930,S02001931,S02001932,S02001933,S02001934,S02001935,S02001936,S02001937,S02001938,S02001939,S02001940,S02001941,S02001942,S02001943,S02001944,S02001945,S02001946,S02001947,S02001948,S02001949,S02001950,S02001951,S02001952,S02001953,S02001954,S02001955,S02001956,S02001957,S02001958,S02001959,S02001960,S02001961,S02001962,S02001963,S02001964,S02001965,S02001966,S02001967,S02001968,S02001969,S02001970,S02001971,S02001972,S02001973,S02001974,S02001975,S02001976,S02001977
S02001842,0.0,1.6213679543258532,2.800811303595784,3.654948355044058,3.9689418500013116,4.076986167305853,5.074744290129045,5.19423011626965,6.231806789905023,7.4494610207807925,7.425125309276019,8.1879807986159,7.630622402394466,8.861854338004305,8.703759407506723,6.880988433544309,6.901112171125903,8.632589981359061,7.695598964290634,8.792314419824779,6.87226615053196,6.701702754757525,6.689347009519961,6.730836467639518,7.307919743185735,5.8060414787640475,6.0317632256851645,4.985318997132973,5.205370132882439,4.984993584298763,5.581724607573485,4.341728392635052,1.6176044389393451,2.7029091850751086,3.654665796292793,5.16027782832183,5.5137529524546744,7.053949277272527,8.84693811701118,9.506832007697305,9.659198933377139,8.079468518237737,7.7474952810329825,7.369445485511941,5.963727086560175,6.502886402560933,8.107995449287555,8.588286333923598,7.80337405636133,9.901158037760785,9.995402518461587,10.345586827444198,11.501823396747028,12.247270575850152,13.124091263202038,13.846191493452826,13.916965674397446,15.877410939299233,17.160122149935905,17.40027135308934,16.891962394654524,18.077014444621987,19.289450014855387,18.19716670979066,17.94919453776839,17.453821098149646,15.768663653509059,14.589959376518461,14.078405652803196,13.434740352802583,13.218439267644921,13.549612431497835,14.156991928538663,16.77712909882597,13.788946371238415,13.78151844256021,15.880828650955992,15.123959678775732,13.711124932085891,13.076511531542609,13.141593531688661,13.161428057175263,12.143058538901508,10.874391832131499,11.336282328170503,11.363625798731205,11.764214123781544,12.15853878199408,11.054704806775401,10.493218498338718,9.732519812505329,10.01407609440195,8.81161335271143,9.769109876703983,10.424380480197893,10.765849651923952,10.599318907410733,11.432271100350082,12.194696683056993,12.554320388888211,12.932140297144997,13.184893299567587,14.698722645275037,15.503899206450427,14.962572163474753,14.008626847114574,13.976240297928992,13.299098998203052,13.4614955234165,11.795661325675262,11.723371183455754,11.768822534210726,11.333867384674695,11.49742926650937,12.147158554254272,12.43942512174138,11.774732980149647,10.98208651304972,10.88350661524072,11.208927367276665,12.108308640942102,12.225259781332412,13.913329550383473,14.026589358197928,14.611357215694985,13.21601357075027,13.528913200339739,13.474900483508346,12.759876153293511,13.059165997748048,14.022712557994636,15.42364829118281,15.447538081072265,16.61628839850006,16.226268257539743,16.482272928161304
S02001843,1.599821395106388,0.0,2.1121326030492007,2.9662696544974745,3.3191288974194273,4.103533010893752,4.386065589582462,5.22077695985755,6.258353633492923,7.476007864368692,7.282076970690011,7.788276903733195,7.2309185075117615,8.888401181592204,8.730306251094621,6.907535277132209,6.927659014713802,8.659136824946959,7.722145807878533,8.818861263412678,6.89881299411986,6.728249598345425,6.715893853107861,6.9049029326311455,7.4819862081773625,6.302229316715822,6.205829690676792,5.011865840720872,5.349248748154219,5.362252480039195,6.077912445525261,4.4249655808225885,2.030045542114883,3.401074974657093,4.150853634244565,5.656465666273603,6.05120509801144,7.5501371152243015,9.343125954962956,10.003019845649082,10.155386771328915,8.575656356189514,8.243683118984759,7.865633323463716,6.45991492451195,6.999074240512708,8.485042723398402,8.762352798915222,7.977440521352957,10.075224502752413,10.169468983453214,10.519653292435825,11.675889861738655,12.42133704084178,13.298157728193665,14.223238767563673,14.294012948508293,16.05147740429086,17.33418861492753,17.574337818080966,17.06602885964615,18.25108090961361,19.46351647984701,18.371233174782287,18.123261002760014,17.62788756314127,15.942730118500686,14.764025841510088,14.252472117794824,13.608806817794209,13.392505732636547,13.723678896489462,14.33105839353029,16.9511955638176,13.963012836230043,13.955584907551838,16.05489511594762,15.298026143767357,13.885191397077518,13.250577996534235,13.315659996680289,13.33549452216689,12.317125003893135,11.048458297123126,11.51034879316213,11.53769226372283,11.938280588773171,12.332605246985707,11.228771271767027,10.667284963330346,9.906586277496954,10.188142559393578,8.985679817703057,9.94317634169561,10.450927323785793,10.93991611691558,10.77338537240236,11.60633756534171,12.36876314804862,12.728386853879838,13.106206762136624,13.358959764559215,14.872789110266664,15.677965671442054,15.13663862846638,14.1826933121062,14.15030676292062,13.473165463194679,13.492903397469258,11.969727790666889,11.897437648447381,11.795369377798625,11.360414228262595,11.523976110097268,12.173705397842172,12.609902386822217,11.801279823737547,11.00863335663762,10.910053458828619,11.235474210864565,12.134855484530002,12.251806624920311,13.803170376166554,13.626885463315222,14.431765408057744,13.24256041433817,13.555460043927638,13.501447327096246,12.786422996881411,13.085712841335948,14.049259401582534,15.45019513477071,15.474084924660165,16.642835242087955,15.826564362657038,16.082569033278602
S02001844,2.8138486943021435,2.090077298839047,0.0,3.017487008051399,3.370346250973351,4.2932778321610785,4.313315676605632,5.410521781124877,6.448098454760248,7.512312832790706,7.209327057713181,7.715526990756365,7.1581685945349305,9.078146002859528,9.055207243777623,7.097280098399535,7.5594987166474255,9.67904937966781,8.742058362599382,9.838773818133527,8.226515172785698,8.174295713405556,8.161939968167992,8.350949047691275,8.928032323237492,7.7482754317759515,7.651875805736921,6.457911955781003,6.795294863214348,6.808298595099324,7.523958560585391,5.871011695882719,3.4760916571750133,4.847121089717223,5.596899749304696,7.102511781333734,7.49725121307157,8.99618323028443,10.78917207002308,11.449065960709211,11.601432886389047,10.021702471249643,9.68972923404489,9.311679438523848,7.905961039572079,8.445120355572833,9.931088838458528,10.208398913975346,9.423486636413084,11.521270617812535,11.615515098513338,11.965699407495956,13.121935976798786,13.86738315590191,14.744203843253798,15.6692848826238,15.740059063568419,17.497523519351,18.78023472998768,19.020383933141115,18.51207497470629,19.697127024673758,20.909562594907147,19.81727928984243,19.56930711782013,19.07393367820141,17.38877623356082,16.21007195657022,15.698518232854955,15.054852932854342,14.83855184769667,15.169725011549584,15.777104508590412,18.397241678877727,15.409058951290165,15.401631022611962,17.500941231007744,16.744072258827487,15.331237512137642,14.696624111594359,14.761706111740413,14.781540637227014,13.76317111895326,12.49450441218325,12.956394908222254,12.983738378782954,13.384326703833295,13.77865136204583,12.674817386827149,12.113331078390468,11.352632392557078,11.634188674453704,10.431725932763182,11.389222456755737,11.754404007161392,12.385962231975709,12.219431487462488,13.052383680401837,13.814809263108746,14.174432968939964,14.55225287719675,14.80500587961934,16.31883522532679,16.28474163695998,15.730972028488848,15.628739427166327,15.324442314542111,14.87221615256907,13.682648218736581,13.415773905727018,13.34348376350751,12.261080677346731,11.55015904952992,11.713720931364595,12.363450219109497,13.281225587122682,11.99102464500487,11.198378177904944,11.099798280095943,11.425219032131888,12.324600305797327,12.441551446187635,13.730420463189725,13.554135550338392,14.359015495080916,13.432305235605494,13.745204865194962,13.691192148363571,12.976167818148737,13.275457662603275,14.23900422284986,15.639939956038035,15.66382974592749,16.832580063355287,15.753814449680208,16.00981912030177
S02001845,3.6343513126176625,2.9105799171545663,3.029689808425595,0.0,0.9786693657083901,1.8627129736933208,3.1769185451377484,2.9799569226571196,4.01753359629249,5.235187827168261,5.210852115663489,5.925605763338367,5.3682473671169335,6.647581144391772,6.624642385309866,4.666715239931778,5.12893385817967,7.248484521200052,6.3114935041316285,7.408208959665772,5.795950314317942,7.325045419858914,7.452951420494895,7.641960500018178,8.219043775564394,7.039286884102856,6.942887258063824,5.748923408107906,6.086306315541251,6.099310047426227,6.814970012912295,5.162023148209622,4.080861300709262,5.19326604648042,4.887911201631601,6.3935232336606385,6.788262665398475,8.287194682611336,10.080183522349987,10.740077413036119,10.892444338715949,9.31271392357655,8.980740686371792,8.60269089085075,7.196972491898984,7.736131807899742,9.222100290785432,9.499410366302252,8.714498088739992,10.812282070139446,10.906526550840248,11.25671085982286,12.41294742912569,13.158394608228814,14.035215295580702,14.960296334950703,15.031070515895323,16.788534971677894,18.07124618231457,18.311395385468007,17.803086427033183,18.988138477000653,20.200574047234053,19.10829074216933,18.860318570147047,18.364945130528316,16.67978768588772,15.501083408897124,14.989529685181859,14.345864385181246,14.12956330002358,14.460736463876495,15.068115960917323,17.68825313120463,14.700070403617076,14.692642474938872,16.791952683334653,15.782434708196115,14.622248964464552,13.98763556392127,13.800068561109045,13.819903086595646,12.107001416869588,11.78551586451016,12.247406360549164,12.274749831109864,12.675338156160205,13.069662814372741,11.96582883915406,11.40434253071738,10.477440191603836,10.169217692961622,9.41508551058538,9.436605101672344,9.323839148693635,10.336204546236914,10.02443637119631,10.85738856413566,12.078167956792521,12.01483883099964,12.815611570880526,13.068364573303118,14.582193919010564,13.85417677849222,13.30040717002109,13.469145289226004,12.893877456074353,12.441651294101314,11.252083360268825,11.32644522596881,11.108247858383919,9.830515818878974,9.119594191062163,9.283156072896837,9.93288536064174,10.850660728654926,9.560459786537114,8.767813319437188,8.669233421628187,8.99465417366413,9.894035447329568,10.010986587719877,11.699056356770937,11.764214322920393,12.397084022082451,11.001740377137736,11.314640006727204,11.260627289895812,10.545602959680979,10.844892804135515,11.808439364382103,13.209375097570277,13.233264887459733,14.402015204887524,13.96389322226221,14.219897892883774
S02001846,3.9887418239223345,3.264970428459238,3.384080319730266,0.978228959642167,0.0,1.0905567087115005,2.598647362386723,2.2078006576753,3.2453773313106704,4.463031562186441,4.438695850681667,5.153449498356547,4.596091102135114,5.875424879409952,5.852486120328047,3.8945589749499585,4.356777593197849,6.476328256218232,5.539337239149808,6.636052694683951,5.02379404933612,6.552889154877092,6.680795155513074,6.869804235036359,7.446887510582576,6.267130619121035,6.170730993082005,4.976767143126085,5.314150050559431,5.327153782444408,6.042813747930473,4.389866883227802,3.308705035727441,4.4211097814986005,4.115754936649779,5.621366968678816,6.0161064004166525,7.515038417629515,9.308027257368169,9.967921148054296,10.120288073734127,8.540557658594725,8.20858442138997,7.830534625868928,6.424816226917162,6.96397554291792,8.449944025803616,8.727254101320437,7.94234182375817,10.040125805157624,10.134370285858427,10.48455459484104,11.64079116414387,12.386238343246994,13.263059030598878,14.188140069968886,14.258914250913506,16.016378706696077,17.299089917332743,17.539239120486183,17.030930162051366,18.215982212018826,19.428417782252225,18.3361344771875,18.088162305165223,17.592788865546485,15.9076314209059,14.728927143915303,14.217373420200039,13.573708120199424,13.357407035041758,13.688580198894673,14.295959695935501,16.916096866222812,13.927914138635254,13.920486209957051,16.019796418352833,15.010278443214295,13.850092699482731,13.215479298939448,13.027912296127225,13.047746821613826,11.334845151887768,11.01335959952834,11.475250095567342,11.502593566128043,11.903181891178384,12.297506549390919,11.193672574172238,10.632186265735555,9.705283926622016,9.397061427979802,8.642929245603561,8.664448836690527,8.551682883711818,9.564048281255094,9.25228010621449,10.085232299153839,11.306011691810701,11.24268256601782,12.043455305898705,12.296208308321296,13.810037654028745,13.082020513510406,12.528250905039275,12.696989024244182,12.121721191092538,11.669495029119497,10.47992709528701,10.55428896098699,10.336091593402099,9.058359553897155,8.347437926080344,8.510999807915015,9.160729095659924,10.078504463673111,8.788303521555298,7.995657054455371,7.897077156646371,8.222497908682307,9.12187918234775,9.238830322738059,10.926900091789118,10.992058057938575,11.62492775710063,10.229584112155917,10.542483741745386,10.488471024913993,9.773446694699164,10.0727365391537,11.036283099400286,12.437218832588462,12.461108622477918,13.62985893990571,13.19173695728039,13.447741627901955
S02001847,4.046097506631977,4.080808686652317,4.285378965346232,1.8168974216433076,1.0792633500399025,0.0,2.7435001626846693,1.473223042467714,2.422735179430814,3.6403894103065855,3.6160536988018106,5.256399158409336,3.8323065063914945,5.0527827275300945,5.029843968448191,3.071916823070103,3.534135441317994,5.653686104338377,4.716695087269952,5.813410542804095,4.681655421810437,6.406950893125879,6.698203007281302,6.8872120868045865,7.4642953623508035,6.284538470889263,6.188138844850233,4.994174994894314,5.33155790232766,5.344561634212636,6.060221599698702,4.40727473499603,3.32611288749567,4.438517633266829,4.133162788418007,5.638774820447044,6.033514252184881,7.532446269397743,9.325435109136397,9.985328999822524,10.137695925502356,8.557965510362953,8.2259922731582,7.847942477637157,6.442224078685391,6.981383394686149,8.467351877571843,8.744661953088665,7.4619039957580435,9.4510767178808,9.670919057770353,10.181571680998871,11.586105623447741,12.272816587084158,13.208373489902753,14.205547921737114,14.276322102681734,15.831850420456925,17.114561631093594,17.35471083424703,16.846401875812216,18.031453925779676,19.020375093238165,17.87016820236394,17.499113217888397,17.34023419644511,15.723103134666749,14.544398857676153,14.032845133960887,13.389179833960274,12.768357947764935,13.09953111161785,13.706910608658676,16.241656809762716,13.338865051358429,13.254613342207737,15.345356361892737,14.430014052517228,13.184219831733417,12.54031350701128,12.447647905430157,12.46748243091676,10.754580761190702,10.338193807600172,10.809377227818027,10.913544478851218,11.31413280390156,11.708457462114094,10.604623486895415,10.043137178458732,8.895172942525353,8.791897510978616,7.8202870937237075,7.841806684810669,7.72904073183196,8.741406129375235,8.672015715517423,9.504967908456772,10.725747301113636,10.662418175320754,11.46319091520164,11.71594391762423,13.22977326333168,12.259378361630542,11.705608753159412,11.877158765700695,11.299079039212675,10.846852877239646,9.657284943407157,9.771217803126547,9.513449441522244,8.2357174020173,7.524795774200483,7.688357656035155,8.33808694378007,9.25586231179326,7.965661369675436,7.173014902575513,7.074435004766513,7.39985575680245,8.29923703046789,8.4161881708582,10.10425793990926,10.950372934647298,10.802285605220773,9.40694196027606,9.719841589865526,9.665828873034133,8.9508045428193,9.250094387273837,10.213640947520425,11.614576680708598,11.638466470598054,12.807216788025846,12.76635083278879,13.022355503410354
S02001848,5.047957895824143,4.324186500361044,4.341140683183503,3.1470916552832837,2.664054441072941,2.6955841369274096,0.0,2.9671632838746427,4.01102990846164,3.697689017282468,3.394703242204941,3.900903175248125,3.3435447790266903,5.519425148502418,6.30051097724234,4.9479490900606,5.63429606461768,7.531729879419089,6.594738862350665,7.691454317884808,6.559699196891148,8.176911453713497,8.304817454349479,8.493826533872761,9.070909809418978,7.89115291795744,7.794753291918409,6.6007894419624895,6.938172349395836,6.951176081280811,7.666836046766878,6.013889182064205,4.932727334563846,6.045132080335002,5.7397772354861845,7.245389267515222,7.640128699253058,9.139060716465922,10.932049556204571,11.591943446890705,11.744310372570535,10.164579957431133,9.832606720226378,9.454556924705336,8.048838525753567,8.587997841754323,10.073966324640018,10.351276400156836,9.339947770838755,11.329120492961511,11.548962832851066,12.059615456079584,13.264813462980271,14.010260642083397,14.887081329435283,15.812162368805287,15.882936549749907,17.640401005532485,18.923112216169166,19.163261419322602,18.65495246088778,19.84000451085525,20.898418868318878,19.748211977444647,19.377156992969105,19.216811164382896,17.531653719742305,16.352949442751704,15.84139571903644,15.197730419035826,14.646401722845646,14.977574886698559,15.584954383739387,18.119700584843432,15.21690882643914,15.132657117288453,17.22340013697345,16.30805782759794,15.062263606814133,14.418357282091998,14.325691680510866,14.34552620599747,12.632624536271411,12.21623758268089,12.687421002898743,12.791588253931929,13.19217657898227,13.586501237194804,12.482667261976125,11.921180953539443,10.773216717606068,10.669941286059327,9.698330868804415,9.719850459891381,9.607084506912674,10.619449904455953,10.550059490598132,11.38301168353748,12.603791076194344,11.19888929622845,13.341234690282349,13.593987692704939,15.107817038412385,12.72602078260287,12.172251174131738,12.343801186673014,11.765721460185,11.313495298211965,10.123927364379476,11.092872308042635,9.980091862494566,8.70235982298962,7.991438195172809,8.15500007700748,8.804729364752392,9.722504732765577,8.432303790647762,7.639657323547839,7.541077425738838,7.866498177774775,8.765879451440215,8.882830591830523,9.915796647681484,9.739511734830153,10.544391679572675,9.873584381248381,10.18648401083785,10.132471294006459,9.417446963791626,9.716736808246164,10.68028336849275,11.992201375077737,12.10510889157038,13.273859208998172,11.939190634171968,12.195195304793533
S02001849,5.179781992949867,5.214493172970209,5.419063451664124,2.9505819079611997,2.2129478363577952,1.4681028920394192,2.8325436645152493,0.0,2.8621317323389324,4.079785963214703,4.055450251709929,4.846400871796934,4.271703059299613,5.492179280438213,5.469240521356308,3.511313375978222,3.9735319942261125,6.0930826572464944,5.1560916401780705,6.252807095712214,5.1210519747185534,6.846347446033996,7.3274552912025515,8.020896573122478,8.597979848668698,7.418222957207155,7.321823331168124,5.747634797509111,6.465242388645551,6.478246120530526,7.193906086016594,5.540959221313921,4.4597973738135614,5.572202119584718,5.2668472747359,6.7724593067649375,7.167198738502774,8.666130755715635,10.459119595454288,11.119013486140421,11.27138041182025,9.69164999668085,9.359676759476093,8.981626963955051,7.575908565003283,8.115067881004041,9.601036363889733,9.572172866402687,7.901300548666162,9.890473270788915,10.110315610678473,10.620968233906991,12.025502176355861,12.712213139992272,13.64777004281087,14.71231991640567,15.410006588999622,16.271246973365038,17.55395818400171,17.794107387155147,17.28579842872033,18.470850478687794,19.459771646146283,18.309564755272056,17.938509770796514,17.779630749353228,16.162499687574865,14.983795410584268,14.472241686869001,13.828576386868388,13.20775450067305,13.538927664525964,14.14630716156679,16.681053362670834,13.778261604266543,13.694009895115858,15.784752914800858,14.869410605425346,13.623616384641538,12.979710059919402,12.887044458338275,12.906878983824878,11.19397731409882,10.777590360508293,11.248773780726149,11.352941031759334,11.753529356809675,12.147854015022208,11.044020039803529,10.482533731366846,9.334569495433474,9.231294063886734,8.259683646631826,8.281203237718788,8.168437284740078,9.180802682283355,9.111412268425541,9.94436446136489,11.165143854021753,11.101814728228872,11.902587468109758,12.155340470532348,13.669169816239798,12.698774914538664,12.145005306067533,12.316555318608813,11.738475592120796,11.286249430147762,10.096681496315274,10.210614356034664,9.952845994430362,8.675113954925417,7.964192327108603,8.127754208943275,8.777483496688188,9.695258864701374,8.405057922583557,7.612411455483633,7.513831557674632,7.839252309710569,8.738633583376009,8.85558472376632,10.54365449281738,10.685009431378962,11.24168215812889,9.846338513184179,10.159238142773644,10.105225425942251,9.390201095727422,9.689490940181958,10.653037500428546,12.05397323361672,12.077863023506175,13.246613340933967,12.884688330720778,13.140693001342342
S02001850,6.181462359741264,6.216173539761605,6.420743818455519,3.952262274752594,3.2146282031491906,2.4625287938599287,3.9775894861005074,2.9457241461656514,0.0,1.3964679218271239,1.5047607262639735,3.1503836751641496,1.7198396467890489,2.8088612390506347,3.5899470677905567,2.0792881594924317,2.5649455282030087,4.663068948850919,3.7260779317824957,4.822793387316638,3.6910382663229795,5.437760980010893,5.918868825179448,6.7203354049776305,7.2974186805238475,6.638403463546742,6.032675661270522,4.339048331486012,5.24849429640866,5.5830027468465895,6.290339628118761,5.661087972217935,5.461477740604958,6.573882486376115,6.268527641527296,7.363886665647865,8.168879105294168,8.454980511872899,10.343580926075305,10.967289014884097,10.916699228310199,9.463776675086804,9.004995575966042,8.230420224670615,7.2677003672929334,7.089144191063485,8.529489980941275,8.142159158007107,6.471286840270587,8.460459562393336,8.680301902282897,9.190954525511415,10.595488467960285,11.282199431596695,12.217756334415295,13.282306208010093,14.338460206051165,14.841233264969462,16.12394447560613,16.364093678759566,15.855784720324756,17.04083677029221,18.029757937750706,16.879551046876472,16.508496062400944,16.349617040957664,14.732485979179287,13.55378170218869,13.042227978473424,12.39856267847281,11.777740792277477,12.10891395613039,12.716293453171218,15.251039654275257,12.348247895870971,12.263996186720282,14.354739206405279,13.439396897029773,12.193602676245963,11.549696351523826,11.457030749942703,11.476865275429306,9.763963605703248,9.347576652112718,9.818760072330573,9.92292732336376,10.323515648414102,10.717840306626636,9.614006331407957,9.052520022971269,7.904555787037895,7.801280355491159,6.829669938236251,6.851189529323212,6.738423576344503,7.750788973887778,7.681398560029968,8.514350752969312,9.735130145626181,8.488325386776673,10.472573759714185,10.725326762136776,12.239156107844225,10.015456873151082,9.46168726467995,9.633237277221225,9.055157550733215,8.602931388760174,7.413363454927689,8.382308398590858,7.269527953042786,5.991795913537842,5.2808742857210245,5.444436167555696,6.094165455300609,7.011940823313799,5.721739881195975,4.929093414096054,4.830513516287054,5.155934268322992,6.0553155419884295,6.1722666823787415,7.8603364514298,8.713308846063404,8.558364116741313,7.1630204717965995,7.475920101386069,7.421907384554676,6.706883054339841,7.0061728987943805,7.969719459040962,9.370655192229137,9.394544982118592,10.563295299546384,10.522429344309332,10.778434014930896
S02001851,7.418745248241628,7.453456428261968,7.53716188000162,5.1895451632529594,4.4519110916495555,3.699811682360293,3.6947130579155103,4.183007034666015,1.4160965794517169,0.0,1.3945059673033713,2.3408663882903915,0.782893406522943,1.887167220443521,2.668253049183443,1.9997398198004057,2.6860867943574873,4.309872436270986,3.646529592090471,4.7432450476246135,3.6114899266309544,5.558902246165372,6.040010091333928,6.841476671132108,7.418559946678326,6.759544729701218,6.153816927425,4.46018959764049,5.369635562563138,5.704144013001067,6.411480894273238,5.782229238372413,6.698760629105322,6.980078203363067,6.566673466238124,7.485027931802343,8.400464264303121,8.576121778027376,10.46472219222978,11.088430281038574,11.037840494464676,9.58491794124128,9.12613684212052,8.351561490825091,7.38884163344741,7.210285457217961,8.65063124709575,8.062610818315083,6.391738500578562,8.380911222701313,8.600753562590873,9.11140618581939,10.51594012826826,11.20265109190467,12.13820799472327,13.20275786831807,14.42539928667729,14.761684925277438,16.044396135914106,16.28454533906754,15.776236380632731,16.961288430600185,17.95020959805868,16.800002707184447,16.42894772270892,16.27006870126564,14.652937639487263,13.474233362496665,12.962679638781399,12.319014338780786,11.698192452585452,12.029365616438367,12.636745113479193,15.17149131458323,12.268699556178946,12.184447847028258,14.27519086671325,13.359848557337747,12.114054336553938,11.470148011831801,11.377482410250677,11.39731693573728,9.684415266011221,9.268028312420693,9.739211732638548,9.843378983671736,10.243967308722077,10.638291966934611,9.534457991715932,8.972971683279244,7.825007447345868,7.721732015799135,6.750121598544226,6.771641189631186,6.523608071803614,7.343403120877596,7.601850220337942,7.950897115869335,9.126278971983407,7.566631368169562,10.044335485346256,10.01579520416172,11.529624549869167,9.093762854543966,8.539993246072832,8.711543258614116,8.133463532126099,7.681237370153063,6.491669436320576,7.460614379983746,6.347833934435674,5.07010189493073,4.359180267113913,4.522742148948584,5.172471436693497,6.090246804706687,4.8000458625888625,4.007399395488941,3.908819497679939,4.234240249715876,5.133621523381315,5.250572663771626,6.938642432822685,7.791614827456289,7.636670098134198,6.241326453189485,6.554226082778953,6.500213365947562,5.785189035732727,6.084478880187266,7.048025440433848,8.44896117362202,8.472850963511478,9.64160128093927,9.60073532570222,9.856739996323784
