IntZone,S02001842,S02001843,S02001844,S02001845,S02001846,S02001847,S02001848,S02001849,S02001850,S02001851,S02001852,S02001853,S02001854,S02001855,S02001856,S02001857,S02001858,S02001859,S02001860,S02001861,S02001862,S02001863,S02001864,S02001865,S02001866,S02001867,S02001868,S02001869,S02001870,S02001871,S02001872,S02001873,S02001874,S02001875,S02001876,S02001877,S02001878,S02001879,S02001880,S02001881,S02001882,S02001883,S02001884,S02001885,S02001886,S02001887,S02001888,S02001889,S02001890,S02001891,S02001892,S02001893,S02001894,S02001895,S02001896,S02001897,S02001898,S02001899,S02001900,S02001901,S02001902,S02001903,S02001904,S02001905,S02001906,S02001907,S02001908,S02001909,S02001910,S02001911,S02001912,S02001913,S02001914,S02001915,S02001916,S02001917,S02001918,S02001919,S02001920,S02001921,S02001922,S02001923,S02001924,S02001925,S02001926,S02001927,S02001928,S02001929,S02001930,S02001931,S02001932,S02001933,S02001934,S02001935,S02001936,S02001937,S02001938,S02001939,S02001940,S02001941,S02001942,S02001943,S02001944,S02001945,S02001946,S02001947,S02001948,S02001949,S02001950,S02001951,S02001952,S02001953,S02001954,S02001955,S02001956,S02001957,S02001958,S02001959,S02001960,S02001961,S02001962,S02001963,S02001964,S02001965,S02001966,S02001967,S02001968,S02001969,S02001970,S02001971,S02001972,S02001973,S02001974,S02001975,S02001976,S02001977
S02001842,0.0,5.636770997143951,5.374497254829282,5.344533961054367,5.697393203976318,6.620324785164048,6.764329896139355,7.737568734127847,8.353525291720596,9.097978033453176,9.265135588258095,9.895707689670857,9.338349293449424,9.263801992126671,8.976645229216677,8.188380754959267,7.17399799283586,8.905475803069015,7.968484786000589,9.065200241534733,7.145151972241916,6.806286288019134,6.6028053526839,6.982939622304854,7.560022897851072,6.613601562546542,6.283866380350499,5.089902530394582,5.427285437827927,5.44783424428922,6.3239290602495934,4.667196563558235,4.538006927336994,4.560578455662387,5.1207237979639615,6.246573913323919,6.568334194291302,7.7914680765032545,9.58445691624191,10.244350806928033,9.959332638203076,8.816987317468467,8.04762898585892,7.764400565424972,6.701245885790901,7.122733623194314,8.563079413072106,8.84038948858893,7.945737847125998,10.04352182852545,10.137766309226253,10.597689982109532,11.75392655141236,12.49937373051548,13.376194417867364,14.26372854262375,14.262873889432097,16.129514093964563,17.41222530460123,17.559528379416125,17.144065549319855,18.329117599287315,19.535682223102057,18.385475332227834,18.014420347752296,17.705924252814984,16.020766808174386,14.842062531183789,14.330508807468522,13.68684350746791,13.283665077628823,13.691976222262511,14.22221773852257,16.919492889590643,13.93131016200309,13.923882233324882,16.02319244172066,15.266323469540401,13.853488722850562,13.218875322307277,13.283957322453329,13.303791847939932,12.285422329666183,11.016755622896172,11.478646118935174,11.505989589495872,11.906577914546219,12.300902572758751,11.197068597540065,10.635582289103384,9.82713481014207,10.156439885166616,8.953977143476093,9.911473667468648,10.528964013459497,10.90821344268862,10.709855635349522,11.542807828288867,12.337060473821667,12.507765142112426,13.07450408790967,13.32725709033226,14.841086436039708,15.457343959674649,14.916016916698975,13.962071600338795,13.929685051153216,12.976421902921352,12.406497404281883,11.938025116439931,11.23613246300789,10.653895595046821,11.29152621837839,11.249256006436,11.434135412903053,11.578754781397858,12.918016751181199,11.964205740557423,12.026790386272271,12.352211138308213,13.251592411973654,13.36854355236396,14.814802001416291,15.087803581964168,14.932858852642077,13.558423859599777,14.232568143730463,14.541333058689977,13.475586441165552,14.202449768779601,15.16599632902619,16.518443975810587,16.542333765700043,17.391325889018972,16.8969240802101,17.15292875083166
S02001843,5.598236118676307,0.0,5.78693835800482,5.756975064229905,6.109834307151857,7.032765888339585,7.176770999314893,8.150009837303385,7.953821396837889,8.894206464189848,8.86543169337539,9.922254533258755,9.081684500965075,9.676243095302208,9.389086332392214,8.600821858134804,7.586439096011398,9.317916906244552,8.380925889176126,9.477641344710271,7.557593075417453,7.182408756898329,6.699676862781215,7.395380725480392,7.9724640010266095,7.0260426657220805,6.696307483526038,5.502343633570121,5.839726541003465,5.860275347464757,6.73637016342513,5.079637666733772,4.5284887467744195,4.973019558837925,5.533164901139499,6.659015016499458,7.1487621442051354,8.28765591445503,10.080644754193685,10.740538644879807,10.45552047615485,9.313175155420241,8.543816823810694,8.260588403376747,7.197433723742676,7.535174726369851,8.975520516247645,8.952746085386813,8.042609357223313,10.140393338622763,10.234637819323567,10.745290442552086,12.149824385000958,12.895271564104078,13.772092251455973,14.71371656041292,14.759061727383873,16.52116704119889,17.80387825183556,17.857638004503656,17.535718496554185,18.720770546521642,19.709691713980135,18.559484823105908,18.188429838630377,18.029550817187094,16.41241975540871,15.233715478418112,14.72216175470285,14.078496454702234,13.457674568506905,13.788847732359827,14.396227229400651,17.01636439968796,14.028181672100406,14.020753743422198,16.120063951817976,15.363194979637715,13.950360232947876,13.315746832404592,13.380828832550645,13.400663358037246,12.382293839763499,11.113627132993486,11.57551762903249,11.602861099593188,12.003449424643534,12.397774082856067,11.293940107637379,10.732453799200698,9.971755113367305,10.25331139526393,9.050848653573409,10.008345177565962,10.79795834745143,11.005084952785936,10.838554208272717,11.671506401212062,12.433931983918981,12.534311985700324,13.171375598006986,13.424128600429576,14.937957946137022,15.483890803262545,14.942563760286873,13.988618443926692,13.956231894741112,13.002968746509248,12.433044247869779,12.034896626537247,11.262679306595786,10.680442438634717,11.318073061966286,11.275802850023895,11.460682256490951,11.605301624985755,13.156886494258252,11.99075258414532,12.328252058649777,12.653672810685716,13.553054084351153,13.670005224741466,14.84134884500419,15.114350425552066,14.959405696229975,13.584970703187675,14.25911498731836,14.567879902277877,13.502133284753448,14.36554089730664,15.344213395493382,16.544990819398485,16.56888060928794,17.41787273260687,16.923470923797993,17.179475594419557
S02001844,5.341504949290848,5.831590845521355,0.0,7.203021179290035,7.042338197839036,7.150382515143578,8.622817114375023,8.267626464107376,7.881071483861059,8.821456551213018,8.79268178039856,10.111999354526082,9.008934587988243,10.233849868436529,10.835132447452345,9.294512276277798,8.837065031403887,10.710434596881457,9.826972004236257,10.9236874597704,9.003639190477584,8.628454871958459,8.145722977841345,8.841426840540521,9.41851011608674,8.47208878078221,8.142353598586167,6.94838974863025,7.285772656063595,7.306321462524888,8.182416278485261,6.525683781793903,4.271757577388961,5.977085467550399,6.928842078768083,8.105061131559587,8.362789443400887,9.73370202951516,11.526690869253814,12.186584759939937,11.901566591214982,10.75922127048037,9.989862938870825,9.706634518436879,8.643479838802806,8.981220841429982,10.421566631307774,10.398792200446943,9.488655472283444,11.586439453682894,11.680683934383698,12.191336557612216,13.595870500061089,14.34131767916421,15.218138366516103,16.15976267547305,16.205107842444004,17.96721315625902,19.24992436689569,19.303684119563787,18.981764611614317,20.166816661581773,21.155737829040262,20.00553093816604,19.634475953690504,19.475596932247225,17.85846587046884,16.679761593478243,16.16820786976298,15.524542569762364,14.903720683567034,15.234893847419958,15.842273344460782,18.462410514748086,15.474227787160535,15.466799858482329,17.566110066878107,16.809241094697846,15.396406348008007,14.761792947464722,14.826874947610774,14.846709473097377,13.82833995482363,12.559673248053617,13.02156374409262,13.048907214653319,13.449495539703664,13.843820197916196,12.73998622269751,12.17849991426083,11.417801228427436,11.69935751032406,10.496894768633538,11.454391292626093,12.015317382678118,12.451131067846067,12.284600323332846,13.117552516272191,13.879978098979112,13.111175924414717,14.617421713067115,14.870174715489705,16.384004061197153,15.872599252084875,15.36716221796798,14.565482382641084,14.533095833455505,13.579832685223641,13.009908186584171,12.952323690858249,11.839543245310178,11.25730637734911,11.89493700068068,11.852666788738288,12.037546195205344,12.182165563700147,13.146728510581871,12.354082043481949,12.25550214567295,12.580922897708884,13.480304171374325,13.597255311764634,15.031093666271515,15.304095246819392,15.1491505174973,13.774715524455,14.448859808585686,14.757624723545202,14.07899722346784,14.431161528180276,15.394708088426857,16.73473564066581,16.758625430555266,17.607617553874196,17.113215745065318,17.369220415686883
S02001845,5.276486918410505,5.766572814641012,7.194037351150082,0.0,6.977320166958693,7.085364484263234,7.342468909660475,8.202608433227033,6.091150256443062,7.031535323795021,7.002760552980563,7.681434496058324,7.12407609983689,8.443928641018532,8.700381339225327,7.504591048859801,6.754660187491279,8.279869738413705,8.459008884112821,9.236654819101664,7.916290539768927,7.577424855546145,7.436734430168247,7.754078189831866,8.331161465378084,7.3847401300735545,7.055004947877512,5.861041097921595,6.198424005354939,6.218972811816231,7.095067627776604,5.438335131085246,4.206739546508617,5.331717023189399,5.891862365490973,7.017712480850932,7.792213829257845,8.860439046923231,10.653427886661884,11.313321777348007,11.192578043541886,9.88595828788844,9.28087439119773,8.997645970763783,7.770216856210878,7.893872190721325,9.334217980599117,9.611528056115942,8.779666924610346,10.877450906009797,10.9716953867106,11.368828549636543,12.52506511893937,13.27051229804249,14.147332985394376,15.072414024764393,15.14318820570901,16.900652661491574,18.18336387212824,18.423513075281676,17.915204116846866,19.100256166814326,20.22805451778973,19.077847626915503,18.706792642439964,18.477062820341995,16.791905375701397,15.6132010987108,15.101647374995535,14.457982074994922,13.976037372316492,14.396906428661339,14.914590033210239,17.70262434244886,14.636240368401918,14.757811310809231,16.85712151920501,16.10025254702475,14.68741780033491,14.052804399791624,14.117886399937676,14.13772092542428,12.888630715143925,11.85068470038052,12.312575196419523,12.339918666980221,12.653152407831222,13.005832779157581,11.901998803938895,11.33945981130647,10.619956590735068,10.832343322406953,9.629880580716431,10.061641430043977,9.584752524210367,10.40454757328435,10.678428788586094,11.012041568276087,12.187423424390156,10.680611065946966,13.105479937753001,13.076939656568463,14.590769002275911,13.442034393617117,12.936597359500222,12.134917524173334,12.102530974987754,11.14926782675589,10.57934332811642,10.521758832390498,9.408978386842428,8.82674151888136,9.464372142212929,9.422101930270538,9.606981336737594,9.751600705232397,11.303185574504894,10.137051664391961,10.46558091825495,10.791001670290889,11.690382943956326,11.807334084346639,12.600528807803755,12.873530388351632,12.71858565902954,11.344150665987241,12.018294950117927,12.327059865077445,11.64843236500009,12.511839977553283,13.490512475740024,14.30417078219805,14.328060572087507,15.177052695406438,14.68265088659756,14.938655557219125
S02001846,5.630877429715175,6.120963325945683,7.065597851617378,7.035634557842463,0.0,7.036244520531845,6.570312644678655,7.519439872837568,5.318993991461241,6.2593790588132,6.230604287998743,6.909278231076504,6.351919834855071,7.671772376036711,7.928225074243507,6.732434783877979,5.982503922509459,7.5077134734318856,7.686852619131001,8.464498554119842,7.770631871650217,7.147310059303542,6.664578165186427,7.7084409608330775,8.270894471974417,7.129804793738869,7.1691658660832935,6.332524355980889,6.332412634048807,6.122396224696892,6.905487922548309,5.909818389144542,4.561130057813288,5.803200281248694,6.13663727836966,6.791210492322014,7.565465201276648,8.252557216860243,10.045546056598898,10.70543994728502,10.420421778560064,9.278076457825454,8.508718126215907,8.22548970578196,7.162335026147889,7.757248582832229,9.245398089685679,8.917647387792025,8.007510659628526,10.105294641027976,10.19953912172878,10.710191744957298,12.114725687406171,12.860172866509291,13.736993553861184,14.72481768298074,14.723963029789086,16.486068343604103,17.768779554240773,17.82253930690887,17.5006197989594,18.685671848926855,19.455898252807906,18.305691361933683,17.934636377458144,17.775757356014854,16.377321057813923,15.18338476236644,14.68706305710806,14.043397757107446,13.20388110733467,13.624750163679517,14.142433768228416,16.93046807746704,13.864084103420094,13.98565504582741,16.08496525422319,15.328096282042928,13.915261535353089,13.280648134809804,13.345730134955856,13.365564660442459,12.116474450162105,11.078528435398699,11.540418931437703,11.567762401998401,11.8809961428494,12.233676514175759,11.129842538957073,10.567303546324649,9.847800325753248,10.06018705742513,8.85772431573461,9.289485165062157,8.812596259228547,9.63239130830253,9.906272523604276,10.239885303294267,11.415267159408337,9.908454800965146,12.333323672771183,12.304783391586644,13.818612737294092,12.6698781286353,12.164441094518406,11.362761259191513,11.330374710005934,10.377111561774072,9.807187063134602,9.749602567408678,8.636822121860607,8.054585253899539,8.69221587723111,8.649945665288719,8.834825071755773,8.979444440250576,10.531029309523074,9.364895399410143,9.69342465327313,10.018845405309067,10.918226678974506,11.035177819364817,11.828372542821937,12.101374123369814,11.946429394047723,10.571994401005423,11.246138685136108,11.554903600095628,10.87627610001827,11.739683712571463,12.718356210758206,13.532014517216233,13.555904307105688,14.404896430424621,13.910494621615742,14.166499292237306
S02001847,6.532176075331143,7.02226197156165,7.083005703385607,7.053042409610692,7.078216618722929,0.0,5.7476704927987985,6.789972967870847,5.421943651514031,5.883421921230991,5.580436146153465,6.086636079196648,5.529277682975215,7.705158052450944,7.10558292236365,6.228777415766348,5.159861770629604,6.68507132155203,6.8642104672511435,7.780889413954208,6.94798971977036,7.1647179110717705,6.681986016954656,7.725848812601306,8.288302323742645,7.147212645507098,7.186573717851521,6.599292605666606,6.349820485817035,6.13980407646512,6.922895774316537,5.962450044039084,5.462428703429255,6.183747729590721,6.154045130137889,6.808618344090243,7.582873053044876,8.269965068628471,10.062953908367126,10.722847799053248,10.437829630328292,9.295484309593682,8.526125977984135,8.242897557550188,7.179742877916117,7.774656434600458,9.262805941453909,8.935055239560254,7.562886482484876,9.994002979183497,10.213845319073055,10.724497942301571,12.129031884750445,12.815742848386849,13.75129975120546,14.742225534748966,14.741370881557312,16.123487999522,17.406199210158668,17.646348413312104,17.138039454877287,18.323091504844754,19.085600903222073,17.93539401234785,17.56433902787231,17.40546000642902,16.01474071373181,14.813087412780607,14.32448271302595,13.680817413025336,12.833583757748837,13.272179528112686,13.772136418642583,16.38417320889394,13.511513467853264,13.39712974133897,15.487872761023963,14.730278053375638,13.326736230864649,12.682829906142512,12.747911906288564,12.76774643177517,11.293832298282247,10.480710206731407,10.951893626949264,11.098980435467906,11.499568760518251,11.881105878608928,10.899374897511336,10.336835904878912,9.03768934165658,9.530496932205637,8.388865705330423,8.580406106037689,7.989954107348691,8.809749156422674,9.083630371724418,9.41724315141441,10.59262500752848,9.085812649085288,11.510681520891325,11.482141239706788,12.995970585414234,11.847235976755439,11.341798942638544,10.540119107311657,10.507732558126078,9.554469409894214,8.984544911254744,8.926960415528821,7.81417996998075,7.231943102019682,7.869573725351252,7.827303513408861,8.012182919875915,8.15680228837072,9.708387157643218,8.542253247530285,9.213270901401707,9.80141927142556,10.13003821996723,10.454761442603566,11.005730390942077,11.278731971489954,11.123787242167861,9.749352249125563,10.423496533256248,10.732261448215771,10.053633948138414,10.917041560691606,11.895714058878347,12.709372365336371,12.733262155225828,13.582254278544763,13.087852469735882,13.343857140357446
S02001848,6.6900935016169845,7.180179397847492,8.607643934356561,7.273431678316088,6.535797606712684,5.783698197423423,0.0,6.266893549729145,4.0664476683528195,5.006832735704778,4.97805796489032,6.624854800855105,5.194310772480004,6.419226052928289,7.2003118816682115,5.479888460769558,5.022441215895647,8.06165774203783,7.1246667249694084,8.22138218050355,7.077930398200204,8.607025503741177,8.288600464022831,9.332463259669481,9.894916770810822,8.753827092575273,8.793188164919696,7.508312855216294,7.9564349328852115,7.746418523533295,8.529510221384712,7.569064491107259,5.620346129715097,7.325674019876535,7.760659577206064,8.415232791158417,9.189487500113053,9.876579515696648,11.669568355435302,12.329462246121425,12.044444077396468,10.902098756661859,10.132740425052312,9.849512004618365,8.786357324984294,9.381270881668634,10.869420388522084,10.54166968662843,9.440930257565588,11.72931693986438,11.823561420565184,12.334214043793702,13.738747986242576,14.484195165345696,15.361015852697589,16.348839981817143,16.34798532862549,18.001531774602707,19.28424298523938,19.44656160574527,19.016083229958,20.201135279925463,20.963644678302785,19.81343778742856,19.44238280295302,19.28350378150973,17.89278448881252,16.69113118786132,16.20252648810666,15.558861188106047,14.711627532829548,15.150223303193396,15.650180193723294,18.26221698397466,15.389557242933975,15.275173516419688,17.36591653610468,16.608321828456354,15.204780005945366,14.560873681223232,14.625955681369284,14.645790206855887,13.162552398890156,12.358753981812125,12.82993740202998,12.977024210548624,13.377612535598967,13.759149653689638,12.729324247338285,12.16678525470586,10.9157331167373,11.199869148678072,10.228258731423164,10.249778322510124,9.867997882429403,10.687792931503386,10.96167414680513,11.295286926495123,12.470668782609192,10.963856424166,13.388725295972037,13.3601850147875,14.874014360494947,12.313878397727764,11.808441363610871,12.307402287970936,11.714962951653462,11.432513184974926,10.862588686335457,10.805004190609534,9.692223745061463,9.109986877100395,8.89123909959868,9.05480098143335,9.704530269178264,10.034846063451432,9.332104695073632,8.53945822797371,8.440878330164708,8.766299082200646,9.665680355866083,9.782631496256396,11.470701265307454,11.74537439246228,11.590429663140188,10.215994670097889,10.890138954228574,11.03227219843233,10.317247868217496,10.616537712672036,11.580084272918615,12.981020006106792,13.004909795996248,14.04889669951709,13.554494890708208,13.810499561329772
S02001849,7.665860561649034,8.15594645787954,8.216690189703499,8.186726895928585,7.4812953032614935,6.729195893972232,6.187067045706918,0.0,5.011945364901628,5.952330432253587,5.92355566143913,6.526032632104767,5.968674235883333,7.364723749477098,7.544979475271768,6.425386157318366,5.599258323537722,7.124467874460148,7.303607020159261,8.220285966862326,7.387386272678478,8.298402397389662,7.815670503272547,8.67314198386854,9.250225259414758,8.28089713182499,7.974068741914186,7.565017510183283,6.993815539140465,7.273488562783012,8.056580260634428,7.0961345303569745,6.596113189747147,7.317432215908612,7.287729616455779,7.942302830408133,8.716557539362768,9.403649554946362,11.196638394685017,11.85653228537114,11.571514116646185,10.429168795911574,9.659810464302028,9.376582043868082,8.313427364234009,8.908340920918349,10.396490427771798,9.89434160797732,8.002283035392994,10.433399532091615,10.653241871981173,11.16389449520969,12.568428437658563,13.255139401294967,14.190696304113578,15.255246177708369,15.875055367875206,16.562884552430113,17.845595763066783,18.08574496622022,17.5774360077854,18.76248805775287,19.524997456130187,18.374790565255964,18.003735580780425,17.844856559337135,16.454137266639925,15.252483965688722,14.763879265934065,14.12021396593345,13.272980310656951,13.7115760810208,14.211532971550698,16.823569761802062,13.950910020761379,13.83652629424709,15.927269313932083,15.169674606283758,13.766132783772768,13.122226459050633,13.187308459196686,13.207142984683289,11.733228851190365,10.920106759639527,11.391290179857382,11.538376988376026,11.938965313426369,12.320502431517042,11.338771450419452,10.776232457787028,9.477085894564702,9.969893485113754,8.82826225823854,9.019802658945807,8.429350660256809,9.249145709330792,9.523026924632536,9.856639704322529,11.032021560436597,9.525209201993405,11.950078073799443,11.921537792614906,13.435367138322352,12.28663252966356,11.781195495546665,10.979515660219775,10.947129111034196,9.993865962802332,9.423941464162862,9.36635696843694,8.253576522888869,7.6713396549278,8.30897027825937,8.266700066316979,8.451579472784033,8.596198841278838,10.147783710551336,8.981649800438403,9.386376026713517,9.711796778749454,10.56943477287535,10.728129192805204,11.445126943850195,11.718128524398072,11.563183795075979,10.18874880203368,10.862893086164366,11.171658001123891,10.493030501046531,11.356438113599724,12.335110611786465,13.148768918244489,13.172658708133946,14.021650831452884,13.527249022644,13.783253693265564
S02001850,8.367593860673512,7.895708217420961,7.91266240024342,6.138393775684844,5.40075970408144,5.410466043900771,4.070213578157309,5.112516053229358,0.0,4.205965006589502,3.902979231511976,4.409179164555159,3.8518207683337256,6.027701137809455,6.1149657668761925,4.5513205011248585,3.482404855988114,5.694454166064572,5.873593311763686,6.79027225846675,5.537894038292672,6.9547216837270405,6.422944372445416,7.264555517845441,7.841638793391659,7.1530878467632615,6.565482275891087,5.968276495308762,5.585229073117366,6.087398938567687,6.8050240113352825,6.746272495677365,7.597793556538543,8.02772315243333,6.93786758177617,7.592440795728524,8.507877128229298,8.969664895089421,10.858265309291829,11.481973398100617,11.431383611526723,9.978461058303328,9.519679959182566,8.745104607887138,7.782384750509454,7.603828574280003,9.044174364157795,8.464327899581747,6.572269326997418,9.00338582369604,9.223228163585597,9.733880786814115,11.138414729262987,11.825125692899391,12.760682595718002,13.825232469312795,14.853144589267693,15.132870844034533,16.415582054671205,16.65573125782464,16.147422299389824,17.33247434935729,18.09498374773461,16.944776856860386,16.573721872384848,16.414842850941557,15.024123558244346,13.822470257293144,13.333865557538488,12.690200257537873,11.842966602261374,12.281562372625222,12.78151926315512,15.393556053406485,12.520896312365801,12.406512585851514,14.497255605536507,13.739660897888182,12.336119075377193,11.692212750655056,11.757294750801108,11.777129276287713,10.303215142794791,9.490093051243951,9.961276471461808,10.10836327998045,10.508951605030795,10.890488723121464,9.908757742023878,9.346218749391454,8.047072186169125,8.53987977671818,7.398248549842965,7.589788950550232,6.999336951861233,7.819132000935216,8.09301321623696,8.426625995926953,9.602007852041021,8.095195493597831,10.520064365403867,10.491524084219328,12.005353429926776,9.603314488275979,9.097877454159086,9.5495019518242,9.004399042201676,8.563852254406756,7.993927755767286,7.9363432600413635,6.823562814493292,6.241325946532224,6.878956569863794,6.836686357921403,7.021565764388458,7.166185132883262,8.441752365757322,7.551636092042827,8.049353415045875,8.37477416708181,7.88611673148777,8.210839954124104,8.76180890246262,9.034810483010498,8.879865753688406,7.505430760646107,8.179575044776792,8.488339959736312,8.371730329836364,8.941971124862956,9.654844600819096,10.465450876856917,10.489340666746372,11.338332790065305,10.843930981256426,11.09993565187799
S02001851,9.17469943576239,8.855721942397512,8.872676125219972,7.098407500661395,6.360773429057991,5.916473666488658,5.030227303133861,6.072529778205908,4.199223137418055,0.0,4.862992956488527,4.380468197208245,4.225182698155602,5.795400584160604,6.035417427184168,5.511334226101408,4.442418580964665,5.6149058263725475,5.369754835499819,6.286433782202883,5.905448206874944,7.075862949881517,6.544085638599894,7.385696783999919,7.962780059546136,7.274229112917739,6.686623542045565,6.277572310314662,5.706370339271844,6.208540204722165,6.92616527748976,6.867413761831844,8.104952063860502,8.148864418587808,7.059008847930649,7.713582061883002,8.629018394383776,9.090806161243899,10.979406575446307,11.603114664255095,11.5525248776812,10.099602324457805,9.640821225337044,8.866245874041615,7.903526016663932,7.724969840434481,9.165315630312273,8.384779559889722,6.492720987305393,8.923837484004014,9.14367982389357,9.65433244712209,11.058866389570962,11.745577353207366,12.681134256025977,13.745684129620768,14.909082003945235,15.053322504342509,16.33603371497918,16.576182918132616,16.0678739596978,17.252926009665266,18.015435408042585,16.86522851716836,16.494173532692823,16.335294511249533,14.944575218552322,13.74292191760112,13.254317217846463,12.610651917845848,11.763418262569349,12.197512467437669,12.701970923463096,15.31400771371446,12.436846407178248,12.32696424615949,14.417707265844482,13.474809957857453,12.256570735685168,11.612664410963031,11.492443810770379,11.512278336256983,9.799376666530923,9.410544711551927,9.881728131769783,10.028814940288425,10.42940326533877,10.80643881793391,9.702604842715225,9.1400658500828,7.967523846477101,8.155681536188762,7.31870021015094,7.510240610858206,6.495498475597366,7.315293524671349,7.589174739973092,7.9227875196630855,9.098169375777156,7.591357017333964,10.01622588914,9.987685607955463,11.501514953662909,8.681620469668864,8.17618343555197,8.675144359912034,8.082705023594562,8.06001377814289,7.2745885127273935,7.432504783777496,6.319724338229426,5.737487470268357,6.375118093599927,6.332847881657536,6.517727288124592,6.662346656619396,7.5200583471502105,7.04779761577896,7.718815269650382,7.8853844785857214,6.964422712880656,7.2891459355169905,7.840114883855506,8.113116464403383,7.958171735081291,6.583736742038992,7.257881026169677,7.566645941129197,7.45003631122925,8.02027710625584,8.733150582211982,9.5437568582498,9.567646648139258,10.416638771458192,9.922236962649311,10.178241633270876
