IntZone,S02001842,S02001843,S02001844,S02001845,S02001846,S02001847,S02001848,S02001849,S02001850,S02001851,S02001852,S02001853,S02001854,S02001855,S02001856,S02001857,S02001858,S02001859,S02001860,S02001861,S02001862,S02001863,S02001864,S02001865,S02001866,S02001867,S02001868,S02001869,S02001870,S02001871,S02001872,S02001873,S02001874,S02001875,S02001876,S02001877,S02001878,S02001879,S02001880,S02001881,S02001882,S02001883,S02001884,S02001885,S02001886,S02001887,S02001888,S02001889,S02001890,S02001891,S02001892,S02001893,S02001894,S02001895,S02001896,S02001897,S02001898,S02001899,S02001900,S02001901,S02001902,S02001903,S02001904,S02001905,S02001906,S02001907,S02001908,S02001909,S02001910,S02001911,S02001912,S02001913,S02001914,S02001915,S02001916,S02001917,S02001918,S02001919,S02001920,S02001921,S02001922,S02001923,S02001924,S02001925,S02001926,S02001927,S02001928,S02001929,S02001930,S02001931,S02001932,S02001933,S02001934,S02001935,S02001936,S02001937,S02001938,S02001939,S02001940,S02001941,S02001942,S02001943,S02001944,S02001945,S02001946,S02001947,S02001948,S02001949,S02001950,S02001951,S02001952,S02001953,S02001954,S02001955,S02001956,S02001957,S02001958,S02001959,S02001960,S02001961,S02001962,S02001963,S02001964,S02001965,S02001966,S02001967,S02001968,S02001969,S02001970,S02001971,S02001972,S02001973,S02001974,S02001975,S02001976,S02001977
S02001842,0.0,4.887092511209485,4.74350442681598,4.622276739637341,5.172356081466237,6.049438522725898,6.154025614413362,7.342533999097212,7.344605683809745,8.000931021691176,7.042228912999108,8.283882221914798,7.777457094415881,9.042044179634651,8.675353909301041,7.842039496980739,6.974070467116377,8.363517370597368,7.665725585735121,7.936394294862996,6.831835015406927,6.507009179787877,6.45660308810933,6.738173148864386,7.2955522185401716,6.259239615213776,5.902786691065573,4.913672555531321,5.162036506603358,5.256573183071956,5.5309453445361045,4.388721125723952,4.350920049315338,4.087580590641326,4.614884726774538,5.866329291214212,6.230871043879673,7.415673057195004,8.695521367266455,9.398888149520772,9.92282458482903,8.348712335474358,8.148002469672093,7.756170953581701,6.518972534423582,6.848134243273998,8.357921999823864,8.18063621326412,7.784409621583407,9.215425640940502,9.578053486495833,10.070330585703033,11.396197066259477,12.144988794304727,13.011229116679077,14.075025972448094,14.11262698092064,15.66220295518167,16.240721287920934,16.97091421447844,16.757349349187816,17.89819531465981,18.893874965928543,17.854625054223085,17.550405143421607,16.60078929824537,15.575009326018717,14.014825915206211,13.957126442925144,13.313461142924531,12.869805780483638,13.191070419143198,13.807212063662543,15.39240252093833,13.203477596158802,13.508310305949637,15.34269710168217,14.627023929939199,13.331538896065577,12.615316679279793,12.472815325357466,12.668090173942238,11.4612656145883,10.705875156292734,10.881305561776056,11.014118603949543,11.355115955792181,11.74266313123352,10.619130422178404,10.143532326981688,9.223357777594622,9.81187915228098,8.65624441556064,9.62164023072851,9.71252267554936,10.240097687722477,10.52410911845379,11.069127593031252,11.828210738286169,11.99865824806166,12.804293229439775,13.057046231862369,14.407923026760198,14.568253562858432,14.048132904653457,13.486581194650476,13.49784632401325,12.388673937799709,11.884216533504311,11.276554557959539,10.852901378963743,10.02605178432044,10.309010434459417,10.291008903061641,Inf,11.050508360821476,11.96940332931028,11.005958637183067,11.170187390717107,11.501797309691128,12.28141796666943,12.562704769734683,13.598721227556176,14.122335326137089,13.730773059037586,12.604830407268576,13.278974691399261,13.75763543229068,12.723611600616357,13.016696401371007,14.296873886981283,14.619131698553023,15.190902323981344,16.064067756564512,15.916195359286238,16.09222373187413
S02001843,4.8870925112094845,0.0,5.0404339991039855,4.919206311925346,5.469285653754242,6.051823506032402,6.450955186701368,6.857175890366962,6.789044780058739,7.445370117940169,6.4789342075254,7.72058751644109,7.2141623889421735,8.75312441790256,8.972283481589045,7.998982169641392,7.236637649256224,8.660446942885372,7.962655158023127,8.233323867151002,7.128764587694933,6.803938752075883,6.704005537373368,7.035102721152392,7.592481790828177,6.556169187501782,6.1997162633535785,5.210602127819327,5.458966078891364,5.553502755359962,5.82787491682411,4.685650698011957,3.9521933956785014,4.384510162929332,4.911814299062544,6.163258863502218,6.527800616167679,7.88358524696482,8.992450939554463,9.866800339290585,10.39073677459885,8.816624525244176,8.61591465944191,8.13910973535329,6.901599767201793,7.145063815562004,8.65485157211187,8.4227520631043,8.026525471423586,9.457541490780681,9.820169336336011,10.312446435543212,11.693126638547483,12.441918366592732,13.308158688967083,14.3719555447361,14.409556553208645,16.049064050892262,16.79007405961844,17.520266986175947,17.05427892147582,18.195124886947816,19.16886796312483,18.120249636629108,17.792520993261785,16.84290514808555,15.871938898306723,14.311755487494217,14.25405601521315,13.610390715212537,13.111921630323817,13.433186268983377,14.049327913502722,15.634518370778508,13.44559344599898,13.750426155789816,15.584812951522348,14.869139779779378,13.573654745905756,12.857432529119972,12.714931175197645,12.910206023782417,11.703381464428478,10.947991006132913,11.123421411616235,11.256234453789721,11.59723180563236,11.984778981073699,10.861246272018583,10.385648176821867,9.4654736274348,10.053995002121159,8.898360265400818,9.918569803016517,10.009452247837366,10.537027260010483,10.772369304235578,11.188561133023835,12.070326588126347,11.440352080992321,13.046409079279954,13.299162081702548,14.650038876600377,14.004958857384725,13.484838199179752,12.928275027581137,12.93954015694391,11.83036777073037,11.45125983506015,11.039585303899246,10.294595211894404,9.789066752355126,10.395422545047179,10.377421013649403,Inf,10.492202193752137,11.4838170096547,10.940302976681629,10.865545083521145,11.192420672592734,11.972041329571036,12.25332813263629,13.035426522082469,13.559040620663382,13.16747835356388,12.041535701794869,12.715679985925554,13.270683726234818,12.165305433547013,12.531110081715429,13.811287567325703,14.055836993079314,14.627607618507637,15.500773051090807,15.35290065381253,15.528929026400425
S02001844,4.74350442681598,5.0404339991039855,0.0,5.60258314859797,6.053175828507083,5.9082354216388975,7.442396168545155,7.170418886198634,7.102287775890411,7.758613113771841,7.0092797599139365,8.250933068829626,7.74450794133071,9.066367413734232,9.700919250766663,8.417687414983991,7.76698320164476,9.38908271206299,8.691290927200743,8.961959636328618,7.8574003568725495,7.532574521253499,7.482168429574952,7.763738490330009,8.321117560005794,7.284804956679398,6.928352032531195,5.939237896996944,6.18760184806898,6.2821385245375785,6.556510686001727,5.414286467189574,3.8086053112849965,5.092322656153821,5.640450068240161,6.8918946326798345,7.256436385345295,8.612221016142437,9.721086708732077,10.595436108468203,11.119372543776466,9.545260294421793,9.344550428619526,8.867745504530909,7.630235536379409,7.8736995847396205,9.383487341289486,9.228410540675554,8.889781491275023,10.320797510632122,10.683425356187453,11.152856384669581,12.4217624077251,13.170554135770349,14.0367944581447,15.100591313913716,15.138192322386262,16.77769982006988,17.716852351576726,18.30056023385999,17.78291469065344,18.92376065612543,19.919440307394165,18.880190395688707,18.655777013113223,17.706161167936987,16.600574667484338,15.040391256671834,14.982691784390767,14.339026484390153,13.975177650175258,14.296442288834815,14.912583933354158,16.497774390629946,14.30884946585042,14.613682175641255,16.448068971373775,15.73239579963082,14.436910765757192,13.720688548971415,13.578187195049084,13.773462043633861,12.566637484279916,11.811247025984354,11.986677431467676,12.119490473641163,12.460487825483794,12.84803500092514,11.724502291870024,11.248904196673312,10.32872964728624,10.917251021972596,9.761616285252252,10.647205572194132,10.738088017014983,11.265663029188099,11.6015770398983,11.718906685412378,12.93358260797778,11.97069763338086,13.90966509913139,14.162418101553978,15.513294896451814,14.53530440977326,14.015183751568287,13.458620579969676,13.469885709332448,12.360713323118908,11.981605387448688,11.569930856287785,10.824940764282942,10.319412304743665,10.925768097435716,10.907766566037939,Inf,11.022547746140676,11.978004017945992,11.253545972513301,11.178788079352817,11.505663668424406,12.285284325402708,12.566571128467961,13.565772074471004,14.089386173051917,13.697823905952415,12.571881254183404,13.24602553831409,13.761501791023967,12.695650985935556,13.025297090006717,14.305474575616994,14.58618254546785,15.157953170896173,16.031118603479342,15.883246206201065,16.059274578788962
S02001845,4.622276739637341,4.919206311925347,5.6025831485979705,0.0,5.931948141328443,5.787007734460258,6.5911959133509805,5.650149997340419,5.582018887032196,6.238344224913626,5.271908314498853,6.513561623414543,6.007136495915627,7.546098524876017,8.10087713829171,6.791956276614846,6.029611756229678,7.8610408117747825,7.3550062344446765,7.799259119569275,6.521115664116484,7.215600364491127,7.16519427281258,7.446764333567637,8.004143403243422,6.967830799917026,6.611377875768823,5.622263740234572,5.870627691306608,5.965164367775206,6.239536529239355,5.097312310427202,3.6873776241063574,4.796171775344575,5.3234759114777885,6.574920475917462,6.939462228582923,8.295246859380065,9.404112551969707,10.278461951705829,10.802398387014094,9.22828613765942,9.027576271857154,8.550771347768535,7.313261379617037,7.556725427977248,9.066513184527114,8.911436383913182,8.572807334512651,10.003823353869752,10.366451199425079,10.83588222790721,12.104788250962727,12.853579979007977,13.719820301382327,14.783617157151344,14.82121816562389,16.460725663307507,17.352223209112424,17.983586077097616,17.465940533891064,18.60678649936306,19.60246615063179,18.563216238926337,18.338802856350853,17.389187011174613,16.283600510721968,14.723417099909462,14.665717627628394,14.022052327627781,13.658203493412886,13.979468132072443,14.595609776591786,16.180800233867572,13.991875309088048,14.296708018878883,16.1310948146114,15.415421642868449,14.11993660899482,13.403714392209043,13.261213038286712,13.45648788687149,12.249663327517544,11.494272869221984,11.669703274705302,11.80251631687879,12.143513668721422,12.531060844162768,11.407528135107654,10.93193003991094,10.011755490523868,10.400654344004119,9.424045674139178,9.484505055434791,9.325456089801119,9.901680967619338,10.287945941702167,9.981535239997287,11.358880843464188,10.233326187965778,12.528188373207776,12.463501817048654,13.896162874739714,12.797932964358175,12.277812306153201,11.721249134554593,11.732514263917366,10.623341877703826,10.244233942033604,9.832559410872703,9.08756931886786,8.582040859328583,9.188396652020634,9.170395120622858,Inf,9.285176300725592,10.276791116628157,9.733277083655086,9.658519190494602,9.98539477956619,10.765015436544493,11.046302239609746,11.82840062905592,12.352014727636833,11.960452460537331,10.83450980876832,11.508654092899006,12.063657833208268,10.95827954052047,11.324084188688886,12.60426167429916,12.848811100052767,13.420581725481089,14.293747158064257,14.145874760785983,14.321903133373876
S02001846,5.172356081466235,5.469285653754241,6.053175828507083,5.931948141328443,0.0,5.942360328406322,5.9019375855805345,4.960891669569974,4.892760559261751,5.549085897143181,4.582649986728407,5.824303295644097,5.317878168145181,6.856840197105573,7.411618810521263,6.1026979488443995,5.340353428459231,7.1717824840043365,6.6657479066742304,7.1100007917988295,5.831857336346038,6.692273304158835,6.66699251663552,7.444431218781242,7.891967307359898,6.957894059951542,6.887023374493783,6.143633424195597,6.250448909758719,6.030072361175042,6.154120868026499,5.655467874621045,4.237456965935253,5.3972519923324285,5.924556128465642,6.542886541738268,7.23006682586589,8.194301144238588,9.816874210893062,10.177516236564353,10.70145267187262,9.127340422517943,8.92663055671568,8.3731910536248,7.212315664475561,7.546788688011764,9.056576444561628,8.385739042366453,7.989512450685739,9.420528470042832,9.783156315598163,10.275433414805363,11.72533428559338,12.47456914415832,13.340809466532672,14.404606322301685,14.811281425658407,16.081271697938163,16.76845157379177,17.498644500349275,17.08648656852172,18.22733253399371,19.122211719548787,18.073593393053066,17.745864749685747,16.796248904509504,15.904146545352626,14.343963134540115,14.28626366225905,13.642598362258434,13.065265386747775,13.396173248245528,14.00267166992668,15.597505350040661,13.408580425261134,13.713413135051969,15.5477999307845,14.832126759041529,13.536641725167907,12.820419508382123,12.677918154459796,12.87319300304457,11.572117296216579,10.910977985395066,11.086408390878386,11.219221433051874,11.560218784894513,11.938122737497658,10.824233251280734,10.348635156084018,9.428460606696952,9.711396016233673,8.734787346368732,8.795246727664345,8.636197762030674,9.212422639848896,9.598687613931721,9.292276912226841,10.669622515693746,9.544067860195334,11.838930045437332,11.77424348927821,13.20690454696927,12.108674636587727,11.588553978382752,11.03199080678415,11.043255936146922,9.93408354993338,9.55497561426316,9.143301083102259,8.398310991097416,7.8927825315581375,8.499138324250188,8.481136792852412,Inf,8.595917972955148,9.587532788857715,9.04401875588464,8.969260862724157,9.296136451795746,10.075757108774049,10.357043911839302,11.139142301285478,11.66275639986639,11.271194132766889,10.145251480997878,10.819395765128563,11.37439950543782,10.269021212750028,10.634825860918443,11.915003346528717,12.159552772282325,12.731323397710646,13.604488830293814,13.45661643301554,13.632644805603434
S02001847,6.0494385227258975,6.0518235060324015,5.908235421638896,5.787007734460257,5.942360328406321,0.0,5.058410608210659,4.152661240984258,4.084530130676034,4.740855468557465,3.739123009358532,4.980776318274222,4.474351190775305,6.0486097685198565,6.6033883819355506,5.259170971474523,4.496826451089356,6.363552055418624,5.857517478088514,6.301770363213113,5.023626907760322,5.884042875573119,6.387320249359481,7.215866449656495,7.693819696465753,6.760346772179841,6.689476086722082,5.961736335803011,6.052901621987019,5.8325250734033425,5.956573580254798,5.457920586849344,5.114539407194915,5.252311585464243,5.779615721597455,6.345339253966568,7.032519538094189,7.996753856466888,9.619326923121362,9.979968948792653,10.503905384100918,8.929793134746241,8.729083268943977,8.175643765853101,7.014768376703861,7.349241400240064,8.859029156789928,8.187591431472308,7.422669912915297,9.095022406300286,9.504521110446571,9.996798209653772,11.446699080441789,12.152299779529827,13.062174261381085,14.125971117150097,14.613734137886706,15.528910713580691,16.468063245087535,17.051771127370802,16.34553037758858,17.486206689660726,18.31398129096307,17.26536296446735,16.93763432110003,15.988018475923788,15.133517771835766,13.746531782655628,13.747933913439171,13.104268613438556,12.257034958162059,12.601635204731227,13.194441241340964,14.802967306526362,12.61404238174683,13.151517655661019,14.985904451393548,14.12246920121451,12.974746245776956,12.11799063611586,11.968260596632778,12.095035081556318,10.763886867630863,10.175285173924944,10.535472757673787,10.795612309031824,10.915613853474369,11.129892308911941,10.429622148147642,9.954024052950928,8.895328512044067,8.903165587647964,7.92655691778302,7.98701629907863,7.82796733344496,8.40419221126318,8.790457185346005,8.484046483641125,9.86139208710803,8.735837431609617,11.030699616851617,10.966013060692493,12.398674118383553,11.26514765921785,10.745027001012875,10.223760378198435,10.235025507561206,9.125853121347665,8.746745185677444,8.335070654516542,7.590080562511701,7.084552102972422,7.690907895664475,7.6729063642667,Inf,7.787687544369433,8.779302360271998,8.235788327298923,8.161030434138441,8.48790602321003,9.267526680188332,9.548813483253586,10.295615323915603,10.819229422496516,10.427667155397014,9.301724503628003,9.975868787758689,10.530872528067945,9.460790784164312,9.826595432332727,11.106772917943001,11.316025794912449,11.887796420340772,12.760961852923941,12.613089455645664,12.78911782823356
S02001848,6.154025614413362,6.450955186701368,7.442396168545153,6.591195913350978,5.901937585580533,5.058410608210657,0.0,4.0769419493743095,4.008810839066086,4.665136176947517,4.207290800997727,5.459151647602568,4.740145344275108,5.9728904769099085,6.657470519815357,5.324210478159666,4.907404117734422,7.5660529767679074,6.9485377578208976,7.898626308548865,6.705162280975381,7.649495439642001,8.018756557190134,8.796195259335855,9.243731347914512,8.3102584236286,8.23938773817084,7.423890660910737,7.6028132734357765,7.3824367248521,7.506485231703557,7.007832238298103,5.219126498882378,6.5028438437512035,7.313776468503712,7.895250905415326,8.582431189542948,9.546665507915646,11.16923857457012,11.52988060024141,12.053817035549677,10.479704786195,10.278994920392737,9.725555417301859,8.564680028152619,8.899153051688822,10.408940808238686,9.737503082921066,8.88369897876172,10.752255924753964,11.134920356152776,11.627197455359976,13.077098326147993,13.809533297983506,14.692573507087285,15.756370362856298,16.163645789335465,17.294363277649573,18.13298411068019,18.817223691439686,18.11098294165746,19.251659253729606,20.079433855031954,19.03081552853623,18.703086885168915,17.753471039992668,16.89897033590465,15.51198434672451,15.513386477508053,14.869721177507438,14.022487522230941,14.36708776880011,14.959893805409845,16.568419870595243,14.379494945815711,14.612546721507442,16.446933517239973,15.583498267060936,14.43577531162338,13.579019701962281,13.429289662479201,13.555762768054493,12.224915933477288,11.636314239771368,11.99650182352021,12.280393477110476,12.678358674448287,12.895344872980823,12.08685566660132,11.611257571404607,10.35635757789049,10.364194653494383,9.387585983629442,9.571264586430633,9.288695019943134,9.864919897761354,10.214517283360557,9.908106581655677,11.322119773606204,10.196565118107793,12.491427303349791,12.426740747190669,13.85940180488173,11.516328363198056,10.996207704993083,11.684488064696609,10.95926036827313,10.586580807845841,10.20747287217562,9.795798341014718,9.050808249009876,8.545279789470598,8.364467567204747,8.539233323640325,Inf,9.248415230867607,8.884527081121666,8.160069035688975,8.085311142528493,8.41218673160008,9.191807388578383,9.473094191643636,10.541974092488685,11.065588191069597,10.674025923970095,9.548083272201085,10.22222755633177,10.668024854199642,9.74086262520419,9.931820153182393,11.21199763879267,11.56238456348553,12.134155188913853,13.007320621497023,12.859448224218745,13.03547659680664
S02001849,7.34253399909721,6.857175890366964,7.170418886198632,5.650149997340418,4.960891669569973,4.1526612409842585,4.076941949374311,0.0,3.434924047250116,3.851565893414579,2.757654350522184,3.999307659437874,3.4928825319389576,5.399003685093938,5.689956843607154,4.277702312638176,3.515357792253009,6.364737133100356,5.897456437074208,6.5258568377737625,5.448485591482184,6.394758611683162,6.898035985469525,7.726582185766539,8.283961255442323,7.763799223255285,7.205586008533472,5.976712486615295,6.886158451537945,6.8359775244787855,6.9600260313302424,6.461373037924788,6.407634883566226,6.642345847833576,6.8229104064934685,7.348791705042011,8.035971989169633,9.000206307542332,10.622779374196806,10.983421399868096,11.50735783517636,9.933245585821686,9.732535720019422,9.179096216928544,8.018220827779304,8.352693851315507,9.78562175560571,8.633968194866341,7.423854990597028,9.292411936589275,9.701910640735562,10.19418773994276,11.64408861073078,12.349689309818816,13.259563791670075,14.323360647439085,15.405140072993774,15.885728464042042,16.824880995548888,17.408588877832152,16.75793881069296,17.898615122765108,18.726389724067452,17.67777139757173,17.35004275420441,16.400426909028166,15.545926204940148,14.14841990064399,14.090720428362925,13.447055128362308,12.669443391266439,13.014043637835607,13.606849674445343,15.21537573963074,13.02645081485121,13.15270273334275,14.98708952907528,14.123654278896243,12.975931323458687,12.119175713797588,11.969445674314509,12.0959187798898,10.765071945312595,10.176470251606675,10.536657835355518,10.820549488945783,11.218514686283594,11.542300742016321,10.62701167843663,10.151413583239917,8.896513589725798,8.904350665329694,7.927741995464751,8.111420598265944,7.828851031778441,8.405075909596661,8.791340883679487,8.484930181974606,9.862275785441511,8.736721129943101,11.031583315185099,10.966896759025976,12.399557816717037,10.283679000381504,9.763558342176529,10.224644076531916,9.726611005456576,9.126736819681149,8.747628884010927,8.335954352850026,7.590964260845183,7.085435801305905,7.692092973346208,7.674091441948432,Inf,7.788571242702916,8.265074868214175,7.586182243873005,7.511424350712523,7.838299939784111,8.617920596762414,8.899207399827667,9.314146665079257,9.83776076366017,9.446198496560667,8.320255844791657,8.994400128922342,9.549403869231599,9.1214104122967,9.312367940274903,10.533026230753658,10.334557136076103,10.906327761504425,11.779493194087593,11.631620796809319,11.807649169397212
S02001850,7.344605683809747,6.78904478005874,7.102287775890408,5.582018887032195,4.89276055926175,4.084530130676034,4.008810839066088,3.4349240472501164,0.0,3.7834347831063555,2.6895232402139606,3.734831511189851,3.4247514216307344,5.503623657080236,5.1836688571347285,4.209571202329952,3.4472266819447848,4.943832530617801,5.276417872963456,5.104952235291207,4.512675158988262,5.373091126801059,5.8763685005874216,6.704914700884435,7.26229377056022,6.988257556521055,6.183918523651368,5.5922102679940435,6.154358531554056,6.060435857744556,6.1844843645960115,5.685831371190558,6.409706568278764,6.802981217801136,6.047368739759239,6.573250038307782,7.260430322435403,8.2246646408081,9.847237707462575,10.207879733133865,10.731816168442132,9.157703919087457,8.956994053285193,8.403554550194315,7.242679161045075,7.472846679509155,8.763954270723605,7.213063592383786,6.002950388114473,7.871507334106722,8.281006038253008,8.773283137460208,10.223184008248225,10.928784707336263,11.83865918918752,12.902456044956534,13.984235470511223,14.464823861559491,15.403976393066337,15.9876842753496,15.380031661187452,16.5207079732596,17.348482574561945,16.29986424806622,15.972135604698904,15.022519759522659,14.168019055434641,12.727515298161435,12.66981582588037,12.026150525879757,11.291536241760932,11.6361364883301,12.228942524939836,13.837468590125233,11.648543665345702,11.731798130860195,13.566184926592726,12.702749676413688,11.555026720976132,10.698271111315034,10.548541071831954,10.675315556755496,9.34416734283004,8.75556564912412,9.115753232872963,9.399644886463228,9.79761008380104,10.164393592510814,9.206107075954078,8.730508980757364,7.475608987243242,7.483446062847143,6.506837392982196,6.690515995783392,6.408247808644138,6.984472686462357,7.370737660545187,7.064326958840307,8.441672562307208,7.316117906808795,9.610980092050795,9.546293535891671,10.978954593582731,9.134936239227198,8.614815581022222,8.804040853397613,8.57786824430227,7.706133596546843,7.327025660876623,6.915351129715721,6.170361037710879,5.6648325781716,6.271188370863652,6.253186839465877,Inf,6.367968019568611,7.116332107059868,6.877438602228699,7.228866549823776,7.725097778150229,7.631198354272956,7.765662249773283,8.16540390392495,8.689018002505861,8.297455735406361,7.1715130836373495,7.845657367768035,8.400661108077292,7.972667651142395,8.163625179120597,9.384283469599351,9.185814374921796,9.757585000350119,10.630750432933286,10.48287803565501,10.658906408242906
S02001851,8.000931021691176,7.44537011794017,7.7586131137718395,6.238344224913625,5.54908589714318,4.740855468557465,4.665136176947518,3.8515658934145796,3.7834347831063555,0.0,3.3458485780953913,3.005610319445779,4.045425253909202,5.389674318528897,5.572117823823309,4.8658965402113825,4.103552019826215,5.020432797155107,4.998698205445802,5.493401201979787,5.555287590755477,6.415024047004355,6.525048736739151,7.365795559551862,7.813331648130518,7.659591891070199,7.170184640068509,6.564906714188501,6.952146740877376,6.7317701922937,6.855818699145155,6.3571657057397015,7.066031906160195,7.815068485142704,6.718703074308383,7.2445843728569255,7.931764656984547,8.895998975357244,10.51857204201172,10.879214067683009,11.403150502991275,9.8290382536366,9.628328387834337,9.059414483880659,7.914013495594219,7.978705178126904,9.49296308258094,7.601512559072366,6.391399354803053,8.2599563007953,8.669455004941588,9.161732104148788,10.611632974936805,11.317233674024841,12.2271081558761,13.290905011645112,14.372684437199801,14.85327282824807,15.792425359754915,16.37613324203818,15.858487698831627,16.99933366430362,17.837191164943636,16.788572838447912,16.460844195080597,15.51122834990435,14.656727645816332,13.115964264850016,13.05826479256895,12.414599492568335,11.780244832142623,12.124845078711791,12.717651115321527,14.326177180506924,12.137252255727393,12.120247097548775,13.48665310375878,12.596471271376641,11.869899454366562,11.021137611468815,10.442262666794907,10.397595889237842,9.09890374731171,9.1440146158127,9.504202199561544,9.788093853151809,10.186059050489622,10.653102182892505,9.594556042642658,9.118957947445942,7.864057953931822,7.60750857885506,6.895286359670776,7.006898260282659,6.130528141126483,6.706753018944703,7.026225333533777,6.719814631828897,8.163952894789553,7.038398239291141,9.33326042453314,9.268573868374016,10.701234926065077,8.398354469162857,7.878233810957882,8.526321185879958,7.841286474237931,7.428413929029189,7.049305993358968,6.637631462198066,5.892641370193224,5.387112910653945,6.024743533985515,5.982473322043124,Inf,6.090248352050956,6.37975033699553,6.518524111147608,6.747622511712364,7.790973894435028,6.894616584208618,7.029080479708944,7.428822133860609,7.952436232441521,7.5608739653420205,6.434931313573009,7.109075597703694,7.664079338012954,7.236085881078056,7.427043409056259,8.647701699535011,8.449232604857455,9.021003230285778,9.894168662868946,9.74629626559067,9.922324638178566
