IntZone,node_index,mode,snap_ok,snap_status,snap_distance_m,snap_node_index,snap_x,snap_y,Easting,Northing
S02001842,0,road,True,ok,33.23737203809968,31784,253972.65,659366.98,253987.0,659337.0
S02001843,1,road,True,ok,14.882422517869916,32891,253276.67,659689.76,253271.0,659676.0
S02001844,2,road,True,ok,34.21105230769798,32605,252445.19,659384.2,252411.0,659383.0
S02001845,3,road,True,ok,64.04998048394701,34675,252868.4,660594.2,252858.0,660531.0
S02001846,4,road,True,ok,47.23224428288185,35087,252888.32,661196.95,252851.0,661168.0
S02001847,5,road,True,ok,67.94080143771632,37647,253386.07,661853.74,253360.0,661791.0
S02001848,6,road,True,ok,26.06911199103882,37702,252263.35,661890.31,252239.0,661881.0
S02001849,7,road,True,ok_long,127.47863977933717,14891,252797.4,662740.06,252879.0,662838.0
S02001850,8,road,True,ok,76.45083256579956,17347,253558.17,663617.53,253570.0,663542.0
S02001851,9,road,True,ok,17.010047031123364,19132,253185.69,664359.16,253191.0,664343.0
S02001852,10,road,True,ok,29.110906890692917,17300,252450.57,663789.6,252456.0,663761.0
S02001853,11,road,True,ok,32.338104458981725,41366,251502.69,664776.37,251531.0,664792.0
S02001854,12,road,True,ok,22.55436321423515,41199,252586.43,664457.12,252573.0,664439.0
S02001855,13,road,True,ok,37.85642481796751,38200,253965.2,665294.33,253938.0,665268.0
S02001856,14,road,True,ok,21.76443429080712,43832,254824.15,665494.41,254808.0,665509.0
S02001857,15,road,True,ok,53.629903039224594,19071,254287.68,664270.21,254309.0,664221.0
S02001858,16,road,True,ok,30.33993078435161,15256,254536.67,663021.65,254520.0,663047.0
S02001859,17,road,True,ok,34.75381561790705,43694,255973.46,665358.81,255962.0,665326.0
S02001860,18,road,True,ok,38.66133080997349,19245,256149.07,664526.56,256186.0,664538.0
S02001861,19,road,True,ok,16.782663674117412,42004,257063.17,664707.33,257070.0,664692.0
S02001862,20,road,True,ok,91.03427266697655,16083,255860.52,663890.22,255891.0,663976.0
S02001863,21,road,True,ok,70.84028585491798,15723,257219.95,663527.06,257167.0,663480.0
S02001864,22,road,True,ok,62.994782323593505,15701,257916.49,663280.35,257880.0,663229.0
S02001865,23,road,True,ok,37.89463418479236,16162,258619.97,662734.32,258583.0,662726.0
S02001866,24,road,True,ok,47.14437612266538,16317,259100.81,662667.69,259077.0,662627.0
S02001867,25,road,True,ok,18.97974710051599,37048,258111.52,661460.02,258120.0,661477.0
S02001868,26,road,True,ok,24.114966307290768,12042,257907.9,662530.04,257906.0,662506.0
S02001869,27,road,True,ok,78.97675227556847,12065,256486.75,662515.07,256558.0,662481.0
S02001870,28,road,True,ok,49.64985397762182,11872,257125.78,662216.86,257163.0,662184.0
S02001871,29,road,True,ok,36.90296600541718,12463,257334.75,661971.08,257327.0,661935.0
S02001872,30,road,True,ok,27.855794729284263,37092,257562.47,661586.38,257535.0,661591.0
S02001873,31,road,True,ok,18.49635910119179,11593,256635.52,661521.93,256618.0,661516.0
S02001874,32,road,True,ok,17.403381855250178,35403,254568.44,660252.71,254552.0,660247.0
S02001875,33,road,True,ok,84.02339019583029,35737,255423.25,660246.74,255497.0,660287.0
S02001876,34,road,True,ok,30.450262724616927,35851,256529.32,660686.31,256557.0,660699.0
S02001877,35,road,True,ok,61.9001938607463,35662,257705.98,660495.56,257651.0,660524.0
S02001878,36,road,True,ok,21.21256467285256,33918,257924.85,659932.48,257905.0,659925.0
S02001879,37,road,True,ok,21.053726511041763,33676,259147.63,659996.55,259136.0,659979.0
S02001880,38,road,True,ok,43.44283715413334,30639,259077.05,658527.76,259116.0,658547.0
S02001881,39,road,True,ok,23.68490025310913,30702,260095.12,658797.49,260107.0,658777.0
S02001882,40,road,True,ok,41.38482934599153,33531,261294.2,659563.21,261298.0,659522.0
S02001883,41,road,True,ok,32.03288934832229,33711,260008.48,659752.66,259984.0,659732.0
S02001884,42,road,True,ok,81.83538415623507,34068,260066.95,660392.26,260063.0,660474.0
S02001885,43,road,True,ok,93.42204022606737,36508,259482.3,661091.26,259562.0,661140.0
S02001886,44,road,True,ok,32.97712085676272,36537,258466.71,660838.08,258443.0,660861.0
S02001887,45,road,True,ok,21.440328822135136,36986,258738.94,661478.71,258725.0,661495.0
S02001888,46,road,True,ok,17.031946453661135,12263,260089.34,661698.46,260106.0,661702.0
S02001889,47,road,True,ok,17.491169200461567,18186,259429.13,663638.21,259444.0,663629.0
S02001890,48,road,True,ok,32.59208646282315,20200,258497.29,664327.6,258527.0,664341.0
S02001891,49,road,True,ok,17.338627396659078,40787,260224.02,664707.26,260218.0,664691.0
S02001892,50,road,True,ok,42.253636529887046,18460,260698.57,663957.43,260657.0,663965.0
S02001893,51,road,True,ok,33.66511844625367,18103,261099.11,663697.91,261070.0,663681.0
S02001894,52,road,True,ok,26.604317318823117,9903,262389.71,663856.84,262364.0,663850.0
S02001895,53,road,True,ok,46.3325425591627,9918,263044.58,663914.59,263065.0,663873.0
S02001896,54,road,True,ok,16.020393253617414,9458,263767.01,663137.23,263753.0,663145.0
S02001897,55,road,True,ok,44.42494119297727,9394,264570.75,662953.27,264613.0,662967.0
S02001898,56,road,True,ok,25.340485393923792,13599,265192.51,661830.49,265186.0,661806.0
