IntZone,node_index,Easting,Northing
S02001842,0,253987,659337
S02001843,1,253271,659676
S02001844,2,252411,659383
S02001845,3,252858,660531
S02001846,4,252851,661168
S02001847,5,253360,661791
S02001848,6,252239,661881
S02001849,7,252879,662838
S02001850,8,253570,663542
S02001851,9,253191,664343
S02001852,10,252456,663761
S02001853,11,251531,664792
S02001854,12,252573,664439
S02001855,13,253938,665268
S02001856,14,254808,665509
S02001857,15,254309,664221
S02001858,16,254520,663047
S02001859,17,255962,665326
S02001860,18,256186,664538
S02001861,19,257070,664692
S02001862,20,255891,663976
S02001863,21,257167,663480
S02001864,22,257880,663229
S02001865,23,258583,662726
S02001866,24,259077,662627
S02001867,25,258120,661477
S02001868,26,257906,662506
S02001869,27,256558,662481
S02001870,28,257163,662184
S02001871,29,257327,661935
S02001872,30,257535,661591
S02001873,31,256618,661516
S02001874,32,254552,660247
S02001875,33,255497,660287
S02001876,34,256557,660699
S02001877,35,257651,660524
S02001878,36,257905,659925
S02001879,37,259136,659979
S02001880,38,259116,658547
S02001881,39,260107,658777
S02001882,40,261298,659522
S02001883,41,259984,659732
S02001884,42,260063,660474
S02001885,43,259562,661140
S02001886,44,258443,660861
S02001887,45,258725,661495
S02001888,46,260106,661702
S02001889,47,259444,663629
S02001890,48,258527,664341
S02001891,49,260218,664691
S02001892,50,260657,663965
S02001893,51,261070,663681
S02001894,52,262364,663850
S02001895,53,263065,663873
S02001896,54,263753,663145
S02001897,55,264613,662967
S02001898,56,265186,661806
S02001899,57,266165,663384
S02001900,58,267190,663419
S02001901,59,267871,663656
S02001902,60,267219,664080
S02001903,61,268237,664406
S02001904,62,268904,665690
S02001905,63,268010,665595
S02001906,64,267111,666538
S02001907,65,266950,665434
S02001908,66,266066,664871
S02001909,67,264764,664564
S02001910,68,264808,664082
S02001911,69,264089,664001
S02001912,70,263463,665057
S02001913,71,263316,665776
S02001914,72,264269,665508
S02001915,73,265183,666470
S02001916,74,263349,666091
S02001917,75,263164,667236
S02001918,76,263549,668792
S02001919,77,262136,669048
S02001920,78,262121,667874
S02001921,79,261478,667529
S02001922,80,260869,668021
S02001923,81,260483,668477
S02001924,82,259797,667399
S02001925,83,260260,666502
S02001926,84,260852,666115
S02001927,85,261285,665645
S02001928,86,261605,665657
S02001929,87,262140,665353
S02001930,88,261296,665131
S02001931,89,260882,664926
S02001932,90,259625,665336
S02001933,91,258607,666169
S02001934,92,258498,665124
S02001935,93,257721,665622
S02001936,94,256903,666035
S02001937,95,257742,666481
S02001938,96,258112,666668
S02001939,97,257819,667183
S02001940,98,258435,667834
S02001941,99,257256,668176
S02001942,100,259347,668617
S02001943,101,259110,668929
S02001944,102,259769,669516
S02001945,103,257091,670168
S02001946,104,256635,670039
S02001947,105,257470,669216
S02001948,106,256876,669223
S02001949,107,256834,668381
S02001950,108,255835,668395
S02001951,109,257386,667428
S02001952,110,256853,667062
S02001953,111,255880,666698
S02001954,112,255121,666722
S02001955,113,255271,666804
S02001956,114,255678,667378
S02001957,115,256376,667537
S02001958,116,254437,668184
S02001959,117,254765,667238
S02001960,118,254391,667456
S02001961,119,253420,667210
S02001962,120,253179,667977
S02001963,121,252494,667904
S02001964,122,251470,668537
S02001965,123,251346,669515
S02001966,124,252069,669351
S02001967,125,252310,668676
S02001968,126,252662,669052
S02001969,127,253334,669042
S02001970,128,255162,668855
S02001971,129,254637,669245
S02001972,130,253767,670105
S02001973,131,252362,670219
S02001974,132,252942,670737
S02001975,133,252980,671333
S02001976,134,251922,671401
S02001977,135,251267,671163
