IntZone,S02001842,S02001843,S02001844,S02001845,S02001846,S02001847,S02001848,S02001849,S02001850,S02001851,S02001852,S02001853,S02001854,S02001855,S02001856,S02001857,S02001858,S02001859,S02001860,S02001861,S02001862,S02001863,S02001864,S02001865,S02001866,S02001867,S02001868,S02001869,S02001870,S02001871,S02001872,S02001873,S02001874,S02001875,S02001876,S02001877,S02001878,S02001879,S02001880,S02001881,S02001882,S02001883,S02001884,S02001885,S02001886,S02001887,S02001888,S02001889,S02001890,S02001891,S02001892,S02001893,S02001894,S02001895,S02001896,S02001897,S02001898,S02001899,S02001900,S02001901,S02001902,S02001903,S02001904,S02001905,S02001906,S02001907,S02001908,S02001909,S02001910,S02001911,S02001912,S02001913,S02001914,S02001915,S02001916,S02001917,S02001918,S02001919,S02001920,S02001921,S02001922,S02001923,S02001924,S02001925,S02001926,S02001927,S02001928,S02001929,S02001930,S02001931,S02001932,S02001933,S02001934,S02001935,S02001936,S02001937,S02001938,S02001939,S02001940,S02001941,S02001942,S02001943,S02001944,S02001945,S02001946,S02001947,S02001948,S02001949,S02001950,S02001951,S02001952,S02001953,S02001954,S02001955,S02001956,S02001957,S02001958,S02001959,S02001960,S02001961,S02001962,S02001963,S02001964,S02001965,S02001966,S02001967,S02001968,S02001969,S02001970,S02001971,S02001972,S02001973,S02001974,S02001975,S02001976,S02001977
S02001842,self,walking,walking,bicycle,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001843,bicycle,self,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,bicycle,walking,walking,walking,walking,bicycle,bicycle,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001844,walking,walking,self,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001845,bicycle,walking,walking,self,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,bicycle,bicycle,walking,walking,walking,bicycle,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001846,bicycle,walking,walking,bicycle,self,bicycle,walking,road,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,bicycle,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001847,walking,walking,walking,walking,walking,self,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking,walking,walking+rail,walking+rail,walking+rail,walking+rail,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001848,walking,bicycle,walking,walking,walking,walking,self,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001849,walking,walking,walking,road,road,road,walking,self,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001850,walking,walking,walking,walking,walking,walking,walking,walking,self,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,bicycle,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,bicycle,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
S02001851,walking,walking,walking,walking,walking,walking,walking,walking,walking,self,walking,bicycle,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking+rail,walking+rail,walking,walking,walking,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,road,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking,walking
