iz_code,predicted_rate,predicted_sigma
S02001842,37.624621774637866,27.73287582397461
S02001843,43.6339099205542,28.998239517211918
S02001844,35.26372060856785,27.444276809692383
S02001845,40.92295833788049,25.920663833618164
S02001846,37.6845232893435,25.855527877807617
S02001847,42.16564513424853,29.359968185424805
S02001848,39.48859284909796,26.231597900390625
S02001849,42.91251202900132,34.49844741821289
S02001850,47.61657187752205,33.226043701171875
S02001851,49.08645894676064,29.7347412109375
S02001852,47.68629537352973,32.639041900634766
S02001853,44.05681261673235,34.252899169921875
S02001854,57.05596791513992,58.51179885864258
S02001855,56.35238390046406,40.331199645996094
S02001856,40.11381728267499,25.830322265625
S02001857,49.14337773682783,29.70611953735352
S02001858,40.40317587905845,28.42656898498535
S02001859,48.6057886953989,26.83499526977539
S02001860,49.49678029437345,27.414981842041016
S02001861,41.013072186818974,25.467510223388672
S02001862,44.37485679949727,28.150182723999023
S02001863,39.14247984611368,25.821504592895508
S02001864,36.44955095234448,24.94100570678711
S02001865,36.98187771118779,24.22718620300293
S02001866,38.56563906064356,24.357318878173828
S02001867,34.43245554902388,24.41482353210449
S02001868,31.667517395085245,23.28285217285156
S02001869,42.57653251667663,33.93919372558594
S02001870,36.90117207015047,24.74248695373535
S02001871,38.19051282767583,25.76920509338379
S02001872,39.14327486980232,24.77554702758789
S02001873,34.09379288555522,30.72491455078125
S02001874,36.79903590929896,26.62840843200684
S02001875,38.43318016251924,30.579593658447266
S02001876,40.67164116857605,27.498550415039062
S02001877,38.61253655574889,27.693458557128903
S02001878,39.0572548207827,28.14160919189453
S02001879,45.78194762075415,50.55175018310547
S02001880,51.99995461164611,39.40804290771485
S02001881,54.34038512692948,46.994754791259766
S02001882,48.3242219747819,39.14327621459961
S02001883,52.30357693521398,37.11975860595703
S02001884,50.24118894833683,31.553260803222656
S02001885,41.44656928906744,24.95246696472168
S02001886,36.09286142320879,26.36006164550781
S02001887,39.22259159547478,26.009939193725582
S02001888,38.59987114153263,24.523393630981445
S02001889,45.109744511031366,23.416810989379883
S02001890,36.06930705821926,26.462066650390625
S02001891,44.98952072252386,29.73653793334961
S02001892,43.86112141127198,28.269428253173828
S02001893,41.05544280663251,26.519575119018555
S02001894,45.462987980367984,33.579917907714844
S02001895,41.09044229401657,24.19740295410156
S02001896,32.72465547330547,23.451251983642575
S02001897,39.20091676911549,27.52777671813965
S02001898,40.39417506030433,32.2050666809082
S02001899,37.44858946739186,31.689712524414062
S02001900,31.26127956354464,35.869224548339844
S02001901,32.55883930169614,30.898836135864254
S02001902,30.930761727685574,32.324180603027344
S02001903,38.0532268538952,31.30451774597168
S02001904,39.192208916202965,32.878658294677734
S02001905,40.914925433098766,37.933082580566406
S02001906,34.529796016509,32.22319412231445
S02001907,32.59784362912343,32.1366081237793
S02001908,28.225935376738427,31.772232055664062
S02001909,25.7544881187886,46.18843078613281
S02001910,33.804720274807266,29.98991584777832
S02001911,38.945656677305806,25.469297409057617
S02001912,33.45030516817607,26.792898178100582
S02001913,33.187163049797114,29.107988357543945
S02001914,28.78751721455523,29.64859390258789
S02001915,34.31400739590956,33.082740783691406
S02001916,30.541421725600436,29.63957023620605
S02001917,32.655299640127126,35.2239990234375
S02001918,31.46082193021312,38.47211456298828
S02001919,45.77005010432271,61.82543182373047
S02001920,40.99379078001963,46.532814025878906
