iz_code,population
S02001842,5197.0
S02001843,3677.0
S02001844,5414.0
S02001845,6491.0
S02001846,3631.0
S02001847,3092.0
S02001848,6359.0
S02001849,5930.0
S02001850,3209.0
S02001851,4283.0
S02001852,5063.0
S02001853,5254.0
S02001854,3353.0
S02001855,6150.0
S02001856,6141.0
S02001857,3526.0
S02001858,5093.0
S02001859,3634.0
S02001860,3357.0
S02001861,4422.0
S02001862,3729.0
S02001863,4633.0
S02001864,5215.0
S02001865,5751.0
S02001866,4593.0
S02001867,5116.0
S02001868,5805.0
S02001869,5805.0
S02001870,3974.0
S02001871,3546.0
S02001872,4584.0
S02001873,4482.0
S02001874,4184.0
S02001875,3114.0
S02001876,5210.0
S02001877,3491.0
S02001878,4587.0
S02001879,2864.0
S02001880,3731.0
S02001881,5007.0
S02001882,4297.0
S02001883,4965.0
S02001884,3961.0
S02001885,4046.0
S02001886,5514.0
S02001887,4443.0
S02001888,6845.0
S02001889,6212.0
S02001890,6281.0
S02001891,4767.0
S02001892,4254.0
S02001893,3897.0
S02001894,7485.0
S02001895,3642.0
S02001896,6677.0
S02001897,3824.0
S02001898,2614.0
S02001899,3515.0
S02001900,3558.0
S02001901,7383.0
S02001902,4077.0
S02001903,4129.0
S02001904,3284.0
S02001905,2348.0
S02001906,4724.0
S02001907,3627.0
S02001908,4971.0
S02001909,5103.0
S02001910,4770.0
S02001911,4089.0
S02001912,5041.0
S02001913,3498.0
S02001914,6563.0
S02001915,5685.0
S02001916,5676.0
S02001917,4541.0
S02001918,6505.0
S02001919,3437.0
S02001920,3032.0
S02001921,3623.0
S02001922,4462.0
S02001923,4875.0
S02001924,4149.0
S02001925,931.0
S02001926,6099.0
S02001927,4809.0
S02001928,2714.0
S02001929,4676.0
S02001930,4435.0
S02001931,6581.0
S02001932,10546.0
S02001933,5912.0
S02001934,3982.0
S02001935,5544.0
S02001936,10651.0
S02001937,7417.0
S02001938,3500.0
S02001939,6336.0
S02001940,4891.0
S02001941,7376.0
S02001942,6303.0
S02001943,4229.0
S02001944,3186.0
S02001945,4462.0
S02001946,3422.0
S02001947,3435.0
S02001948,3058.0
S02001949,4340.0
S02001950,6113.0
S02001951,4149.0
S02001952,6386.0
S02001953,8853.0
S02001954,5352.0
S02001955,3982.0
S02001956,5786.0
S02001957,4530.0
S02001958,5732.0
S02001959,4669.0
S02001960,2671.0
S02001961,3741.0
S02001962,4617.0
S02001963,3609.0
S02001964,4805.0
S02001965,2949.0
S02001966,2488.0
S02001967,3945.0
S02001968,3371.0
S02001969,3890.0
S02001970,4273.0
S02001971,6672.0
S02001972,5437.0
S02001973,2987.0
S02001974,2495.0
S02001975,3247.0
S02001976,3445.0
S02001977,3525.0
