IntZone,node_index,n_data_zones,total_population,working_age_population,income_rate,employment_rate,overcrowded_rate,n_dz_crime_suppressed,crime_incomplete,crime_rate_fill0,crime_rate_fill1,crime_rate_fill2,crime_rate,university_rate,pt_gp_min
S02001842,0,6,5148.0,3437.0,0.202991452991453,0.12743671806808263,0.16783216783216784,0,0,0.025567323132598005,0.025567323132598005,0.025567323132598005,0.025567323132598005,0.10237806021756021,7.733136064109168
S02001843,1,4,3298.0,2232.0,0.164038811400849,0.10797491039426524,0.14918132201334142,0,0,0.04021386195712673,0.04021386195712673,0.04021386195712673,0.04021386195712673,0.16028762340812616,11.26658416154821
S02001844,2,7,5498.0,3691.0,0.09748999636231356,0.06177187753996207,0.11295016369588941,1,1,0.010416519304364708,0.01059840362593619,0.010780287947507669,0.01059840362593619,0.1559948173881411,12.59927733023827
S02001845,3,9,6063.0,3910.0,0.32706580900544285,0.21943734015345268,0.2294243773709385,0,0,0.054354909671867235,0.054354909671867235,0.054354909671867235,0.054354909671867235,0.0478875738083457,8.997666657510802
S02001846,4,4,3182.0,2032.0,0.3507228158390949,0.2298228346456693,0.23727215587680703,0,0,0.048942260665732464,0.048942260665732464,0.048942260665732464,0.048942260665732464,0.031773554054054055,7.334263668217788
S02001847,5,4,3127.0,2065.0,0.2248161176846818,0.15786924939467312,0.17332906939558682,0,0,0.03534413088546103,0.03534413088546103,0.03534413088546103,0.03534413088546103,0.07495883562519987,6.075439360755356
S02001848,6,7,5937.0,4066.0,0.056931109988209536,0.03910477127397934,0.06720565942395149,1,1,0.011677087773500126,0.011845523010151635,0.012013958246803142,0.011845523010151635,0.163060233451238,7.479352538374433
S02001849,7,7,5821.0,3847.0,0.2736643188455592,0.18741876787106837,0.19206321937811371,0,0,0.04470485264203072,0.04470485264203072,0.04470485264203072,0.04470485264203072,0.07349550712935922,7.360193607673766
S02001850,8,4,3115.0,1917.0,0.17495987158908508,0.11997913406364111,0.2086677367576244,0,0,0.04805966290543311,0.04805966290543311,0.04805966290543311,0.04805966290543311,0.07918323499197431,6.424663661484751
S02001851,9,5,4401.0,2797.0,0.26539422858441264,0.17375759742581337,0.19381958645762326,0,0,0.035386110756273736,0.035386110756273736,0.035386110756273736,0.035386110756273736,0.0764033221995001,6.183142286874801
S02001852,10,7,5253.0,3308.0,0.13687416714258518,0.10731559854897219,0.1332571863696935,0,0,0.027542768648482204,0.027542768648482204,0.027542768648482204,0.027542768648482204,0.09622645783361888,5.941800346374072
S02001853,11,7,5315.0,3322.0,0.24459078080903104,0.1782059000602047,0.18889934148635937,0,0,0.025331099008576257,0.025331099008576257,0.025331099008576257,0.025331099008576257,0.06432511458137348,8.476858105531514
S02001854,12,4,3400.0,2252.0,0.16705882352941176,0.11900532859680284,0.14470588235294118,0,0,0.0254139421550266,0.0254139421550266,0.0254139421550266,0.0254139421550266,0.05611142970588236,4.834465185890587
S02001855,13,8,6272.0,4203.0,0.22927295918367346,0.17844396859386152,0.1903698979591837,0,0,0.06760190029520677,0.06760190029520677,0.06760190029520677,0.06760190029520677,0.07688737276785713,8.114341404275988
S02001856,14,7,6052.0,4307.0,0.2868473231989425,0.22614348734618064,0.22306675479180435,0,0,0.08367276486891434,0.08367276486891434,0.08367276486891434,0.08367276486891434,0.03419757286847323,4.758208273368473
S02001857,15,4,3510.0,2294.0,0.24757834757834757,0.17000871839581516,0.1772079772079772,0,0,0.0360674909534665,0.0360674909534665,0.0360674909534665,0.0360674909534665,0.066636203988604,7.321925426109686
S02001858,16,7,5081.0,3358.0,0.14682149183231646,0.11554496724240619,0.1779177327297776,0,0,0.02867287954309515,0.02867287954309515,0.02867287954309515,0.02867287954309515,0.08230537807518205,8.505143276504624
S02001859,17,3,3525.0,2387.0,0.3353191489361702,0.25513196480938416,0.22695035460992907,0,0,0.08379936195996898,0.08379936195996898,0.08379936195996898,0.08379936195996898,0.05219839744680851,7.042224057827235
S02001860,18,4,3242.0,2448.0,0.21314003701418877,0.1670751633986928,0.25570635410240594,0,0,0.0709700276957366,0.0709700276957366,0.0709700276957366,0.0709700276957366,0.08515926095003085,3.792950961936459
S02001861,19,5,4245.0,3263.0,0.1380447585394582,0.08581060373889059,0.20965842167255594,0,0,0.04047351458331955,0.04047351458331955,0.04047351458331955,0.04047351458331955,0.07664622285041225,4.509160514108362
S02001862,20,4,3671.0,2522.0,0.19640424952329066,0.14036478984932593,0.20457640969763008,0,0,0.05254959183164516,0.05254959183164516,0.05254959183164516,0.05254959183164516,0.1471594718060474,8.773348150356579
S02001863,21,6,4660.0,3075.0,0.14871244635193134,0.08617886178861789,0.22618025751072962,0,0,0.02975402150698294,0.02975402150698294,0.02975402150698294,0.02975402150698294,0.19913916523605152,5.881663458337338
S02001864,22,6,5056.0,3660.0,0.1495253164556962,0.07213114754098361,0.40704113924050633,0,0,0.03656480491100752,0.03656480491100752,0.03656480491100752,0.03656480491100752,0.11650631487341773,3.4577576646908623
S02001865,23,7,5696.0,3874.0,0.2443820224719101,0.15720185854414043,0.3811446629213483,0,0,0.07091017796554572,0.07091017796554572,0.07091017796554572,0.07091017796554572,0.08308130284410113,3.618000278965239
S02001866,24,5,4436.0,2902.0,0.26825969341749323,0.19538249483115094,0.2822362488728584,0,0,0.04258129004103059,0.04258129004103059,0.04258129004103059,0.04258129004103059,0.05859675270513977,6.102640104577322
S02001867,25,6,5082.0,3830.0,0.11609602518693428,0.07728459530026109,0.1698150334513971,0,0,0.03637773585794057,0.03637773585794057,0.03637773585794057,0.03637773585794057,0.10403573160173159,5.543229751363833
S02001868,26,7,5738.0,4380.0,0.11589403973509933,0.08287671232876713,0.2551411641686999,0,0,0.059009489817433924,0.059009489817433924,0.059009489817433924,0.059009489817433924,0.10083151568490765,4.259427882415301
S02001869,27,7,5828.0,3820.0,0.05919698009608785,0.03638743455497382,0.10809883321894304,0,0,0.025859743856968705,0.025859743856968705,0.025859743856968705,0.025859743856968705,0.23293884471516815,7.368149583423644
S02001870,28,4,3749.0,2965.0,0.08028807682048546,0.055986509274873524,0.16244331821819152,0,0,0.03403617777931631,0.03403617777931631,0.03403617777931631,0.03403617777931631,0.11582738010136037,3.4450595350997597
S02001871,29,4,3496.0,2772.0,0.09496567505720824,0.06277056277056277,0.23569794050343248,0,0,0.027302642608408256,0.027302642608408256,0.027302642608408256,0.027302642608408256,0.1306539968535469,3.6475698323981693
S02001872,30,6,4538.0,3461.0,0.06963420008814455,0.04507367812770875,0.12141912736888497,0,0,0.01660539744363305,0.01660539744363305,0.01660539744363305,0.01660539744363305,0.15946358550022036,6.816958202459453
S02001873,31,6,4386.0,2957.0,0.23689010487916096,0.1883665877578627,0.24053807569539443,0,0,0.049480904141750014,0.049480904141750014,0.049480904141750014,0.049480904141750014,0.07697226538987689,6.04550433079731
S02001874,32,5,4252.0,2917.0,0.305032925682032,0.22077476859787454,0.28363123236124177,0,0,0.053166952210164715,0.053166952210164715,0.053166952210164715,0.053166952210164715,0.07449647530573848,7.8743428846131245
S02001875,33,4,3163.0,2021.0,0.21530192854884603,0.1400296882731321,0.17356939614290232,0,0,0.02858879301898456,0.02858879301898456,0.02858879301898456,0.02858879301898456,0.06510352956054379,9.433500990188112
S02001876,34,7,5388.0,3408.0,0.12360801781737193,0.08538732394366197,0.09762435040831477,0,0,0.024987897407309355,0.024987897407309355,0.024987897407309355,0.024987897407309355,0.1683066935783222,6.569311937760395
