IntZone,node_index,n_data_zones,total_population,working_age_population,income_rate,employment_rate,overcrowded_rate,n_dz_crime_suppressed,crime_incomplete,crime_rate_fill0,crime_rate_fill1,crime_rate_fill2,crime_rate,university_rate,pt_gp_min
S02001576,0,8,5831.0,3342.0,0.03755788029497513,0.03919808497905446,0.029154518950437316,1,1,0.011119060622808095,0.011290557793104788,0.011462054963401478,0.011290557793104788,0.19611096707254327,16.72442361432173
S02001577,1,4,6226.0,4872.0,0.021683263732733698,0.016215106732348113,0.029392868615483455,0,0,0.006183091106550585,0.006183091106550585,0.006183091106550585,0.006183091106550585,0.08661024285255382,9.943207511873112
S02001578,2,4,3299.0,1920.0,0.029099727190057594,0.0359375,0.04759017884207335,0,0,0.019345920529755336,0.019345920529755336,0.019345920529755336,0.019345920529755336,0.17593821794483175,9.015668467016974
S02001579,3,5,4293.0,2469.0,0.02632191940368041,0.026731470230862697,0.0363382250174703,0,0,0.017226344856038762,0.017226344856038762,0.017226344856038762,0.017226344856038762,0.15888886955508968,11.014202940000931
S02001580,4,6,4657.0,2798.0,0.018896285162121537,0.02108649035025018,0.02555293107150526,0,0,0.014792236449928844,0.014792236449928844,0.014792236449928844,0.014792236449928844,0.2810917015245866,7.667530139351299
S02001581,5,5,4717.0,2765.0,0.025863896544413824,0.0162748643761302,0.04536781852872589,0,0,0.010738294084493921,0.010738294084493921,0.010738294084493921,0.010738294084493921,0.10612692283230866,9.308237786292137
S02001582,6,5,3631.0,2411.0,0.2398788212613605,0.16258813770219827,0.2079316992564032,0,0,0.04687207698717551,0.04687207698717551,0.04687207698717551,0.04687207698717551,0.05793863591297164,6.464556398914625
S02001583,7,5,4565.0,3029.0,0.22935377875136911,0.173984813469792,0.180065717415115,0,0,0.044383380676063795,0.044383380676063795,0.044383380676063795,0.044383380676063795,0.03538046900328587,10.730772637477987
S02001584,8,5,3804.0,2550.0,0.31624605678233436,0.24274509803921568,0.17455310199789695,0,0,0.10838896430598859,0.10838896430598859,0.10838896430598859,0.10838896430598859,0.040493646424815975,9.498226550715826
S02001585,9,4,3112.0,2034.0,0.08643958868894601,0.051622418879056046,0.12789203084832904,0,0,0.0319019810620994,0.0319019810620994,0.0319019810620994,0.0319019810620994,0.042400992930591255,9.666837189575515
S02001586,10,5,3716.0,2383.0,0.19079655543595264,0.11372219890893831,0.18675995694294942,0,0,0.04361897368917789,0.04361897368917789,0.04361897368917789,0.04361897368917789,0.0600673065123789,8.47956333269322
S02001587,11,8,5946.0,4097.0,0.18079381096535485,0.13522089333658774,0.16616212579885636,0,0,0.06150543048757945,0.06150543048757945,0.06150543048757945,0.06150543048757945,0.04557515422132526,9.801249220558695
S02001588,12,5,4508.0,3098.0,0.1064773735581189,0.07585539057456424,0.10093167701863354,0,0,0.059102112824732496,0.059102112824732496,0.059102112824732496,0.059102112824732496,0.06959938442768412,9.324067652983585
S02001589,13,6,5105.0,3730.0,0.0871694417238002,0.06166219839142091,0.16669931439764937,0,0,0.040085452324014406,0.040085452324014406,0.040085452324014406,0.040085452324014406,0.07953892262487756,9.154404282374927
S02001590,14,5,5415.0,4510.0,0.10046168051708218,0.08891352549889135,0.23361034164358263,0,0,0.04284184709884299,0.04284184709884299,0.04284184709884299,0.04284184709884299,0.035561489566020316,6.798811210476269
S02001591,15,5,4048.0,3539.0,0.09560276679841898,0.07996609211641707,0.2833498023715415,0,0,0.02502595513663923,0.02502595513663923,0.02502595513663923,0.02502595513663923,0.03939349283596839,4.462779196022974
S02001592,16,6,5392.0,4137.0,0.026335311572700297,0.020546289581822575,0.10942136498516321,0,0,0.015969826860932543,0.015969826860932543,0.015969826860932543,0.015969826860932543,0.11236909959198815,6.029268534548776
