iz_code,site_id,mode,travel_time_min
S02001842,GP_40008,drive,25.8
S02001842,GP_40012,drive,23.68
S02001842,GP_40031,drive,20.72
S02001842,GP_40051,drive,25.89
S02001842,GP_40070,drive,23.23
S02001842,GP_40084,drive,25.95
S02001842,GP_40121,drive,22.25
S02001842,GP_40140,drive,24.97
S02001842,GP_40154,drive,21.14
S02001842,GP_40188,drive,24.62
S02001842,GP_40192,drive,23.08
S02001842,GP_40210,drive,21.61
S02001842,GP_40277,drive,22.96
S02001842,GP_40281,drive,30.86
S02001842,GP_40296,drive,23.08
S02001842,GP_40328,drive,20.72
S02001842,GP_40332,drive,26.47
S02001842,GP_40351,drive,24.73
S02001842,GP_40390,drive,28.95
S02001842,GP_40417,drive,21.61
S02001842,GP_40421,drive,31.62
S02001842,GP_40436,drive,31.62
S02001842,GP_40455,drive,19.9
S02001842,GP_40460,drive,22.27
S02001842,GP_40493,drive,26.2
S02001842,GP_40525,drive,27.45
S02001842,GP_40544,drive,31.77
S02001842,GP_40559,drive,31.62
S02001842,GP_40563,drive,22.9
S02001842,GP_40578,drive,22.9
S02001842,GP_40629,drive,21.79
S02001842,GP_40667,drive,19.96
S02001842,GP_40718,drive,23.46
S02001842,GP_40722,drive,31.62
S02001842,GP_40737,drive,24.73
S02001842,GP_43011,drive,26.4
S02001842,GP_43063,drive,24.85
S02001842,GP_43082,drive,23.19
S02001842,GP_43097,drive,24.85
S02001842,GP_43129,drive,24.85
S02001842,GP_43133,drive,23.64
S02001842,GP_43167,drive,23.19
S02001842,GP_43186,drive,23.19
S02001842,GP_43191,drive,23.19
S02001842,GP_43203,drive,22.23
S02001842,GP_43218,drive,23.19
S02001842,GP_43237,drive,23.68
S02001842,GP_43256,drive,23.68
S02001842,GP_43275,drive,29.23
S02001842,GP_43294,drive,24.93
S02001842,GP_43307,drive,29.63
S02001842,GP_43311,drive,26.4
S02001842,GP_43326,drive,25.37
S02001842,GP_43453,drive,23.19
S02001842,GP_43468,drive,23.19
S02001842,GP_43504,drive,24.85
S02001842,GP_43538,drive,23.68
S02001842,GP_43542,drive,23.68
S02001842,GP_43576,drive,26.4
S02001842,GP_46019,drive,25.35
S02001842,GP_46023,drive,20.22
S02001842,GP_46057,drive,26.7
S02001842,GP_46061,drive,25.35
S02001842,GP_46081,drive,26.84
S02001842,GP_46112,drive,30.94
S02001842,GP_46127,drive,21.27
S02001842,GP_46131,drive,24.1
S02001842,GP_46146,drive,24.84
S02001842,GP_46151,drive,22.33
S02001842,GP_46165,drive,26.84
S02001842,GP_46184,drive,19.57
S02001842,GP_46201,drive,28.47
S02001842,GP_46216,drive,34.59
S02001842,GP_46292,drive,28.47
S02001842,GP_46305,drive,34.59
S02001842,GP_46339,drive,25.79
S02001842,GP_46343,drive,26.8
S02001842,GP_46381,drive,20.22
S02001842,GP_46396,drive,20.22
S02001842,GP_46428,drive,20.22
S02001842,GP_46447,drive,20.22
S02001842,GP_46451,drive,34.42
S02001842,GP_46471,drive,34.42
S02001842,GP_46521,drive,27.02
S02001842,GP_46555,drive,20.22
S02001842,GP_46560,drive,22.29
S02001842,GP_46574,drive,20.22
S02001842,GP_46589,drive,19.96
S02001842,GP_46606,drive,20.22
S02001842,GP_46611,drive,20.22
S02001842,GP_46625,drive,23.08
S02001842,GP_46630,drive,34.42
S02001842,GP_49041,drive,14.06
S02001842,GP_49074,drive,16.71
S02001842,GP_49093,drive,13.58
S02001842,GP_49411,drive,14.8
S02001842,GP_49106,drive,15.51
S02001842,GP_49130,drive,11.83
S02001842,GP_49144,drive,12.29
S02001842,GP_49178,drive,14.06
S02001842,GP_49200,drive,8.89
S02001842,GP_49248,drive,10.9
S02001842,GP_49267,drive,13.53
S02001842,GP_49271,drive,8.91
S02001842,GP_49286,drive,11.34
S02001842,GP_49318,drive,9.96
S02001842,GP_49375,drive,15.94
S02001842,GP_49553,drive,8.75
S02001842,GP_49604,drive,16.71
S02001842,GP_49676,drive,13.66
S02001842,GP_49681,drive,12.55
S02001842,GP_49712,drive,10.47
S02001842,GP_49751,drive,17.62
